token,normed_token,pos_tags,stemmed_token,lemma_token,class
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction
vast,vast,"('vast', 'JJ')",vast,vast,introduction
forest,forest,"('forest', 'NN')",forest,forest,introduction
largest,largest,"('largest', 'JJS')",largest,large,introduction
planet,planet,"('planet', 'NN')",planet,planet,introduction
giant,giant,"('giant', 'JJ')",giant,giant,introduction
river,river,"('river', 'NN')",river,river,introduction
system,system,"('system', 'NN')",system,system,introduction
covers,covers,"('covers', 'VBZ')",cover,cover,introduction
half,half,"('half', 'NN')",half,half,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
large,large,"('large', 'JJ')",larg,large,introduction
portion,portion,"('portion', 'NN')",portion,portion,introduction
South,south,"('south', 'NN')",south,south,introduction
America,america,"('america', 'IN')",america,america,introduction
forest,forest,"('forest', 'JJS')",forest,forest,introduction
extends,extends,"('extends', 'VBZ')",extend,extend,introduction
Brazil,brazil,"('brazil', 'JJ')",brazil,brazil,introduction
neighbouring,neighbouring,"('neighbouring', 'VBG')",neighbour,neighbour,introduction
countries,countries,"('countries', 'NNS')",countri,country,introduction
Venezuela,venezuela,"('venezuela', 'VBP')",venezuela,venezuela,introduction
Colombia,colombia,"('colombia', 'JJ')",colombia,colombia,introduction
Peru,peru,"('peru', 'NN')",peru,peru,introduction
Bolivia,bolivia,"('bolivia', 'NN')",bolivia,bolivia,introduction
river,river,"('river', 'NN')",river,river,introduction
begins,begins,"('begins', 'VBZ')",begin,begin,introduction
life,life,"('life', 'NN')",life,life,introduction
among,among,"('among', 'IN')",among,among,introduction
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,introduction
different,different,"('different', 'JJ')",differ,different,introduction
headwaters,headwaters,"('headwaters', 'NNS')",headwat,headwater,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
only,only,"('only', 'RB')",onli,only,introduction
stretch,stretch,"('stretch', 'NN')",stretch,stretch,introduction
Manaus,manaus,"('manaus', 'NN')",manau,manaus,introduction
Belém,belém,"('belém', 'NN')",belém,belém,introduction
actually,actually,"('actually', 'RB')",actual,actually,introduction
known,known,"('known', 'VBN')",known,know,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
Amazonas,amazonas,"('amazonas', 'NNS')",amazona,amazona,introduction
above,above,"('above', 'IN')",abov,above,introduction
Manaus,manaus,"('manaus', 'PDT')",manau,manaus,introduction
river,river,"('river', 'NN')",river,river,introduction
called,called,"('called', 'VBN')",call,call,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
Solimões,solimões,"('solimões', 'VBZ')",solimõ,solimões,introduction
border,border,"('border', 'NN')",border,border,introduction
Peru,peru,"('peru', 'NN')",peru,peru,introduction
once,once,"('once', 'RB')",onc,once,introduction
becomes,becomes,"('becomes', 'VBZ')",becom,become,introduction
Amazonas,amazonas,"('amazonas', 'NN')",amazona,amazona,introduction
far,far,"('far', 'RB')",far,far,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction
river,river,"('river', 'NN')",river,river,introduction
system,system,"('system', 'NN')",system,system,introduction
world,world,"('world', 'NN')",world,world,introduction
eight,eight,"('eight', 'CD')",eight,eight,introduction
world,world,"('world', 'NN')",world,world,introduction
twenty,twenty,"('twenty', 'NN')",twenti,twenty,introduction
longest,longest,"('longest', 'JJS')",longest,long,introduction
rivers,rivers,"('rivers', 'NNS')",river,river,introduction
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction
basin,basin,"('basin', 'NN')",basin,basin,introduction
along,along,"('along', 'IN')",along,along,introduction
fifth,fifth,"('fifth', 'NN')",fifth,fifth,introduction
planet,planet,"('planet', 'NN')",planet,planet,introduction
