token,normed_token,pos_tags,stemmed_token,lemma_token,class
São,são,"('são', 'NN')",são,são,introduction
Paulo,paulo,"('paulo', 'VBZ')",paulo,paulo,introduction
country,country,"('country', 'NN')",countri,country,introduction
populous,populous,"('populous', 'JJ')",popul,populous,introduction
state,state,"('state', 'NN')",state,state,introduction
home,home,"('home', 'NN')",home,home,introduction
far,far,"('far', 'RB')",far,far,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction
city,city,"('city', 'NN')",citi,city,introduction
Brazil,brazil,"('brazil', 'JJ')",brazil,brazil,introduction
economic,economic,"('economic', 'JJ')",econom,economic,introduction
powerhouse,powerhouse,"('powerhouse', 'NN')",powerhous,powerhouse,introduction
Home,home,"('home', 'NN')",home,home,introduction
nearly,nearly,"('nearly', 'RB')",nearli,nearly,introduction
half,half,"('half', 'PDT')",half,half,introduction
country,country,"('country', 'NN')",countri,country,introduction
industrial,industrial,"('industrial', 'JJ')",industri,industrial,introduction
output,output,"('output', 'NN')",output,output,introduction
also,also,"('also', 'RB')",also,also,introduction
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,introduction
sector,sector,"('sector', 'NN')",sector,sector,introduction
produces,produces,"('produces', 'VBZ')",produc,produce,introduction
among,among,"('among', 'IN')",among,among,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
orange,orange,"('orange', 'NN')",orang,orange,introduction
juice,juice,"('juice', 'NN')",juic,juice,introduction
any,any,"('any', 'DT')",ani,any,introduction
single,single,"('single', 'JJ')",singl,single,introduction
nation,nation,"('nation', 'NN')",nation,nation,introduction
worldwide,worldwide,"('worldwide', 'IN')",worldwid,worldwide,introduction
eponymous,eponymous,"('eponymous', 'JJ')",eponym,eponymous,introduction
city,city,"('city', 'NN')",citi,city,introduction
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction
dizzying,dizzying,"('dizzying', 'JJ')",dizzi,dizzying,introduction
variety,variety,"('variety', 'NN')",varieti,variety,introduction
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,introduction
centres,centres,"('centres', 'NNS')",centr,centre,introduction
art,art,"('art', 'NN')",art,art,introduction
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction
noise,noise,"('noise', 'NN')",nois,noise,introduction
vibrant,vibrant,"('vibrant', 'JJ')",vibrant,vibrant,introduction
fashion,fashion,"('fashion', 'NN')",fashion,fashion,introduction
music,music,"('music', 'NN')",music,music,introduction
scenes,scenes,"('scenes', 'NNS')",scene,scene,introduction
heard,heard,"('heard', 'VBN')",heard,hear,introduction
around,around,"('around', 'IN')",around,around,introduction
globe,globe,"('globe', 'NN')",globe,globe,introduction
Although,although,"('although', 'IN')",although,although,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
come,come,"('come', 'VBP')",come,come,introduction
state,state,"('state', 'NN')",state,state,introduction
order,order,"('order', 'NN')",order,order,introduction
visit,visit,"('visit', 'VB')",visit,visit,introduction
city,city,"('city', 'NN')",citi,city,introduction
merely,merely,"('merely', 'RB')",mere,merely,introduction
business,business,"('business', 'NN')",busi,business,introduction
São,são,"('são', 'NN')",são,são,introduction
Paulo,paulo,"('paulo', 'NN')",paulo,paulo,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
numerous,numerous,"('numerous', 'JJ')",numer,numerous,introduction
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction
concrete,concrete,"('concrete', 'JJ')",concret,concrete,introduction
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction
heart,heart,"('heart', 'NN')",heart,heart,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
north,north,"('north', 'RB')",north,north,introduction
important,important,"('important', 'JJ')",import,important,introduction
port,port,"('port', 'NN')",port,port,introduction
Santos,santos,"('santos', 'NNS')",santo,santos,introduction
especially,especially,"('especially', 'RB')",especi,especially,introduction
Ilhabela,ilhabela,"('ilhabela', 'JJ')",ilhabela,ilhabela,introduction
rival,rival,"('rival', 'JJ')",rival,rival,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
best,best,"('best', 'RBS')",best,best,introduction
south,south,"('south', 'NN')",south,south,introduction
near,near,"('near', 'IN')",near,near,introduction
Iguape,iguape,"('iguape', 'NN')",iguap,iguape,introduction
Cananéia,cananéia,"('cananéia', 'NN')",cananéia,cananéia,introduction
remain,remain,"('remain', 'VBP')",remain,remain,introduction
relatively,relatively,"('relatively', 'RB')",rel,relatively,introduction
unspoiled,unspoiled,"('unspoiled', 'JJ')",unspoil,unspoiled,introduction
Inland,inland,"('inland', 'VBP')",inland,inland,introduction
state,state,"('state', 'NN')",state,state,introduction
dominated,dominated,"('dominated', 'VBN')",domin,dominate,introduction
agribusiness,agribusiness,"('agribusiness', 'NN')",agribusi,agribusiness,introduction
seemingly,seemingly,"('seemingly', 'RB')",seemingli,seemingly,introduction
endless,endless,"('endless', 'JJ')",endless,endless,introduction
fields,fields,"('fields', 'NNS')",field,field,introduction
cattle,cattle,"('cattle', 'JJ')",cattl,cattle,introduction
pasture,pasture,"('pasture', 'NN')",pastur,pasture,introduction
sugar,sugar,"('sugar', 'NN')",sugar,sugar,introduction
cane,cane,"('cane', 'NN')",cane,cane,introduction
oranges,oranges,"('oranges', 'NNS')",orang,orange,introduction
soya,soya,"('soya', 'NNS')",soya,soya,introduction
interspersed,interspersed,"('interspersed', 'VBN')",interspers,intersperse,introduction
anonymous,anonymous,"('anonymous', 'JJ')",anonym,anonymous,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,introduction
produce,produce,"('produce', 'NN')",produc,produce,introduction
processed,processed,"('processed', 'VBN')",process,process,introduction
additionally,additionally,"('additionally', 'RB')",addit,additionally,introduction
impressive,impressive,"('impressive', 'JJ')",impress,impressive,introduction
fazenda,fazenda,"('fazenda', 'NN')",fazenda,fazenda,introduction
houses,houses,"('houses', 'NNS')",hous,house,introduction
remain,remain,"('remain', 'VBP')",remain,remain,introduction
legacies,legacies,"('legacies', 'NNS')",legaci,legacy,introduction
days,days,"('days', 'NNS')",day,day,introduction
São,são,"('são', 'NN')",são,são,introduction
Paulo,paulo,"('paulo', 'VBZ')",paulo,paulo,introduction
economy,economy,"('economy', 'NN')",economi,economy,introduction
was,was,"('was', 'VBD')",wa,be,introduction
pretty,pretty,"('pretty', 'RB')",pretti,pretty,introduction
well,well,"('well', 'RB')",well,well,introduction
synonymous,synonymous,"('synonymous', 'JJ')",synonym,synonymous,introduction
coffee,coffee,"('coffee', 'NN')",coffe,coffee,introduction
production,production,"('production', 'NN')",product,production,introduction
escape,escape,"('escape', 'VB')",escap,escape,introduction
scorching,scorching,"('scorching', 'VBG')",scorch,scorch,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
temperatures,temperatures,"('temperatures', 'NNS')",temperatur,temperature,introduction
novelty,novelty,"('novelty', 'NN')",novelti,novelty,introduction
tropical,tropical,"('tropical', 'JJ')",tropic,tropical,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
winter,winter,"('winter', 'NN')",winter,winter,introduction
chill,chill,"('chill', 'NN')",chill,chill,introduction
head,head,"('head', 'VB')",head,head,introduction
Campos,campos,"('campos', 'VB')",campo,campos,introduction
Jordão,jordão,"('jordão', 'DT')",jordão,jordão,introduction
one,one,"('one', 'CD')",one,one,introduction
country,country,"('country', 'NN')",countri,country,introduction
highest,highest,"('highest', 'JJS')",highest,high,introduction
settlements,settlements,"('settlements', 'NNS')",settlement,settlement,introduction
kitsch,kitsch,"('kitsch', 'NN')",kitsch,kitsch,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
peculiarly,peculiarly,"('peculiarly', 'JJ')",peculiarli,peculiarly,introduction
Brazilian,brazilian,"('brazilian', 'JJ')",brazilian,brazilian,introduction
lens,lens,"('lens', 'NNS')",len,lens,introduction
Away,away,"('away', 'RB')",away,away,description
São,são,"('são', 'JJ')",são,são,description
Paulo,paulo,"('paulo', 'JJ')",paulo,paulo,description
city,city,"('city', 'NN')",citi,city,description
state,state,"('state', 'NN')",state,state,description
main,main,"('main', 'JJ')",main,main,description
attraction,attraction,"('attraction', 'NN')",attract,attraction,description
coastline,coastline,"('coastline', 'JJ')",coastlin,coastline,description
Santos,santos,"('santos', 'NN')",santo,santos,description
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,description
leading,leading,"('leading', 'VBG')",lead,lead,description
port,port,"('port', 'NN')",port,port,description
retains,retains,"('retains', 'VBZ')",retain,retain,description
many,many,"('many', 'JJ')",mani,many,description
links,links,"('links', 'NNS')",link,link,description
past,past,"('past', 'NN')",past,past,description
number,number,"('number', 'NN')",number,number,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
stretching,stretching,"('stretching', 'VBG')",stretch,stretch,description
north,north,"('north', 'NN')",north,north,description
south,south,"('south', 'NN')",south,south,description
city,city,"('city', 'NN')",citi,city,description
stunning,stunning,"('stunning', 'VBG')",stun,stun,description
particularly,particularly,"('particularly', 'RB')",particularli,particularly,description
around,around,"('around', 'IN')",around,around,description
Ubatuba,ubatuba,"('ubatuba', 'IN')",ubatuba,ubatuba,description
towns,towns,"('towns', 'NNS')",town,town,description
cities,cities,"('cities', 'NNS')",citi,city,description
state,state,"('state', 'NN')",state,state,description
interior,interior,"('interior', 'NN')",interior,interior,description
great,great,"('great', 'JJ')",great,great,description
attraction,attraction,"('attraction', 'NN')",attract,attraction,description
rolling,rolling,"('rolling', 'VBG')",roll,roll,description
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,description
largely,largely,"('largely', 'RB')",larg,largely,description
devoted,devoted,"('devoted', 'VBN')",devot,devote,description
vast,vast,"('vast', 'VB')",vast,vast,description
orange,orange,"('orange', 'NN')",orang,orange,description
groves,groves,"('groves', 'NNS')",grove,grove,description
fields,fields,"('fields', 'NNS')",field,field,description
soya,soya,"('soya', 'NN')",soya,soya,description
sugar,sugar,"('sugar', 'NN')",sugar,sugar,description
Fortunately,fortunately,"('fortunately', 'RB')",fortun,fortunately,description
roads,roads,"('roads', 'NNS')",road,road,description
run,run,"('run', 'VBP')",run,run,description
this,this,"('this', 'DT')",thi,this,description
region,region,"('region', 'NN')",region,region,description
including,including,"('including', 'VBG')",includ,include,description
major,major,"('major', 'JJ')",major,major,description
routes,routes,"('routes', 'NNS')",rout,route,description
Mato,mato,"('mato', 'NN')",mato,mato,description
