token,normed_token,pos_tags,stemmed_token,lemma_token,class
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
agreeable,agreeable,"('agreeable', 'JJ')",agreeabl,agreeable,introduction
climate,climate,"('climate', 'NN')",climat,climate,introduction
region,region,"('region', 'NN')",region,region,introduction
hot,hot,"('hot', 'JJ')",hot,hot,introduction
sunny,sunny,"('sunny', 'JJ')",sunni,sunny,introduction
blistering,blistering,"('blistering', 'VBG')",blister,blister,introduction
elsewhere,elsewhere,"('elsewhere', 'RB')",elsewher,elsewhere,introduction
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
long,long,"('long', 'RB')",long,long,introduction
one,one,"('one', 'CD')",one,one,introduction
country,country,"('country', 'NN')",countri,country,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction
foreign,foreign,"('foreign', 'JJ')",foreign,foreign,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
Constituting,constituting,"('constituting', 'VBG')",constitut,constitute,introduction
third,third,"('third', 'JJ')",third,third,introduction
Northeast,northeast,"('northeast', 'NN')",northeast,northeast,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
sits,sits,"('sits', 'VBZ')",sit,sit,introduction
south,south,"('south', 'NN')",south,south,introduction
area,area,"('area', 'NN')",area,area,introduction
states,states,"('states', 'NNS')",state,state,introduction
heart,heart,"('heart', 'NN')",heart,heart,introduction
Chapada,chapada,"('chapada', 'JJ')",chapada,chapada,introduction
Diamantina,diamantina,"('diamantina', 'NN')",diamantina,diamantina,introduction
Mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
offering,offering,"('offering', 'VBG')",offer,offer,introduction
breathtaking,breathtaking,"('breathtaking', 'VBG')",breathtak,breathtaking,introduction
trekking,trekking,"('trekking', 'NN')",trek,trekking,introduction
climbing,climbing,"('climbing', 'VBG')",climb,climb,introduction
opportunities,opportunities,"('opportunities', 'NNS')",opportun,opportunity,introduction
north,north,"('north', 'NN')",north,north,introduction
massive,massive,"('massive', 'JJ')",massiv,massive,introduction
São,são,"('são', 'NN')",são,são,introduction
Francisco,francisco,"('francisco', 'NN')",francisco,francisco,introduction
Lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
canoeing,canoeing,"('canoeing', 'VBG')",cano,canoe,introduction
watersports,watersports,"('watersports', 'VBZ')",watersport,watersports,introduction
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,introduction
changes,changes,"('changes', 'NNS')",chang,change,introduction
south,south,"('south', 'NN')",south,south,introduction
state,state,"('state', 'NN')",state,state,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Salvador,salvador,"('salvador', 'NN')",salvador,salvador,introduction
site,site,"('site', 'NN')",site,site,introduction
first,first,"('first', 'JJ')",first,first,introduction
Portuguese,portuguese,"('portuguese', 'JJ')",portugues,portuguese,introduction
landings,landings,"('landings', 'NNS')",land,landing,introduction
mangrove,mangrove,"('mangrove', 'NN')",mangrov,mangrove,introduction
swamps,swamps,"('swamps', 'NNS')",swamp,swamp,introduction
island,island,"('island', 'NN')",island,island,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
around,around,"('around', 'IN')",around,around,introduction
town,town,"('town', 'NN')",town,town,introduction
Valença,valença,"('valença', 'NN')",valença,valença,introduction
before,before,"('before', 'IN')",befor,before,introduction
reverting,reverting,"('reverting', 'VBG')",revert,revert,introduction
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction
string,string,"('string', 'NN')",string,string,introduction
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
including,including,"('including', 'VBG')",includ,include,introduction
Santo,santo,"('santo', 'NN')",santo,santo,introduction
Amaro,amaro,"('amaro', 'NN')",amaro,amaro,introduction
Cachoeira,cachoeira,"('cachoeira', 'NN')",cachoeira,cachoeira,introduction
also,also,"('also', 'RB')",also,also,introduction
lie,lie,"('lie', 'RB')",lie,lie,introduction
within,within,"('within', 'IN')",within,within,introduction
striking,striking,"('striking', 'VBG')",strike,strike,introduction
distance,distance,"('distance', 'NN')",distanc,distance,introduction
Salvador,salvador,"('salvador', 'NN')",salvador,salvador,introduction
south,south,"('south', 'JJ')",south,south,introduction
Ilhéus,ilhéus,"('ilhéus', 'NN')",ilhéu,ilhéus,introduction
thriving,thriving,"('thriving', 'JJ')",thrive,thriving,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
Porto,porto,"('porto', 'JJ')",porto,porto,introduction
Seguro,seguro,"('seguro', 'NN')",seguro,seguro,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
early,early,"('early', 'JJ')",earli,early,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
even,even,"('even', 'RB')",even,even,introduction
Salvador,salvador,"('salvador', 'VBD')",salvador,salvador,introduction
Beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,introduction
comprises,comprises,"('comprises', 'VBZ')",compris,comprise,introduction
vast,vast,"('vast', 'JJ')",vast,vast,introduction
western,western,"('western', 'JJ')",western,western,introduction
sector,sector,"('sector', 'NN')",sector,sector,introduction
landscape,landscape,"('landscape', 'VB')",landscap,landscape,introduction
Bahian,bahian,"('bahian', 'JJ')",bahian,bahian,introduction
sertão,sertão,"('sertão', 'NN')",sertão,sertão,introduction
massive,massive,"('massive', 'JJ')",massiv,massive,introduction
land,land,"('land', 'NN')",land,land,introduction
supports,supports,"('supports', 'VBZ')",support,support,introduction
fascinating,fascinating,"('fascinating', 'JJ')",fascin,fascinating,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
bases,bases,"('bases', 'NNS')",base,base,introduction
Jacobina,jacobina,"('jacobina', 'NN')",jacobina,jacobina,introduction
Lençóis,lençóis,"('lençóis', 'NN')",lençói,lençóis,introduction
river,river,"('river', 'NN')",river,river,introduction
terminus,terminus,"('terminus', 'NN')",terminu,terminus,introduction
Ibotirama,ibotirama,"('ibotirama', 'NN')",ibotirama,ibotirama,introduction
three,three,"('three', 'CD')",three,three,introduction
bay,bay,"('bay', 'NN')",bay,bay,description
Salvador,salvador,"('salvador', 'NN')",salvador,salvador,description
was,was,"('was', 'VBD')",wa,be,description
built,built,"('built', 'VBN')",built,build,description
afforded,afforded,"('afforded', 'VBD')",afford,afford,description
settlers,settlers,"('settlers', 'NNS')",settler,settler,description
superb,superb,"('superb', 'JJ')",superb,superb,description
natural,natural,"('natural', 'JJ')",natur,natural,description
anchorage,anchorage,"('anchorage', 'NN')",anchorag,anchorage,description
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,description
lands,lands,"('lands', 'NNS')",land,land,description
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,description
state,state,"('state', 'NN')",state,state,description
ideal,ideal,"('ideal', 'JJ')",ideal,ideal,description
country,country,"('country', 'NN')",countri,country,description
tobacco,tobacco,"('tobacco', 'NN')",tobacco,tobacco,description
plantations,plantations,"('plantations', 'NNS')",plantat,plantation,description
seventeeth,seventeeth,"('seventeeth', 'JJ')",seventeeth,seventeeth,description
century,century,"('century', 'NN')",centuri,century,description
Salvador,salvador,"('salvador', 'NN')",salvador,salvador,description
became,became,"('became', 'VBD')",becam,become,description
centre,centre,"('centre', 'NN')",centr,centre,description
Recôncavo,recôncavo,"('recôncavo', 'NN')",recôncavo,recôncavo,description
richest,richest,"('richest', 'JJS')",richest,rich,description
plantation,plantation,"('plantation', 'NN')",plantat,plantation,description
zone,zone,"('zone', 'NN')",zone,zone,description
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,description
