token,normed_token,pos_tags,stemmed_token,lemma_token,class
many,many,"('many', 'JJ')",mani,many,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
state,state,"('state', 'NN')",state,state,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
Grande,grande,"('grande', 'NN')",grand,grande,introduction
Sul,sul,"('sul', 'VB')",sul,sul,introduction
bordering,bordering,"('bordering', 'VBG')",border,border,introduction
Argentina,argentina,"('argentina', 'NNS')",argentina,argentina,introduction
Uruguay,uruguay,"('uruguay', 'NN')",uruguay,uruguay,introduction
first,first,"('first', 'JJ')",first,first,introduction
last,last,"('last', 'JJ')",last,last,introduction
experience,experience,"('experience', 'NN')",experi,experience,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
parts,parts,"('parts', 'NNS')",part,part,introduction
country,country,"('country', 'NN')",countri,country,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
extremely,extremely,"('extremely', 'RB')",extrem,extremely,introduction
strong,strong,"('strong', 'JJ')",strong,strong,introduction
regional,regional,"('regional', 'JJ')",region,regional,introduction
identity,identity,"('identity', 'NN')",ident,identity,introduction
extent,extent,"('extent', 'NN')",extent,extent,introduction
only,only,"('only', 'JJ')",onli,only,introduction
state,state,"('state', 'NN')",state,state,introduction
possibility,possibility,"('possibility', 'NN')",possibl,possibility,introduction
independence,independence,"('independence', 'NN')",independ,independence,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
discussed,discussed,"('discussed', 'VBN')",discuss,discuss,introduction
Central,central,"('central', 'JJ')",central,central,introduction
government,government,"('government', 'NN')",govern,government,introduction
authority,authority,"('authority', 'NN')",author,authority,introduction
Brazil,brazil,"('brazil', 'JJ')",brazil,brazil,introduction
southernmost,southernmost,"('southernmost', 'NN')",southernmost,southernmost,introduction
state,state,"('state', 'NN')",state,state,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
often,often,"('often', 'RB')",often,often,introduction
weak,weak,"('weak', 'JJ')",weak,weak,introduction
colonial,colonial,"('colonial', 'NN')",coloni,colonial,introduction
era,era,"('era', 'NN')",era,era,introduction
territory,territory,"('territory', 'NN')",territori,territory,introduction
was,was,"('was', 'VBD')",wa,be,introduction
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction
separating,separating,"('separating', 'VBG')",separ,separate,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
