token,normed_token,pos_tags,stemmed_token,lemma_token,class
late,late,"('late', 'JJ')",late,late,introduction
small,small,"('small', 'JJ')",small,small,introduction
state,state,"('state', 'NN')",state,state,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
Grande,grande,"('grande', 'NN')",grand,grande,introduction
Norte,norte,"('norte', 'RB')",nort,norte,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Natal,natal,"('natal', 'NN')",natal,natal,introduction
sleepy,sleepy,"('sleepy', 'RB')",sleepi,sleepy,introduction
conservative,conservative,"('conservative', 'JJ')",conserv,conservative,introduction
backwaters,backwaters,"('backwaters', 'NNS')",backwat,backwater,introduction
rarely,rarely,"('rarely', 'RB')",rare,rarely,introduction
visited,visited,"('visited', 'VBN')",visit,visit,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
little,little,"('little', 'NN')",littl,little,introduction
historical,historical,"('historical', 'JJ')",histor,historical,introduction
interest,interest,"('interest', 'NN')",interest,interest,introduction
among,among,"('among', 'IN')",among,among,introduction
Natal,natal,"('natal', 'JJ')",natal,natal,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
office,office,"('office', 'NN')",offic,office,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
interior,interior,"('interior', 'NN')",interior,interior,introduction
poor,poor,"('poor', 'JJ')",poor,poor,introduction
thinly,thinly,"('thinly', 'RB')",thinli,thinly,introduction
populated,populated,"('populated', 'VBD')",popul,populate,introduction
only,only,"('only', 'JJ')",onli,only,introduction
place,place,"('place', 'NN')",place,place,introduction
any,any,"('any', 'DT')",ani,any,introduction
size,size,"('size', 'NN')",size,size,introduction
town,town,"('town', 'NN')",town,town,introduction
Mossoró,mossoró,"('mossoró', 'NNS')",mossoró,mossoró,introduction
two,two,"('two', 'CD')",two,two,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
transformed,transformed,"('transformed', 'VBN')",transform,transform,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
Grande,grande,"('grande', 'NN')",grand,grande,introduction
Norte,norte,"('norte', 'RB')",nort,norte,introduction
one,one,"('one', 'CD')",one,one,introduction
Northeast,northeast,"('northeast', 'NN')",northeast,northeast,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction
tourist,tourist,"('tourist', 'NN')",tourist,tourist,introduction
