token,normed_token,pos_tags,stemmed_token,lemma_token,class
Espírito,espírito,"('espírito', 'NN')",espírito,espírito,introduction
Santo,santo,"('santo', 'VBZ')",santo,santo,introduction
compact,compact,"('compact', 'JJ')",compact,compact,introduction
combination,combination,"('combination', 'NN')",combin,combination,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
one,one,"('one', 'CD')",one,one,introduction
smallest,smallest,"('smallest', 'JJS')",smallest,small,introduction
states,states,"('states', 'NNS')",state,state,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
population,population,"('population', 'NN')",popul,population,introduction
only,only,"('only', 'JJ')",onli,only,introduction
million,million,"('million', 'CD')",million,million,introduction
Minas,minas,"('minas', 'JJ')",mina,minas,introduction
Gerais,gerais,"('gerais', 'NN')",gerai,gerais,introduction
main,main,"('main', 'JJ')",main,main,introduction
outlet,outlet,"('outlet', 'NN')",outlet,outlet,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
strategically,strategically,"('strategically', 'RB')",strateg,strategically,introduction
very,very,"('very', 'RB')",veri,very,introduction
important,important,"('important', 'JJ')",import,important,introduction
iron,iron,"('iron', 'NN')",iron,iron,introduction
ore,ore,"('ore', 'NN')",ore,ore,introduction
exported,exported,"('exported', 'VBN')",export,export,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Vitória,vitória,"('vitória', 'NN')",vitória,vitória,introduction
any,any,"('any', 'DT')",ani,any,introduction
port,port,"('port', 'NN')",port,port,introduction
world,world,"('world', 'NN')",world,world,introduction
surprisingly,surprisingly,"('surprisingly', 'RB')",surprisingli,surprisingly,introduction
preponderance,preponderance,"('preponderance', 'NN')",preponder,preponderance,introduction
docks,docks,"('docks', 'NNS')",dock,dock,introduction
rail,rail,"('rail', 'VBP')",rail,rail,introduction
yards,yards,"('yards', 'NNS')",yard,yard,introduction
smelters,smelters,"('smelters', 'NNS')",smelter,smelter,introduction
limits,limits,"('limits', 'VBZ')",limit,limit,introduction
city,city,"('city', 'NN')",citi,city,introduction
tourist,tourist,"('tourist', 'VBP')",tourist,tourist,introduction
potential,potential,"('potential', 'JJ')",potenti,potential,introduction
despite,despite,"('despite', 'IN')",despit,despite,introduction
fine,fine,"('fine', 'JJ')",fine,fine,introduction
natural,natural,"('natural', 'JJ')",natur,natural,introduction
location,location,"('location', 'NN')",locat,location,introduction
mineiro,mineiro,"('mineiro', 'NN')",mineiro,mineiro,introduction
Espírito,espírito,"('espírito', 'NN')",espírito,espírito,introduction
Santo,santo,"('santo', 'NN')",santo,santo,introduction
means,means,"('means', 'VBZ')",mean,mean,introduction
only,only,"('only', 'RB')",onli,only,introduction
one,one,"('one', 'CD')",one,one,introduction
thing,thing,"('thing', 'NN')",thing,thing,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
During,during,"('during', 'IN')",dure,during,introduction
weekends,weekends,"('weekends', 'NNS')",weekend,weekend,introduction
holiday,holiday,"('holiday', 'JJ')",holiday,holiday,introduction
seasons,seasons,"('seasons', 'NNS')",season,season,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
flock,flock,"('flock', 'VBP')",flock,flock,introduction
take,take,"('take', 'VB')",take,take,introduction
waters,waters,"('waters', 'NNS')",water,water,introduction
tending,tending,"('tending', 'VBG')",tend,tend,introduction
concentrate,concentrate,"('concentrate', 'VB')",concentr,concentrate,introduction
stretch,stretch,"('stretch', 'NN')",stretch,stretch,introduction
immediately,immediately,"('immediately', 'RB')",immedi,immediately,introduction
south,south,"('south', 'JJ')",south,south,introduction
Vitória,vitória,"('vitória', 'NNS')",vitória,vitória,introduction
especially,especially,"('especially', 'RB')",especi,especially,introduction
large,large,"('large', 'JJ')",larg,large,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
town,town,"('town', 'NN')",town,town,introduction
Guarapari,guarapari,"('guarapari', 'NN')",guarapari,guarapari,introduction
best,best,"('best', 'JJS')",best,best,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
however,however,"('however', 'RB')",howev,however,introduction
lie,lie,"('lie', 'VBP')",lie,lie,introduction
strip,strip,"('strip', 'NN')",strip,strip,introduction
coastline,coastline,"('coastline', 'JJ')",coastlin,coastline,introduction
south,south,"('south', 'NN')",south,south,introduction
Guarapari,guarapari,"('guarapari', 'NN')",guarapari,guarapari,introduction
north,north,"('north', 'NN')",north,north,introduction
state,state,"('state', 'NN')",state,state,introduction
heading,heading,"('heading', 'NN')",head,heading,introduction
towards,towards,"('towards', 'NNS')",toward,towards,introduction
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,introduction
Espírito,espírito,"('espírito', 'NN')",espírito,espírito,description
Santo,santo,"('santo', 'NN')",santo,santo,description
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,description
basically,basically,"('basically', 'RB')",basic,basically,description
one,one,"('one', 'CD')",one,one,description
long,long,"('long', 'JJ')",long,long,description
beach,beach,"('beach', 'NN')",beach,beach,description
length,length,"('length', 'NN')",length,length,description
state,state,"('state', 'NN')",state,state,description
sandwiched,sandwiched,"('sandwiched', 'VBD')",sandwich,sandwich,description
Rio,rio,"('rio', 'NN')",rio,rio,description
Bahia,bahia,"('bahia', 'NN')",bahia,bahia,description
rights,rights,"('rights', 'NNS')",right,right,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
stunning,stunning,"('stunning', 'VBG')",stun,stun,description
reality,reality,"('reality', 'NN')",realiti,reality,description
rather,rather,"('rather', 'RB')",rather,rather,description
different,different,"('different', 'JJ')",differ,different,description
wide,wide,"('wide', 'JJ')",wide,wide,description
coastal,coastal,"('coastal', 'NN')",coastal,coastal,description
plain,plain,"('plain', 'NN')",plain,plain,description
along,along,"('along', 'IN')",along,along,description
state,state,"('state', 'NN')",state,state,description
exceptions,exceptions,"('exceptions', 'NNS')",except,exception,description
