token,normed_token,pos_tags,stemmed_token,lemma_token,class
impressive,impressive,"('impressive', 'JJ')",impress,impressive,introduction
way,way,"('way', 'NN')",way,way,introduction
approach,approach,"('approach', 'VB')",approach,approach,introduction
Belo,belo,"('belo', 'NN')",belo,belo,introduction
Horizonte,horizonte,"('horizonte', 'NN')",horizont,horizonte,introduction
south,south,"('south', 'NN')",south,south,introduction
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
Serra,serra,"('serra', 'NN')",serra,serra,introduction
Espinhaço,espinhaço,"('espinhaço', 'VB')",espinhaço,espinhaço,introduction
road,road,"('road', 'NN')",road,road,introduction
winds,winds,"('winds', 'VBZ')",wind,wind,introduction
back,back,"('back', 'RB')",back,back,introduction
forth,forth,"('forth', 'NN')",forth,forth,introduction
before,before,"('before', 'IN')",befor,before,introduction
finally,finally,"('finally', 'RB')",final,finally,introduction
cresting,cresting,"('cresting', 'VBG')",crest,crest,introduction
ridge,ridge,"('ridge', 'NN')",ridg,ridge,introduction
entire,entire,"('entire', 'JJ')",entir,entire,introduction
city,city,"('city', 'NN')",citi,city,introduction
set,set,"('set', 'VBN')",set,set,introduction
before,before,"('before', 'IN')",befor,before,introduction
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction
sight,sight,"('sight', 'NN')",sight,sight,introduction
Belo,belo,"('belo', 'JJ')",belo,belo,introduction
Horizonte,horizonte,"('horizonte', 'NN')",horizont,horizonte,introduction
sprawls,sprawls,"('sprawls', 'NN')",sprawl,sprawl,introduction
enormous,enormous,"('enormous', 'JJ')",enorm,enormous,introduction
bowl,bowl,"('bowl', 'NN')",bowl,bowl,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,introduction
favelas,favelas,"('favelas', 'NNS')",favela,favelas,introduction
industrial,industrial,"('industrial', 'JJ')",industri,industrial,introduction
suburbs,suburbs,"('suburbs', 'NNS')",suburb,suburb,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
jagged,jagged,"('jagged', 'JJ')",jag,jagged,introduction
skyline,skyline,"('skyline', 'NN')",skylin,skyline,introduction
Serra,serra,"('serra', 'NN')",serra,serra,introduction
Espinhaço,espinhaço,"('espinhaço', 'VB')",espinhaço,espinhaço,introduction
gave,gave,"('gave', 'VBD')",gave,give,introduction
city,city,"('city', 'NN')",citi,city,introduction
name,name,"('name', 'NN')",name,name,introduction
always,always,"('always', 'RB')",alway,always,introduction
visible,visible,"('visible', 'JJ')",visibl,visible,introduction
horizon,horizon,"('horizon', 'NN')",horizon,horizon,introduction
still,still,"('still', 'RB')",still,still,introduction
transformed,transformed,"('transformed', 'VBN')",transform,transform,introduction
mines,mines,"('mines', 'NNS')",mine,mine,introduction
