token,normed_token,pos_tags,stemmed_token,lemma_token,class
southern,southern,"('southern', 'JJ')",southern,southern,introduction
gateway,gateway,"('gateway', 'NN')",gateway,gateway,introduction
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction
Cuiabá,cuiabá,"('cuiabá', 'NN')",cuiabá,cuiabá,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
always,always,"('always', 'RB')",alway,always,introduction
firmly,firmly,"('firmly', 'RB')",firmli,firmly,introduction
edge,edge,"('edge', 'NN')",edg,edge,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction
Following,following,"('following', 'VBG')",follow,follow,introduction
discovery,discovery,"('discovery', 'NN')",discoveri,discovery,introduction
gold,gold,"('gold', 'JJ')",gold,gold,introduction
field,field,"('field', 'NN')",field,field,introduction
one,one,"('one', 'CD')",one,one,introduction
version,version,"('version', 'NN')",version,version,introduction
town,town,"('town', 'NN')",town,town,introduction
name,name,"('name', 'NN')",name,name,introduction
means,means,"('means', 'VBZ')",mean,mean,introduction
river,river,"('river', 'NN')",river,river,introduction
stars,stars,"('stars', 'NNS')",star,star,introduction
town,town,"('town', 'NN')",town,town,introduction
mushroomed,mushroomed,"('mushroomed', 'VBD')",mushroom,mushroom,introduction
administrative,administrative,"('administrative', 'JJ')",administr,administrative,introduction
service,service,"('service', 'NN')",servic,service,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
middle,middle,"('middle', 'NN')",middl,middle,introduction
Indian,indian,"('indian', 'JJ')",indian,indian,introduction
territory,territory,"('territory', 'NN')",territori,territory,introduction
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,introduction
very,very,"('very', 'RB')",veri,very,introduction
slow,slow,"('slow', 'JJ')",slow,slow,introduction
overland,overland,"('overland', 'NN')",overland,overland,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
any,any,"('any', 'DT')",ani,any,introduction
Portuguese,portuguese,"('portuguese', 'JJ')",portugues,portuguese,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
south,south,"('south', 'JJ')",south,south,introduction
lay,lay,"('lay', 'VBD')",lay,lay,introduction
Pantanal,pantanal,"('pantanal', 'NN')",pantan,pantanal,introduction
dreaded,dreaded,"('dreaded', 'JJ')",dread,dreaded,introduction
Paiaguá,paiaguá,"('paiaguá', 'NN')",paiaguá,paiaguá,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
frequently,frequently,"('frequently', 'RB')",frequent,frequently,introduction
ambushed,ambushed,"('ambushed', 'VBD')",ambush,ambush,introduction
convoys,convoys,"('convoys', 'NNS')",convoy,convoy,introduction
boats,boats,"('boats', 'NNS')",boat,boat,introduction
transporting,transporting,"('transporting', 'VBG')",transport,transport,introduction
Cuiabá,cuiabá,"('cuiabá', 'NN')",cuiabá,cuiabá,introduction
gold,gold,"('gold', 'NN')",gold,gold,introduction
river,river,"('river', 'NN')",river,river,introduction
São,são,"('são', 'VB')",são,são,introduction
Paulo,paulo,"('paulo', 'VB')",paulo,paulo,introduction
fierce,fierce,"('fierce', 'JJ')",fierc,fierce,introduction
Bororo,bororo,"('bororo', 'NN')",bororo,bororo,introduction
tribe,tribe,"('tribe', 'NN')",tribe,tribe,introduction
dominated,dominated,"('dominated', 'VBD')",domin,dominate,introduction
Mato,mato,"('mato', 'NN')",mato,mato,introduction
Grosso,grosso,"('grosso', 'NN')",grosso,grosso,introduction
east,east,"('east', 'NN')",east,east,introduction
Cuiabá,cuiabá,"('cuiabá', 'NN')",cuiabá,cuiabá,introduction
also,also,"('also', 'RB')",also,also,introduction
regularly,regularly,"('regularly', 'RB')",regularli,regularly,introduction
attacked,attacked,"('attacked', 'VBD')",attack,attack,introduction
many,many,"('many', 'JJ')",mani,many,introduction
mining,mining,"('mining', 'NN')",mine,mining,introduction
settlements,settlements,"('settlements', 'NNS')",settlement,settlement,introduction
Northwest,northwest,"('northwest', 'RB')",northwest,northwest,introduction
along,along,"('along', 'IN')",along,along,introduction
high,high,"('high', 'JJ')",high,high,introduction
hilly,hilly,"('hilly', 'RB')",hilli,hilly,introduction
ridge,ridge,"('ridge', 'VBP')",ridg,ridge,introduction
Chapada,chapada,"('chapada', 'NN')",chapada,chapada,introduction
Parecis,parecis,"('parecis', 'NN')",pareci,parecis,introduction
carries,carries,"('carries', 'VBZ')",carri,carry,introduction
Porto,porto,"('porto', 'VB')",porto,porto,introduction
Velho,velho,"('velho', 'NN')",velho,velho,introduction
lived,lived,"('lived', 'VBD')",live,live,introduction
peaceful,peaceful,"('peaceful', 'JJ')",peac,peaceful,introduction
Parecis,parecis,"('parecis', 'NN')",pareci,parecis,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
farmers,farmers,"('farmers', 'NNS')",farmer,farmer,introduction
watershed,watershed,"('watershed', 'NN')",watersh,watershed,introduction
Amazon,amazon,"('amazon', 'NN')",amazon,amazon,introduction
Pantanal,pantanal,"('pantanal', 'JJ')",pantan,pantanal,introduction
however,however,"('however', 'RB')",howev,however,introduction
Indians,indians,"('indians', 'NNS')",indian,indian,introduction
within,within,"('within', 'IN')",within,within,introduction
groups,groups,"('groups', 'NNS')",group,group,introduction
either,either,"('either', 'RB')",either,either,introduction
eliminated,eliminated,"('eliminated', 'VBN')",elimin,eliminate,introduction
transformed,transformed,"('transformed', 'VBN')",transform,transform,introduction
allies,allies,"('allies', 'NNS')",alli,ally,introduction
Parecis,parecis,"('parecis', 'NN')",pareci,parecis,introduction
needed,needed,"('needed', 'VBN')",need,need,introduction
slave,slave,"('slave', 'JJ')",slave,slave,introduction
labour,labour,"('labour', 'NN')",labour,labour,introduction
mines,mines,"('mines', 'NNS')",mine,mine,introduction
Bororo,bororo,"('bororo', 'NN')",bororo,bororo,introduction
either,either,"('either', 'RB')",either,either,introduction
retreated,retreated,"('retreated', 'VBD')",retreat,retreat,introduction
forest,forest,"('forest', 'JJS')",forest,forest,introduction
joined,joined,"('joined', 'VBD')",join,join,introduction
Portuguese,portuguese,"('portuguese', 'NN')",portugues,portuguese,introduction
mercenaries,mercenaries,"('mercenaries', 'NNS')",mercenari,mercenary,introduction
Indian,indian,"('indian', 'JJ')",indian,indian,introduction
hunters,hunters,"('hunters', 'NNS')",hunter,hunter,introduction
Paiaguá,paiaguá,"('paiaguá', 'NN')",paiaguá,paiaguá,introduction
fared,fared,"('fared', 'VBD')",fare,fare,introduction
worst,worst,"('worst', 'JJS')",worst,bad,introduction
almost,almost,"('almost', 'RB')",almost,almost,introduction
completely,completely,"('completely', 'RB')",complet,completely,introduction
wiped,wiped,"('wiped', 'VBN')",wipe,wipe,introduction
