token,normed_token,pos_tags,stemmed_token,lemma_token,class
Although,although,"('although', 'IN')",although,although,introduction
Big,big,"('big', 'JJ')",big,big,introduction
Island,island,"('island', 'NN')",island,island,introduction
Hawaii,hawaii,"('hawaii', 'NN')",hawaii,hawaii,introduction
could,could,"('could', 'MD')",could,could,introduction
hold,hold,"('hold', 'VB')",hold,hold,introduction
islands,islands,"('islands', 'NNS')",island,island,introduction
room,room,"('room', 'NN')",room,room,introduction
spare,spare,"('spare', 'VB')",spare,spare,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
population,population,"('population', 'NN')",popul,population,introduction
town,town,"('town', 'NN')",town,town,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction
half,half,"('half', 'DT')",half,half,introduction
held,held,"('held', 'VBD')",held,hold,introduction
Captain,captain,"('captain', 'NN')",captain,captain,introduction
Cook,cook,"('cook', 'NN')",cook,cook,introduction
day,day,"('day', 'NN')",day,day,introduction
Visitation,visitation,"('visitation', 'NN')",visit,visitation,introduction
remains,remains,"('remains', 'VBZ')",remain,remain,introduction
lower,lower,"('lower', 'JJR')",lower,low,introduction
Oahu,oahu,"('oahu', 'NN')",oahu,oahu,introduction
Maui,maui,"('maui', 'VB')",maui,maui,introduction
despite,despite,"('despite', 'IN')",despit,despite,introduction
fair,fair,"('fair', 'JJ')",fair,fair,introduction
share,share,"('share', 'NN')",share,share,introduction
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction
bars,bars,"('bars', 'NNS')",bar,bar,introduction
facilities,facilities,"('facilities', 'NNS')",facil,facility,introduction
this,this,"('this', 'DT')",thi,this,introduction
basically,basically,"('basically', 'RB')",basic,basically,introduction
rural,rural,"('rural', 'JJ')",rural,rural,introduction
community,community,"('community', 'NN')",commun,community,introduction
sleepy,sleepy,"('sleepy', 'NN')",sleepi,sleepy,introduction
old,old,"('old', 'JJ')",old,old,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
remained,remained,"('remained', 'VBN')",remain,remain,introduction
unchanged,unchanged,"('unchanged', 'JJ')",unchang,unchanged,introduction
century,century,"('century', 'NN')",centuri,century,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
built,built,"('built', 'VBN')",built,build,introduction
barren,barren,"('barren', 'NN')",barren,barren,introduction
lava,lava,"('lava', 'NN')",lava,lava,introduction
flows,flows,"('flows', 'VBZ')",flow,flow,introduction
Kona,kona,"('kona', 'NN')",kona,kona,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
catch,catch,"('catch', 'VB')",catch,catch,introduction
maximum,maximum,"('maximum', 'JJ')",maximum,maximum,introduction
sunshine,sunshine,"('sunshine', 'NN')",sunshin,sunshine,introduction
Thanks,thanks,"('thanks', 'NNS')",thank,thanks,description
Kilauea,kilauea,"('kilauea', 'NN')",kilauea,kilauea,description
volcano,volcano,"('volcano', 'NN')",volcano,volcano,description
has,has,"('has', 'VBZ')",ha,have,description
destroyed,destroyed,"('destroyed', 'VBN')",destroy,destroy,description
roads,roads,"('roads', 'NNS')",road,road,description
even,even,"('even', 'RB')",even,even,description
towns,towns,"('towns', 'NNS')",town,town,description
spews,spews,"('spews', 'VBZ')",spew,spew,description
pristine,pristine,"('pristine', 'JJ')",pristin,pristine,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
sand,sand,"('sand', 'NN')",sand,sand,description
Big,big,"('big', 'JJ')",big,big,description
Island,island,"('island', 'NN')",island,island,description
still,still,"('still', 'RB')",still,still,description
growing,growing,"('growing', 'VBG')",grow,grow,description
southern,southern,"('southern', 'JJ')",southern,southern,description
shore,shore,"('shore', 'NN')",shore,shore,description
inching,inching,"('inching', 'VBG')",inch,inch,description
ever,ever,"('ever', 'RB')",ever,ever,description
sea,sea,"('sea', 'VB')",sea,sea,description
Hawaii,hawaii,"('hawaii', 'NN')",hawaii,hawaii,description
Volcanoes,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,description
National,national,"('national', 'JJ')",nation,national,description
Park,park,"('park', 'NN')",park,park,description
includes,includes,"('includes', 'VBZ')",includ,include,description
Mauna,mauna,"('mauna', 'NN')",mauna,mauna,description
Loa,loa,"('loa', 'NN')",loa,loa,description
