token,normed_token,pos_tags,stemmed_token,lemma_token,class
Paraná,paraná,"('paraná', 'NN')",paraná,paraná,introduction
immediately,immediately,"('immediately', 'RB')",immedi,immediately,introduction
south,south,"('south', 'NN')",south,south,introduction
São,são,"('são', 'NN')",são,são,introduction
Paulo,paulo,"('paulo', 'NN')",paulo,paulo,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
become,become,"('become', 'VBN')",becom,become,introduction
one,one,"('one', 'CD')",one,one,introduction
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction
wealthiest,wealthiest,"('wealthiest', 'JJS')",wealthiest,wealthy,introduction
dynamic,dynamic,"('dynamic', 'JJ')",dynam,dynamic,introduction
states,states,"('states', 'NNS')",state,state,introduction
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,introduction
economy,economy,"('economy', 'NN')",economi,economy,introduction
based,based,"('based', 'VBN')",base,base,introduction
mix,mix,"('mix', 'NN')",mix,mix,introduction
efficient,efficient,"('efficient', 'JJ')",effici,efficient,introduction
family,family,"('family', 'NN')",famili,family,introduction
farms,farms,"('farms', 'NNS')",farm,farm,introduction
highly,highly,"('highly', 'RB')",highli,highly,introduction
capitalized,capitalized,"('capitalized', 'VBN')",capit,capitalize,introduction
larger,larger,"('larger', 'JJR')",larger,large,introduction
land,land,"('land', 'NN')",land,land,introduction
holdings,holdings,"('holdings', 'NNS')",hold,holding,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
industries,industries,"('industries', 'NNS')",industri,industry,introduction
unlike,unlike,"('unlike', 'IN')",unlik,unlike,introduction
many,many,"('many', 'JJ')",mani,many,introduction
parts,parts,"('parts', 'NNS')",part,part,introduction
country,country,"('country', 'NN')",countri,country,introduction
subject,subject,"('subject', 'JJ')",subject,subject,introduction
least,least,"('least', 'JJS')",least,least,introduction
limited,limited,"('limited', 'JJ')",limit,limited,introduction
planning,planning,"('planning', 'NN')",plan,planning,introduction
environmental,environmental,"('environmental', 'JJ')",environment,environmental,introduction
controls,controls,"('controls', 'NNS')",control,control,introduction
state,state,"('state', 'NN')",state,state,introduction
population,population,"('population', 'NN')",popul,population,introduction
ethnically,ethnically,"('ethnically', 'RB')",ethnic,ethnically,introduction
extremely,extremely,"('extremely', 'RB')",extrem,extremely,introduction
diverse,diverse,"('diverse', 'JJ')",divers,diverse,introduction
largely,largely,"('largely', 'RB')",larg,largely,introduction
comprised,comprised,"('comprised', 'VBN')",compris,comprise,introduction
descendants,descendants,"('descendants', 'NNS')",descend,descendant,introduction
immigrants,immigrants,"('immigrants', 'NNS')",immigr,immigrant,introduction
this,this,"('this', 'DT')",thi,this,introduction
combines,combines,"('combines', 'NNS')",combin,combine,introduction
give,give,"('give', 'VB')",give,give,introduction
Paraná,paraná,"('paraná', 'NN')",paraná,paraná,introduction
something,something,"('something', 'NN')",someth,something,introduction
feel,feel,"('feel', 'NN')",feel,feel,introduction
American,american,"('american', 'JJ')",american,american,introduction
Midwestern,midwestern,"('midwestern', 'NN')",midwestern,midwestern,introduction
state,state,"('state', 'NN')",state,state,introduction
transplanted,transplanted,"('transplanted', 'VBD')",transplant,transplant,introduction
subtropics,subtropics,"('subtropics', 'NNS')",subtrop,subtropics,introduction
several,several,"('several', 'JJ')",sever,several,description
decades,decades,"('decades', 'NNS')",decad,decade,description
breaking,breaking,"('breaking', 'VBG')",break,break,description
away,away,"('away', 'RB')",away,away,description
São,são,"('são', 'JJ')",são,são,description
Paulo,paulo,"('paulo', 'NN')",paulo,paulo,description
