token,normed_token,pos_tags,stemmed_token,lemma_token,class
city,city,"('city', 'NN')",citi,city,introduction
ridiculous,ridiculous,"('ridiculous', 'JJ')",ridicul,ridiculous,introduction
think,think,"('think', 'VB')",think,think,introduction
city,city,"('city', 'NN')",citi,city,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
rather,rather,"('rather', 'RB')",rather,rather,introduction
large,large,"('large', 'JJ')",larg,large,introduction
village,village,"('village', 'NN')",villag,village,introduction
set,set,"('set', 'VBN')",set,set,introduction
middle,middle,"('middle', 'NN')",middl,middle,introduction
forest,forest,"('forest', 'NN')",forest,forest,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
wonder,wonder,"('wonder', 'VBP')",wonder,wonder,introduction
thinks,thinks,"('thinks', 'VBZ')",think,think,introduction
looking,looking,"('looking', 'VBG')",look,look,introduction
important,important,"('important', 'JJ')",import,important,introduction
Ingmar,ingmar,"('ingmar', 'NN')",ingmar,ingmar,description
BergmanBroad,bergmanbroad,"('bergmanbroad', 'NN')",bergmanbroad,bergmanbroad,description
boulevards,boulevards,"('boulevards', 'NNS')",boulevard,boulevard,description
lined,lined,"('lined', 'VBN')",line,line,description
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,description
buildings,buildings,"('buildings', 'NNS')",build,building,description
reflected,reflected,"('reflected', 'VBN')",reflect,reflect,description
deep,deep,"('deep', 'JJ')",deep,deep,description
blue,blue,"('blue', 'JJ')",blue,blue,description
water,water,"('water', 'NN')",water,water,description
rows,rows,"('rows', 'NNS')",row,row,description
painted,painted,"('painted', 'VBN')",paint,paint,description
wooden,wooden,"('wooden', 'JJ')",wooden,wooden,description
houseboats,houseboats,"('houseboats', 'NNS')",houseboat,houseboat,description
bob,bob,"('bob', 'VBP')",bob,bob,description
gently,gently,"('gently', 'RB')",gentli,gently,description
alongside,alongside,"('alongside', 'IN')",alongsid,alongside,description
cobbled,cobbled,"('cobbled', 'JJ')",cobbl,cobbled,description
waterfront,waterfront,"('waterfront', 'NN')",waterfront,waterfront,description
Yet,yet,"('yet', 'RB')",yet,yet,description
Stockholm,stockholm,"('stockholm', 'VBN')",stockholm,stockholm,description
also,also,"('also', 'RB')",also,also,description
metropolis,metropolis,"('metropolis', 'NN')",metropoli,metropolis,description
futuristic,futuristic,"('futuristic', 'JJ')",futurist,futuristic,description
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,description
bustling,bustling,"('bustling', 'VBG')",bustl,bustle,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
heart,heart,"('heart', 'NN')",heart,heart,description
one,one,"('one', 'CD')",one,one,description
world,world,"('world', 'NN')",world,world,description
hottest,hottest,"('hottest', 'JJS')",hottest,hot,description
stateman,stateman,"('stateman', 'NN')",stateman,stateman,description
Birger,birger,"('birger', 'NN')",birger,birger,description
Jarl,jarl,"('jarl', 'NN')",jarl,jarl,description
founded,founded,"('founded', 'VBD')",found,found,description
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,description
attempt,attempt,"('attempt', 'NN')",attempt,attempt,description
secure,secure,"('secure', 'VB')",secur,secure,description
burgeoning,burgeoning,"('burgeoning', 'VBG')",burgeon,burgeon,description
city,city,"('city', 'NN')",citi,city,description
Sigtuna,sigtuna,"('sigtuna', 'NN')",sigtuna,sigtuna,description
maritime,maritime,"('maritime', 'JJ')",maritim,maritime,description
attack,attack,"('attack', 'NN')",attack,attack,description
However,however,"('however', 'RB')",howev,however,description
was,was,"('was', 'VBD')",wa,be,description
vibrant,vibrant,"('vibrant', 'JJ')",vibrant,vibrant,description
trade,trade,"('trade', 'NN')",trade,trade,description
towns,towns,"('towns', 'NNS')",town,town,description
Hanseatic,hanseatic,"('hanseatic', 'JJ')",hanseat,hanseatic,description
League,league,"('league', 'NN')",leagu,league,description
Hamburg,hamburg,"('hamburg', 'NN')",hamburg,hamburg,description
helped,helped,"('helped', 'VBD')",help,help,description
give,give,"('give', 'VB')",give,give,description
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,description
rather,rather,"('rather', 'RB')",rather,rather,description
Sigtuna,sigtuna,"('sigtuna', 'VB')",sigtuna,sigtuna,description
prominent,prominent,"('prominent', 'JJ')",promin,prominent,description
position,position,"('position', 'NN')",posit,position,description
within,within,"('within', 'IN')",within,within,description
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,description
realm,realm,"('realm', 'NN')",realm,realm,description
during,during,"('during', 'IN')",dure,during,description
fourteenth,fourteenth,"('fourteenth', 'NN')",fourteenth,fourteenth,description
fifteenth,fifteenth,"('fifteenth', 'JJ')",fifteenth,fifteenth,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
Following,following,"('following', 'VBG')",follow,follow,description
