token,normed_token,pos_tags,stemmed_token,lemma_token,class
cities,cities,"('cities', 'NNS')",citi,city,introduction
southern,southern,"('southern', 'JJ')",southern,southern,introduction
Sweden,sweden,"('sweden', 'VBP')",sweden,sweden,introduction
grandest,grandest,"('grandest', 'NN')",grandest,grandest,introduction
western,western,"('western', 'JJ')",western,western,introduction
port,port,"('port', 'NN')",port,port,introduction
Gothenburg,gothenburg,"('gothenburg', 'NN')",gothenburg,gothenburg,introduction
Designed,designed,"('designed', 'VBN')",design,design,introduction
Dutch,dutch,"('dutch', 'NN')",dutch,dutch,introduction
country,country,"('country', 'NN')",countri,country,introduction
second,second,"('second', 'JJ')",second,second,introduction
largest,largest,"('largest', 'JJS')",largest,large,introduction
city,city,"('city', 'NN')",citi,city,introduction
boasts,boasts,"('boasts', 'NNS')",boast,boast,introduction
splendid,splendid,"('splendid', 'VBD')",splendid,splendid,introduction
Neoclassical,neoclassical,"('neoclassical', 'JJ')",neoclass,neoclassical,introduction
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction
masses,masses,"('masses', 'NNS')",mass,mass,introduction
parkland,parkland,"('parkland', 'NN')",parkland,parkland,introduction
welcoming,welcoming,"('welcoming', 'NN')",welcom,welcoming,introduction
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction
spirit,spirit,"('spirit', 'NN')",spirit,spirit,introduction
cityscape,cityscape,"('cityscape', 'NN')",cityscap,cityscape,introduction
broad,broad,"('broad', 'JJ')",broad,broad,introduction
avenues,avenues,"('avenues', 'NNS')",avenu,avenue,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
squares,squares,"('squares', 'NNS')",squar,square,introduction
trams,trams,"('trams', 'NNS')",tram,tram,introduction
canals,canals,"('canals', 'NNS')",canal,canal,introduction
only,only,"('only', 'RB')",onli,only,introduction
one,one,"('one', 'CD')",one,one,introduction
prettiest,prettiest,"('prettiest', 'NN')",prettiest,prettiest,introduction
Sweden,sweden,"('sweden', 'NN')",sweden,sweden,introduction
also,also,"('also', 'RB')",also,also,introduction
backdrop,backdrop,"('backdrop', 'NN')",backdrop,backdrop,introduction
Scandinavia,scandinavia,"('scandinavia', 'VB')",scandinavia,scandinavia,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction
seaport,seaport,"('seaport', 'NN')",seaport,seaport,introduction
making,making,"('making', 'VBG')",make,make,introduction
city,city,"('city', 'NN')",citi,city,introduction
truly,truly,"('truly', 'RB')",truli,truly,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,introduction
destination,destination,"('destination', 'NN')",destin,destination,introduction
certain,certain,"('certain', 'JJ')",certain,certain,introduction
resentment,resentment,"('resentment', 'NN')",resent,resentment,introduction
west,west,"('west', 'NN')",west,west,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,introduction
wins,wins,"('wins', 'VBZ')",win,win,introduction
national,national,"('national', 'JJ')",nation,national,introduction
glory,glory,"('glory', 'NN')",glori,glory,introduction
stakes,stakes,"('stakes', 'NNS')",stake,stake,introduction
Gothenburg,gothenburg,"('gothenburg', 'JJ')",gothenburg,gothenburg,introduction
atmosphere,atmosphere,"('atmosphere', 'RB')",atmospher,atmosphere,introduction
closer,closer,"('closer', 'NN')",closer,closer,introduction
proximity,proximity,"('proximity', 'NN')",proxim,proximity,introduction
western,western,"('western', 'JJ')",western,western,introduction
Europe,europe,"('europe', 'NN')",europ,europe,introduction
makes,makes,"('makes', 'VBZ')",make,make,introduction
first,first,"('first', 'JJ')",first,first,introduction
choice,choice,"('choice', 'NN')",choic,choice,introduction
place,place,"('place', 'NN')",place,place,introduction
live,live,"('live', 'VB')",live,live,introduction
many,many,"('many', 'JJ')",mani,many,introduction
Swedes,swedes,"('swedes', 'NNS')",swede,swede,introduction
Talk,talk,"('talk', 'VBP')",talk,talk,introduction
any,any,"('any', 'DT')",ani,any,introduction
Gothenburger,gothenburger,"('gothenburger', 'NN')",gothenburg,gothenburger,introduction
soon,soon,"('soon', 'RB')",soon,soon,introduction
disparage,disparage,"('disparage', 'VB')",disparag,disparage,introduction
frenetic,frenetic,"('frenetic', 'JJ')",frenet,frenetic,introduction
lives,lives,"('lives', 'NNS')",live,life,introduction
telephone,telephone,"('telephone', 'NN')",telephon,telephone,introduction
code,code,"('code', 'NN')",code,code,introduction
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,introduction
Founded,founded,"('founded', 'VBN')",found,found,description
present,present,"('present', 'JJ')",present,present,description
site,site,"('site', 'NN')",site,site,description
seventeenth,seventeenth,"('seventeenth', 'JJ')",seventeenth,seventeenth,description
century,century,"('century', 'NN')",centuri,century,description
Gustav,gustav,"('gustav', 'NN')",gustav,gustav,description
II,ii,"('ii', 'NN')",ii,ii,description
Adolf,adolf,"('adolf', 'NN')",adolf,adolf,description
Gothenburg,gothenburg,"('gothenburg', 'NN')",gothenburg,gothenburg,description
was,was,"('was', 'VBD')",wa,be,description
Swedes,swedes,"('swedes', 'NNS')",swede,swede,description
fifth,fifth,"('fifth', 'VBP')",fifth,fifth,description
attempt,attempt,"('attempt', 'NN')",attempt,attempt,description
create,create,"('create', 'VB')",creat,create,description
centre,centre,"('centre', 'JJ')",centr,centre,description
free,free,"('free', 'JJ')",free,free,description
Danish,danish,"('danish', 'JJ')",danish,danish,description
