token,normed_token,pos_tags,stemmed_token,lemma_token,class
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction
Lapland,lapland,"('lapland', 'VBP')",lapland,lapland,introduction
heartland,heartland,"('heartland', 'NN')",heartland,heartland,introduction
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
Europe,europe,"('europe', 'JJ')",europ,europe,introduction
last,last,"('last', 'JJ')",last,last,introduction
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction
characterized,characterized,"('characterized', 'VBN')",character,characterize,introduction
seemingly,seemingly,"('seemingly', 'RB')",seemingli,seemingly,introduction
endless,endless,"('endless', 'JJ')",endless,endless,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
pine,pine,"('pine', 'NN')",pine,pine,introduction
spruce,spruce,"('spruce', 'VB')",spruce,spruce,introduction
thundering,thundering,"('thundering', 'VBG')",thunder,thunder,introduction
rivers,rivers,"('rivers', 'NNS')",river,river,introduction
drain,drain,"('drain', 'VBP')",drain,drain,introduction
fells,fells,"('fells', 'NNS')",fell,fell,introduction
peaceful,peaceful,"('peaceful', 'JJ')",peac,peaceful,introduction
lakeside,lakeside,"('lakeside', 'NN')",lakesid,lakeside,introduction
villages,villages,"('villages', 'NNS')",villag,village,introduction
high,high,"('high', 'JJ')",high,high,introduction
amongst,amongst,"('amongst', 'IN')",amongst,amongst,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
irresistible,irresistible,"('irresistible', 'JJ')",irresist,irresistible,introduction
allure,allure,"('allure', 'NN')",allur,allure,introduction
this,this,"('this', 'DT')",thi,this,introduction
vast,vast,"('vast', 'JJ')",vast,vast,introduction
sparsely,sparsely,"('sparsely', 'RB')",spars,sparsely,introduction
populated,populated,"('populated', 'JJ')",popul,populated,introduction
region,region,"('region', 'NN')",region,region,introduction
opportunity,opportunity,"('opportunity', 'NN')",opportun,opportunity,introduction
experience,experience,"('experience', 'VB')",experi,experience,introduction
raw,raw,"('raw', 'JJ')",raw,raw,introduction
nature,nature,"('nature', 'NN')",natur,nature,introduction
first,first,"('first', 'JJ')",first,first,introduction
hand,hand,"('hand', 'NN')",hand,hand,introduction
This,this,"('this', 'DT')",thi,this,introduction
unsullied,unsullied,"('unsullied', 'JJ')",unsulli,unsullied,introduction
corner,corner,"('corner', 'NN')",corner,corner,introduction
country,country,"('country', 'NN')",countri,country,introduction
very,very,"('very', 'RB')",veri,very,introduction
long,long,"('long', 'JJ')",long,long,introduction
way,way,"('way', 'NN')",way,way,introduction
away,away,"('away', 'RB')",away,away,introduction
many,many,"('many', 'JJ')",mani,many,introduction
Swedes,swedes,"('swedes', 'NNS')",swede,swede,introduction
terms,terms,"('terms', 'NNS')",term,term,introduction
distance,distance,"('distance', 'NN')",distanc,distance,introduction
Gothenburg,gothenburg,"('gothenburg', 'NN')",gothenburg,gothenburg,introduction
example,example,"('example', 'NN')",exampl,example,introduction
closer,closer,"('closer', 'RBR')",closer,closer,introduction
Venice,venice,"('venice', 'VB')",venic,venice,introduction
Kiruna,kiruna,"('kiruna', 'VB')",kiruna,kiruna,introduction
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction
local,local,"('local', 'JJ')",local,local,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
speaking,speaking,"('speaking', 'VBG')",speak,speak,introduction
mind,mind,"('mind', 'NN')",mind,mind,introduction
alternatively,alternatively,"('alternatively', 'RB')",altern,alternatively,introduction
speaking,speaking,"('speaking', 'VBG')",speak,speak,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
confirmed,confirmed,"('confirmed', 'VBN')",confirm,confirm,introduction
region,region,"('region', 'NN')",region,region,introduction
image,image,"('image', 'NN')",imag,image,introduction
within,within,"('within', 'IN')",within,within,introduction
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,introduction
remote,remote,"('remote', 'NN')",remot,remote,introduction
austere,austere,"('austere', 'RB')",auster,austere,introduction
yet,yet,"('yet', 'RB')",yet,yet,introduction
still,still,"('still', 'RB')",still,still,introduction
rather,rather,"('rather', 'RB')",rather,rather,introduction
fascinating,fascinating,"('fascinating', 'VBG')",fascin,fascinate,introduction
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,description
northwest,northwest,"('northwest', 'JJS')",northwest,northwest,description
Arvidsjaur,arvidsjaur,"('arvidsjaur', 'NN')",arvidsjaur,arvidsjaur,description
towards,towards,"('towards', 'IN')",toward,towards,description
Norwegian,norwegian,"('norwegian', 'JJ')",norwegian,norwegian,description
border,border,"('border', 'NN')",border,border,description
municipality,municipality,"('municipality', 'NN')",municip,municipality,description
