token,normed_token,pos_tags,stemmed_token,lemma_token,class
hour,hour,"('hour', 'NN')",hour,hour,introduction
half,half,"('half', 'NN')",half,half,introduction
Inlandsbanan,inlandsbanan,"('inlandsbanan', 'NN')",inlandsbanan,inlandsbanan,introduction
north,north,"('north', 'NN')",north,north,introduction
Sorsele,sorsele,"('sorsele', 'JJ')",sorsel,sorsele,introduction
ARVIDSJAUR,arvidsjaur,"('arvidsjaur', 'NN')",arvidsjaur,arvidsjaur,introduction
was,was,"('was', 'VBD')",wa,be,introduction
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction
region,region,"('region', 'NN')",region,region,introduction
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,introduction
gathered,gathered,"('gathered', 'VBD')",gather,gather,introduction
trade,trade,"('trade', 'VB')",trade,trade,introduction
debate,debate,"('debate', 'VB')",debat,debate,introduction
presence,presence,"('presence', 'NN')",presenc,presence,introduction
was,was,"('was', 'VBD')",wa,be,introduction
interest,interest,"('interest', 'NN')",interest,interest,introduction
Protestant,protestant,"('protestant', 'VB')",protest,protestant,introduction
missionaries,missionaries,"('missionaries', 'NNS')",missionari,missionary,introduction
established,established,"('established', 'VBD')",establish,establish,introduction
first,first,"('first', 'JJ')",first,first,introduction
church,church,"('church', 'NN')",church,church,introduction
success,success,"('success', 'NN')",success,success,introduction
this,this,"('this', 'DT')",thi,this,introduction
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
was,was,"('was', 'VBD')",wa,be,introduction
secured,secured,"('secured', 'VBN')",secur,secure,introduction
silver,silver,"('silver', 'NN')",silver,silver,introduction
was,was,"('was', 'VBD')",wa,be,introduction
discovered,discovered,"('discovered', 'VBN')",discov,discover,introduction
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
town,town,"('town', 'NN')",town,town,introduction
flourished,flourished,"('flourished', 'VBD')",flourish,flourish,introduction
staging,staging,"('staging', 'NN')",stage,staging,introduction
point,point,"('point', 'NN')",point,point,introduction
supply,supply,"('supply', 'NN')",suppli,supply,introduction
depot,depot,"('depot', 'NN')",depot,depot,introduction
developments,developments,"('developments', 'NNS')",develop,development,introduction
unfolded,unfolded,"('unfolded', 'VBD')",unfold,unfold,introduction
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,introduction
continued,continued,"('continued', 'VBD')",continu,continue,introduction
assemble,assemble,"('assemble', 'VB')",assembl,assemble,introduction
market,market,"('market', 'NN')",market,market,introduction
days,days,"('days', 'NNS')",day,day,introduction
during,during,"('during', 'IN')",dure,during,introduction
religious,religious,"('religious', 'JJ')",religi,religious,introduction
festivals,festivals,"('festivals', 'NNS')",festiv,festival,introduction
end,end,"('end', 'NN')",end,end,introduction
eighteenth,eighteenth,"('eighteenth', 'JJ')",eighteenth,eighteenth,introduction
century,century,"('century', 'NN')",centuri,century,introduction
built,built,"('built', 'VBP')",built,build,introduction
church,church,"('church', 'NN')",church,church,introduction
town,town,"('town', 'NN')",town,town,introduction
simple,simple,"('simple', 'JJ')",simpl,simple,introduction
wooden,wooden,"('wooden', 'NN')",wooden,wooden,introduction
huts,huts,"('huts', 'NNS')",hut,hut,introduction
Today,today,"('today', 'NN')",today,today,introduction
total,total,"('total', 'JJ')",total,total,introduction
population,population,"('population', 'NN')",popul,population,introduction
five,five,"('five', 'CD')",five,five,introduction
thousand,thousand,"('thousand', 'NNS')",thousand,thousand,introduction
still,still,"('still', 'RB')",still,still,introduction
twenty,twenty,"('twenty', 'JJ')",twenti,twenty,introduction
Sámi,sámi,"('sámi', 'JJ')",sámi,sámi,introduction
families,families,"('families', 'NNS')",famili,family,introduction
Arvisdjaur,arvisdjaur,"('arvisdjaur', 'NN')",arvisdjaur,arvisdjaur,introduction
make,make,"('make', 'VBP')",make,make,introduction
living,living,"('living', 'NN')",live,living,introduction
reindeer,reindeer,"('reindeer', 'NN')",reindeer,reindeer,introduction
husbandry,husbandry,"('husbandry', 'NN')",husbandri,husbandry,introduction
town,town,"('town', 'NN')",town,town,introduction
good,good,"('good', 'JJ')",good,good,introduction
place,place,"('place', 'NN')",place,place,introduction
get,get,"('get', 'VB')",get,get,introduction
real,real,"('real', 'JJ')",real,real,introduction
experience,experience,"('experience', 'NN')",experi,experience,introduction
Sámi,sámi,"('sámi', 'JJ')",sámi,sámi,introduction
life,life,"('life', 'NN')",life,life,introduction
Arvidsjaur,arvidsjaur,"('arvidsjaur', 'NN')",arvidsjaur,arvidsjaur,description
one,one,"('one', 'CD')",one,one,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
towns,towns,"('towns', 'NNS')",town,town,description
streets,streets,"('streets', 'NNS')",street,street,description
drab,drab,"('drab', 'NN')",drab,drab,description
houses,houses,"('houses', 'NNS')",hous,house,description
strung,strung,"('strung', 'VBP')",strung,string,description
either,either,"('either', 'DT')",either,either,description
side,side,"('side', 'NN')",side,side,description
main,main,"('main', 'JJ')",main,main,description
drag,drag,"('drag', 'NN')",drag,drag,description
lined,lined,"('lined', 'VBN')",line,line,description
dozen,dozen,"('dozen', 'NN')",dozen,dozen,description
shops,shops,"('shops', 'JJ')",shop,shops,description
make,make,"('make', 'VBP')",make,make,description
pretty,pretty,"('pretty', 'NN')",pretti,pretty,description
depressing,depressing,"('depressing', 'VBG')",depress,depress,description
impression,impression,"('impression', 'NN')",impress,impression,description
any,any,"('any', 'DT')",ani,any,description
visitor,visitor,"('visitor', 'NN')",visitor,visitor,description
However,however,"('however', 'RB')",howev,however,description
although,although,"('although', 'IN')",although,although,description
modern,modern,"('modern', 'JJ')",modern,modern,description
town,town,"('town', 'NN')",town,town,description
decidedly,decidedly,"('decidedly', 'RB')",decidedli,decidedly,description
unappealing,unappealing,"('unappealing', 'JJ')",unapp,unappealing,description
hides,hides,"('hides', 'VBZ')",hide,hide,description
one,one,"('one', 'CD')",one,one,description
northern,northern,"('northern', 'JJ')",northern,northern,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
top,top,"('top', 'JJ')",top,top,description
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,description
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,description
site,site,"('site', 'NN')",site,site,description
Lappstaden,lappstaden,"('lappstaden', 'JJ')",lappstaden,lappstaden,description
Arvidsjaur,arvidsjaur,"('arvidsjaur', 'NN')",arvidsjaur,arvidsjaur,description
also,also,"('also', 'RB')",also,also,description
point,point,"('point', 'NN')",point,point,description
day,day,"('day', 'NN')",day,day,description
trips,trips,"('trips', 'NNS')",trip,trip,description
Båtsuoj,båtsuoj,"('båtsuoj', 'NN')",båtsuoj,båtsuoj,description
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,description
Center,center,"('center', 'NN')",center,center,description
away,away,"('away', 'RB')",away,away,description
northwest,northwest,"('northwest', 'JJS')",northwest,northwest,description
one,one,"('one', 'CD')",one,one,description
best,best,"('best', 'JJS')",best,best,description
places,places,"('places', 'NNS')",place,place,description
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,description
Lapland,lapland,"('lapland', 'NN')",lapland,lapland,description
get,get,"('get', 'VB')",get,get,description
grips,grips,"('grips', 'VB')",grip,grip,description
Sámi,sámi,"('sámi', 'JJ')",sámi,sámi,description
culture,culture,"('culture', 'NN')",cultur,culture,description
good,good,"('good', 'JJ')",good,good,description
way,way,"('way', 'NN')",way,way,description
find,find,"('find', 'VB')",find,find,description
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,description
culture,culture,"('culture', 'NN')",cultur,culture,description
manifests,manifests,"('manifests', 'VBZ')",manifest,manifest,description
travel,travel,"('travel', 'VBP')",travel,travel,description
north,north,"('north', 'RB')",north,north,description
visit,visit,"('visit', 'VB')",visit,visit,description
Lappstaden,lappstaden,"('lappstaden', 'NN')",lappstaden,lappstaden,description
lies,lies,"('lies', 'VBZ')",lie,lie,description
main,main,"('main', 'JJ')",main,main,description
drag,drag,"('drag', 'NN')",drag,drag,description
Storgatan,storgatan,"('storgatan', 'NN')",storgatan,storgatan,description
Although,although,"('although', 'IN')",although,although,description
probably,probably,"('probably', 'RB')",probabl,probably,description
meet,meet,"('meet', 'NN')",meet,meet,description
any,any,"('any', 'DT')",ani,any,description
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,description
least,least,"('least', 'JJS')",least,least,description
able,able,"('able', 'JJ')",abl,able,description
see,see,"('see', 'VB')",see,see,description
used,used,"('used', 'VBD')",use,use,description
live,live,"('live', 'VB')",live,live,description
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,description
huts,huts,"('huts', 'NNS')",hut,hut,description
kåtor,kåtor,"('kåtor', 'NN')",kåtor,kåtor,description
eighty,eighty,"('eighty', 'NN')",eighti,eighty,description
huts,huts,"('huts', 'NNS')",hut,hut,description
Sámi,sámi,"('sámi', 'JJ')",sámi,sámi,description
church,church,"('church', 'NN')",church,church,description
town,town,"('town', 'NN')",town,town,description
survived,survived,"('survived', 'VBN')",surviv,survive,description
clumped,clumped,"('clumped', 'VBN')",clump,clump,description
