token,normed_token,pos_tags,stemmed_token,lemma_token,class
sizeable,sizeable,"('sizeable', 'JJ')",sizeabl,sizeable,introduction
province,province,"('province', 'NN')",provinc,province,introduction
DALARNA,dalarna,"('dalarna', 'NN')",dalarna,dalarna,introduction
takes,takes,"('takes', 'VBZ')",take,take,introduction
only,only,"('only', 'RB')",onli,only,introduction
area,area,"('area', 'NN')",area,area,introduction
around,around,"('around', 'IN')",around,around,introduction
Lake,lake,"('lake', 'JJ')",lake,lake,introduction
Siljan,siljan,"('siljan', 'NN')",siljan,siljan,introduction
also,also,"('also', 'RB')",also,also,introduction
ski,ski,"('ski', 'JJ')",ski,ski,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
Sälen,sälen,"('sälen', 'NN')",sälen,sälen,introduction
Idre,idre,"('idre', 'NN')",idr,idre,introduction
close,close,"('close', 'RB')",close,close,introduction
Norwegian,norwegian,"('norwegian', 'JJ')",norwegian,norwegian,introduction
border,border,"('border', 'NN')",border,border,introduction
area,area,"('area', 'NN')",area,area,introduction
holds,holds,"('holds', 'VBZ')",hold,hold,introduction
special,special,"('special', 'JJ')",special,special,introduction
place,place,"('place', 'NN')",place,place,introduction
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction
psyche,psyche,"('psyche', 'NN')",psych,psyche,introduction
certainly,certainly,"('certainly', 'RB')",certainli,certainly,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
although,although,"('although', 'IN')",although,although,introduction
exclusion,exclusion,"('exclusion', 'NN')",exclus,exclusion,introduction
places,places,"('places', 'NNS')",place,place,introduction
north,north,"('north', 'RB')",north,north,introduction
Tiny,tiny,"('tiny', 'JJ')",tini,tiny,introduction
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,introduction
villages,villages,"('villages', 'NNS')",villag,village,introduction
rolling,rolling,"('rolling', 'VBG')",roll,roll,introduction
meadows,meadows,"('meadows', 'NNS')",meadow,meadow,introduction
sweet,sweet,"('sweet', 'NN')",sweet,sweet,introduction
smell,smell,"('smell', 'NN')",smell,smell,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
flowers,flowers,"('flowers', 'NNS')",flower,flower,introduction
make,make,"('make', 'VBP')",make,make,introduction
Dalarna,dalarna,"('dalarna', 'NN')",dalarna,dalarna,introduction
rural,rural,"('rural', 'JJ')",rural,rural,introduction
idyll,idyll,"('idyll', 'NN')",idyl,idyll,introduction
given,given,"('given', 'VBN')",given,give,introduction
handsome,handsome,"('handsome', 'JJ')",handsom,handsome,introduction
backdrop,backdrop,"('backdrop', 'NN')",backdrop,backdrop,introduction
land,land,"('land', 'NN')",land,land,introduction
northwest,northwest,"('northwest', 'NN')",northwest,northwest,introduction
Lake,lake,"('lake', 'NN')",lake,lake,introduction
Siljan,siljan,"('siljan', 'NN')",siljan,siljan,introduction
rises,rises,"('rises', 'VBZ')",rise,rise,introduction
slowly,slowly,"('slowly', 'RB')",slowli,slowly,introduction
