token,normed_token,pos_tags,stemmed_token,lemma_token,class
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction
north,north,"('north', 'NN')",north,north,introduction
Sveg,sveg,"('sveg', 'NN')",sveg,sveg,introduction
border,border,"('border', 'NN')",border,border,introduction
Lapland,lapland,"('lapland', 'NN')",lapland,lapland,introduction
distance,distance,"('distance', 'NN')",distanc,distance,introduction
around,around,"('around', 'IN')",around,around,introduction
province,province,"('province', 'NN')",provinc,province,introduction
JÄMTLAND,jämtland,"('jämtland', 'NN')",jämtland,jämtland,introduction
centred,centred,"('centred', 'VBN')",centr,centre,introduction
around,around,"('around', 'IN')",around,around,introduction
one,one,"('one', 'CD')",one,one,introduction
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
Storsjön,storsjön,"('storsjön', 'NN')",storsjön,storsjön,introduction
associated,associated,"('associated', 'JJ')",associ,associated,introduction
watercourses,watercourses,"('watercourses', 'NNS')",watercours,watercourse,introduction
altogether,altogether,"('altogether', 'RB')",altogeth,altogether,introduction
pastoral,pastoral,"('pastoral', 'JJ')",pastor,pastoral,introduction
wilder,wilder,"('wilder', 'NN')",wilder,wilder,introduction
mountainous,mountainous,"('mountainous', 'JJ')",mountain,mountainous,introduction
neighbour,neighbour,"('neighbour', 'NN')",neighbour,neighbour,introduction
south,south,"('south', 'JJ')",south,south,introduction
Härjedalen,härjedalen,"('härjedalen', 'NN')",härjedalen,härjedalen,introduction
was,was,"('was', 'VBD')",wa,be,introduction
plentiful,plentiful,"('plentiful', 'JJ')",plenti,plentiful,introduction
supply,supply,"('supply', 'NN')",suppli,supply,introduction
fish,fish,"('fish', 'NN')",fish,fish,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
coupled,coupled,"('coupled', 'VBN')",coupl,couple,introduction
successful,successful,"('successful', 'JJ')",success,successful,introduction
cultivation,cultivation,"('cultivation', 'NN')",cultiv,cultivation,introduction
rich,rich,"('rich', 'JJ')",rich,rich,introduction
lands,lands,"('lands', 'VBZ')",land,land,introduction
around,around,"('around', 'IN')",around,around,introduction
shores,shores,"('shores', 'NNS')",shore,shore,introduction
enabled,enabled,"('enabled', 'VBD')",enabl,enable,introduction
region,region,"('region', 'NN')",region,region,introduction
first,first,"('first', 'JJ')",first,first,introduction
settlers,settlers,"('settlers', 'NNS')",settler,settler,introduction
eke,eke,"('eke', 'VB')",eke,eke,introduction
existence,existence,"('existence', 'NN')",exist,existence,introduction
far,far,"('far', 'RB')",far,far,introduction
north,north,"('north', 'JJ')",north,north,introduction
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,introduction
example,example,"('example', 'NN')",exampl,example,introduction
south,south,"('south', 'JJ')",south,south,introduction
Although,although,"('although', 'IN')",although,although,introduction
province,province,"('province', 'NN')",provinc,province,introduction
trace,trace,"('trace', 'VB')",trace,trace,introduction
history,history,"('history', 'NN')",histori,history,introduction
back,back,"('back', 'RB')",back,back,introduction
early,early,"('early', 'JJ')",earli,early,introduction
Iron,iron,"('iron', 'NN')",iron,iron,introduction
Age,age,"('age', 'NN')",age,age,introduction
Jämtland,jämtland,"('jämtland', 'NN')",jämtland,jämtland,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
only,only,"('only', 'RB')",onli,only,introduction
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction
since,since,"('since', 'IN')",sinc,since,introduction
before,before,"('before', 'IN')",befor,before,introduction
was,was,"('was', 'VBD')",wa,be,introduction
part,part,"('part', 'NN')",part,part,introduction
Norway,norway,"('norway', 'RB')",norway,norway,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
strong,strong,"('strong', 'JJ')",strong,strong,introduction
sense,sense,"('sense', 'NN')",sens,sense,introduction
regional,regional,"('regional', 'JJ')",region,regional,introduction
identity,identity,"('identity', 'NN')",ident,identity,introduction
recent,recent,"('recent', 'JJ')",recent,recent,introduction
years,years,"('years', 'NNS')",year,year,introduction
even,even,"('even', 'RB')",even,even,introduction
called,called,"('called', 'VBN')",call,call,introduction
albeit,albeit,"('albeit', 'RP')",albeit,albeit,introduction
rather,rather,"('rather', 'RB')",rather,rather,introduction
independence,independence,"('independence', 'NN')",independ,independence,introduction
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,introduction
Spend,spend,"('spend', 'VBP')",spend,spend,introduction
any,any,"('any', 'DT')",ani,any,introduction
length,length,"('length', 'NN')",length,length,introduction
time,time,"('time', 'NN')",time,time,introduction
soon,soon,"('soon', 'RB')",soon,soon,introduction
encounter,encounter,"('encounter', 'RB')",encount,encounter,introduction
tremendous,tremendous,"('tremendous', 'JJ')",tremend,tremendous,introduction
pride,pride,"('pride', 'NN')",pride,pride,introduction
locals,locals,"('locals', 'NNS')",local,local,introduction
villages,villages,"('villages', 'NNS')",villag,village,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
Approaching,approaching,"('approaching', 'VBG')",approach,approach,description
south,south,"('south', 'NN')",south,south,description
reach,reach,"('reach', 'VBP')",reach,reach,description
skiing,skiing,"('skiing', 'NN')",ski,skiing,description
centre,centre,"('centre', 'NN')",centr,centre,description
Åsarna,åsarna,"('åsarna', 'NNP')",åsarna,åsarna,description
first,first,"('first', 'RB')",first,first,description
beyond,beyond,"('beyond', 'IN')",beyond,beyond,description
Hackås,hackås,"('hackås', 'NN')",hackå,hackås,description
location,location,"('location', 'NN')",locat,location,description
wildly,wildly,"('wildly', 'RB')",wildli,wildly,description
entertaining,entertaining,"('entertaining', 'JJ')",entertain,entertaining,description
Årets,årets,"('årets', 'NNS')",året,årets,description
Näck,näck,"('näck', 'CC')",näck,näck,description
competition,competition,"('competition', 'NN')",competit,competition,description
sees,sees,"('sees', 'VBZ')",see,see,description
group,group,"('group', 'NN')",group,group,description
naked,naked,"('naked', 'JJ')",nake,naked,description
male,male,"('male', 'JJ')",male,male,description
compete,compete,"('compete', 'NN')",compet,compete,description
prestigious,prestigious,"('prestigious', 'JJ')",prestigi,prestigious,description
title,title,"('title', 'NN')",titl,title,description
enjoyable,enjoyable,"('enjoyable', 'JJ')",enjoy,enjoyable,description
town,town,"('town', 'NN')",town,town,description
province,province,"('province', 'NN')",provinc,province,description
provincial,provincial,"('provincial', 'JJ')",provinci,provincial,description
capital,capital,"('capital', 'NN')",capit,capital,description
Östersund,östersund,"('östersund', 'NNP')",östersund,östersund,description
situated,situated,"('situated', 'VBD')",situat,situate,description
Storsjön,storsjön,"('storsjön', 'JJ')",storsjön,storsjön,description
lake,lake,"('lake', 'NN')",lake,lake,description
whose,whose,"('whose', 'WP$')",whose,whose,description
murky,murky,"('murky', 'JJ')",murki,murky,description
waters,waters,"('waters', 'NNS')",water,water,description
reputedly,reputedly,"('reputedly', 'RB')",reputedli,reputedly,description
hide,hide,"('hide', 'VBP')",hide,hide,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
version,version,"('version', 'NN')",version,version,description
Loch,loch,"('loch', 'NN')",loch,loch,description
Ness,ness,"('ness', 'JJ')",ness,ness,description
monster,monster,"('monster', 'NN')",monster,monster,description
West,west,"('west', 'NN')",west,west,description
Östersund,östersund,"('östersund', 'NNP')",östersund,östersund,description
Åre,åre,"('åre', 'NNP')",åre,åre,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
popular,popular,"('popular', 'JJ')",popular,popular,description
ski,ski,"('ski', 'JJ')",ski,ski,description
destination,destination,"('destination', 'NN')",destin,destination,description
foreign,foreign,"('foreign', 'JJ')",foreign,foreign,description
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,description
whilst,whilst,"('whilst', 'VBP')",whilst,whilst,description
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,description
Storlien,storlien,"('storlien', 'NN')",storlien,storlien,description
has,has,"('has', 'VBZ')",ha,have,description
great,great,"('great', 'JJ')",great,great,description
summer,summer,"('summer', 'NN')",summer,summer,description
hiking,hiking,"('hiking', 'VBG')",hike,hike,description
right,right,"('right', 'RB')",right,right,description
alpine,alpine,"('alpine', 'JJ')",alpin,alpine,description
village,village,"('village', 'NN')",villag,village,description
Åre,åre,"('åre', 'JJ')",åre,åre,description
west,west,"('west', 'NN')",west,west,description
Östersund,östersund,"('östersund', 'NN')",östersund,östersund,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
prestigious,prestigious,"('prestigious', 'JJ')",prestigi,prestigious,description
ski,ski,"('ski', 'NNS')",ski,ski,description
resort,resort,"('resort', 'NN')",resort,resort,description
forty,forty,"('forty', 'JJ')",forti,forty,description
lifts,lifts,"('lifts', 'NNS')",lift,lift,description
ski,ski,"('ski', 'JJ')",ski,ski,description
slopes,slopes,"('slopes', 'NNS')",slope,slope,description
guaranteed,guaranteed,"('guaranteed', 'VBN')",guarante,guarantee,description
snow,snow,"('snow', 'VBP')",snow,snow,description
December,december,"('december', 'NNS')",decemb,december,description
May,may,"('may', 'MD')",may,may,description
summer,summer,"('summer', 'NN')",summer,summer,description
village,village,"('village', 'NN')",villag,village,description
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,description
likeable,likeable,"('likeable', 'JJ')",likeabl,likeable,description
ramblers,ramblers,"('ramblers', 'NNS')",rambler,rambler,description
sandwiched,sandwiched,"('sandwiched', 'VBN')",sandwich,sandwich,description
Åresjön,åresjön,"('åresjön', 'NNP')",åresjön,åresjön,description
lake,lake,"('lake', 'NN')",lake,lake,description
range,range,"('range', 'NN')",rang,range,description
craggy,craggy,"('craggy', 'NN')",craggi,craggy,description
hills,hills,"('hills', 'NNS')",hill,hill,description
overshadowed,overshadowed,"('overshadowed', 'VBN')",overshadow,overshadow,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
seventh,seventh,"('seventh', 'JJ')",seventh,seventh,description
highest,highest,"('highest', 'JJS')",highest,high,description
peak,peak,"('peak', 'NN')",peak,peak,description
mighty,mighty,"('mighty', 'NN')",mighti,mighty,description
Åreskutan,åreskutan,"('åreskutan', 'NNP')",åreskutan,åreskutan,description
mountain,mountain,"('mountain', 'NN')",mountain,mountain,description
cable,cable,"('cable', 'NN')",cabl,cable,description
car,car,"('car', 'NN')",car,car,description
Kabinbanan,kabinbanan,"('kabinbanan', 'NN')",kabinbanan,kabinbanan,description
return,return,"('return', 'NN')",return,return,description
whisks,whisks,"('whisks', 'NNS')",whisk,whisk,description
behind,behind,"('behind', 'IN')",behind,behind,description
Storlien,storlien,"('storlien', 'JJ')",storlien,storlien,description
main,main,"('main', 'JJ')",main,main,description
square,square,"('square', 'VBP')",squar,square,description
viewing,viewing,"('viewing', 'NN')",view,viewing,description
platform,platform,"('platform', 'NN')",platform,platform,description
Stormköket,stormköket,"('stormköket', 'NN')",stormköket,stormköket,description
restaurant,restaurant,"('restaurant', 'NN')",restaur,restaurant,description
open,open,"('open', 'JJ')",open,open,description
conncetion,conncetion,"('conncetion', 'NN')",conncet,conncetion,description
Kabinbanan,kabinbanan,"('kabinbanan', 'NN')",kabinbanan,kabinbanan,description
operating,operating,"('operating', 'VBG')",oper,operate,description
times,times,"('times', 'NNS')",time,time,description
way,way,"('way', 'NN')",way,way,description
Åreskutan,åreskutan,"('åreskutan', 'NN')",åreskutan,åreskutan,description
viewing,viewing,"('viewing', 'VBG')",view,view,description
platform,platform,"('platform', 'NN')",platform,platform,description
take,take,"('take', 'VB')",take,take,description
thirty,thirty,"('thirty', 'NN')",thirti,thirty,description
minutes,minutes,"('minutes', 'NNS')",minut,minute,description
clamber,clamber,"('clamber', 'VB')",clamber,clamber,description
summit,summit,"('summit', 'NN')",summit,summit,description
Wear,wear,"('wear', 'IN')",wear,wear,description
sensible,sensible,"('sensible', 'JJ')",sensibl,sensible,description
shoes,shoes,"('shoes', 'NNS')",shoe,shoe,description
warm,warm,"('warm', 'JJ')",warm,warm,description
clothes,clothes,"('clothes', 'NNS')",cloth,clothes,description
low,low,"('low', 'JJ')",low,low,description
temperatures,temperatures,"('temperatures', 'NNS')",temperatur,temperature,description
intensified,intensified,"('intensified', 'VBN')",intensifi,intensify,description
wind,wind,"('wind', 'NN')",wind,wind,description
decidedly,decidedly,"('decidedly', 'RB')",decidedli,decidedly,description
nippy,nippy,"('nippy', 'JJ')",nippi,nippy,description
even,even,"('even', 'RB')",even,even,description
summer,summer,"('summer', 'NN')",summer,summer,description
top,top,"('top', 'JJ')",top,top,description
view,view,"('view', 'NN')",view,view,description
stunning,stunning,"('stunning', 'VBG')",stun,stun,description
clear,clear,"('clear', 'JJ')",clear,clear,description
day,day,"('day', 'NN')",day,day,description
see,see,"('see', 'VB')",see,see,description
border,border,"('border', 'NN')",border,border,description
Norway,norway,"('norway', 'NN')",norway,norway,description
good,good,"('good', 'JJ')",good,good,description
way,way,"('way', 'NN')",way,way,description
back,back,"('back', 'RB')",back,back,description
Östersund,östersund,"('östersund', 'VB')",östersund,östersund,description
tiny,tiny,"('tiny', 'JJ')",tini,tiny,description
wooden,wooden,"('wooden', 'JJ')",wooden,wooden,description
café,café,"('café', 'NN')",café,café,description
Toppstugan,toppstugan,"('toppstugan', 'NN')",toppstugan,toppstugan,description
summit,summit,"('summit', 'NN')",summit,summit,description
open,open,"('open', 'JJ')",open,open,description
connection,connection,"('connection', 'NN')",connect,connection,description
Kabinbanan,kabinbanan,"('kabinbanan', 'NN')",kabinbanan,kabinbanan,description
operating,operating,"('operating', 'VBG')",oper,operate,description
times,times,"('times', 'NNS')",time,time,description
serving,serving,"('serving', 'VBG')",serv,serve,description
coffee,coffee,"('coffee', 'NN')",coffe,coffee,description
extortionately,extortionately,"('extortionately', 'RB')",extortion,extortionately,description
priced,priced,"('priced', 'VBN')",price,price,description
sandwiches,sandwiches,"('sandwiches', 'NNS')",sandwich,sandwich,description
walking,walking,"('walking', 'VBG')",walk,walk,description
back,back,"('back', 'RB')",back,back,description
Åre,åre,"('åre', 'VB')",åre,åre,description
bear,bear,"('bear', 'NN')",bear,bear,description
mind,mind,"('mind', 'NN')",mind,mind,description
even,even,"('even', 'RB')",even,even,description
shortest,shortest,"('shortest', 'JJS')",shortest,short,description
route,route,"('route', 'NN')",rout,route,description
requires,requires,"('requires', 'VBZ')",requir,require,description
stamina,stamina,"('stamina', 'VBZ')",stamina,stamina,description
longer,longer,"('longer', 'JJR')",longer,long,description
paths,paths,"('paths', 'NNS')",path,path,description
lead,lead,"('lead', 'VBP')",lead,lead,description
circuitously,circuitously,"('circuitously', 'RB')",circuit,circuitously,description
back,back,"('back', 'RB')",back,back,description
village,village,"('village', 'NN')",villag,village,description
One,one,"('one', 'CD')",one,one,description
word,word,"('word', 'NN')",word,word,description
warning,warning,"('warning', 'VBG')",warn,warn,description
phenomenal,phenomenal,"('phenomenal', 'JJ')",phenomen,phenomenal,description
numbers,numbers,"('numbers', 'NNS')",number,number,description
mosquitoes,mosquitoes,"('mosquitoes', 'NNS')",mosquito,mosquito,description
insects,insects,"('insects', 'NNS')",insect,insect,description
July,july,"('july', 'NN')",juli,july,description
August,august,"('august', 'NN')",august,august,description
make,make,"('make', 'JJ')",make,make,description
sure,sure,"('sure', 'NN')",sure,sure,description
protected,protected,"('protected', 'VBN')",protect,protect,description
centre,centre,"('centre', 'NN')",centr,centre,description
town,town,"('town', 'NN')",town,town,description
Åre,åre,"('åre', 'NNP')",åre,åre,description
Gamla,gamla,"('gamla', 'NN')",gamla,gamla,description
kyrka,kyrka,"('kyrka', 'NN')",kyrka,kyrka,description
use,use,"('use', 'IN')",use,use,description
key,key,"('key', 'JJ')",key,key,description
hanging,hanging,"('hanging', 'NN')",hang,hanging,description
hook,hook,"('hook', 'NN')",hook,hook,description
outside,outside,"('outside', 'IN')",outsid,outside,description
door,door,"('door', 'NN')",door,door,description
get,get,"('get', 'VB')",get,get,description
above,above,"('above', 'IN')",abov,above,description
campsite,campsite,"('campsite', 'NN')",campsit,campsite,description
marvellous,marvellous,"('marvellous', 'JJ')",marvel,marvellous,description
stone,stone,"('stone', 'NN')",stone,stone,description
church,church,"('church', 'NN')",church,church,description
inside,inside,"('inside', 'IN')",insid,inside,description
simple,simple,"('simple', 'JJ')",simpl,simple,description
blue,blue,"('blue', 'JJ')",blue,blue,description
decoration,decoration,"('decoration', 'NN')",decor,decoration,description
smell,smell,"('smell', 'NN')",smell,smell,description
burning,burning,"('burning', 'VBG')",burn,burn,description
candles,candles,"('candles', 'NNS')",candl,candle,description
create,create,"('create', 'VBP')",creat,create,description
peaceful,peaceful,"('peaceful', 'JJ')",peac,peaceful,description
west,west,"('west', 'NN')",west,west,description
Östersund,östersund,"('östersund', 'IN')",östersund,östersund,description
train,train,"('train', 'NN')",train,train,description
line,line,"('line', 'NN')",line,line,description
follow,follow,"('follow', 'VBP')",follow,follow,description
course,course,"('course', 'NN')",cours,course,description
trudged,trudged,"('trudged', 'VBN')",trudg,trudge,description
medieval,medieval,"('medieval', 'NN')",mediev,medieval,description
pilgrims,pilgrims,"('pilgrims', 'NNS')",pilgrim,pilgrim,description
way,way,"('way', 'NN')",way,way,description
Nidaros,nidaros,"('nidaros', 'VB')",nidaro,nidaros,description
Trondheim,trondheim,"('trondheim', 'VBZ')",trondheim,trondheim,description
Norway,norway,"('norway', 'RB')",norway,norway,description
border,border,"('border', 'NN')",border,border,description
twisting,twisting,"('twisting', 'VBG')",twist,twist,description
route,route,"('route', 'NN')",rout,route,description
threads,threads,"('threads', 'VBZ')",thread,thread,description
way,way,"('way', 'NN')",way,way,description
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,description
rising,rising,"('rising', 'VBG')",rise,rise,description
high,high,"('high', 'JJ')",high,high,description
above,above,"('above', 'IN')",abov,above,description
bevy,bevy,"('bevy', 'NN')",bevi,bevy,description
streams,streams,"('streams', 'NNS')",stream,stream,description
deep,deep,"('deep', 'JJ')",deep,deep,description
cold,cold,"('cold', 'NN')",cold,cold,description
lakes,lakes,"('lakes', 'NNS')",lake,lake,description
Time,time,"('time', 'NN')",time,time,description
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
Vikings,vikings,"('vikings', 'NNS')",vike,viking,description
assembled,assembled,"('assembled', 'VBD')",assembl,assemble,description
armies,armies,"('armies', 'NNS')",armi,army,description
beside,beside,"('beside', 'IN')",besid,beside,description
holy,holy,"('holy', 'NN')",holi,holy,description
Storsjön,storsjön,"('storsjön', 'VBD')",storsjön,storsjön,description
lake,lake,"('lake', 'NN')",lake,lake,description
begin,begin,"('begin', 'VB')",begin,begin,description
long,long,"('long', 'JJ')",long,long,description
march,march,"('march', 'NN')",march,march,description
west,west,"('west', 'JJS')",west,west,description
famously,famously,"('famously', 'RB')",famous,famously,description
King,king,"('king', 'VBG')",king,king,description
Olaf,olaf,"('olaf', 'NN')",olaf,olaf,description
Norway,norway,"('norway', 'RB')",norway,norway,description
collected,collected,"('collected', 'VBN')",collect,collect,description
his,his,"('his', 'PRP$')",hi,his,description
mercenaries,mercenaries,"('mercenaries', 'NNS')",mercenari,mercenary,description
campaign,campaign,"('campaign', 'NN')",campaign,campaign,description
led,led,"('led', 'VBD')",led,lead,description
his,his,"('his', 'PRP$')",hi,his,description
death,death,"('death', 'NN')",death,death,description
Battle,battle,"('battle', 'NN')",battl,battle,description
although,although,"('although', 'IN')",although,although,description
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,description
splendid,splendid,"('splendid', 'PDT')",splendid,splendid,description
only,only,"('only', 'JJ')",onli,only,description
real,real,"('real', 'JJ')",real,real,description
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description
en,en,"('en', 'IN')",en,en,description
route,route,"('route', 'NN')",rout,route,description
winter,winter,"('winter', 'NN')",winter,winter,description
skiing,skiing,"('skiing', 'NN')",ski,skiing,description
summer,summer,"('summer', 'NN')",summer,summer,description
walking,walking,"('walking', 'NN')",walk,walking,description
centres,centres,"('centres', 'NNS')",centr,centre,description
Åre,åre,"('åre', 'NN')",åre,åre,description
gracefully,gracefully,"('gracefully', 'RB')",grace,gracefully,description
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
shore,shore,"('shore', 'NN')",shore,shore,description
mighty,mighty,"('mighty', 'NN')",mighti,mighty,description
Storsjön,storsjön,"('storsjön', 'NN')",storsjön,storsjön,description
Great,great,"('great', 'JJ')",great,great,description
Lake,lake,"('lake', 'NN')",lake,lake,description
halfway,halfway,"('halfway', 'NN')",halfway,halfway,description
Sweden,sweden,"('sweden', 'JJ')",sweden,sweden,description
ÖSTERSUND,östersund,"('östersund', 'NN')",östersund,östersund,description
only,only,"('only', 'JJ')",onli,only,description
large,large,"('large', 'JJ')",larg,large,description
town,town,"('town', 'NN')",town,town,description
along,along,"('along', 'IN')",along,along,description
Inlandsbanan,inlandsbanan,"('inlandsbanan', 'NN')",inlandsbanan,inlandsbanan,description
Gällivare,gällivare,"('gällivare', 'JJ')",gällivar,gällivare,description
inside,inside,"('inside', 'IN')",insid,inside,description
Arctic,arctic,"('arctic', 'JJ')",arctic,arctic,description
Circle,circle,"('circle', 'NN')",circl,circle,description
another,another,"('another', 'DT')",anoth,another,description
north,north,"('north', 'NN')",north,north,description
well,well,"('well', 'RB')",well,well,description
worth,worth,"('worth', 'IN')",worth,worth,description
stop,stop,"('stop', 'NN')",stop,stop,description
Östersund,östersund,"('östersund', 'NN')",östersund,östersund,description
lakeside,lakeside,"('lakeside', 'JJ')",lakesid,lakeside,description
position,position,"('position', 'NN')",posit,position,description
lends,lends,"('lends', 'VBZ')",lend,lend,description
atmosphere,atmosphere,"('atmosphere', 'JJ')",atmospher,atmosphere,description
unusual,unusual,"('unusual', 'JJ')",unusu,unusual,description
this,this,"('this', 'DT')",thi,this,description
far,far,"('far', 'RB')",far,far,description
inland,inland,"('inland', 'NN')",inland,inland,description
instantly,instantly,"('instantly', 'RB')",instantli,instantly,description
likeable,likeable,"('likeable', 'JJ')",likeabl,likeable,description
place,place,"('place', 'NN')",place,place,description
addition,addition,"('addition', 'NN')",addit,addition,description
youthful,youthful,"('youthful', 'JJ')",youth,youthful,description
buzz,buzz,"('buzz', 'NN')",buzz,buzz,description
town,town,"('town', 'NN')",town,town,description
air,air,"('air', 'NN')",air,air,description
commercialism,commercialism,"('commercialism', 'NN')",commerci,commercialism,description
lacking,lacking,"('lacking', 'VBG')",lack,lack,description
inland,inland,"('inland', 'NN')",inland,inland,description
towns,towns,"('towns', 'NNS')",town,town,description
since,since,"('since', 'IN')",sinc,since,description
Östersund,östersund,"('östersund', 'NN')",östersund,östersund,description
also,also,"('also', 'RB')",also,also,description
centre,centre,"('centre', 'NN')",centr,centre,description
engineering,engineering,"('engineering', 'NN')",engin,engineering,description
electronics,electronics,"('electronics', 'NN')",electron,electronics,description
industries,industries,"('industries', 'NNS')",industri,industry,description
well,well,"('well', 'RB')",well,well,description
Swedish,swedish,"('swedish', 'NN')",swedish,swedish,description
armed,armed,"('armed', 'VBD')",arm,arm,description
forces,forces,"('forces', 'NNS')",forc,force,description
maintain,maintain,"('maintain', 'VBP')",maintain,maintain,description
two,two,"('two', 'CD')",two,two,description
regiments,regiments,"('regiments', 'NNS')",regiment,regiment,description
However,however,"('however', 'RB')",howev,however,description
lake,lake,"('lake', 'NN')",lake,lake,description
monster,monster,"('monster', 'NN')",monster,monster,description
Storsjöodjuret,storsjöodjuret,"('storsjöodjuret', 'NN')",storsjöodjuret,storsjöodjuret,description
Östersund,östersund,"('östersund', 'NN')",östersund,östersund,description
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,description
best,best,"('best', 'RBS')",best,best,description
Gustav,gustav,"('gustav', 'JJ')",gustav,gustav,description
