token,normed_token,pos_tags,stemmed_token,lemma_token,class
Eighty,eighty,"('eighty', 'NN')",eighti,eighty,introduction
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction
northeast,northeast,"('northeast', 'IN')",northeast,northeast,introduction
Ystad,ystad,"('ystad', 'NN')",ystad,ystad,introduction
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,introduction
KRISTIANSTAD,kristianstad,"('kristianstad', 'NN')",kristianstad,kristianstad,introduction
pronounced,pronounced,"('pronounced', 'VBD')",pronounc,pronounce,introduction
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,introduction
Skåne,skåne,"('skåne', 'JJ')",skåne,skåne,introduction
substantial,substantial,"('substantial', 'JJ')",substanti,substantial,introduction
historic,historic,"('historic', 'JJ')",histor,historic,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
convenient,convenient,"('convenient', 'JJ')",conveni,convenient,introduction
gateway,gateway,"('gateway', 'NN')",gateway,gateway,introduction
Sweden,sweden,"('sweden', 'VB')",sweden,sweden,introduction
southern,southern,"('southern', 'JJ')",southern,southern,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
cathedral,cathedral,"('cathedral', 'NN')",cathedr,cathedral,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
little,little,"('little', 'JJ')",littl,little,introduction
park,park,"('park', 'NN')",park,park,introduction
containing,containing,"('containing', 'VBG')",contain,contain,introduction
fine,fine,"('fine', 'JJ')",fine,fine,introduction
Art,art,"('art', 'NN')",art,art,introduction
Nouveau,nouveau,"('nouveau', 'NN')",nouveau,nouveau,introduction
theatre,theatre,"('theatre', 'NN')",theatr,theatre,introduction
boat,boat,"('boat', 'NN')",boat,boat,introduction
trips,trips,"('trips', 'NNS')",trip,trip,introduction
local,local,"('local', 'JJ')",local,local,introduction
wetlands,wetlands,"('wetlands', 'NNS')",wetland,wetland,introduction
Kristianstad,kristianstad,"('kristianstad', 'NNS')",kristianstad,kristianstad,introduction
easily,easily,"('easily', 'RB')",easili,easily,introduction
detain,detain,"('detain', 'VB')",detain,detain,introduction
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction
visit,visit,"('visit', 'NN')",visit,visit,introduction
Brief,brief,"('brief', 'JJ')",brief,brief,description
historyKristianstad,historykristianstad,"('historykristianstad', 'JJ')",historykristianstad,historykristianstad,description
dates,dates,"('dates', 'NNS')",date,date,description
was,was,"('was', 'VBD')",wa,be,description
created,created,"('created', 'VBN')",creat,create,description
Christian,christian,"('christian', 'JJ')",christian,christian,description
IV,iv,"('iv', 'NN')",iv,iv,description
Denmark,denmark,"('denmark', 'NN')",denmark,denmark,description
during,during,"('during', 'IN')",dure,during,description
Denmark,denmark,"('denmark', 'NN')",denmark,denmark,description
rule,rule,"('rule', 'NN')",rule,rule,description
earliest,earliest,"('earliest', 'JJS')",earliest,early,description
evocative,evocative,"('evocative', 'JJ')",evoc,evocative,description
king,king,"('king', 'NN')",king,king,description
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,description
towns,towns,"('towns', 'NNS')",town,town,description
was,was,"('was', 'VBD')",wa,be,description
shining,shining,"('shining', 'JJ')",shine,shining,description
example,example,"('example', 'NN')",exampl,example,description
Christian,christian,"('christian', 'JJ')",christian,christian,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
preoccupations,preoccupations,"('preoccupations', 'NNS')",preoccup,preoccupation,description
beautifully,beautifully,"('beautifully', 'RB')",beauti,beautifully,description
proportioned,proportioned,"('proportioned', 'JJ')",proport,proportioned,description
central,central,"('central', 'JJ')",central,central,description
squares,squares,"('squares', 'NNS')",squar,square,description
broad,broad,"('broad', 'JJ')",broad,broad,description
gridded,gridded,"('gridded', 'VBN')",grid,gridded,description
streets,streets,"('streets', 'NNS')",street,street,description
flanking,flanking,"('flanking', 'VBG')",flank,flank,description
wide,wide,"('wide', 'JJ')",wide,wide,description
river,river,"('river', 'NN')",river,river,description
Christian,christian,"('christian', 'NN')",christian,christian,description
nurtured,nurtured,"('nurtured', 'VBD')",nurtur,nurture,description
plans,plans,"('plans', 'NNS')",plan,plan,description
make,make,"('make', 'VB')",make,make,description
fortified,fortified,"('fortified', 'JJ')",fortifi,fortified,description
town,town,"('town', 'NN')",town,town,description
one,one,"('one', 'CD')",one,one,description
Denmark,denmark,"('denmark', 'NN')",denmark,denmark,description
important,important,"('important', 'JJ')",import,important,description
century,century,"('century', 'NN')",centuri,century,description
fortifications,fortifications,"('fortifications', 'NNS')",fortif,fortification,description
finally,finally,"('finally', 'RB')",final,finally,description
levelled,levelled,"('levelled', 'VBN')",level,level,description
allowing,allowing,"('allowing', 'VBG')",allow,allow,description
town,town,"('town', 'NN')",town,town,description
spill,spill,"('spill', 'VB')",spill,spill,description
beyond,beyond,"('beyond', 'IN')",beyond,beyond,description
original,original,"('original', 'JJ')",origin,original,description
perimeter,perimeter,"('perimeter', 'NN')",perimet,perimeter,description
century,century,"('century', 'NN')",centuri,century,description
saw,saw,"('saw', 'VBD')",saw,saw,description
creation,creation,"('creation', 'NN')",creation,creation,description
boulevards,boulevards,"('boulevards', 'NNS')",boulevard,boulevard,description
