token,normed_token,pos_tags,stemmed_token,lemma_token,class
Founded,founded,"('founded', 'VBN')",found,found,introduction
late,late,"('late', 'JJ')",late,late,introduction
thirteenth,thirteenth,"('thirteenth', 'JJ')",thirteenth,thirteenth,introduction
century,century,"('century', 'NN')",centuri,century,introduction
MALMÖ,malmö,"('malmö', 'NN')",malmö,malmö,introduction
was,was,"('was', 'VBD')",wa,be,introduction
once,once,"('once', 'RB')",onc,once,introduction
Denmark,denmark,"('denmark', 'JJ')",denmark,denmark,introduction
second,second,"('second', 'NN')",second,second,introduction
important,important,"('important', 'JJ')",import,important,introduction
city,city,"('city', 'NN')",citi,city,introduction
Copenhagen,copenhagen,"('copenhagen', 'NN')",copenhagen,copenhagen,introduction
high,high,"('high', 'JJ')",high,high,introduction
density,density,"('density', 'NN')",densiti,density,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
Malmö,malmö,"('malmö', 'NN')",malmö,malmö,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
was,was,"('was', 'VBD')",wa,be,introduction
said,said,"('said', 'VBD')",said,say,introduction
fish,fish,"('fish', 'NN')",fish,fish,introduction
could,could,"('could', 'MD')",could,could,introduction
scooped,scooped,"('scooped', 'VBN')",scoop,scoop,introduction
straight,straight,"('straight', 'RB')",straight,straight,introduction
trowel,trowel,"('trowel', 'NN')",trowel,trowel,introduction
brought,brought,"('brought', 'VBD')",brought,bring,introduction
ambitious,ambitious,"('ambitious', 'JJ')",ambiti,ambitious,introduction
German,german,"('german', 'JJ')",german,german,introduction
merchants,merchants,"('merchants', 'NNS')",merchant,merchant,introduction
flocking,flocking,"('flocking', 'VBG')",flock,flock,introduction
influence,influence,"('influence', 'NN')",influenc,influence,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
striking,striking,"('striking', 'JJ')",strike,striking,introduction
St,st,"('st', 'NN')",st,st,introduction
Petri,petri,"('petri', 'NN')",petri,petri,introduction
kyrka,kyrka,"('kyrka', 'NN')",kyrka,kyrka,introduction
city,city,"('city', 'NN')",citi,city,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
Eric,eric,"('eric', 'NN')",eric,eric,description
Pomerania,pomerania,"('pomerania', 'NN')",pomerania,pomerania,description
gave,gave,"('gave', 'VBD')",gave,give,description
Malmö,malmö,"('malmö', 'VBN')",malmö,malmö,description
significant,significant,"('significant', 'JJ')",signific,significant,description
medieval,medieval,"('medieval', 'NN')",mediev,medieval,description
boost,boost,"('boost', 'NN')",boost,boost,description
fifteenth,fifteenth,"('fifteenth', 'JJ')",fifteenth,fifteenth,description
century,century,"('century', 'NN')",centuri,century,description
built,built,"('built', 'VBD')",built,build,description
castle,castle,"('castle', 'NN')",castl,castle,description
endowed,endowed,"('endowed', 'VBD')",endow,endow,description
mint,mint,"('mint', 'NN')",mint,mint,description
gave,gave,"('gave', 'VBD')",gave,give,description
Malmö,malmö,"('malmö', 'VBN')",malmö,malmö,description
flag,flag,"('flag', 'NN')",flag,flag,description
griffin,griffin,"('griffin', 'NN')",griffin,griffin,description
his,his,"('his', 'PRP$')",hi,his,description
family,family,"('family', 'NN')",famili,family,description
crest,crest,"('crest', 'VBP')",crest,crest,description
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,description
king,king,"('king', 'NN')",king,king,description
Karl,karl,"('karl', 'NN')",karl,karl,description
X,x,"('x', 'NNP')",x,x,description
marched,marched,"('marched', 'VBD')",march,march,description
his,his,"('his', 'PRP$')",hi,his,description
armies,armies,"('armies', 'NNS')",armi,army,description
across,across,"('across', 'IN')",across,across,description
frozen,frozen,"('frozen', 'JJ')",frozen,frozen,description
Öresund,öresund,"('öresund', 'NN')",öresund,öresund,description
within,within,"('within', 'IN')",within,within,description
striking,striking,"('striking', 'VBG')",strike,strike,description
distance,distance,"('distance', 'NN')",distanc,distance,description
Copenhagen,copenhagen,"('copenhagen', 'NN')",copenhagen,copenhagen,description
Danes,danes,"('danes', 'NNS')",dane,dane,description
forced,forced,"('forced', 'VBN')",forc,force,description
handing,handing,"('handing', 'VBG')",hand,hand,description
back,back,"('back', 'RP')",back,back,description
counties,counties,"('counties', 'NNS')",counti,county,description
Skåne,skåne,"('skåne', 'JJ')",skåne,skåne,description
Blekinge,blekinge,"('blekinge', 'NN')",bleking,blekinge,description
Bohuslän,bohuslän,"('bohuslän', 'NN')",bohuslän,bohuslän,description
Swedes,swedes,"('swedes', 'NNS')",swede,swede,description
Malmö,malmö,"('malmö', 'NN')",malmö,malmö,description
far,far,"('far', 'RB')",far,far,description
uninterested,uninterested,"('uninterested', 'JJ')",uninterest,uninterested,description
capital,capital,"('capital', 'NN')",capit,capital,description
this,this,"('this', 'DT')",thi,this,description
meant,meant,"('meant', 'VBD')",meant,mean,description
period,period,"('period', 'NN')",period,period,description
stagnation,stagnation,"('stagnation', 'NN')",stagnat,stagnation,description
cut,cut,"('cut', 'VBN')",cut,cut,description
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,description
Copenhagen,copenhagen,"('copenhagen', 'NN')",copenhagen,copenhagen,description
full,full,"('full', 'JJ')",full,full,description
thrust,thrust,"('thrust', 'NN')",thrust,thrust,description
industrialization,industrialization,"('industrialization', 'NN')",industri,industrialization,description
triggered,triggered,"('triggered', 'VBN')",trigger,trigger,description
tobacco,tobacco,"('tobacco', 'NN')",tobacco,tobacco,description
merchant,merchant,"('merchant', 'NN')",merchant,merchant,description
Frans,frans,"('frans', 'NNS')",fran,frans,description
