token,normed_token,pos_tags,stemmed_token,lemma_token,class
very,very,"('very', 'RB')",veri,very,introduction
tangible,tangible,"('tangible', 'JJ')",tangibl,tangible,introduction
Lund,lund,"('lund', 'NN')",lund,lund,introduction
spirit,spirit,"('spirit', 'VBD')",spirit,spirit,introduction
ironic,ironic,"('ironic', 'JJ')",iron,ironic,introduction
distance,distance,"('distance', 'NN')",distanc,distance,introduction
everything,everything,"('everything', 'NN')",everyth,everything,introduction
including,including,"('including', 'VBG')",includ,include,introduction
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,introduction
Lund,lund,"('lund', 'VB')",lund,lund,introduction
barb,barb,"('barb', 'NN')",barb,barb,introduction
deflate,deflate,"('deflate', 'VB')",deflat,deflate,introduction
pompous,pompous,"('pompous', 'JJ')",pompou,pompous,introduction
wrote,wrote,"('wrote', 'VBD')",wrote,write,introduction
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction
essayist,essayist,"('essayist', 'NN')",essayist,essayist,introduction
Jan,jan,"('jan', 'NN')",jan,jan,introduction
Mårtensson,mårtensson,"('mårtensson', 'VBD')",mårtensson,mårtensson,introduction
His,his,"('his', 'PRP$')",hi,his,introduction
compatriot,compatriot,"('compatriot', 'NN')",compatriot,compatriot,introduction
poet,poet,"('poet', 'NN')",poet,poet,introduction
Peter,peter,"('peter', 'NN')",peter,peter,introduction
Ortman,ortman,"('ortman', 'NN')",ortman,ortman,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
part,part,"('part', 'NN')",part,part,introduction
once,once,"('once', 'RB')",onc,once,introduction
described,described,"('described', 'VBD')",describ,describe,introduction
termed,termed,"('termed', 'VBD')",term,term,introduction
Lund,lund,"('lund', 'JJ')",lund,lund,introduction
syndrome,syndrome,"('syndrome', 'VB')",syndrom,syndrome,introduction
mix,mix,"('mix', 'NN')",mix,mix,introduction
paranoia,paranoia,"('paranoia', 'NN')",paranoia,paranoia,introduction
exhibitionism,exhibitionism,"('exhibitionism', 'NN')",exhibition,exhibitionism,introduction
megalomania,megalomania,"('megalomania', 'NN')",megalomania,megalomania,introduction
Whatever,whatever,"('whatever', 'NN')",whatev,whatever,introduction
place,place,"('place', 'NN')",place,place,introduction
indeed,indeed,"('indeed', 'RB')",inde,indeed,introduction
special,special,"('special', 'JJ')",special,special,introduction
spirit,spirit,"('spirit', 'NN')",spirit,spirit,introduction
LUND,lund,"('lund', 'VB')",lund,lund,introduction
sense,sense,"('sense', 'NN')",sens,sense,introduction
tolerance,tolerance,"('tolerance', 'NN')",toler,tolerance,introduction
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction
cities,cities,"('cities', 'NNS')",citi,city,introduction
belief,belief,"('belief', 'NN')",belief,belief,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
judged,judged,"('judged', 'VBN')",judg,judge,introduction
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,description
inland,inland,"('inland', 'VBP')",inland,inland,description
south,south,"('south', 'NN')",south,south,description
Helsingborg,helsingborg,"('helsingborg', 'NN')",helsingborg,helsingborg,description
Lund,lund,"('lund', 'NN')",lund,lund,description
reputation,reputation,"('reputation', 'NN')",reput,reputation,description
glorious,glorious,"('glorious', 'JJ')",gloriou,glorious,description
old,old,"('old', 'JJ')",old,old,description
university,university,"('university', 'NN')",univers,university,description
city,city,"('city', 'NN')",citi,city,description
well,well,"('well', 'RB')",well,well,description
founded,founded,"('founded', 'VBN')",found,found,description
ocean,ocean,"('ocean', 'NN')",ocean,ocean,description
bikes,bikes,"('bikes', 'NNS')",bike,bike,description
first,first,"('first', 'JJ')",first,first,description
image,image,"('image', 'NN')",imag,image,description
greet,greet,"('greet', 'VB')",greet,greet,description
train,train,"('train', 'NN')",train,train,description
station,station,"('station', 'NN')",station,station,description
like,like,"('like', 'IN')",like,like,description
Oxford,oxford,"('oxford', 'NN')",oxford,oxford,description
England,england,"('england', 'NN')",england,england,description
Lund,lund,"('lund', 'NN')",lund,lund,description
usually,usually,"('usually', 'RB')",usual,usually,description
aptly,aptly,"('aptly', 'RB')",aptli,aptly,description
compared,compared,"('compared', 'VBN')",compar,compare,description
bohemian,bohemian,"('bohemian', 'JJ')",bohemian,bohemian,description
laidback,laidback,"('laidback', 'NN')",laidback,laidback,description
eccentricity,eccentricity,"('eccentricity', 'NN')",eccentr,eccentricity,description
air,air,"('air', 'NN')",air,air,description
Romanesque,romanesque,"('romanesque', 'JJ')",romanesqu,romanesque,description
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description
medieval,medieval,"('medieval', 'NN')",mediev,medieval,description
streets,streets,"('streets', 'NNS')",street,street,description
lined,lined,"('lined', 'VBD')",line,line,description
variety,variety,"('variety', 'NN')",varieti,variety,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
styles,styles,"('styles', 'NNS')",style,style,description
wealth,wealth,"('wealth', 'NN')",wealth,wealth,description
cafés,cafés,"('cafés', 'NN')",café,cafés,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
Lund,lund,"('lund', 'NN')",lund,lund,description
enchanting,enchanting,"('enchanting', 'JJ')",enchant,enchanting,description
little,little,"('little', 'JJ')",littl,little,description
city,city,"('city', 'NN')",citi,city,description
could,could,"('could', 'MD')",could,could,description
well,well,"('well', 'RB')",well,well,description
captivate,captivate,"('captivate', 'VB')",captiv,captivate,description
couple,couple,"('couple', 'NN')",coupl,couple,description
days,days,"('days', 'NNS')",day,day,description
has,has,"('has', 'VBZ')",ha,have,description
wide,wide,"('wide', 'JJ')",wide,wide,description
range,range,"('range', 'NN')",rang,range,description
museums,museums,"('museums', 'NNS')",museum,museum,description
couple,couple,"('couple', 'NN')",coupl,couple,description
excellent,excellent,"('excellent', 'VBP')",excel,excellent,description
mix,mix,"('mix', 'NN')",mix,mix,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
grandeur,grandeur,"('grandeur', 'NN')",grandeur,grandeur,description
plus,plus,"('plus', 'CC')",plu,plus,description
buzz,buzz,"('buzz', 'NN')",buzz,buzz,description
student,student,"('student', 'NN')",student,student,description
life,life,"('life', 'NN')",life,life,description
Lund,lund,"('lund', 'NN')",lund,lund,description
does,does,"('does', 'VBZ')",doe,do,description
lose,lose,"('lose', 'VB')",lose,lose,description
much,much,"('much', 'RB')",much,much,description
atmosphere,atmosphere,"('atmosphere', 'NN')",atmospher,atmosphere,description
during,during,"('during', 'IN')",dure,during,description
summer,summer,"('summer', 'NN')",summer,summer,description
months,months,"('months', 'NNS')",month,month,description
places,places,"('places', 'NNS')",place,place,description
remain,remain,"('remain', 'VBP')",remain,remain,description
open,open,"('open', 'JJ')",open,open,description
June,june,"('june', 'NN')",june,june,description
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,description
place,place,"('place', 'NN')",place,place,description
begin,begin,"('begin', 'VB')",begin,begin,description
exploration,exploration,"('exploration', 'NN')",explor,exploration,description
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,description
Domkyrkan,domkyrkan,"('domkyrkan', 'NN')",domkyrkan,domkyrkan,description
Lund,lund,"('lund', 'NN')",lund,lund,description
crowning,crowning,"('crowning', 'VBG')",crown,crown,description
glory,glory,"('glory', 'JJ')",glori,glory,description
One,one,"('one', 'CD')",one,one,description
world,world,"('world', 'NN')",world,world,description
finest,finest,"('finest', 'JJS')",finest,fine,description
