token,normed_token,pos_tags,stemmed_token,lemma_token,class
rolling,rolling,"('rolling', 'NN')",roll,rolling,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
vast,vast,"('vast', 'JJ')",vast,vast,introduction
grasslands,grasslands,"('grasslands', 'NNS')",grassland,grassland,introduction
Great,great,"('great', 'JJ')",great,great,introduction
Plains,plains,"('plains', 'NNS')",plain,plain,introduction
home,home,"('home', 'VBN')",home,home,introduction
adventurers,adventurers,"('adventurers', 'NNS')",adventur,adventurer,introduction
artists,artists,"('artists', 'NNS')",artist,artist,introduction
outlaws,outlaws,"('outlaws', 'NNS')",outlaw,outlaw,introduction
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction
great,great,"('great', 'JJ')",great,great,introduction
Sioux,sioux,"('sioux', 'JJ')",sioux,sioux,introduction
warriors,warriors,"('warriors', 'NNS')",warrior,warrior,introduction
Crazy,crazy,"('crazy', 'JJ')",crazi,crazy,introduction
Horse,horse,"('horse', 'NN')",hors,horse,introduction
Sitting,sitting,"('sitting', 'VBG')",sit,sit,introduction
Bull,bull,"('bull', 'NN')",bull,bull,introduction
Jesse,jesse,"('jesse', 'VB')",jess,jesse,introduction
James,james,"('james', 'NNS')",jame,james,introduction
Mark,mark,"('mark', 'NN')",mark,mark,introduction
Twain,twain,"('twain', 'NN')",twain,twain,introduction
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction
west,west,"('west', 'JJS')",west,west,introduction
Missouri,missouri,"('missouri', 'JJ')",missouri,missouri,introduction
Oklahoma,oklahoma,"('oklahoma', 'JJ')",oklahoma,oklahoma,introduction
Kansas,kansas,"('kansas', 'NN')",kansa,kansa,introduction
Nebraska,nebraska,"('nebraska', 'NN')",nebraska,nebraska,introduction
Iowa,iowa,"('iowa', 'NN')",iowa,iowa,introduction
South,south,"('south', 'JJ')",south,south,introduction
Dakota,dakota,"('dakota', 'NN')",dakota,dakota,introduction
North,north,"('north', 'JJ')",north,north,introduction
Dakota,dakota,"('dakota', 'NN')",dakota,dakota,introduction
Great,great,"('great', 'JJ')",great,great,introduction
Plains,plains,"('plains', 'NNS')",plain,plain,introduction
often,often,"('often', 'RB')",often,often,introduction
stereotyped,stereotyped,"('stereotyped', 'VBN')",stereotyp,stereotype,introduction
expanse,expanse,"('expanse', 'NN')",expans,expanse,introduction
unvaryingly,unvaryingly,"('unvaryingly', 'RB')",unvaryingli,unvaryingly,introduction
flat,flat,"('flat', 'JJ')",flat,flat,introduction
corn,corn,"('corn', 'NN')",corn,corn,introduction
fields,fields,"('fields', 'NNS')",field,field,introduction
flyover,flyover,"('flyover', 'NN')",flyover,flyover,introduction
states,states,"('states', 'NNS')",state,state,introduction
conservative,conservative,"('conservative', 'JJ')",conserv,conservative,introduction
Middle,middle,"('middle', 'JJ')",middl,middle,introduction
American,american,"('american', 'JJ')",american,american,introduction
values,values,"('values', 'NNS')",valu,value,introduction
contrary,contrary,"('contrary', 'JJ')",contrari,contrary,introduction
region,region,"('region', 'NN')",region,region,introduction
loaded,loaded,"('loaded', 'VBN')",load,load,introduction
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction
quirky,quirky,"('quirky', 'JJ')",quirki,quirky,introduction
Americana,americana,"('americana', 'NN')",americana,americana,introduction
Route,route,"('route', 'NN')",rout,route,introduction
dynamic,dynamic,"('dynamic', 'VB')",dynam,dynamic,introduction
art,art,"('art', 'NN')",art,art,introduction
culinary,culinary,"('culinary', 'JJ')",culinari,culinary,introduction
scenes,scenes,"('scenes', 'NNS')",scene,scene,introduction
Omaha,omaha,"('omaha', 'JJ')",omaha,omaha,introduction
Tulsa,tulsa,"('tulsa', 'NN')",tulsa,tulsa,introduction
St,st,"('st', 'NN')",st,st,introduction
Louis,louis,"('louis', 'NN')",loui,louis,introduction
often,often,"('often', 'RB')",often,often,introduction
flat,flat,"('flat', 'JJ')",flat,flat,introduction
canyons,canyons,"('canyons', 'NNS')",canyon,canyon,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
splashes,splashes,"('splashes', 'NNS')",splash,splash,introduction
unexpected,unexpected,"('unexpected', 'JJ')",unexpect,unexpected,introduction
colour,colour,"('colour', 'NN')",colour,colour,introduction
well,well,"('well', 'RB')",well,well,introduction
two,two,"('two', 'CD')",two,two,introduction
nation,nation,"('nation', 'NN')",nation,nation,introduction
mightiest,mightiest,"('mightiest', 'JJS')",mightiest,mighty,introduction
rivers,rivers,"('rivers', 'VBZ')",river,rivers,introduction
Missouri,missouri,"('missouri', 'NN')",missouri,missouri,introduction
Mississippi,mississippi,"('mississippi', 'NN')",mississippi,mississippi,introduction
Plains,plains,"('plains', 'NNS')",plain,plain,description
also,also,"('also', 'RB')",also,also,description
share,share,"('share', 'NN')",share,share,description
complex,complex,"('complex', 'JJ')",complex,complex,description
fascinating,fascinating,"('fascinating', 'NN')",fascin,fascinating,description
history,history,"('history', 'NN')",histori,history,description
Once,once,"('once', 'RB')",onc,once,description
home,home,"('home', 'NN')",home,home,description
nomadic,nomadic,"('nomadic', 'JJ')",nomad,nomadic,description
