token,normed_token,pos_tags,stemmed_token,lemma_token,class
atmospheric,atmospheric,"('atmospheric', 'JJ')",atmospher,atmospheric,introduction
any,any,"('any', 'DT')",ani,any,introduction
town,town,"('town', 'NN')",town,town,introduction
Halland,halland,"('halland', 'NN')",halland,halland,introduction
fashionable,fashionable,"('fashionable', 'JJ')",fashion,fashionable,introduction
little,little,"('little', 'JJ')",littl,little,introduction
bathing,bathing,"('bathing', 'VBG')",bath,bath,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
VARBERG,varberg,"('varberg', 'NN')",varberg,varberg,introduction
boasts,boasts,"('boasts', 'NNS')",boast,boast,introduction
surprisingly,surprisingly,"('surprisingly', 'RB')",surprisingli,surprisingly,introduction
varied,varied,"('varied', 'VBD')",vari,vary,introduction
sights,sights,"('sights', 'NNS')",sight,sight,introduction
imposing,imposing,"('imposing', 'VBG')",impos,impose,introduction
fortress,fortress,"('fortress', 'NN')",fortress,fortress,introduction
striking,striking,"('striking', 'JJ')",strike,striking,introduction
laidback,laidback,"('laidback', 'NN')",laidback,laidback,introduction
atmosphere,atmosphere,"('atmosphere', 'NN')",atmospher,atmosphere,introduction
plenty,plenty,"('plenty', 'NN')",plenti,plenty,introduction
good,good,"('good', 'JJ')",good,good,introduction
places,places,"('places', 'NNS')",place,place,introduction
eat,eat,"('eat', 'VB')",eat,eat,introduction
rocky,rocky,"('rocky', 'JJ')",rocki,rocky,introduction
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction
becomes,becomes,"('becomes', 'VBZ')",becom,become,introduction
sandier,sandier,"('sandier', 'JJR')",sandier,sandy,introduction
heading,heading,"('heading', 'VBG')",head,head,introduction
south,south,"('south', 'JJ')",south,south,introduction
plenty,plenty,"('plenty', 'NN')",plenti,plenty,introduction
opportunities,opportunities,"('opportunities', 'NNS')",opportun,opportunity,introduction
bathing,bathing,"('bathing', 'NN')",bath,bathing,introduction
windsurfing,windsurfing,"('windsurfing', 'VBG')",windsurf,windsurf,introduction
Varberg,varberg,"('varberg', 'NN')",varberg,varberg,introduction
sights,sights,"('sights', 'NNS')",sight,sight,introduction
concentrated,concentrated,"('concentrated', 'VBN')",concentr,concentrate,introduction
along,along,"('along', 'IN')",along,along,introduction
near,near,"('near', 'IN')",near,near,introduction
