token,normed_token,pos_tags,stemmed_token,lemma_token,class
Synonymous,synonymous,"('synonymous', 'JJ')",synonym,synonymous,introduction
Parisian,parisian,"('parisian', 'JJ')",parisian,parisian,introduction
glamour,glamour,"('glamour', 'VBP')",glamour,glamour,introduction
cuts,cuts,"('cuts', 'NNS')",cut,cut,introduction
one,one,"('one', 'CD')",one,one,introduction
city,city,"('city', 'NN')",citi,city,introduction
exclusive,exclusive,"('exclusive', 'JJ')",exclus,exclusive,introduction
districts,districts,"('districts', 'NNS')",district,district,introduction
studded,studded,"('studded', 'VBN')",stud,stud,introduction
luxury,luxury,"('luxury', 'NN')",luxuri,luxury,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
fashion,fashion,"('fashion', 'NN')",fashion,fashion,introduction
boutiques,boutiques,"('boutiques', 'NNS')",boutiqu,boutique,introduction
avenue,avenue,"('avenue', 'NN')",avenu,avenue,introduction
forms,forms,"('forms', 'NNS')",form,form,introduction
part,part,"('part', 'NN')",part,part,introduction
grand,grand,"('grand', 'JJ')",grand,grand,introduction
axis,axis,"('axis', 'NN')",axi,axis,introduction
extends,extends,"('extends', 'VBZ')",extend,extend,introduction
Louvre,louvre,"('louvre', 'NN')",louvr,louvre,introduction
heart,heart,"('heart', 'NN')",heart,heart,introduction
city,city,"('city', 'NN')",citi,city,introduction
Grande,grande,"('grande', 'NN')",grand,grande,introduction
Arche,arche,"('arche', 'NN')",arch,arche,introduction
de,de,"('de', 'IN')",de,de,introduction
la,la,"('la', 'FW')",la,la,introduction
Défense,défense,"('défense', 'NN')",défens,défense,introduction
west,west,"('west', 'NN')",west,west,introduction
Referred,referred,"('referred', 'VBD')",refer,refer,introduction
Voie,voie,"('voie', 'JJ')",voie,voie,introduction
Triomphale,triomphale,"('triomphale', 'NN')",triomphal,triomphale,introduction
Triumphal,triumphal,"('triumphal', 'JJ')",triumphal,triumphal,introduction
Way,way,"('way', 'NN')",way,way,introduction
offers,offers,"('offers', 'VBZ')",offer,offer,introduction
impressive,impressive,"('impressive', 'JJ')",impress,impressive,introduction
vistas,vistas,"('vistas', 'NNS')",vista,vista,introduction
along,along,"('along', 'IN')",along,along,introduction
length,length,"('length', 'NN')",length,length,introduction
incorporates,incorporates,"('incorporates', 'VBZ')",incorpor,incorporate,introduction
city,city,"('city', 'NN')",citi,city,introduction
famous,famous,"('famous', 'JJ')",famou,famous,introduction
landmarks,landmarks,"('landmarks', 'NNS')",landmark,landmark,introduction
only,only,"('only', 'RB')",onli,only,introduction
also,also,"('also', 'RB')",also,also,introduction
Tuileries,tuileries,"('tuileries', 'NNS')",tuileri,tuileries,introduction
Dropdown,dropdown,"('dropdown', 'VBP')",dropdown,dropdown,introduction
