token,normed_token,pos_tags,stemmed_token,lemma_token,class
Long,long,"('long', 'RB')",long,long,introduction
considered,considered,"('considered', 'VBN')",consid,consider,introduction
paragon,paragon,"('paragon', 'NN')",paragon,paragon,introduction
style,style,"('style', 'NN')",style,style,introduction
Paris,paris,"('paris', 'NN')",pari,paris,introduction
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,introduction
city,city,"('city', 'NN')",citi,city,introduction
Europe,europe,"('europe', 'NN')",europ,europe,introduction
once,once,"('once', 'RB')",onc,once,introduction
deeply,deeply,"('deeply', 'JJ')",deepli,deeply,introduction
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,introduction
metropolis,metropolis,"('metropolis', 'NN')",metropoli,metropolis,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction
continue,continue,"('continue', 'VBP')",continu,continue,introduction
notorious,notorious,"('notorious', 'JJ')",notori,notorious,introduction
hauteur,hauteur,"('hauteur', 'NN')",hauteur,hauteur,introduction
famously,famously,"('famously', 'RB')",famous,famously,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'NNS')",cosmopolitan,cosmopolitan,introduction
city,city,"('city', 'NN')",citi,city,description
reputation,reputation,"('reputation', 'NN')",reput,reputation,description
magnet,magnet,"('magnet', 'NN')",magnet,magnet,description
writers,writers,"('writers', 'NNS')",writer,writer,description
artists,artists,"('artists', 'NNS')",artist,artist,description
dissidents,dissidents,"('dissidents', 'NNS')",dissid,dissident,description
lives,lives,"('lives', 'VBZ')",live,live,description
remains,remains,"('remains', 'VBZ')",remain,remain,description
forefront,forefront,"('forefront', 'NN')",forefront,forefront,description
Western,western,"('western', 'JJ')",western,western,description
intellectual,intellectual,"('intellectual', 'JJ')",intellectu,intellectual,description
artistic,artistic,"('artistic', 'JJ')",artist,artistic,description
literary,literary,"('literary', 'JJ')",literari,literary,description
life,life,"('life', 'NN')",life,life,description
tangible,tangible,"('tangible', 'JJ')",tangibl,tangible,description
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,description
pleasures,pleasures,"('pleasures', 'NNS')",pleasur,pleasure,description
Paris,paris,"('paris', 'NN')",pari,paris,description
found,found,"('found', 'VBN')",found,find,description
street,street,"('street', 'NN')",street,street,description
life,life,"('life', 'NN')",life,life,description
along,along,"('along', 'IN')",along,along,description
banks,banks,"('banks', 'NNS')",bank,bank,description
bridges,bridges,"('bridges', 'NNS')",bridg,bridge,description
River,river,"('river', 'NN')",river,river,description
Seine,seine,"('seine', 'NN')",sein,seine,description
Cafés,cafés,"('cafés', 'NN')",café,cafés,description
bars,bars,"('bars', 'NNS')",bar,bar,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
line,line,"('line', 'NN')",line,line,description
every,every,"('every', 'DT')",everi,every,description
street,street,"('street', 'NN')",street,street,description
boulevard,boulevard,"('boulevard', 'NN')",boulevard,boulevard,description
city,city,"('city', 'NN')",citi,city,description
compactness,compactness,"('compactness', 'NN')",compact,compactness,description
makes,makes,"('makes', 'VBZ')",make,make,description
possible,possible,"('possible', 'JJ')",possibl,possible,description
experience,experience,"('experience', 'VB')",experi,experience,description
individual,individual,"('individual', 'JJ')",individu,individual,description
feel,feel,"('feel', 'NN')",feel,feel,description
different,different,"('different', 'JJ')",differ,different,description
has,has,"('has', 'VBZ')",ha,have,description
awesome,awesome,"('awesome', 'JJ')",awesom,awesome,description
emotional,emotional,"('emotional', 'JJ')",emot,emotional,description
gravity,gravity,"('gravity', 'NN')",graviti,gravity,description
Parisians,parisians,"('parisians', 'NNS')",parisian,parisian,description
rarely,rarely,"('rarely', 'RB')",rare,rarely,description
want,want,"('want', 'VBP')",want,want,description
escape,escape,"('escape', 'VB')",escap,escape,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
find,find,"('find', 'VBP')",find,find,description
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,description
yearning,yearning,"('yearning', 'VBG')",yearn,yearn,description
return,return,"('return', 'VB')",return,return,description
power,power,"('power', 'NN')",power,power,description
derives,derives,"('derives', 'NNS')",deriv,derives,description
city,city,"('city', 'NN')",citi,city,description
rare,rare,"('rare', 'JJ')",rare,rare,description
beauty,beauty,"('beauty', 'NN')",beauti,beauty,description
course,course,"('course', 'NN')",cours,course,description
celebrated,celebrated,"('celebrated', 'JJ')",celebr,celebrated,description
style,style,"('style', 'NN')",style,style,description
romanticism,romanticism,"('romanticism', 'NN')",romantic,romanticism,description
also,also,"('also', 'RB')",also,also,description
unique,unique,"('unique', 'JJ')",uniqu,unique,description
history,history,"('history', 'NN')",histori,history,description
beating,beating,"('beating', 'VBG')",beat,beat,description
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,description
heart,heart,"('heart', 'NN')",heart,heart,description
Europe,europe,"('europe', 'NN')",europ,europe,description
much,much,"('much', 'JJ')",much,much,description
last,last,"('last', 'JJ')",last,last,description
thousand,thousand,"('thousand', 'NN')",thousand,thousand,description
best,best,"('best', 'JJS')",best,best,description
places,places,"('places', 'NNS')",place,place,description
visit,visit,"('visit', 'VB')",visit,visit,description
Paris,paris,"('paris', 'JJ')",pari,paris,description
range,range,"('range', 'NN')",rang,range,description
grand,grand,"('grand', 'JJ')",grand,grand,description
