token,normed_token,pos_tags,stemmed_token,lemma_token,class
Côte,côte,"('côte', 'NN')",côte,côte,introduction
Azur,azur,"('azur', 'NN')",azur,azur,introduction
polarizes,polarizes,"('polarizes', 'VBZ')",polar,polarize,introduction
opinion,opinion,"('opinion', 'NN')",opinion,opinion,introduction
like,like,"('like', 'IN')",like,like,introduction
places,places,"('places', 'NNS')",place,place,introduction
France,france,"('france', 'NN')",franc,france,introduction
remains,remains,"('remains', 'VBZ')",remain,remain,introduction
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,introduction
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,introduction
playgrounds,playgrounds,"('playgrounds', 'NNS')",playground,playground,introduction
overdeveloped,overdeveloped,"('overdeveloped', 'JJ')",overdevelop,overdeveloped,introduction
victim,victim,"('victim', 'NN')",victim,victim,introduction
hype,hype,"('hype', 'NN')",hype,hype,introduction
Yet,yet,"('yet', 'RB')",yet,yet,introduction
best,best,"('best', 'JJS')",best,best,introduction
gaps,gaps,"('gaps', 'NNS')",gap,gap,introduction
urban,urban,"('urban', 'JJ')",urban,urban,introduction
sprawl,sprawl,"('sprawl', 'NN')",sprawl,sprawl,introduction
islands,islands,"('islands', 'NNS')",island,island,introduction
remarkable,remarkable,"('remarkable', 'JJ')",remark,remarkable,introduction
beauty,beauty,"('beauty', 'NN')",beauti,beauty,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
impossibly,impossibly,"('impossibly', 'RB')",imposs,impossibly,introduction
blue,blue,"('blue', 'JJ')",blue,blue,introduction
water,water,"('water', 'NN')",water,water,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
named,named,"('named', 'VBN')",name,name,introduction
special,special,"('special', 'JJ')",special,special,introduction
light,light,"('light', 'NN')",light,light,introduction
drew,drew,"('drew', 'VBD')",drew,draw,introduction
many,many,"('many', 'JJ')",mani,many,introduction
artists,artists,"('artists', 'NNS')",artist,artist,introduction
paint,paint,"('paint', 'VB')",paint,paint,introduction
captivates,captivates,"('captivates', 'VBZ')",captiv,captivate,introduction
still,still,"('still', 'RB')",still,still,introduction
months,months,"('months', 'NNS')",month,month,description
avoid,avoid,"('avoid', 'VB')",avoid,avoid,description
July,july,"('july', 'JJ')",juli,july,description
August,august,"('august', 'JJ')",august,august,description
room,room,"('room', 'NN')",room,room,description
prices,prices,"('prices', 'NNS')",price,price,description
soar,soar,"('soar', 'VB')",soar,soar,description
overflowing,overflowing,"('overflowing', 'VBG')",overflow,overflow,description
campsites,campsites,"('campsites', 'NNS')",campsit,campsite,description
become,become,"('become', 'VBP')",becom,become,description
health,health,"('health', 'NN')",health,health,description
hazards,hazards,"('hazards', 'NNS')",hazard,hazard,description
locals,locals,"('locals', 'NNS')",local,local,description
get,get,"('get', 'VBP')",get,get,description
November,november,"('november', 'VBP')",novemb,november,description
many,many,"('many', 'JJ')",mani,many,description
museums,museums,"('museums', 'NNS')",museum,museum,description
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
block,block,"('block', 'NN')",block,block,description
sea,sea,"('sea', 'NN')",sea,sea,description
morning,morning,"('morning', 'NN')",morn,morning,description
covered,covered,"('covered', 'VBD')",cover,cover,description
market,market,"('market', 'NN')",market,market,description
overflows,overflows,"('overflows', 'NNS')",overflow,overflow,description
Provençal,provençal,"('provençal', 'JJ')",provenç,provençal,description
