token,normed_token,pos_tags,stemmed_token,lemma_token,class
Arguably,arguably,"('arguably', 'RB')",arguabl,arguably,introduction
irresistible,irresistible,"('irresistible', 'JJ')",irresist,irresistible,introduction
region,region,"('region', 'NN')",region,region,introduction
France,france,"('france', 'NN')",franc,france,introduction
Provence,provence,"('provence', 'NN')",provenc,provence,introduction
ranges,ranges,"('ranges', 'VBZ')",rang,range,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
southern,southern,"('southern', 'JJ')",southern,southern,introduction
Alps,alps,"('alps', 'NN')",alp,alp,introduction
delta,delta,"('delta', 'NN')",delta,delta,introduction
plains,plains,"('plains', 'NNS')",plain,plain,introduction
Camargue,camargue,"('camargue', 'NN')",camargu,camargue,introduction
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction
Europe,europe,"('europe', 'VBP')",europ,europe,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction
Gorges,gorges,"('gorges', 'NNS')",gorg,gorge,introduction
du,du,"('du', 'VBP')",du,du,introduction
Verdon,verdon,"('verdon', 'RB')",verdon,verdon,introduction
Fortified,fortified,"('fortified', 'JJ')",fortifi,fortified,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
guard,guard,"('guard', 'VBP')",guard,guard,introduction
ancient,ancient,"('ancient', 'NN')",ancient,ancient,introduction
borders,borders,"('borders', 'NNS')",border,border,introduction
countless,countless,"('countless', 'JJ')",countless,countless,introduction
villages,villages,"('villages', 'NNS')",villag,village,introduction
perch,perch,"('perch', 'VBP')",perch,perch,introduction
defensively,defensively,"('defensively', 'RB')",defens,defensively,introduction
hilltops,hilltops,"('hilltops', 'NNS')",hilltop,hilltop,introduction
great,great,"('great', 'JJ')",great,great,introduction
cities,cities,"('cities', 'NNS')",citi,city,introduction
like,like,"('like', 'IN')",like,like,introduction
Arles,arles,"('arles', 'NNS')",arl,arles,introduction
Aix,aix,"('aix', 'RB')",aix,aix,introduction
Avignon,avignon,"('avignon', 'NNS')",avignon,avignon,introduction
full,full,"('full', 'JJ')",full,full,introduction
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,introduction
glories,glories,"('glories', 'NNS')",glori,glory,introduction
sensual,sensual,"('sensual', 'JJ')",sensual,sensual,introduction
inducements,inducements,"('inducements', 'NNS')",induc,inducement,introduction
Provence,provence,"('provence', 'NN')",provenc,provence,introduction
include,include,"('include', 'VBP')",includ,include,introduction
sunshine,sunshine,"('sunshine', 'JJ')",sunshin,sunshine,introduction
food,food,"('food', 'NN')",food,food,introduction
wine,wine,"('wine', 'NN')",wine,wine,introduction
heady,heady,"('heady', 'JJ')",headi,heady,introduction
perfumes,perfumes,"('perfumes', 'NNS')",perfum,perfume,introduction
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,introduction
vegetation,vegetation,"('vegetation', 'NN')",veget,vegetation,introduction
Small,small,"('small', 'JJ')",small,small,introduction
wonder,wonder,"('wonder', 'NN')",wonder,wonder,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
long,long,"('long', 'RB')",long,long,introduction
attracted,attracted,"('attracted', 'VBD')",attract,attract,introduction
rich,rich,"('rich', 'JJ')",rich,rich,introduction
famous,famous,"('famous', 'JJ')",famou,famous,introduction
artistic,artistic,"('artistic', 'JJ')",artist,artistic,introduction
reclusive,reclusive,"('reclusive', 'JJ')",reclus,reclusive,introduction
throngs,throngs,"('throngs', 'NNS')",throng,throng,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
central,central,"('central', 'JJ')",central,central,description
Provence,provence,"('provence', 'NN')",provenc,provence,description
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,description
rather,rather,"('rather', 'RB')",rather,rather,description
towns,towns,"('towns', 'NNS')",town,town,description
dominate,dominate,"('dominate', 'VBP')",domin,dominate,description
gentle,gentle,"('gentle', 'JJ')",gentl,gentle,description
hills,hills,"('hills', 'NNS')",hill,hill,description
tranquil,tranquil,"('tranquil', 'JJ')",tranquil,tranquil,description
villages,villages,"('villages', 'NNS')",villag,village,description
make,make,"('make', 'NN')",make,make,description
happy,happy,"('happy', 'JJ')",happi,happy,description
exploration,exploration,"('exploration', 'NN')",explor,exploration,description
car,car,"('car', 'NN')",car,car,description
