token,normed_token,pos_tags,stemmed_token,lemma_token,class
palace,palace,"('palace', 'NN')",palac,palace,introduction
Louvre,louvre,"('louvre', 'NN')",louvr,louvre,introduction
cuts,cuts,"('cuts', 'VBZ')",cut,cut,introduction
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction
classical,classical,"('classical', 'JJ')",classic,classical,introduction
swathe,swathe,"('swathe', 'NN')",swath,swathe,introduction
right,right,"('right', 'RB')",right,right,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
city,city,"('city', 'NN')",citi,city,introduction
fitting,fitting,"('fitting', 'JJ')",fit,fitting,introduction
setting,setting,"('setting', 'NN')",set,setting,introduction
one,one,"('one', 'CD')",one,one,introduction
world,world,"('world', 'NN')",world,world,introduction
grandest,grandest,"('grandest', 'JJS')",grandest,grand,introduction
art,art,"('art', 'NN')",art,art,introduction
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction
Originally,originally,"('originally', 'RB')",origin,originally,introduction
little,little,"('little', 'RB')",littl,little,introduction
feudal,feudal,"('feudal', 'JJ')",feudal,feudal,introduction
fortress,fortress,"('fortress', 'NN')",fortress,fortress,introduction
castle,castle,"('castle', 'NN')",castl,castle,introduction
was,was,"('was', 'VBD')",wa,be,introduction
rebuilt,rebuilt,"('rebuilt', 'VBN')",rebuilt,rebuild,introduction
new,new,"('new', 'JJ')",new,new,introduction
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,introduction
style,style,"('style', 'NN')",style,style,introduction
François,françois,"('françois', 'NN')",françoi,françois,introduction
next,next,"('next', 'JJ')",next,next,introduction
century,century,"('century', 'NN')",centuri,century,introduction
half,half,"('half', 'JJ')",half,half,introduction
France,france,"('france', 'NN')",franc,france,introduction
rulers,rulers,"('rulers', 'NNS')",ruler,ruler,introduction
steadily,steadily,"('steadily', 'RB')",steadili,steadily,introduction
aggrandized,aggrandized,"('aggrandized', 'VBD')",aggrand,aggrandize,introduction
palace,palace,"('palace', 'NN')",palac,palace,introduction
without,without,"('without', 'IN')",without,without,introduction
significantly,significantly,"('significantly', 'RB')",significantli,significantly,introduction
altering,altering,"('altering', 'VBG')",alter,alter,introduction
style,style,"('style', 'NN')",style,style,introduction
result,result,"('result', 'NN')",result,result,introduction
amazingly,amazingly,"('amazingly', 'RB')",amazingli,amazingly,introduction
harmonious,harmonious,"('harmonious', 'JJ')",harmoni,harmonious,introduction
building,building,"('building', 'VBG')",build,build,introduction
Admittedly,admittedly,"('admittedly', 'RB')",admittedli,admittedly,introduction
Napoleon,napoleon,"('napoleon', 'JJ')",napoleon,napoleon,introduction
pink,pink,"('pink', 'NN')",pink,pink,introduction
marble,marble,"('marble', 'JJ')",marbl,marble,introduction
Arc,arc,"('arc', 'NN')",arc,arc,introduction
du,du,"('du', 'NN')",du,du,introduction
Carrousel,carrousel,"('carrousel', 'NN')",carrousel,carrousel,introduction
standing,standing,"('standing', 'VBG')",stand,stand,introduction
western,western,"('western', 'JJ')",western,western,introduction
end,end,"('end', 'NN')",end,end,introduction
main,main,"('main', 'JJ')",main,main,introduction
courtyard,courtyard,"('courtyard', 'NN')",courtyard,courtyard,introduction
looks,looks,"('looks', 'VBZ')",look,look,introduction
bit,bit,"('bit', 'NN')",bit,bit,introduction
place,place,"('place', 'NN')",place,place,introduction
building,building,"('building', 'NN')",build,building,introduction
IM,im,"('im', 'NN')",im,im,introduction
Pei,pei,"('pei', 'NN')",pei,pei,introduction
controversial,controversial,"('controversial', 'JJ')",controversi,controversial,introduction
Pyramide,pyramide,"('pyramide', 'NN')",pyramid,pyramide,introduction
followed,followed,"('followed', 'VBN')",follow,follow,introduction
new,new,"('new', 'JJ')",new,new,introduction
Islamic,islamic,"('islamic', 'JJ')",islam,islamic,introduction
arts,arts,"('arts', 'NNS')",art,art,introduction
department,department,"('department', 'NN')",depart,department,introduction
sinuous,sinuous,"('sinuous', 'JJ')",sinuou,sinuous,introduction
glass,glass,"('glass', 'NN')",glass,glass,introduction
gold,gold,"('gold', 'NN')",gold,gold,introduction
roof,roof,"('roof', 'NN')",roof,roof,introduction
museum,museum,"('museum', 'NN')",museum,museum,introduction
saw,saw,"('saw', 'VBD')",saw,saw,introduction
any,any,"('any', 'DT')",ani,any,introduction
significant,significant,"('significant', 'JJ')",signific,significant,introduction
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,introduction
departure,departure,"('departure', 'NN')",departur,departure,introduction
easy,easy,"('easy', 'JJ')",easi,easy,description
put,put,"('put', 'VBN')",put,put,description
tales,tales,"('tales', 'NNS')",tale,tale,description
long,long,"('long', 'JJ')",long,long,description
queues,queues,"('queues', 'NNS')",queue,queue,description
outside,outside,"('outside', 'IN')",outsid,outside,description
