token,normed_token,pos_tags,stemmed_token,lemma_token,class
firmly,firmly,"('firmly', 'RB')",firmli,firmly,introduction
incorporated,incorporated,"('incorporated', 'VBN')",incorpor,incorporate,introduction
French,french,"('french', 'JJ')",french,french,introduction
mainstream,mainstream,"('mainstream', 'NN')",mainstream,mainstream,introduction
seaboard,seaboard,"('seaboard', 'NN')",seaboard,seaboard,introduction
province,province,"('province', 'NN')",provinc,province,introduction
Normandy,normandy,"('normandy', 'NN')",normandi,normandy,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
history,history,"('history', 'NN')",histori,history,introduction
prosperous,prosperous,"('prosperous', 'JJ')",prosper,prosperous,introduction
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction
independence,independence,"('independence', 'NN')",independ,independence,introduction
Colonized,colonized,"('colonized', 'VBN')",colon,colonize,introduction
Vikings,vikings,"('vikings', 'NNS')",vike,viking,introduction
ninth,ninth,"('ninth', 'JJ')",ninth,ninth,introduction
century,century,"('century', 'NN')",centuri,century,introduction
onwards,onwards,"('onwards', 'NNS')",onward,onwards,introduction
went,went,"('went', 'VBD')",went,go,introduction
conquer,conquer,"('conquer', 'VB')",conquer,conquer,introduction
only,only,"('only', 'RB')",onli,only,introduction
England,england,"('england', 'RB')",england,england,introduction
far,far,"('far', 'RB')",far,far,introduction
afield,afield,"('afield', 'VBN')",afield,afield,introduction
Sicily,sicily,"('sicily', 'RB')",sicili,sicily,introduction
areas,areas,"('areas', 'NNS')",area,area,introduction
Near,near,"('near', 'JJ')",near,near,introduction
East,east,"('east', 'NN')",east,east,introduction
Later,later,"('later', 'RB')",later,later,introduction
part,part,"('part', 'NN')",part,part,introduction
France,france,"('france', 'NN')",franc,france,introduction
was,was,"('was', 'VBD')",wa,be,introduction
instrumental,instrumental,"('instrumental', 'JJ')",instrument,instrumental,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
Canada,canada,"('canada', 'NN')",canada,canada,introduction
food,food,"('food', 'NN')",food,food,description
Normandy,normandy,"('normandy', 'JJ')",normandi,normandy,description
owes,owes,"('owes', 'FW')",owe,owes,description
distinctive,distinctive,"('distinctive', 'JJ')",distinct,distinctive,description
characteristic,characteristic,"('characteristic', 'JJ')",characterist,characteristic,description
richness,richness,"('richness', 'NN')",rich,richness,description
lush,lush,"('lush', 'NN')",lush,lush,description
orchards,orchards,"('orchards', 'NNS')",orchard,orchard,description
dairy,dairy,"('dairy', 'NN')",dairi,dairy,description
herds,herds,"('herds', 'NNS')",herd,herd,description
region,region,"('region', 'NN')",region,region,description
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,description
heartland,heartland,"('heartland', 'NN')",heartland,heartland,description
especially,especially,"('especially', 'RB')",especi,especially,description
Pays,pays,"('pays', 'NNS')",pay,pay,description
Auge,auge,"('auge', 'JJ')",aug,auge,description
southeast,southeast,"('southeast', 'NN')",southeast,southeast,description
Caen,caen,"('caen', 'NN')",caen,caen,description
Menus,menus,"('menus', 'NNS')",menu,menu,description
abound,abound,"('abound', 'VBP')",abound,abound,description
meat,meat,"('meat', 'NN')",meat,meat,description
veal,veal,"('veal', 'NN')",veal,veal,description
veau,veau,"('veau', 'NN')",veau,veau,description
cooked,cooked,"('cooked', 'VBD')",cook,cook,description
vallée,vallée,"('vallée', 'NN')",vallé,vallée,description
Auge,auge,"('auge', 'NN')",aug,auge,description
style,style,"('style', 'NN')",style,style,description
consists,consists,"('consists', 'VBZ')",consist,consist,description
largely,largely,"('largely', 'RB')",larg,largely,description
profligate,profligate,"('profligate', 'JJ')",proflig,profligate,description
addition,addition,"('addition', 'NN')",addit,addition,description
cream,cream,"('cream', 'NN')",cream,cream,description
butter,butter,"('butter', 'NN')",butter,butter,description
Many,many,"('many', 'JJ')",mani,many,description
dishes,dishes,"('dishes', 'NNS')",dish,dish,description
also,also,"('also', 'RB')",also,also,description
feature,feature,"('feature', 'VBP')",featur,feature,description
orchard,orchard,"('orchard', 'JJ')",orchard,orchard,description
fruit,fruit,"('fruit', 'NN')",fruit,fruit,description
either,either,"('either', 'RB')",either,either,description
natural,natural,"('natural', 'JJ')",natur,natural,description
state,state,"('state', 'NN')",state,state,description
alcoholic,alcoholic,"('alcoholic', 'JJ')",alcohol,alcoholic,description
forms,forms,"('forms', 'NNS')",form,form,description
either,either,"('either', 'CC')",either,either,description
apple,apple,"('apple', 'NN')",appl,apple,description
pear,pear,"('pear', 'JJ')",pear,pear,description
cider,cider,"('cider', 'NN')",cider,cider,description
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,description
distilled,distilled,"('distilled', 'VBN')",distil,distil,description
produce,produce,"('produce', 'VB')",produc,produce,description
relish,relish,"('relish', 'JJ')",relish,relish,description
blood,blood,"('blood', 'NN')",blood,blood,description
guts,guts,"('guts', 'NNS')",gut,gut,description
addition,addition,"('addition', 'NN')",addit,addition,description
gamier,gamier,"('gamier', 'VB')",gamier,gamier,description
meat,meat,"('meat', 'NN')",meat,meat,description
fowl,fowl,"('fowl', 'NN')",fowl,fowl,description
rabbit,rabbit,"('rabbit', 'NN')",rabbit,rabbit,description
duck,duck,"('duck', 'VB')",duck,duck,description
speciality,speciality,"('speciality', 'NN')",special,speciality,description
Rouen,rouen,"('rouen', 'NN')",rouen,rouen,description
birds,birds,"('birds', 'NNS')",bird,bird,description
strangled,strangled,"('strangled', 'VBN')",strangl,strangle,description
blood,blood,"('blood', 'NN')",blood,blood,description
gets,gets,"('gets', 'VBZ')",get,get,description
sauce,sauce,"('sauce', 'NN')",sauc,sauce,description
enjoy,enjoy,"('enjoy', 'VBP')",enjoy,enjoy,description
intestinal,intestinal,"('intestinal', 'JJ')",intestin,intestinal,description
preparations,preparations,"('preparations', 'NNS')",prepar,preparation,description
andouilles,andouilles,"('andouilles', 'NNS')",andouil,andouilles,description
sausages,sausages,"('sausages', 'NNS')",sausag,sausage,description
known,known,"('known', 'VBN')",known,know,description
English,english,"('english', 'JJ')",english,english,description
chitterlings,chitterlings,"('chitterlings', 'NNS')",chitterl,chitterlings,description
tripes,tripes,"('tripes', 'NNS')",tripe,tripe,description
stewed,stewed,"('stewed', 'VBD')",stew,stew,description
hours,hours,"('hours', 'NNS')",hour,hour,description
à,à,"('à', 'NNP')",à,à,description
la,la,"('la', 'FW')",la,la,description
