token,normed_token,pos_tags,stemmed_token,lemma_token,class
recent,recent,"('recent', 'JJ')",recent,recent,introduction
years,years,"('years', 'NNS')",year,year,introduction
Marseille,marseille,"('marseille', 'PRP')",marseil,marseille,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
undergone,undergone,"('undergone', 'VBN')",undergon,undergo,introduction
renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,introduction
France,france,"('france', 'NN')",franc,france,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
port,port,"('port', 'NN')",port,port,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
shaken,shaken,"('shaken', 'VBN')",shaken,shake,introduction
much,much,"('much', 'JJ')",much,much,introduction
old,old,"('old', 'JJ')",old,old,introduction
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction
sleaze,sleaze,"('sleaze', 'NN')",sleaz,sleaze,introduction
danger,danger,"('danger', 'NN')",danger,danger,introduction
attract,attract,"('attract', 'VB')",attract,attract,introduction
wider,wider,"('wider', 'NN')",wider,wider,introduction
range,range,"('range', 'NN')",rang,range,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
discover,discover,"('discover', 'VBP')",discov,discover,introduction
earthy,earthy,"('earthy', 'JJ')",earthi,earthy,introduction
vibrant,vibrant,"('vibrant', 'NN')",vibrant,vibrant,introduction
city,city,"('city', 'NN')",citi,city,introduction
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction
metropolis,metropolis,"('metropolis', 'JJ')",metropoli,metropolis,introduction
meet,meet,"('meet', 'NN')",meet,meet,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
hitherto,hitherto,"('hitherto', 'NN')",hitherto,hitherto,introduction
appearance,appearance,"('appearance', 'NN')",appear,appearance,introduction
scrubbed,scrubbed,"('scrubbed', 'VBD')",scrub,scrub,introduction
since,since,"('since', 'IN')",sinc,since,introduction
stint,stint,"('stint', 'NN')",stint,stint,introduction
European,european,"('european', 'JJ')",european,european,introduction
Capital,capital,"('capital', 'NN')",capit,capital,introduction
Culture,culture,"('culture', 'NN')",cultur,culture,introduction
march,march,"('march', 'NN')",march,march,introduction
progress,progress,"('progress', 'NN')",progress,progress,introduction
relentless,relentless,"('relentless', 'JJ')",relentless,relentless,introduction
occasionally,occasionally,"('occasionally', 'RB')",occasion,occasionally,introduction
last,last,"('last', 'JJ')",last,last,introduction
year,year,"('year', 'NN')",year,year,introduction
prestige,prestige,"('prestige', 'NN')",prestig,prestige,introduction
civic,civic,"('civic', 'NN')",civic,civic,introduction
project,project,"('project', 'NN')",project,project,introduction
still,still,"('still', 'RB')",still,still,introduction
becomes,becomes,"('becomes', 'VBZ')",becom,become,introduction
this,this,"('this', 'DT')",thi,this,introduction
year,year,"('year', 'NN')",year,year,introduction
broken,broken,"('broken', 'JJ')",broken,broken,introduction
fountain,fountain,"('fountain', 'NN')",fountain,fountain,introduction
Marseille,marseille,"('marseille', 'VB')",marseil,marseille,introduction
like,like,"('like', 'IN')",like,like,introduction
cities,cities,"('cities', 'NNS')",citi,city,introduction
gritty,gritty,"('gritty', 'VBP')",gritti,gritty,introduction
may,may,"('may', 'MD')",may,may,introduction
See,see,"('see', 'VBP')",see,see,introduction
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction
intermittent,intermittent,"('intermittent', 'JJ')",intermitt,intermittent,introduction
squalor,squalor,"('squalor', 'NN')",squalor,squalor,introduction
though,though,"('though', 'IN')",though,though,introduction
chances,chances,"('chances', 'NNS')",chanc,chance,introduction
warm,warm,"('warm', 'VB')",warm,warm,introduction
this,this,"('this', 'DT')",thi,this,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,introduction
creative,creative,"('creative', 'JJ')",creativ,creative,introduction
place,place,"('place', 'NN')",place,place,introduction
Founded,founded,"('founded', 'VBN')",found,found,description
Greeks,greeks,"('greeks', 'NNS')",greek,greek,description
two,two,"('two', 'CD')",two,two,description
half,half,"('half', 'NN')",half,half,description
millennia,millennia,"('millennia', 'NN')",millennia,millennium,description
ago,ago,"('ago', 'IN')",ago,ago,description
renowned,renowned,"('renowned', 'JJ')",renown,renowned,description
populated,populated,"('populated', 'JJ')",popul,populated,description
metropolitan,metropolitan,"('metropolitan', 'JJ')",metropolitan,metropolitan,description
area,area,"('area', 'NN')",area,area,description
France,france,"('france', 'NN')",franc,france,description
Paris,paris,"('paris', 'NN')",pari,paris,description
Lyon,lyon,"('lyon', 'NN')",lyon,lyon,description
has,has,"('has', 'VBZ')",ha,have,description
prospered,prospered,"('prospered', 'VBN')",prosper,prosper,description
ransacked,ransacked,"('ransacked', 'VBN')",ransack,ransack,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
has,has,"('has', 'VBZ')",ha,have,description
