token,normed_token,pos_tags,stemmed_token,lemma_token,class
region,region,"('region', 'NN')",region,region,introduction
around,around,"('around', 'IN')",around,around,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Île,île,"('île', 'NNP')",île,île,introduction
de,de,"('de', 'FW')",de,de,introduction
France,france,"('france', 'NN')",franc,france,introduction
borders,borders,"('borders', 'NNS')",border,border,introduction
neighbouring,neighbouring,"('neighbouring', 'NN')",neighbour,neighbouring,introduction
provinces,provinces,"('provinces', 'NNS')",provinc,province,introduction
studded,studded,"('studded', 'VBN')",stud,stud,introduction
châteaux,châteaux,"('châteaux', 'JJ')",châteaux,châteaux,introduction
Many,many,"('many', 'JJ')",mani,many,introduction
royal,royal,"('royal', 'JJ')",royal,royal,introduction
noble,noble,"('noble', 'JJ')",nobl,noble,introduction
hunting,hunting,"('hunting', 'VBG')",hunt,hunt,introduction
retreats,retreats,"('retreats', 'NNS')",retreat,retreat,introduction
like,like,"('like', 'JJ')",like,like,introduction
Versailles,versailles,"('versailles', 'NNS')",versail,versailles,introduction
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
serious,serious,"('serious', 'JJ')",seriou,serious,introduction
state,state,"('state', 'NN')",state,state,introduction
show,show,"('show', 'NN')",show,show,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction
harmonious,harmonious,"('harmonious', 'JJ')",harmoni,harmonious,introduction
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction
Chantilly,chantilly,"('chantilly', 'RB')",chantilli,chantilly,introduction
finest,finest,"('finest', 'JJS')",finest,fine,introduction
art,art,"('art', 'NN')",art,art,introduction
collection,collection,"('collection', 'NN')",collect,collection,introduction
Fontainebleau,fontainebleau,"('fontainebleau', 'NN')",fontainebleau,fontainebleau,introduction
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction
content,content,"('content', 'VBD')",content,content,introduction
gorgeous,gorgeous,"('gorgeous', 'JJ')",gorgeou,gorgeous,introduction
interiors,interiors,"('interiors', 'NNS')",interior,interior,introduction
Two,two,"('two', 'CD')",two,two,introduction
world,world,"('world', 'NN')",world,world,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
