token,normed_token,pos_tags,stemmed_token,lemma_token,class
three,three,"('three', 'CD')",three,three,introduction
million,million,"('million', 'CD')",million,million,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
visit,visit,"('visit', 'VBP')",visit,visit,introduction
Corsica,corsica,"('corsica', 'NNS')",corsica,corsica,introduction
year,year,"('year', 'NN')",year,year,introduction
drawn,drawn,"('drawn', 'VBN')",drawn,draw,introduction
mild,mild,"('mild', 'JJ')",mild,mild,introduction
climate,climate,"('climate', 'NN')",climat,climate,introduction
diverse,diverse,"('diverse', 'JJ')",divers,diverse,introduction
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction
Europe,europe,"('europe', 'NN')",europ,europe,introduction
Nowhere,nowhere,"('nowhere', 'RB')",nowher,nowhere,introduction
Mediterranean,mediterranean,"('mediterranean', 'NN')",mediterranean,mediterranean,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
finer,finer,"('finer', 'RB')",finer,finer,introduction
island,island,"('island', 'NN')",island,island,introduction
perfect,perfect,"('perfect', 'JJ')",perfect,perfect,introduction
bays,bays,"('bays', 'NNS')",bay,bay,introduction
white,white,"('white', 'JJ')",white,white,introduction
sand,sand,"('sand', 'NN')",sand,sand,introduction
transparent,transparent,"('transparent', 'JJ')",transpar,transparent,introduction
water,water,"('water', 'NN')",water,water,introduction
seascapes,seascapes,"('seascapes', 'VBZ')",seascap,seascapes,introduction
dramatic,dramatic,"('dramatic', 'JJ')",dramat,dramatic,introduction
red,red,"('red', 'JJ')",red,red,introduction
porphyry,porphyry,"('porphyry', 'NN')",porphyri,porphyry,introduction
Calanches,calanches,"('calanches', 'NNS')",calanch,calanches,introduction
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
west,west,"('west', 'NN')",west,west,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
Even,even,"('even', 'RB')",even,even,introduction
though,though,"('though', 'IN')",though,though,introduction
annual,annual,"('annual', 'JJ')",annual,annual,introduction
visitor,visitor,"('visitor', 'NN')",visitor,visitor,introduction
influx,influx,"('influx', 'NN')",influx,influx,introduction
exceeds,exceeds,"('exceeds', 'VBZ')",exce,exceed,introduction
island,island,"('island', 'NN')",island,island,introduction
population,population,"('population', 'NN')",popul,population,introduction
nearly,nearly,"('nearly', 'RB')",nearli,nearly,introduction
ten,ten,"('ten', 'JJ')",ten,ten,introduction
times,times,"('times', 'NNS')",time,time,introduction
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction
spoilt,spoilt,"('spoilt', 'VBD')",spoilt,spoil,introduction
place,place,"('place', 'NN')",place,place,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
overdevelopment,overdevelopment,"('overdevelopment', 'NN')",overdevelop,overdevelopment,introduction
rare,rare,"('rare', 'JJ')",rare,rare,introduction
blocks,blocks,"('blocks', 'NNS')",block,block,introduction
confined,confined,"('confined', 'VBN')",confin,confine,introduction
main,main,"('main', 'JJ')",main,main,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
Set,set,"('set', 'VBN')",set,set,description
western,western,"('western', 'JJ')",western,western,description
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,description
trade,trade,"('trade', 'NN')",trade,trade,description
routes,routes,"('routes', 'NNS')",rout,route,description
Corsica,corsica,"('corsica', 'VBP')",corsica,corsica,description
has,has,"('has', 'VBZ')",ha,have,description
always,always,"('always', 'RB')",alway,always,description
strategic,strategic,"('strategic', 'JJ')",strateg,strategic,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
appeal,appeal,"('appeal', 'NN')",appeal,appeal,description
Greeks,greeks,"('greeks', 'NNS')",greek,greek,description
Carthaginians,carthaginians,"('carthaginians', 'NNS')",carthaginian,carthaginian,description
