token,normed_token,pos_tags,stemmed_token,lemma_token,class
Only,only,"('only', 'RB')",onli,only,introduction
traverse,traverse,"('traverse', 'VBP')",travers,traverse,introduction
Rocky,rocky,"('rocky', 'JJ')",rocki,rocky,introduction
Mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction
states,states,"('states', 'NNS')",state,state,introduction
Colorado,colorado,"('colorado', 'NN')",colorado,colorado,introduction
Wyoming,wyoming,"('wyoming', 'VBG')",wyom,wyoming,introduction
Montana,montana,"('montana', 'NNS')",montana,montana,introduction
Idaho,idaho,"('idaho', 'NN')",idaho,idaho,introduction
does,does,"('does', 'VBZ')",doe,do,introduction
immense,immense,"('immense', 'JJ')",immens,immense,introduction
size,size,"('size', 'NN')",size,size,introduction
American,american,"('american', 'JJ')",american,american,introduction
West,west,"('west', 'NN')",west,west,introduction
really,really,"('really', 'RB')",realli,really,introduction
hit,hit,"('hit', 'VBD')",hit,hit,introduction
home,home,"('home', 'NN')",home,home,introduction
Stretching,stretching,"('stretching', 'NN')",stretch,stretching,introduction
one,one,"('one', 'CD')",one,one,introduction
thousand,thousand,"('thousand', 'NN')",thousand,thousand,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
virgin,virgin,"('virgin', 'NN')",virgin,virgin,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction
border,border,"('border', 'NN')",border,border,introduction
deserts,deserts,"('deserts', 'NNS')",desert,desert,introduction
New,new,"('new', 'JJ')",new,new,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
America,america,"('america', 'NN')",america,america,introduction
rugged,rugged,"('rugged', 'VBN')",rug,rugged,introduction
spine,spine,"('spine', 'NN')",spine,spine,introduction
encompasses,encompasses,"('encompasses', 'VBZ')",encompass,encompass,introduction
astonishing,astonishing,"('astonishing', 'JJ')",astonish,astonishing,introduction
array,array,"('array', 'NN')",array,array,introduction
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction
geyser,geyser,"('geyser', 'VBP')",geyser,geyser,introduction
basins,basins,"('basins', 'NNS')",basin,basin,introduction
lava,lava,"('lava', 'JJ')",lava,lava,introduction
flows,flows,"('flows', 'NNS')",flow,flow,introduction
arid,arid,"('arid', 'VBP')",arid,arid,introduction
valleys,valleys,"('valleys', 'NNS')",valley,valley,introduction
huge,huge,"('huge', 'JJ')",huge,huge,introduction
sand,sand,"('sand', 'NN')",sand,sand,introduction
dunes,dunes,"('dunes', 'NNS')",dune,dune,introduction
way,way,"('way', 'NN')",way,way,introduction
dramatic,dramatic,"('dramatic', 'JJ')",dramat,dramatic,introduction
region,region,"('region', 'NN')",region,region,introduction
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction
peaks,peaks,"('peaks', 'NNS')",peak,peak,introduction
geological,geological,"('geological', 'JJ')",geolog,geological,introduction
grandeur,grandeur,"('grandeur', 'NN')",grandeur,grandeur,introduction
enhanced,enhanced,"('enhanced', 'VBN')",enhanc,enhance,introduction
wildlife,wildlife,"('wildlife', 'NN')",wildlif,wildlife,introduction
bison,bison,"('bison', 'NN')",bison,bison,introduction
bear,bear,"('bear', 'IN')",bear,bear,introduction
moose,moose,"('moose', 'NN')",moos,moose,introduction
elk,elk,"('elk', 'NN')",elk,elk,introduction
conspicuous,conspicuous,"('conspicuous', 'JJ')",conspicu,conspicuous,introduction
legacy,legacy,"('legacy', 'NN')",legaci,legacy,introduction
miners,miners,"('miners', 'NNS')",miner,miner,introduction
cowboys,cowboys,"('cowboys', 'VBP')",cowboy,cowboys,introduction
outlaws,outlaws,"('outlaws', 'NNS')",outlaw,outlaw,introduction
Native,native,"('native', 'JJ')",nativ,native,introduction
Americans,americans,"('americans', 'NNS')",american,american,introduction
struggled,struggled,"('struggled', 'VBD')",struggl,struggle,introduction
area,area,"('area', 'NN')",area,area,introduction
rich,rich,"('rich', 'JJ')",rich,rich,introduction
resources,resources,"('resources', 'NNS')",resourc,resource,introduction
during,during,"('during', 'IN')",dure,during,introduction
nineteenth,nineteenth,"('nineteenth', 'JJ')",nineteenth,nineteenth,introduction
