token,normed_token,pos_tags,stemmed_token,lemma_token,class
bubbly,bubbly,"('bubbly', 'NN')",bubbl,bubbly,introduction
stuff,stuff,"('stuff', 'NN')",stuff,stuff,introduction
reason,reason,"('reason', 'NN')",reason,reason,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
visit,visit,"('visit', 'VBP')",visit,visit,introduction
Champagne,champagne,"('champagne', 'JJ')",champagn,champagne,introduction
drawn,drawn,"('drawn', 'NN')",drawn,drawn,introduction
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction
cellars,cellars,"('cellars', 'NNS')",cellar,cellar,introduction
region,region,"('region', 'NN')",region,region,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,introduction
city,city,"('city', 'NN')",citi,city,introduction
Reims,reims,"('reims', 'NNS')",reim,reims,introduction
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction
content,content,"('content', 'JJ')",content,content,introduction
extravagant,extravagant,"('extravagant', 'JJ')",extravag,extravagant,introduction
champagne,champagne,"('champagne', 'NN')",champagn,champagne,introduction
houses,houses,"('houses', 'NNS')",hous,house,introduction
caves,caves,"('caves', 'NNS')",cave,cave,introduction
beneath,beneath,"('beneath', 'VBP')",beneath,beneath,introduction
notable,notable,"('notable', 'JJ')",notabl,notable,introduction
vaulted,vaulted,"('vaulted', 'JJ')",vault,vaulted,introduction
ceilings,ceilings,"('ceilings', 'NNS')",ceil,ceiling,introduction
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction
bottles,bottles,"('bottles', 'NNS')",bottl,bottle,introduction
Épernay,épernay,"('épernay', 'NNP')",épernay,épernay,introduction
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
smaller,smaller,"('smaller', 'JJR')",smaller,small,introduction
town,town,"('town', 'NN')",town,town,introduction
set,set,"('set', 'VBN')",set,set,introduction
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction
heart,heart,"('heart', 'NN')",heart,heart,introduction
region,region,"('region', 'NN')",region,region,introduction
dominated,dominated,"('dominated', 'VBN')",domin,dominate,introduction
avenue,avenue,"('avenue', 'NN')",avenu,avenue,introduction
champagne,champagne,"('champagne', 'NN')",champagn,champagne,introduction
maisons,maisons,"('maisons', 'NNS')",maison,maisons,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
float,float,"('float', 'VB')",float,float,introduction
one,one,"('one', 'CD')",one,one,introduction
another,another,"('another', 'DT')",anoth,another,introduction
like,like,"('like', 'IN')",like,like,introduction
bubbles,bubbles,"('bubbles', 'NNS')",bubbl,bubble,introduction
drinking,drinking,"('drinking', 'VBG')",drink,drink,introduction
cultivation,cultivation,"('cultivation', 'NN')",cultiv,cultivation,description
vines,vines,"('vines', 'NNS')",vine,vine,description
was,was,"('was', 'VBD')",wa,be,description
already,already,"('already', 'RB')",alreadi,already,description
well,well,"('well', 'RB')",well,well,description
established,established,"('established', 'VBN')",establish,establish,description
Roman,roman,"('roman', 'NN')",roman,roman,description
times,times,"('times', 'NNS')",time,time,description
Reims,reims,"('reims', 'NNS')",reim,reims,description
was,was,"('was', 'VBD')",wa,be,description
capital,capital,"('capital', 'NN')",capit,capital,description
Roman,roman,"('roman', 'JJ')",roman,roman,description
province,province,"('province', 'NN')",provinc,province,description
Belgae,belgae,"('belgae', 'NN')",belga,belgae,description
Belgium,belgium,"('belgium', 'NN')",belgium,belgium,description
seventeenth,seventeenth,"('seventeenth', 'JJ')",seventeenth,seventeenth,description
century,century,"('century', 'NN')",centuri,century,description
still,still,"('still', 'RB')",still,still,description
wines,wines,"('wines', 'VBZ')",wine,win,description
region,region,"('region', 'NN')",region,region,description
gained,gained,"('gained', 'VBN')",gain,gain,description
considerable,considerable,"('considerable', 'JJ')",consider,considerable,description
reputation,reputation,"('reputation', 'NN')",reput,reputation,description
Contrary,contrary,"('contrary', 'NN')",contrari,contrary,description
popular,popular,"('popular', 'JJ')",popular,popular,description
myth,myth,"('myth', 'NN')",myth,myth,description
however,however,"('however', 'RB')",howev,however,description
was,was,"('was', 'VBD')",wa,be,description
Dom,dom,"('dom', 'JJ')",dom,dom,description
Pérignon,pérignon,"('pérignon', 'NN')",pérignon,pérignon,description
cellar,cellar,"('cellar', 'JJ')",cellar,cellar,description
master,master,"('master', 'NN')",master,master,description
Abbaye,abbaye,"('abbaye', 'NN')",abbay,abbaye,description
de,de,"('de', 'IN')",de,de,description
Hautvillers,hautvillers,"('hautvillers', 'NNS')",hautvil,hautvillers,description
near,near,"('near', 'IN')",near,near,description
Épernay,épernay,"('épernay', 'NN')",épernay,épernay,description
invented,invented,"('invented', 'VBD')",invent,invent,description
champagne,champagne,"('champagne', 'NN')",champagn,champagne,description
was,was,"('was', 'VBD')",wa,be,description
probably,probably,"('probably', 'RB')",probabl,probably,description
responsible,responsible,"('responsible', 'JJ')",respons,responsible,description
innovation,innovation,"('innovation', 'NN')",innov,innovation,description
mixing,mixing,"('mixing', 'VBG')",mix,mix,description
grapes,grapes,"('grapes', 'NNS')",grape,grape,description
different,different,"('different', 'JJ')",differ,different,description
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,description
wine,wine,"('wine', 'NN')",wine,wine,description
tendency,tendency,"('tendency', 'NN')",tendenc,tendency,description
within,within,"('within', 'IN')",within,within,description
bottle,bottle,"('bottle', 'NN')",bottl,bottle,description
was,was,"('was', 'VBD')",wa,be,description
controllable,controllable,"('controllable', 'JJ')",control,controllable,description
techniques,techniques,"('techniques', 'NNS')",techniqu,technique,description
produced,produced,"('produced', 'VBN')",produc,produce,description
vessels,vessels,"('vessels', 'NNS')",vessel,vessel,description
strong,strong,"('strong', 'JJ')",strong,strong,description
enough,enough,"('enough', 'RB')",enough,enough,description
contain,contain,"('contain', 'VB')",contain,contain,description
natural,natural,"('natural', 'JJ')",natur,natural,description
image,image,"('image', 'NN')",imag,image,description
Massimo,massimo,"('massimo', 'VBD')",massimo,massimo,description
northeast,northeast,"('northeast', 'NN')",northeast,northeast,description
Reims,reims,"('reims', 'NNS')",reim,reims,description
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,description
Ardennes,ardennes,"('ardennes', 'NNS')",ardenn,ardennes,description
region,region,"('region', 'NN')",region,region,description
along,along,"('along', 'IN')",along,along,description
Meuse,meuse,"('meuse', 'NN')",meus,meuse,description
valley,valley,"('valley', 'NN')",valley,valley,description
knocks,knocks,"('knocks', 'NNS')",knock,knock,description
spots,spots,"('spots', 'VBP')",spot,spot,description
any,any,"('any', 'DT')",ani,any,description
landscape,landscape,"('landscape', 'NN')",landscap,landscape,description
Champagne,champagne,"('champagne', 'NN')",champagn,champagne,description
hills,hills,"('hills', 'NNS')",hill,hill,description
lie,lie,"('lie', 'VBZ')",lie,lie,description
border,border,"('border', 'NN')",border,border,description
Belgium,belgium,"('belgium', 'NN')",belgium,belgium,description
enough,enough,"('enough', 'RB')",enough,enough,description
interest,interest,"('interest', 'NN')",interest,interest,description
French,french,"('french', 'JJ')",french,french,description
side,side,"('side', 'NN')",side,side,description
make,make,"('make', 'VB')",make,make,description
well,well,"('well', 'RB')",well,well,description
worth,worth,"('worth', 'IN')",worth,worth,description
war,war,"('war', 'NN')",war,war,description
war,war,"('war', 'NN')",war,war,description
people,people,"('people', 'NNS')",peopl,people,description
Ardennes,ardennes,"('ardennes', 'NNS')",ardenn,ardennes,description
engaged,engaged,"('engaged', 'VBN')",engag,engage,description
protracted,protracted,"('protracted', 'JJ')",protract,protracted,description
battles,battles,"('battles', 'NNS')",battl,battle,description
valley,valley,"('valley', 'NN')",valley,valley,description
Meuse,meuse,"('meuse', 'NN')",meus,meuse,description
once,once,"('once', 'RB')",onc,once,description
lost,lost,"('lost', 'VBD')",lost,lose,description
gave,gave,"('gave', 'VBD')",gave,give,description
invading,invading,"('invading', 'VBG')",invad,invade,description
