token,normed_token,pos_tags,stemmed_token,lemma_token,class
Blessed,blessed,"('blessed', 'VBN')",bless,bless,introduction
one,one,"('one', 'CD')",one,one,introduction
Germany,germany,"('germany', 'NN')",germani,germany,introduction
warmest,warmest,"('warmest', 'JJS')",warmest,warm,introduction
sunniest,sunniest,"('sunniest', 'VB')",sunniest,sunniest,introduction
climates,climates,"('climates', 'NNS')",climat,climate,introduction
wooded,wooded,"('wooded', 'VBD')",wood,wooded,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction
rise,rise,"('rise', 'VB')",rise,rise,introduction
Altstadt,altstadt,"('altstadt', 'JJ')",altstadt,altstadt,introduction
FREIBURG,freiburg,"('freiburg', 'NN')",freiburg,freiburg,introduction
officially,officially,"('officially', 'RB')",offici,officially,introduction
Freiburg,freiburg,"('freiburg', 'JJ')",freiburg,freiburg,introduction
im,im,"('im', 'NN')",im,im,introduction
Breisgau,breisgau,"('breisgau', 'NN')",breisgau,breisgau,introduction
immediately,immediately,"('immediately', 'RB')",immedi,immediately,introduction
likeable,likeable,"('likeable', 'JJ')",likeabl,likeable,introduction
place,place,"('place', 'NN')",place,place,introduction
accessible,accessible,"('accessible', 'JJ')",access,accessible,introduction
size,size,"('size', 'NN')",size,size,introduction
makes,makes,"('makes', 'VBZ')",make,make,introduction
easy,easy,"('easy', 'JJ')",easi,easy,introduction
explore,explore,"('explore', 'VB')",explor,explore,introduction
sizeable,sizeable,"('sizeable', 'JJ')",sizeabl,sizeable,introduction
university,university,"('university', 'NN')",univers,university,introduction
helps,helps,"('helps', 'VBZ')",help,help,introduction
make,make,"('make', 'VB')",make,make,introduction
upbeat,upbeat,"('upbeat', 'JJ')",upbeat,upbeat,introduction
lively,lively,"('lively', 'JJ')",live,lively,introduction
place,place,"('place', 'NN')",place,place,introduction
Though,though,"('though', 'IN')",though,though,introduction
town,town,"('town', 'NN')",town,town,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
quickly,quickly,"('quickly', 'RB')",quickli,quickly,introduction
covered,covered,"('covered', 'VBN')",cover,cover,introduction
city,city,"('city', 'NN')",citi,city,introduction
role,role,"('role', 'NN')",role,role,introduction
regional,regional,"('regional', 'JJ')",region,regional,introduction
transport,transport,"('transport', 'NN')",transport,transport,introduction
hub,hub,"('hub', 'NN')",hub,hub,introduction
makes,makes,"('makes', 'VBZ')",make,make,introduction
Freiburg,freiburg,"('freiburg', 'RB')",freiburg,freiburg,introduction
good,good,"('good', 'JJ')",good,good,introduction
base,base,"('base', 'NN')",base,base,introduction
days,days,"('days', 'NNS')",day,day,introduction
exploration,exploration,"('exploration', 'NN')",explor,exploration,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
around,around,"('around', 'IN')",around,around,introduction
town,town,"('town', 'NN')",town,town,introduction
Southern,southern,"('southern', 'JJ')",southern,southern,introduction
Black,black,"('black', 'JJ')",black,black,introduction
Forest,forest,"('forest', 'NN')",forest,forest,introduction
putting,putting,"('putting', 'VBG')",put,put,introduction
town,town,"('town', 'NN')",town,town,introduction
good,good,"('good', 'JJ')",good,good,introduction
cafés,cafés,"('cafés', 'NN')",café,cafés,introduction
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction
nightlife,nightlife,"('nightlife', 'NN')",nightlif,nightlife,introduction
disposal,disposal,"('disposal', 'NN')",dispos,disposal,introduction
day,day,"('day', 'NN')",day,day,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
Freiburg,freiburg,"('freiburg', 'NN')",freiburg,freiburg,description
Altstadt,altstadt,"('altstadt', 'NN')",altstadt,altstadt,description
was,was,"('was', 'VBD')",wa,be,description
founded,founded,"('founded', 'VBN')",found,found,description
despite,despite,"('despite', 'IN')",despit,despite,description
suffering,suffering,"('suffering', 'VBG')",suffer,suffer,description
twenty,twenty,"('twenty', 'JJ')",twenti,twenty,description
minutes,minutes,"('minutes', 'NNS')",minut,minute,description
bombardment,bombardment,"('bombardment', 'NN')",bombard,bombardment,description
war,war,"('war', 'NN')",war,war,description
eighty,eighty,"('eighty', 'JJ')",eighti,eighty,description
percent,percent,"('percent', 'NN')",percent,percent,description
town,town,"('town', 'NN')",town,town,description
was,was,"('was', 'VBD')",wa,be,description
levelled,levelled,"('levelled', 'VBN')",level,level,description
still,still,"('still', 'RB')",still,still,description
preserves,preserves,"('preserves', 'VBZ')",preserv,preserve,description
quaint,quaint,"('quaint', 'NN')",quaint,quaint,description
historic,historic,"('historic', 'JJ')",histor,historic,description
feel,feel,"('feel', 'VB')",feel,feel,description
Altstadt,altstadt,"('altstadt', 'NN')",altstadt,altstadt,description
fans,fans,"('fans', 'VBZ')",fan,fan,description
