token,normed_token,pos_tags,stemmed_token,lemma_token,class
Poor,poor,"('poor', 'JJ')",poor,poor,introduction
sexy,sexy,"('sexy', 'JJ')",sexi,sexy,introduction
hipster,hipster,"('hipster', 'JJ')",hipster,hipster,introduction
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,introduction
mayor,mayor,"('mayor', 'NN')",mayor,mayor,introduction
Klaus,klaus,"('klaus', 'VBD')",klau,klaus,introduction
Wowereit,wowereit,"('wowereit', 'WP')",wowereit,wowereit,introduction
proudly,proudly,"('proudly', 'RB')",proudli,proudly,introduction
describes,describes,"('describes', 'VBZ')",describ,describe,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
city,city,"('city', 'NN')",citi,city,introduction
poverty,poverty,"('poverty', 'NN')",poverti,poverty,introduction
stems,stems,"('stems', 'VBZ')",stem,stem,introduction
back,back,"('back', 'RB')",back,back,introduction
World,world,"('world', 'NN')",world,world,introduction
War,war,"('war', 'NN')",war,war,introduction
II,ii,"('ii', 'NN')",ii,ii,introduction
devastation,devastation,"('devastation', 'NN')",devast,devastation,introduction
bombs,bombs,"('bombs', 'NN')",bomb,bomb,introduction
razed,razed,"('razed', 'VBD')",raze,raze,introduction
percent,percent,"('percent', 'NN')",percent,percent,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
provoked,provoked,"('provoked', 'VBD')",provok,provoke,introduction
serious,serious,"('serious', 'JJ')",seriou,serious,introduction
debate,debate,"('debate', 'NN')",debat,debate,introduction
leaving,leaving,"('leaving', 'VBG')",leav,leave,introduction
city,city,"('city', 'NN')",citi,city,introduction
ruins,ruins,"('ruins', 'NNS')",ruin,ruin,introduction
starting,starting,"('starting', 'VBG')",start,start,introduction
afresh,afresh,"('afresh', 'JJ')",afresh,afresh,introduction
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction
Decades,decades,"('decades', 'NNS')",decad,decade,introduction
rebuilding,rebuilding,"('rebuilding', 'VBG')",rebuild,rebuild,introduction
since,since,"('since', 'IN')",sinc,since,introduction
almost,almost,"('almost', 'RB')",almost,almost,introduction
totally,totally,"('totally', 'RB')",total,totally,introduction
rejuvenated,rejuvenated,"('rejuvenated', 'JJ')",rejuven,rejuvenated,introduction
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,introduction
also,also,"('also', 'RB')",also,also,introduction
left,left,"('left', 'VBN')",left,leave,introduction
broke,broke,"('broke', 'VBD')",broke,break,introduction
sexiness,sexiness,"('sexiness', 'NN')",sexi,sexiness,description
dates,dates,"('dates', 'NNS')",date,date,description
back,back,"('back', 'RB')",back,back,description
even,even,"('even', 'RB')",even,even,description
debauched,debauched,"('debauched', 'VBN')",debauch,debauch,description
began,began,"('began', 'VBD')",began,begin,description
take,take,"('take', 'VB')",take,take,description
form,form,"('form', 'NN')",form,form,description
during,during,"('during', 'IN')",dure,during,description
Cold,cold,"('cold', 'JJ')",cold,cold,description
War,war,"('war', 'NN')",war,war,description
military,military,"('military', 'JJ')",militari,military,description
service,service,"('service', 'NN')",servic,service,description
loophole,loophole,"('loophole', 'NN')",loophol,loophole,description
huge,huge,"('huge', 'JJ')",huge,huge,description
West,west,"('west', 'JJ')",west,west,description
German,german,"('german', 'JJ')",german,german,description
arts,arts,"('arts', 'NNS')",art,art,description
scene,scene,"('scene', 'NN')",scene,scene,description
subsidies,subsidies,"('subsidies', 'NNS')",subsidi,subsidy,description
attracted,attracted,"('attracted', 'VBD')",attract,attract,description
hippies,hippies,"('hippies', 'NNS')",hippi,hippy,description
punks,punks,"('punks', 'NNS')",punk,punk,description
gays,gays,"('gays', 'NNS')",gay,gay,description
lesbians,lesbians,"('lesbians', 'NNS')",lesbian,lesbian,description
artists,artists,"('artists', 'NNS')",artist,artist,description
musicians,musicians,"('musicians', 'NNS')",musician,musician,description
Subsequent,subsequent,"('subsequent', 'JJ')",subsequ,subsequent,description
waves,waves,"('waves', 'NNS')",wave,wave,description
economic,economic,"('economic', 'JJ')",econom,economic,description
immigrants,immigrants,"('immigrants', 'NNS')",immigr,immigrant,description
Greece,greece,"('greece', 'NN')",greec,greece,description
Italy,italy,"('italy', 'NN')",itali,italy,description
Turkey,turkey,"('turkey', 'NN')",turkey,turkey,description
linked,linked,"('linked', 'VBN')",link,link,description
occupying,occupying,"('occupying', 'VBG')",occupi,occupy,description
American,american,"('american', 'JJ')",american,american,description
British,british,"('british', 'JJ')",british,british,description
French,french,"('french', 'JJ')",french,french,description
forces,forces,"('forces', 'NNS')",forc,force,description
current,current,"('current', 'JJ')",current,current,description
crop,crop,"('crop', 'NN')",crop,crop,description
adventurous,adventurous,"('adventurous', 'JJ')",adventur,adventurous,description
urbanites,urbanites,"('urbanites', 'NNS')",urbanit,urbanites,description
developed,developed,"('developed', 'JJ')",develop,developed,description
world,world,"('world', 'NN')",world,world,description
made,made,"('made', 'VBN')",made,make,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
Germany,germany,"('germany', 'JJ')",germani,germany,description
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,description
city,city,"('city', 'NN')",citi,city,description
multiculturalism,multiculturalism,"('multiculturalism', 'NN')",multicultur,multiculturalism,description
readily,readily,"('readily', 'RB')",readili,readily,description
reflected,reflected,"('reflected', 'VBN')",reflect,reflect,description
excellent,excellent,"('excellent', 'JJ')",excel,excellent,description
variety,variety,"('variety', 'NN')",varieti,variety,description
cuisines,cuisines,"('cuisines', 'NNS')",cuisin,cuisine,description
offer,offer,"('offer', 'NN')",offer,offer,description
city,city,"('city', 'NN')",citi,city,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
cafés,cafés,"('cafés', 'NN')",café,cafés,description
bars,bars,"('bars', 'NNS')",bar,bar,description
poor,poor,"('poor', 'JJ')",poor,poor,description
sexy,sexy,"('sexy', 'JJ')",sexi,sexy,description
combination,combination,"('combination', 'NN')",combin,combination,description
has,has,"('has', 'VBZ')",ha,have,description
also,also,"('also', 'RB')",also,also,description
created,created,"('created', 'VBN')",creat,create,description
vibrant,vibrant,"('vibrant', 'JJ')",vibrant,vibrant,description
place,place,"('place', 'NN')",place,place,description
designs,designs,"('designs', 'NNS')",design,design,description
offbeat,offbeat,"('offbeat', 'NN')",offbeat,offbeat,description
concepts,concepts,"('concepts', 'NNS')",concept,concept,description
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description
room,room,"('room', 'NN')",room,room,description
breathe,breathe,"('breathe', 'VB')",breath,breathe,description
elements,elements,"('elements', 'NNS')",element,element,description
especially,especially,"('especially', 'RB')",especi,especially,description
evident,evident,"('evident', 'JJ')",evid,evident,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
legendary,legendary,"('legendary', 'JJ')",legendari,legendary,description
nonstop,nonstop,"('nonstop', 'JJ')",nonstop,nonstop,description
nightlife,nightlife,"('nightlife', 'NN')",nightlif,nightlife,description
energetic,energetic,"('energetic', 'JJ')",energet,energetic,description
contemporary,contemporary,"('contemporary', 'JJ')",contemporari,contemporary,description
arts,arts,"('arts', 'NNS')",art,art,description
scene,scene,"('scene', 'NN')",scene,scene,description
day,day,"('day', 'NN')",day,day,description
however,however,"('however', 'RB')",howev,however,description
city,city,"('city', 'NN')",citi,city,description
remarkable,remarkable,"('remarkable', 'JJ')",remark,remarkable,description
museums,museums,"('museums', 'NNS')",museum,museum,description
memorials,memorials,"('memorials', 'NNS')",memori,memorial,description
historic,historic,"('historic', 'JJ')",histor,historic,description
sights,sights,"('sights', 'NNS')",sight,sight,description
modern,modern,"('modern', 'JJ')",modern,modern,description
buildings,buildings,"('buildings', 'NNS')",build,building,description
tend,tend,"('tend', 'VBP')",tend,tend,description
capture,capture,"('capture', 'VB')",captur,capture,description
imagination,imagination,"('imagination', 'NN')",imagin,imagination,description
even,even,"('even', 'RB')",even,even,description
little,little,"('little', 'JJ')",littl,little,description
interest,interest,"('interest', 'NN')",interest,interest,description
history,history,"('history', 'NN')",histori,history,description
architecture,architecture,"('architecture', 'VB')",architectur,architecture,description
city,city,"('city', 'NN')",citi,city,description
medley,medley,"('medley', 'NN')",medley,medley,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
styles,styles,"('styles', 'NNS')",style,style,description
range,range,"('range', 'VBP')",rang,range,description
reconstructed,reconstructed,"('reconstructed', 'VBN')",reconstruct,reconstruct,description
core,core,"('core', 'NN')",core,core,description
Nikolaiviertel,nikolaiviertel,"('nikolaiviertel', 'NN')",nikolaiviertel,nikolaiviertel,description
grand,grand,"('grand', 'JJ')",grand,grand,description
Neoclassical,neoclassical,"('neoclassical', 'JJ')",neoclass,neoclassical,description
imperial,imperial,"('imperial', 'JJ')",imperi,imperial,description
showpiece,showpiece,"('showpiece', 'JJ')",showpiec,showpiece,description
quarter,quarter,"('quarter', 'NN')",quarter,quarter,description
way,way,"('way', 'NN')",way,way,description
neighbourhoods,neighbourhoods,"('neighbourhoods', 'NNS')",neighbourhood,neighbourhood,description
mainly,mainly,"('mainly', 'RB')",mainli,mainly,description
crafted,crafted,"('crafted', 'VBN')",craft,craft,description
during,during,"('during', 'IN')",dure,during,description
conflicting,conflicting,"('conflicting', 'NN')",conflict,conflicting,description
ambitions,ambitions,"('ambitions', 'NNS')",ambit,ambition,description
philosophies,philosophies,"('philosophies', 'NNS')",philosophi,philosophy,description
Cold,cold,"('cold', 'JJ')",cold,cold,description
War,war,"('war', 'NN')",war,war,description
German,german,"('german', 'JJ')",german,german,description
government,government,"('government', 'NN')",govern,government,description
decided,decided,"('decided', 'VBD')",decid,decide,description
move,move,"('move', 'VB')",move,move,description
back,back,"('back', 'RB')",back,back,description
Berlin,berlin,"('berlin', 'VB')",berlin,berlin,description
brought,brought,"('brought', 'VBD')",brought,bring,description
stimulated,stimulated,"('stimulated', 'VBD')",stimul,stimulate,description
whole,whole,"('whole', 'JJ')",whole,whole,description
host,host,"('host', 'NN')",host,host,description
contemporary,contemporary,"('contemporary', 'JJ')",contemporari,contemporary,description
building,building,"('building', 'NN')",build,building,description
Mitte,mitte,"('mitte', 'NN')",mitt,mitte,description
district,district,"('district', 'NN')",district,district,description
literally,literally,"('literally', 'RB')",liter,literally,description
centre,centre,"('centre', 'VBZ')",centr,centre,description
huge,huge,"('huge', 'JJ')",huge,huge,description
cosmopolitan,cosmopolitan,"('cosmopolitan', 'NN')",cosmopolitan,cosmopolitan,description
varied,varied,"('varied', 'VBD')",vari,vary,description
packed,packed,"('packed', 'VBD')",pack,pack,description
enough,enough,"('enough', 'JJ')",enough,enough,description
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description
parks,parks,"('parks', 'NNS')",park,park,description
keep,keep,"('keep', 'VB')",keep,keep,description
busy,busy,"('busy', 'JJ')",busi,busy,description
days,days,"('days', 'NNS')",day,day,description
city,city,"('city', 'NN')",citi,city,description
famous,famous,"('famous', 'JJ')",famou,famous,description
landmark,landmark,"('landmark', 'NN')",landmark,landmark,description
Brandenburg,brandenburg,"('brandenburg', 'NN')",brandenburg,brandenburg,description
Gate,gate,"('gate', 'NN')",gate,gate,description
parliament,parliament,"('parliament', 'NN')",parliament,parliament,description
main,main,"('main', 'JJ')",main,main,description
train,train,"('train', 'NN')",train,train,description
station,station,"('station', 'NN')",station,station,description
really,really,"('really', 'RB')",realli,really,description
sticks,sticks,"('sticks', 'VBZ')",stick,stick,description
any,any,"('any', 'DT')",ani,any,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
map,map,"('map', 'NN')",map,map,description
Tiergarten,tiergarten,"('tiergarten', 'NN')",tiergarten,tiergarten,description
giant,giant,"('giant', 'JJ')",giant,giant,description
central,central,"('central', 'JJ')",central,central,description
park,park,"('park', 'NN')",park,park,description
southeastern,southeastern,"('southeastern', 'JJ')",southeastern,southeastern,description
corner,corner,"('corner', 'NN')",corner,corner,description
lie,lie,"('lie', 'VBD')",lie,lie,description
art,art,"('art', 'NN')",art,art,description
museums,museums,"('museums', 'NN')",museum,museum,description
Kulturforum,kulturforum,"('kulturforum', 'NN')",kulturforum,kulturforum,description
thrusting,thrusting,"('thrusting', 'NN')",thrust,thrusting,description
modern,modern,"('modern', 'JJ')",modern,modern,description
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,description
Potsdamer,potsdamer,"('potsdamer', 'NN')",potsdam,potsdamer,description
Platz,platz,"('platz', 'NN')",platz,platz,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
Piccadilly,piccadilly,"('piccadilly', 'RB')",piccadilli,piccadilly,description
Circus,circus,"('circus', 'NN')",circu,circus,description
Times,times,"('times', 'NNS')",time,time,description
Square,square,"('square', 'JJ')",squar,square,description
Northwest,northwest,"('northwest', 'JJS')",northwest,northwest,description
along,along,"('along', 'IN')",along,along,description
city,city,"('city', 'NN')",citi,city,description
premier,premier,"('premier', 'FW')",premier,premier,description
boulevard,boulevard,"('boulevard', 'NN')",boulevard,boulevard,description
Unter,unter,"('unter', 'NN')",unter,unter,description
den,den,"('den', 'JJ')",den,den,description
Linden,linden,"('linden', 'JJ')",linden,linden,description
Neoclassical,neoclassical,"('neoclassical', 'JJ')",neoclass,neoclassical,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
asserts,asserts,"('asserts', 'VBZ')",assert,assert,description
districts,districts,"('districts', 'NNS')",district,district,description
built,built,"('built', 'VBN')",built,build,description
during,during,"('during', 'IN')",dure,during,description
city,city,"('city', 'NN')",citi,city,description
time,time,"('time', 'NN')",time,time,description
Prussian,prussian,"('prussian', 'JJ')",prussian,prussian,description
capital,capital,"('capital', 'NN')",capit,capital,description
Museum,museum,"('museum', 'NN')",museum,museum,description
Island,island,"('island', 'NN')",island,island,description
incorporates,incorporates,"('incorporates', 'VBZ')",incorpor,incorporate,description
Berlin,berlin,"('berlin', 'VBP')",berlin,berlin,description
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,description
museums,museums,"('museums', 'NNS')",museum,museum,description
east,east,"('east', 'NN')",east,east,description
lies,lies,"('lies', 'VBZ')",lie,lie,description
GDR,gdr,"('gdr', 'NN')",gdr,gdr,description
socialist,socialist,"('socialist', 'JJ')",socialist,socialist,description
showpiece,showpiece,"('showpiece', 'JJ')",showpiec,showpiece,description
quarter,quarter,"('quarter', 'NN')",quarter,quarter,description
centred,centred,"('centred', 'VBN')",centr,centre,description
around,around,"('around', 'IN')",around,around,description
broad,broad,"('broad', 'JJ')",broad,broad,description
concrete,concrete,"('concrete', 'JJ')",concret,concrete,description
plaza,plaza,"('plaza', 'NN')",plaza,plaza,description
Alexanderplatz,alexanderplatz,"('alexanderplatz', 'NN')",alexanderplatz,alexanderplatz,description
distinctive,distinctive,"('distinctive', 'JJ')",distinct,distinctive,description
Fernsehturm,fernsehturm,"('fernsehturm', 'JJ')",fernsehturm,fernsehturm,description
TV,tv,"('tv', 'NN')",tv,tv,description
tower,tower,"('tower', 'NN')",tower,tower,description
only,only,"('only', 'JJ')",onli,only,description
real,real,"('real', 'JJ')",real,real,description
break,break,"('break', 'NN')",break,break,description
area,area,"('area', 'NN')",area,area,description
modernity,modernity,"('modernity', 'NN')",modern,modernity,description
Nikolaiviertel,nikolaiviertel,"('nikolaiviertel', 'NN')",nikolaiviertel,nikolaiviertel,description
tiny,tiny,"('tiny', 'JJ')",tini,tiny,description
rebuilt,rebuilt,"('rebuilt', 'JJ')",rebuilt,rebuilt,description
version,version,"('version', 'NN')",version,version,description
old,old,"('old', 'JJ')",old,old,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
Spandauer,spandauer,"('spandauer', 'NN')",spandauer,spandauer,description
Vorstadt,vorstadt,"('vorstadt', 'VBD')",vorstadt,vorstadt,description
old,old,"('old', 'JJ')",old,old,description
Jewish,jewish,"('jewish', 'JJ')",jewish,jewish,description
quarter,quarter,"('quarter', 'NN')",quarter,quarter,description
fascinating,fascinating,"('fascinating', 'VBG')",fascin,fascinate,description
reminders,reminders,"('reminders', 'NNS')",remind,reminder,description
days,days,"('days', 'NNS')",day,day,description
though,though,"('though', 'IN')",though,though,description
today,today,"('today', 'NN')",today,today,description
better,better,"('better', 'RBR')",better,well,description
known,known,"('known', 'VBN')",known,know,description
fairly,fairly,"('fairly', 'RB')",fairli,fairly,description
touristy,touristy,"('touristy', 'JJ')",touristi,touristy,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
bars,bars,"('bars', 'NNS')",bar,bar,description
nightlife,nightlife,"('nightlife', 'NN')",nightlif,nightlife,description
fashion,fashion,"('fashion', 'NN')",fashion,fashion,description
district,district,"('district', 'NN')",district,district,description
full,full,"('full', 'JJ')",full,full,description
stylish,stylish,"('stylish', 'JJ')",stylish,stylish,description
urbanwear,urbanwear,"('urbanwear', 'JJ')",urbanwear,urbanwear,description
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
suburbs,suburbs,"('suburbs', 'NNS')",suburb,suburb,description
typified,typified,"('typified', 'VBN')",typifi,typify,description
sprawl,sprawl,"('sprawl', 'NN')",sprawl,sprawl,description
prewar,prewar,"('prewar', 'JJ')",prewar,prewar,description
tenements,tenements,"('tenements', 'NNS')",tenement,tenement,description
punctuated,punctuated,"('punctuated', 'VBN')",punctuat,punctuate,description
developments,developments,"('developments', 'NNS')",develop,development,description
heavy,heavy,"('heavy', 'JJ')",heavi,heavy,description
industry,industry,"('industry', 'NN')",industri,industry,description
though,though,"('though', 'IN')",though,though,description
lakes,lakes,"('lakes', 'NNS')",lake,lake,description
woodland,woodland,"('woodland', 'VBP')",woodland,woodland,description
small,small,"('small', 'JJ')",small,small,description
towns,towns,"('towns', 'NNS')",town,town,description
villages,villages,"('villages', 'NNS')",villag,village,description
dotted,dotted,"('dotted', 'VBN')",dot,dot,description
around,around,"('around', 'IN')",around,around,description
offer,offer,"('offer', 'NN')",offer,offer,description
genuine,genuine,"('genuine', 'JJ')",genuin,genuine,description
break,break,"('break', 'NN')",break,break,description
East,east,"('east', 'JJ')",east,east,description
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,description
