token,normed_token,pos_tags,stemmed_token,lemma_token,class
Nestled,nestled,"('nestled', 'VBN')",nestl,nestle,introduction
wooded,wooded,"('wooded', 'JJ')",wood,wooded,introduction
gorge,gorge,"('gorge', 'NN')",gorg,gorge,introduction
River,river,"('river', 'NN')",river,river,introduction
Neckar,neckar,"('neckar', 'IN')",neckar,neckar,introduction
university,university,"('university', 'NN')",univers,university,introduction
town,town,"('town', 'NN')",town,town,introduction
Heidelberg,heidelberg,"('heidelberg', 'NN')",heidelberg,heidelberg,introduction
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction
roster,roster,"('roster', 'NN')",roster,roster,introduction
sights,sights,"('sights', 'NNS')",sight,sight,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
inspired,inspired,"('inspired', 'VBN')",inspir,inspire,introduction
many,many,"('many', 'JJ')",mani,many,introduction
great,great,"('great', 'JJ')",great,great,introduction
men,men,"('men', 'NNS')",men,men,introduction
Goethe,goethe,"('goethe', 'VBP')",goeth,goethe,introduction
waxed,waxed,"('waxed', 'JJ')",wax,waxed,introduction
lyrical,lyrical,"('lyrical', 'JJ')",lyric,lyrical,introduction
beauty,beauty,"('beauty', 'NN')",beauti,beauty,introduction
Turner,turner,"('turner', 'NN')",turner,turner,introduction
was,was,"('was', 'VBD')",wa,be,introduction
bewitched,bewitched,"('bewitched', 'VBN')",bewitch,bewitch,introduction
captured,captured,"('captured', 'VBD')",captur,capture,introduction
posterity,posterity,"('posterity', 'NN')",poster,posterity,introduction
Benjamin,benjamin,"('benjamin', 'NN')",benjamin,benjamin,introduction
Disraeli,disraeli,"('disraeli', 'NN')",disra,disraeli,introduction
fell,fell,"('fell', 'VBD')",fell,fell,introduction
exceeding,exceeding,"('exceeding', 'VBG')",exceed,exceed,introduction
loveliness,loveliness,"('loveliness', 'NN')",loveli,loveliness,introduction
romantic,romantic,"('romantic', 'JJ')",romant,romantic,introduction
ruggedness,ruggedness,"('ruggedness', 'NN')",rugged,ruggedness,introduction
German,german,"('german', 'JJ')",german,german,introduction
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction
unites,unites,"('unites', 'NNS')",unit,unites,introduction
perfect,perfect,"('perfect', 'JJ')",perfect,perfect,introduction
harmony,harmony,"('harmony', 'NN')",harmoni,harmony,introduction
delicate,delicate,"('delicate', 'JJ')",delic,delicate,introduction
beauty,beauty,"('beauty', 'NN')",beauti,beauty,introduction
Italy,italy,"('italy', 'NNS')",itali,italy,introduction
effective,effective,"('effective', 'JJ')",effect,effective,introduction
was,was,"('was', 'VBD')",wa,be,introduction
this,this,"('this', 'DT')",thi,this,introduction
PR,pr,"('pr', 'NN')",pr,pr,introduction
today,today,"('today', 'NN')",today,today,introduction
three,three,"('three', 'CD')",three,three,introduction
million,million,"('million', 'CD')",million,million,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
year,year,"('year', 'NN')",year,year,introduction
arrive,arrive,"('arrive', 'NN')",arriv,arrive,introduction
many,many,"('many', 'JJ')",mani,many,introduction
Heidelberg,heidelberg,"('heidelberg', 'NN')",heidelberg,heidelberg,introduction
remains,remains,"('remains', 'VBZ')",remain,remain,introduction
Grand,grand,"('grand', 'JJ')",grand,grand,introduction
European,european,"('european', 'JJ')",european,european,introduction
Tour,tour,"('tour', 'NN')",tour,tour,introduction
was,was,"('was', 'VBD')",wa,be,introduction
Romantics,romantics,"('romantics', 'NNS')",romant,romantic,introduction
Ironically,ironically,"('ironically', 'RB')",iron,ironically,description
stumbled,stumbled,"('stumbled', 'VBN')",stumbl,stumble,description
upon,upon,"('upon', 'IN')",upon,upon,description
town,town,"('town', 'NN')",town,town,description
luck,luck,"('luck', 'NN')",luck,luck,description
French,french,"('french', 'JJ')",french,french,description
troops,troops,"('troops', 'NNS')",troop,troop,description
ravaged,ravaged,"('ravaged', 'VBD')",ravag,ravage,description
Heidelberg,heidelberg,"('heidelberg', 'NN')",heidelberg,heidelberg,description
during,during,"('during', 'IN')",dure,during,description
War,war,"('war', 'NN')",war,war,description
Palatinate,palatinate,"('palatinate', 'NN')",palatin,palatinate,description
Succession,succession,"('succession', 'NN')",success,succession,description
Louis,louis,"('louis', 'VB')",loui,louis,description
XIV,xiv,"('xiv', 'NN')",xiv,xiv,description
returned,returned,"('returned', 'VBN')",return,return,description
five,five,"('five', 'CD')",five,five,description
years,years,"('years', 'NNS')",year,year,description
later,later,"('later', 'RB')",later,later,description
deliver,deliver,"('deliver', 'VB')",deliv,deliver,description
blow,blow,"('blow', 'NN')",blow,blow,description
force,force,"('force', 'NN')",forc,force,description
writer,writer,"('writer', 'NN')",writer,writer,description
Nicolas,nicolas,"('nicolas', 'NNS')",nicola,nicolas,description
Boileau,boileau,"('boileau', 'NN')",boileau,boileau,description
suggested,suggested,"('suggested', 'VBD')",suggest,suggest,description
Racine,racine,"('racine', 'JJ')",racin,racine,description
inform,inform,"('inform', 'NN')",inform,inform,description
Académie,académie,"('académie', 'NN')",académi,académie,description
Française,française,"('française', 'NN')",français,française,description
Heidelberger,heidelberger,"('heidelberger', 'NN')",heidelberg,heidelberger,description
deleta,deleta,"('deleta', 'NN')",deleta,deleta,description
cap,cap,"('cap', 'VB')",cap,cap,description
tale,tale,"('tale', 'NN')",tale,tale,description
woe,woe,"('woe', 'NN')",woe,woe,description
Palatinate,palatinate,"('palatinate', 'NN')",palatin,palatinate,description
elector,elector,"('elector', 'NN')",elector,elector,description
Charles,charles,"('charles', 'NNS')",charl,charles,description
Philip,philip,"('philip', 'VBP')",philip,philip,description
left,left,"('left', 'VBN')",left,leave,description
favour,favour,"('favour', 'NN')",favour,favour,description
Mannheim,mannheim,"('mannheim', 'NN')",mannheim,mannheim,description
Protestant,protestant,"('protestant', 'JJ')",protest,protestant,description
stronghold,stronghold,"('stronghold', 'NN')",stronghold,stronghold,description
refused,refused,"('refused', 'VBD')",refus,refuse,description
embrace,embrace,"('embrace', 'VB')",embrac,embrace,description
Catholicism,catholicism,"('catholicism', 'NN')",catholic,catholicism,description
demoting,demoting,"('demoting', 'VBG')",demot,demote,description
ravaged,ravaged,"('ravaged', 'VBD')",ravag,ravage,description
Heidelberg,heidelberg,"('heidelberg', 'NN')",heidelberg,heidelberg,description
another,another,"('another', 'DT')",anoth,another,description
provincial,provincial,"('provincial', 'JJ')",provinci,provincial,description
Wittelsbach,wittelsbach,"('wittelsbach', 'NN')",wittelsbach,wittelsbach,description
ruler,ruler,"('ruler', 'NN')",ruler,ruler,description
Frederick,frederick,"('frederick', 'NN')",frederick,frederick,description
V,v,"('v', 'NN')",v,v,description
commissioned,commissioned,"('commissioned', 'VBD')",commiss,commission,description
his,his,"('his', 'PRP$')",hi,his,description
ornamental,ornamental,"('ornamental', 'JJ')",ornament,ornamental,description
gardens,gardens,"('gardens', 'NNS')",garden,garden,description
charm,charm,"('charm', 'VB')",charm,charm,description
his,his,"('his', 'PRP$')",hi,his,description
uppity,uppity,"('uppity', 'NN')",uppiti,uppity,description
English,english,"('english', 'JJ')",english,english,description
bride,bride,"('bride', 'NN')",bride,bride,description
Elizabeth,elizabeth,"('elizabeth', 'IN')",elizabeth,elizabeth,description
Stuart,stuart,"('stuart', 'JJ')",stuart,stuart,description
daughter,daughter,"('daughter', 'NN')",daughter,daughter,description
James,james,"('james', 'NNS')",jame,james,description
surprise,surprise,"('surprise', 'VB')",surpris,surprise,description
says,says,"('says', 'VBZ')",say,say,description
local,local,"('local', 'JJ')",local,local,description
lore,lore,"('lore', 'NN')",lore,lore,description
erected,erected,"('erected', 'VBD')",erect,erect,description
overnight,overnight,"('overnight', 'RP')",overnight,overnight,description
Elisabethentor,elisabethentor,"('elisabethentor', 'NN')",elisabethentor,elisabethentor,description
west,west,"('west', 'NN')",west,west,description
Schloss,schloss,"('schloss', 'NN')",schloss,schloss,description
terrace,terrace,"('terrace', 'NN')",terrac,terrace,description
Poor,poor,"('poor', 'JJ')",poor,poor,description
Frederick,frederick,"('frederick', 'JJ')",frederick,frederick,description
his,his,"('his', 'PRP$')",hi,his,description
attempts,attempts,"('attempts', 'NNS')",attempt,attempt,description
impress,impress,"('impress', 'VB')",impress,impress,description
succeeded,succeeded,"('succeeded', 'VBN')",succeed,succeed,description
Four,four,"('four', 'CD')",four,four,description
years,years,"('years', 'NNS')",year,year,description
later,later,"('later', 'RB')",later,later,description
better,better,"('better', 'JJR')",better,good,description
advice,advice,"('advice', 'NN')",advic,advice,description
impetuous,impetuous,"('impetuous', 'JJ')",impetu,impetuous,description
was,was,"('was', 'VBD')",wa,be,description
crowned,crowned,"('crowned', 'VBN')",crown,crown,description
King,king,"('king', 'NN')",king,king,description
Bohemia,bohemia,"('bohemia', 'NN')",bohemia,bohemia,description
declared,declared,"('declared', 'VBD')",declar,declare,description
threat,threat,"('threat', 'NN')",threat,threat,description
mighty,mighty,"('mighty', 'NN')",mighti,mighty,description
Habsburg,habsburg,"('habsburg', 'NN')",habsburg,habsburg,description
dynasty,dynasty,"('dynasty', 'VBZ')",dynasti,dynasty,description
clash,clash,"('clash', 'NN')",clash,clash,description
proved,proved,"('proved', 'VBD')",prove,prove,description
disaster,disaster,"('disaster', 'NN')",disast,disaster,description
his,his,"('his', 'PRP$')",hi,his,description
forces,forces,"('forces', 'NNS')",forc,force,description
routed,routed,"('routed', 'VBN')",rout,rout,description
Emperor,emperor,"('emperor', 'NN')",emperor,emperor,description
Ferdinand,ferdinand,"('ferdinand', 'NN')",ferdinand,ferdinand,description
II,ii,"('ii', 'NN')",ii,ii,description
Winter,winter,"('winter', 'NN')",winter,winter,description
King,king,"('king', 'NN')",king,king,description
was,was,"('was', 'VBD')",wa,be,description
stripped,stripped,"('stripped', 'VBN')",strip,strip,description
his,his,"('his', 'PRP$')",hi,his,description
titles,titles,"('titles', 'NNS')",titl,title,description
Europe,europe,"('europe', 'NN')",europ,europe,description
igniting,igniting,"('igniting', 'VBG')",ignit,ignite,description
tinderbox,tinderbox,"('tinderbox', 'NN')",tinderbox,tinderbox,description
resentments,resentments,"('resentments', 'NNS')",resent,resentment,description
became,became,"('became', 'VBD')",becam,become,description
Thirty,thirty,"('thirty', 'NN')",thirti,thirty,description
Years,years,"('years', 'NNS')",year,year,description
War,war,"('war', 'NN')",war,war,description
