token,normed_token,pos_tags,stemmed_token,lemma_token,class
HAMBURG,hamburg,"('hamburg', 'NN')",hamburg,hamburg,introduction
suffers,suffers,"('suffers', 'NNS')",suffer,suffers,introduction
image,image,"('image', 'NN')",imag,image,introduction
schizophrenia,schizophrenia,"('schizophrenia', 'NN')",schizophrenia,schizophrenia,introduction
many,many,"('many', 'JJ')",mani,many,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
Germany,germany,"('germany', 'VBP')",germani,germany,introduction
second,second,"('second', 'JJ')",second,second,introduction
metropolis,metropolis,"('metropolis', 'NN')",metropoli,metropolis,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
sin,sin,"('sin', 'JJ')",sin,sin,introduction
city,city,"('city', 'NN')",citi,city,introduction
place,place,"('place', 'NN')",place,place,introduction
prostitutes,prostitutes,"('prostitutes', 'NNS')",prostitut,prostitute,introduction
strip,strip,"('strip', 'NN')",strip,strip,introduction
shows,shows,"('shows', 'NNS')",show,show,introduction
Reeperbahn,reeperbahn,"('reeperbahn', 'NN')",reeperbahn,reeperbahn,introduction
district,district,"('district', 'NN')",district,district,introduction
homeland,homeland,"('homeland', 'NN')",homeland,homeland,introduction
revered,revered,"('revered', 'VBN')",rever,revere,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,introduction
stylish,stylish,"('stylish', 'NN')",stylish,stylish,introduction
rapaciously,rapaciously,"('rapaciously', 'RB')",rapaci,rapaciously,introduction
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,introduction
home,home,"('home', 'NN')",home,home,introduction
highest,highest,"('highest', 'JJS')",highest,high,introduction
millionaires,millionaires,"('millionaires', 'NNS')",millionair,millionaire,introduction
country,country,"('country', 'NN')",countri,country,introduction
Either,either,"('either', 'DT')",either,either,introduction
way,way,"('way', 'NN')",way,way,introduction
cause,cause,"('cause', 'NN')",caus,cause,introduction
one,one,"('one', 'CD')",one,one,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
ports,ports,"('ports', 'NNS')",port,port,introduction
Europe,europe,"('europe', 'NN')",europ,europe,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
sucked,sucked,"('sucked', 'VBN')",suck,suck,introduction
wealth,wealth,"('wealth', 'NN')",wealth,wealth,introduction
probably,probably,"('probably', 'RB')",probabl,probably,introduction
vice,vice,"('vice', 'NN')",vice,vice,introduction
ever,ever,"('ever', 'RB')",ever,ever,introduction
since,since,"('since', 'IN')",sinc,since,introduction
canny,canny,"('canny', 'JJ')",canni,canny,introduction
piece,piece,"('piece', 'NN')",piec,piece,introduction
diplomatic,diplomatic,"('diplomatic', 'JJ')",diplomat,diplomatic,introduction
manoeuvring,manoeuvring,"('manoeuvring', 'NN')",manoeuvr,manoeuvring,introduction
led,led,"('led', 'JJ')",led,led,introduction
Emperor,emperor,"('emperor', 'NN')",emperor,emperor,introduction
Friederich,friederich,"('friederich', 'NN')",friederich,friederich,introduction
also,also,"('also', 'RB')",also,also,introduction
known,known,"('known', 'VBN')",known,know,introduction
Emperor,emperor,"('emperor', 'NN')",emperor,emperor,introduction
Barbarossa,barbarossa,"('barbarossa', 'NN')",barbarossa,barbarossa,introduction
grant,grant,"('grant', 'VB')",grant,grant,introduction
imports,imports,"('imports', 'NNS')",import,import,introduction
Elbe,elbe,"('elbe', 'NN')",elb,elbe,introduction
Hamburg,hamburg,"('hamburg', 'NN')",hamburg,hamburg,introduction
never,never,"('never', 'RB')",never,never,introduction
looked,looked,"('looked', 'VBD')",look,look,introduction
back,back,"('back', 'RP')",back,back,introduction
good,good,"('good', 'JJ')",good,good,introduction
times,times,"('times', 'NNS')",time,time,introduction
began,began,"('began', 'VBD')",began,begin,introduction
roll,roll,"('roll', 'VB')",roll,roll,introduction
early,early,"('early', 'JJ')",earli,early,introduction
Middle,middle,"('middle', 'NN')",middl,middle,introduction
Ages,ages,"('ages', 'NNS')",age,age,introduction
fostered,fostered,"('fostered', 'VBD')",foster,foster,introduction
links,links,"('links', 'NNS')",link,link,introduction
Hanseatic,hanseatic,"('hanseatic', 'JJ')",hanseat,hanseatic,introduction
leader,leader,"('leader', 'NN')",leader,leader,introduction
Lübeck,lübeck,"('lübeck', 'NN')",lübeck,lübeck,introduction
city,city,"('city', 'NN')",citi,city,introduction
paused,paused,"('paused', 'VBD')",paus,pause,introduction
only,only,"('only', 'RB')",onli,only,introduction
congratulate,congratulate,"('congratulate', 'VB')",congratul,congratulate,introduction
declared,declared,"('declared', 'VBD')",declar,declare,introduction
Free,free,"('free', 'JJ')",free,free,introduction
Imperial,imperial,"('imperial', 'JJ')",imperi,imperial,introduction
City,city,"('city', 'NN')",citi,city,introduction
Emperor,emperor,"('emperor', 'NN')",emperor,emperor,introduction
Maximilian,maximilian,"('maximilian', 'NN')",maximilian,maximilian,introduction
Today,today,"('today', 'NN')",today,today,description
restless,restless,"('restless', 'NN')",restless,restless,description
forever,forever,"('forever', 'RB')",forev,forever,description
reinventing,reinventing,"('reinventing', 'VBG')",reinvent,reinvent,description
Hamburg,hamburg,"('hamburg', 'NN')",hamburg,hamburg,description
still,still,"('still', 'RB')",still,still,description
flaunts,flaunts,"('flaunts', 'VBZ')",flaunt,flaunt,description
