token,normed_token,pos_tags,stemmed_token,lemma_token,class
images,images,"('images', 'NNS')",imag,image,introduction
foreigners,foreigners,"('foreigners', 'NNS')",foreign,foreigner,introduction
think,think,"('think', 'VBP')",think,think,introduction
typically,typically,"('typically', 'RB')",typic,typically,introduction
Bavarian,bavarian,"('bavarian', 'JJ')",bavarian,bavarian,introduction
accumulate,accumulate,"('accumulate', 'NN')",accumul,accumulate,introduction
profusion,profusion,"('profusion', 'NN')",profus,profusion,introduction
region,region,"('region', 'NN')",region,region,introduction
south,south,"('south', 'NN')",south,south,introduction
Munich,munich,"('munich', 'NN')",munich,munich,introduction
Mad,mad,"('mad', 'NN')",mad,mad,introduction
King,king,"('king', 'VBG')",king,king,introduction
Ludwig,ludwig,"('ludwig', 'JJ')",ludwig,ludwig,introduction
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction
preside,preside,"('preside', 'RB')",presid,preside,introduction
dramatically,dramatically,"('dramatically', 'RB')",dramat,dramatically,introduction
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction
alpine,alpine,"('alpine', 'NN')",alpin,alpine,introduction
settings,settings,"('settings', 'NNS')",set,setting,introduction
church,church,"('church', 'VBP')",church,church,introduction
towers,towers,"('towers', 'NNS')",tower,tower,introduction
rise,rise,"('rise', 'VBP')",rise,rise,introduction
above,above,"('above', 'IN')",abov,above,introduction
brilliant,brilliant,"('brilliant', 'NN')",brilliant,brilliant,introduction
green,green,"('green', 'JJ')",green,green,introduction
meadows,meadows,"('meadows', 'VBZ')",meadow,meadows,introduction
impossibly,impossibly,"('impossibly', 'RB')",imposs,impossibly,introduction
blue,blue,"('blue', 'JJ')",blue,blue,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
fringe,fringe,"('fringe', 'VBP')",fring,fringe,introduction
dark,dark,"('dark', 'JJ')",dark,dark,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
sparkling,sparkling,"('sparkling', 'JJ')",sparkl,sparkling,introduction
peaks,peaks,"('peaks', 'NNS')",peak,peak,introduction
Bavarian,bavarian,"('bavarian', 'JJ')",bavarian,bavarian,introduction
Alps,alps,"('alps', 'NN')",alp,alp,introduction
define,define,"('define', 'VB')",defin,define,introduction
southern,southern,"('southern', 'JJ')",southern,southern,introduction
horizon,horizon,"('horizon', 'NN')",horizon,horizon,introduction
Getting,getting,"('getting', 'VBG')",get,get,description
around,around,"('around', 'IN')",around,around,description
region,region,"('region', 'NN')",region,region,description
remarkably,remarkably,"('remarkably', 'RB')",remark,remarkably,description
easy,easy,"('easy', 'JJ')",easi,easy,description
Regensburg,regensburg,"('regensburg', 'NN')",regensburg,regensburg,description
Passau,passau,"('passau', 'NN')",passau,passau,description
Berchtesgadener,berchtesgadener,"('berchtesgadener', 'NN')",berchtesgaden,berchtesgadener,description
Land,land,"('land', 'NN')",land,land,description
linked,linked,"('linked', 'VBN')",link,link,description
Autobahn,autobahn,"('autobahn', 'NN')",autobahn,autobahn,description
network,network,"('network', 'NN')",network,network,description
train,train,"('train', 'NN')",train,train,description
services,services,"('services', 'NNS')",servic,service,description
connect,connect,"('connect', 'VBP')",connect,connect,description
Munich,munich,"('munich', 'JJ')",munich,munich,description
major,major,"('major', 'JJ')",major,major,description
towns,towns,"('towns', 'NNS')",town,town,description
reach,reach,"('reach', 'VB')",reach,reach,description
Alps,alps,"('alps', 'NN')",alp,alp,description
far,far,"('far', 'RB')",far,far,description
Füssen,füssen,"('füssen', 'NNS')",füssen,füssen,description
Berchtesgaden,berchtesgaden,"('berchtesgaden', 'NN')",berchtesgaden,berchtesgaden,description
train,train,"('train', 'NN')",train,train,description
services,services,"('services', 'NNS')",servic,service,description
end,end,"('end', 'VBP')",end,end,description
buses,buses,"('buses', 'NNS')",buse,bus,description
take,take,"('take', 'VBP')",take,take,description
services,services,"('services', 'NNS')",servic,service,description
linking,linking,"('linking', 'VBG')",link,link,description
least,least,"('least', 'JJS')",least,least,description
important,important,"('important', 'JJ')",import,important,description
tourist,tourist,"('tourist', 'NN')",tourist,tourist,description
sites,sites,"('sites', 'NNS')",site,site,description
relatively,relatively,"('relatively', 'RB')",rel,relatively,description
has,has,"('has', 'VBZ')",ha,have,description
determined,determined,"('determined', 'VBN')",determin,determine,description
character,character,"('character', 'NN')",charact,character,description
Eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
Bavaria,bavaria,"('bavaria', 'NN')",bavaria,bavaria,description
every,every,"('every', 'DT')",everi,every,description
bit,bit,"('bit', 'NN')",bit,bit,description
much,much,"('much', 'RB')",much,much,description
Alps,alps,"('alps', 'NNS')",alp,alp,description
shaped,shaped,"('shaped', 'VBN')",shape,shape,description
south,south,"('south', 'NN')",south,south,description
state,state,"('state', 'NN')",state,state,description
vast,vast,"('vast', 'JJ')",vast,vast,description
uninterrupted,uninterrupted,"('uninterrupted', 'JJ')",uninterrupt,uninterrupted,description
belt,belt,"('belt', 'NN')",belt,belt,description
forested,forested,"('forested', 'JJ')",forest,forested,description
upland,upland,"('upland', 'VBP')",upland,upland,description
Bayerischer,bayerischer,"('bayerischer', 'NN')",bayerisch,bayerischer,description
Wald,wald,"('wald', 'NN')",wald,wald,description
Bavarian,bavarian,"('bavarian', 'JJ')",bavarian,bavarian,description
Forest,forest,"('forest', 'NN')",forest,forest,description
guards,guards,"('guards', 'NNS')",guard,guard,description
Bavaria,bavaria,"('bavaria', 'VBP')",bavaria,bavaria,description
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
flank,flank,"('flank', 'NN')",flank,flank,description
border,border,"('border', 'NN')",border,border,description
Czech,czech,"('czech', 'NN')",czech,czech,description
Republic,republic,"('republic', 'NN')",republ,republic,description
sparsely,sparsely,"('sparsely', 'RB')",spars,sparsely,description
populated,populated,"('populated', 'JJ')",popul,populated,description
compared,compared,"('compared', 'VBN')",compar,compare,description
much,much,"('much', 'JJ')",much,much,description
rest,rest,"('rest', 'NN')",rest,rest,description
Bavaria,bavaria,"('bavaria', 'NNS')",bavaria,bavaria,description
still,still,"('still', 'RB')",still,still,description
relatively,relatively,"('relatively', 'RB')",rel,relatively,description
tract,tract,"('tract', 'JJ')",tract,tract,description
was,was,"('was', 'VBD')",wa,be,description
decades,decades,"('decades', 'NNS')",decad,decade,description
sort,sort,"('sort', 'NN')",sort,sort,description
rural,rural,"('rural', 'JJ')",rural,rural,description
running,running,"('running', 'VBG')",run,run,description
northwest,northwest,"('northwest', 'JJS')",northwest,northwest,description
southeast,southeast,"('southeast', 'VB')",southeast,southeast,description
along,along,"('along', 'IN')",along,along,description
Iron,iron,"('iron', 'NN')",iron,iron,description
Curtain,curtain,"('curtain', 'NN')",curtain,curtain,description
contrast,contrast,"('contrast', 'NN')",contrast,contrast,description
immediately,immediately,"('immediately', 'RB')",immedi,immediately,description
west,west,"('west', 'NN')",west,west,description
Bayerischer,bayerischer,"('bayerischer', 'NN')",bayerisch,bayerischer,description
Wald,wald,"('wald', 'VBD')",wald,wald,description
valley,valley,"('valley', 'NN')",valley,valley,description
Danube,danube,"('danube', 'NN')",danub,danube,description
runs,runs,"('runs', 'VBZ')",run,run,description
parallel,parallel,"('parallel', 'RB')",parallel,parallel,description
border,border,"('border', 'NN')",border,border,description
one,one,"('one', 'CD')",one,one,description
great,great,"('great', 'JJ')",great,great,description
natural,natural,"('natural', 'JJ')",natur,natural,description
trade,trade,"('trade', 'NN')",trade,trade,description
routes,routes,"('routes', 'NNS')",rout,route,description
Central,central,"('central', 'JJ')",central,central,description
Europe,europe,"('europe', 'NN')",europ,europe,description
Strung,strung,"('strung', 'NN')",strung,strung,description
along,along,"('along', 'IN')",along,along,description
series,series,"('series', 'NN')",seri,series,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
small,small,"('small', 'JJ')",small,small,description
cities,cities,"('cities', 'NNS')",citi,city,description
has,has,"('has', 'VBZ')",ha,have,description
known,known,"('known', 'VBN')",known,know,description
glory,glory,"('glory', 'NN')",glori,glory,description
past,past,"('past', 'JJ')",past,past,description
Regensburg,regensburg,"('regensburg', 'NN')",regensburg,regensburg,description
largest,largest,"('largest', 'JJS')",largest,large,description
former,former,"('former', 'JJ')",former,former,description
free,free,"('free', 'JJ')",free,free,description
imperial,imperial,"('imperial', 'JJ')",imperi,imperial,description
city,city,"('city', 'NN')",citi,city,description
one,one,"('one', 'CD')",one,one,description
medieval,medieval,"('medieval', 'NN')",mediev,medieval,description
cityscapes,cityscapes,"('cityscapes', 'NNS')",cityscap,cityscape,description
Central,central,"('central', 'JJ')",central,central,description
Europe,europe,"('europe', 'NN')",europ,europe,description
south,south,"('south', 'JJ')",south,south,description
Passau,passau,"('passau', 'NN')",passau,passau,description
former,former,"('former', 'JJ')",former,former,description
touch,touch,"('touch', 'NN')",touch,touch,description
Italy,italy,"('italy', 'NN')",itali,italy,description
monuments,monuments,"('monuments', 'NNS')",monument,monument,description
two,two,"('two', 'CD')",two,two,description
Straubing,straubing,"('straubing', 'NN')",straub,straubing,description
looks,looks,"('looks', 'VBZ')",look,look,description
back,back,"('back', 'RB')",back,back,description
distant,distant,"('distant', 'JJ')",distant,distant,description
golden,golden,"('golden', 'JJ')",golden,golden,description
age,age,"('age', 'NN')",age,age,description
capital,capital,"('capital', 'NN')",capit,capital,description
strange,strange,"('strange', 'JJ')",strang,strange,description
medieval,medieval,"('medieval', 'NN')",mediev,medieval,description
Duchy,duchy,"('duchy', 'NN')",duchi,duchy,description
straddled,straddled,"('straddled', 'VBD')",straddl,straddle,description
Bavaria,bavaria,"('bavaria', 'NNS')",bavaria,bavaria,description
Netherlands,netherlands,"('netherlands', 'NNS')",netherland,netherlands,description
forgotten,forgotten,"('forgotten', 'VBN')",forgotten,forget,description
Landshut,landshut,"('landshut', 'VBN')",landshut,landshut,description
River,river,"('river', 'NN')",river,river,description
Isar,isar,"('isar', 'VBZ')",isar,isar,description
ancestral,ancestral,"('ancestral', 'JJ')",ancestr,ancestral,description
seat,seat,"('seat', 'NN')",seat,seat,description
Wittelsbach,wittelsbach,"('wittelsbach', 'NN')",wittelsbach,wittelsbach,description
Lower,lower,"('lower', 'JJR')",lower,low,description
Bavaria,bavaria,"('bavaria', 'NN')",bavaria,bavaria,description
past,past,"('past', 'JJ')",past,past,description
eight,eight,"('eight', 'CD')",eight,eight,description
hundred,hundred,"('hundred', 'CD')",hundr,hundred,description
years,years,"('years', 'NNS')",year,year,description
brief,brief,"('brief', 'JJ')",brief,brief,description
period,period,"('period', 'NN')",period,period,description
thirteenth,thirteenth,"('thirteenth', 'JJ')",thirteenth,thirteenth,description
century,century,"('century', 'NN')",centuri,century,description
Munich,munich,"('munich', 'NN')",munich,munich,description
predecessor,predecessor,"('predecessor', 'NN')",predecessor,predecessor,description
Wittelsbachs,wittelsbachs,"('wittelsbachs', 'NN')",wittelsbach,wittelsbachs,description
main,main,"('main', 'JJ')",main,main,description
seat,seat,"('seat', 'NN')",seat,seat,description
LANDSHUT,landshut,"('landshut', 'NN')",landshut,landshut,description
has,has,"('has', 'VBZ')",ha,have,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
splendours,splendours,"('splendours', 'NNS')",splendour,splendour,description
quite,quite,"('quite', 'RB')",quit,quite,description
outshine,outshine,"('outshine', 'VB')",outshin,outshine,description
present,present,"('present', 'JJ')",present,present,description
status,status,"('status', 'NN')",statu,status,description
bustling,bustling,"('bustling', 'NN')",bustl,bustling,description
essentially,essentially,"('essentially', 'RB')",essenti,essentially,description
provincial,provincial,"('provincial', 'JJ')",provinci,provincial,description
town,town,"('town', 'NN')",town,town,description
midway,midway,"('midway', 'NN')",midway,midway,description
Munich,munich,"('munich', 'NN')",munich,munich,description
Regensburg,regensburg,"('regensburg', 'VB')",regensburg,regensburg,description
glory,glory,"('glory', 'NN')",glori,glory,description
days,days,"('days', 'NNS')",day,day,description
came,came,"('came', 'VBD')",came,come,description
rich,rich,"('rich', 'JJ')",rich,rich,description
dukes,dukes,"('dukes', 'NNS')",duke,duke,description
was,was,"('was', 'VBD')",wa,be,description
seat,seat,"('seat', 'NN')",seat,seat,description
government,government,"('government', 'NN')",govern,government,description
duchy,duchy,"('duchy', 'NN')",duchi,duchy,description
wedding,wedding,"('wedding', 'NN')",wed,wedding,description
one,one,"('one', 'CD')",one,one,description
dukes,dukes,"('dukes', 'NNS')",duke,duke,description
Georg,georg,"('georg', 'VBP')",georg,georg,description
Jadwiga,jadwiga,"('jadwiga', 'VB')",jadwiga,jadwiga,description
Hedwig,hedwig,"('hedwig', 'NN')",hedwig,hedwig,description
German,german,"('german', 'JJ')",german,german,description
daughter,daughter,"('daughter', 'NN')",daughter,daughter,description
Polish,polish,"('polish', 'JJ')",polish,polish,description
king,king,"('king', 'NN')",king,king,description
was,was,"('was', 'VBD')",wa,be,description
one,one,"('one', 'CD')",one,one,description
lavish,lavish,"('lavish', 'JJ')",lavish,lavish,description
celebrations,celebrations,"('celebrations', 'NNS')",celebr,celebration,description
late,late,"('late', 'JJ')",late,late,description
Middle,middle,"('middle', 'NN')",middl,middle,description
Ages,ages,"('ages', 'NNS')",age,age,description
provides,provides,"('provides', 'VBZ')",provid,provide,description
template,template,"('template', 'NN')",templat,template,description
town,town,"('town', 'NN')",town,town,description
celebrated,celebrated,"('celebrated', 'JJ')",celebr,celebrated,description
festival,festival,"('festival', 'NN')",festiv,festival,description
Landshuter,landshuter,"('landshuter', 'NN')",landshut,landshuter,description
Hochzeit,hochzeit,"('hochzeit', 'NN')",hochzeit,hochzeit,description
Landshut,landshut,"('landshut', 'NN')",landshut,landshut,description
Wedding,wedding,"('wedding', 'NN')",wed,wedding,description
this,this,"('this', 'DT')",thi,this,description
memorable,memorable,"('memorable', 'JJ')",memor,memorable,description
location,location,"('location', 'NN')",locat,location,description
Austrian,austrian,"('austrian', 'JJ')",austrian,austrian,description
border,border,"('border', 'NN')",border,border,description
confluence,confluence,"('confluence', 'NN')",confluenc,confluence,description
rivers,rivers,"('rivers', 'NNS')",river,river,description
Inn,inn,"('inn', 'VBP')",inn,inn,description
Ilz,ilz,"('ilz', 'NN')",ilz,ilz,description
Danube,danube,"('danube', 'NN')",danub,danube,description
PASSAU,passau,"('passau', 'NN')",passau,passau,description
has,has,"('has', 'VBZ')",ha,have,description
lively,lively,"('lively', 'RB')",live,lively,description
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,description
feel,feel,"('feel', 'NN')",feel,feel,description
quite,quite,"('quite', 'JJ')",quit,quite,description
belies,belies,"('belies', 'NNS')",beli,belies,description
modest,modest,"('modest', 'JJ')",modest,modest,description
size,size,"('size', 'NN')",size,size,description
city,city,"('city', 'NN')",citi,city,description
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,description
has,has,"('has', 'VBZ')",ha,have,description
nevertheless,nevertheless,"('nevertheless', 'RB')",nevertheless,nevertheless,description
long,long,"('long', 'RB')",long,long,description
important,important,"('important', 'JJ')",import,important,description
place,place,"('place', 'NN')",place,place,description
was,was,"('was', 'VBD')",wa,be,description
Roman,roman,"('roman', 'JJ')",roman,roman,description
fort,fort,"('fort', 'NN')",fort,fort,description
site,site,"('site', 'NN')",site,site,description
around,around,"('around', 'IN')",around,around,description
AD,ad,"('ad', 'NN')",ad,ad,description
bishopric,bishopric,"('bishopric', 'NN')",bishopr,bishopric,description
was,was,"('was', 'VBD')",wa,be,description
founded,founded,"('founded', 'VBN')",found,found,description
AD,ad,"('ad', 'NN')",ad,ad,description
this,this,"('this', 'DT')",thi,this,description
was,was,"('was', 'VBD')",wa,be,description
raised,raised,"('raised', 'VBN')",rais,raise,description
status,status,"('status', 'NN')",statu,status,description
independent,independent,"('independent', 'JJ')",independ,independent,description
status,status,"('status', 'NN')",statu,status,description
retained,retained,"('retained', 'VBD')",retain,retain,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
secularized,secularized,"('secularized', 'VBN')",secular,secularize,description
annexed,annexed,"('annexed', 'VBN')",annex,annex,description
shared,shared,"('shared', 'VBD')",share,share,description
fate,fate,"('fate', 'NN')",fate,fate,description
Bavarian,bavarian,"('bavarian', 'NN')",bavarian,bavarian,description
start,start,"('start', 'NN')",start,start,description
nineteenth,nineteenth,"('nineteenth', 'JJ')",nineteenth,nineteenth,description
century,century,"('century', 'NN')",centuri,century,description
Passau,passau,"('passau', 'NN')",passau,passau,description
also,also,"('also', 'RB')",also,also,description
rates,rates,"('rates', 'NNS')",rate,rate,description
mention,mention,"('mention', 'NN')",mention,mention,description
Nibelungenlied,nibelungenlied,"('nibelungenlied', 'JJ')",nibelungenli,nibelungenlied,description
epic,epic,"('epic', 'NN')",epic,epic,description
poem,poem,"('poem', 'NN')",poem,poem,description
