token,normed_token,pos_tags,stemmed_token,lemma_token,class
Cologne,cologne,"('cologne', 'NN')",cologn,cologne,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
western,western,"('western', 'JJ')",western,western,introduction
Germany,germany,"('germany', 'NN')",germani,germany,introduction
cities,cities,"('cities', 'NNS')",citi,city,introduction
though,though,"('though', 'IN')",though,though,introduction
given,given,"('given', 'VBN')",given,give,introduction
was,was,"('was', 'VBD')",wa,be,introduction
visited,visited,"('visited', 'VBN')",visit,visit,introduction
early,early,"('early', 'JJ')",earli,early,introduction
often,often,"('often', 'RB')",often,often,introduction
RAF,raf,"('raf', 'NN')",raf,raf,introduction
during,during,"('during', 'IN')",dure,during,introduction
World,world,"('world', 'NN')",world,world,introduction
War,war,"('war', 'NN')",war,war,introduction
II,ii,"('ii', 'NN')",ii,ii,introduction
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
Nevertheless,nevertheless,"('nevertheless', 'NN')",nevertheless,nevertheless,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
unique,unique,"('unique', 'JJ')",uniqu,unique,introduction
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,introduction
inheritance,inheritance,"('inheritance', 'NN')",inherit,inheritance,introduction
long,long,"('long', 'JJ')",long,long,introduction
history,history,"('history', 'NN')",histori,history,introduction
creates,creates,"('creates', 'VBZ')",creat,create,introduction
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction
sense,sense,"('sense', 'NN')",sens,sense,introduction
continuity,continuity,"('continuity', 'NN')",continu,continuity,introduction
above,above,"('above', 'IN')",abov,above,introduction
instantly,instantly,"('instantly', 'RB')",instantli,instantly,introduction
recognizable,recognizable,"('recognizable', 'JJ')",recogniz,recognizable,introduction
shape,shape,"('shape', 'NN')",shape,shape,introduction
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,introduction
one,one,"('one', 'CD')",one,one,introduction
famous,famous,"('famous', 'JJ')",famou,famous,introduction
religious,religious,"('religious', 'JJ')",religi,religious,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
planet,planet,"('planet', 'NN')",planet,planet,introduction
seat,seat,"('seat', 'NN')",seat,seat,introduction
Germany,germany,"('germany', 'JJ')",germani,germany,introduction
Catholic,catholic,"('catholic', 'JJ')",cathol,catholic,introduction
primate,primate,"('primate', 'NN')",primat,primate,introduction
Cologne,cologne,"('cologne', 'NN')",cologn,cologne,introduction
also,also,"('also', 'RB')",also,also,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
highly,highly,"('highly', 'RB')",highli,highly,introduction
developed,developed,"('developed', 'JJ')",develop,developed,introduction
sense,sense,"('sense', 'NN')",sens,sense,introduction
distinctiveness,distinctiveness,"('distinctiveness', 'NN')",distinct,distinctiveness,introduction
expressed,expressed,"('expressed', 'VBN')",express,express,introduction
strong,strong,"('strong', 'JJ')",strong,strong,introduction
Kölsch,kölsch,"('kölsch', 'NN')",kölsch,kölsch,introduction
dialect,dialect,"('dialect', 'VBP')",dialect,dialect,introduction
beer,beer,"('beer', 'NN')",beer,beer,introduction
name,name,"('name', 'NN')",name,name,introduction
hedonistic,hedonistic,"('hedonistic', 'JJ')",hedonist,hedonistic,introduction
approach,approach,"('approach', 'NN')",approach,approach,introduction
life,life,"('life', 'NN')",life,life,introduction
apparent,apparent,"('apparent', 'JJ')",appar,apparent,introduction
during,during,"('during', 'IN')",dure,during,introduction
Karneval,karneval,"('karneval', 'JJ')",karnev,karneval,introduction
Though,though,"('though', 'IN')",though,though,introduction
museums,museums,"('museums', 'NNS')",museum,museum,introduction
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction
nothing,nothing,"('nothing', 'NN')",noth,nothing,introduction
Germany,germany,"('germany', 'NN')",germani,germany,introduction
fourth,fourth,"('fourth', 'JJ')",fourth,fourth,introduction
city,city,"('city', 'NN')",citi,city,introduction
nation,nation,"('nation', 'NN')",nation,nation,introduction
television,television,"('television', 'NN')",televis,television,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
home,home,"('home', 'NN')",home,home,introduction
major,major,"('major', 'JJ')",major,major,introduction
broadcasters,broadcasters,"('broadcasters', 'NNS')",broadcast,broadcaster,introduction
WDR,wdr,"('wdr', 'VBP')",wdr,wdr,introduction
RTL,rtl,"('rtl', 'NN')",rtl,rtl,introduction
also,also,"('also', 'RB')",also,also,introduction
despite,despite,"('despite', 'IN')",despit,despite,introduction
rivalry,rivalry,"('rivalry', 'NN')",rivalri,rivalry,introduction
Berlin,berlin,"('berlin', 'NN')",berlin,berlin,introduction
still,still,"('still', 'RB')",still,still,introduction
important,important,"('important', 'JJ')",import,important,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
art,art,"('art', 'NN')",art,art,introduction
world,world,"('world', 'NN')",world,world,introduction
small,small,"('small', 'JJ')",small,small,introduction
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,introduction
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction
peppering,peppering,"('peppering', 'VBG')",pepper,pepper,introduction
inner,inner,"('inner', 'JJ')",inner,inner,introduction
city,city,"('city', 'NN')",citi,city,introduction
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
COLOGNE,cologne,"('cologne', 'NN')",cologn,cologne,description
was,was,"('was', 'VBD')",wa,be,description
German,german,"('german', 'JJ')",german,german,description
