token,normed_token,pos_tags,stemmed_token,lemma_token,class
may,may,"('may', 'MD')",may,may,introduction
STUTTGART,stuttgart,"('stuttgart', 'VB')",stuttgart,stuttgart,introduction
certainly,certainly,"('certainly', 'RB')",certainli,certainly,introduction
Detroit,detroit,"('detroit', 'JJ')",detroit,detroit,introduction
Instead,instead,"('instead', 'RB')",instead,instead,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
surprisingly,surprisingly,"('surprisingly', 'RB')",surprisingli,surprisingly,introduction
small,small,"('small', 'JJ')",small,small,introduction
population,population,"('population', 'NN')",popul,population,introduction
laidback,laidback,"('laidback', 'NN')",laidback,laidback,introduction
leafy,leafy,"('leafy', 'VB')",leafi,leafy,introduction
idyllic,idyllic,"('idyllic', 'JJ')",idyl,idyllic,introduction
setting,setting,"('setting', 'NN')",set,setting,introduction
palm,palm,"('palm', 'NN')",palm,palm,introduction
valley,valley,"('valley', 'NN')",valley,valley,introduction
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction
thrive,thrive,"('thrive', 'CD')",thrive,thrive,introduction
multitude,multitude,"('multitude', 'NN')",multitud,multitude,introduction
parks,parks,"('parks', 'NNS')",park,park,introduction
often,often,"('often', 'RB')",often,often,introduction
seem,seem,"('seem', 'VBP')",seem,seem,introduction
shape,shape,"('shape', 'VB')",shape,shape,introduction
presence,presence,"('presence', 'NN')",presenc,presence,introduction
industrial,industrial,"('industrial', 'JJ')",industri,industrial,introduction
giants,giants,"('giants', 'NNS')",giant,giant,introduction
Consequently,consequently,"('consequently', 'RB')",consequ,consequently,introduction
likely,likely,"('likely', 'JJ')",like,likely,introduction
spend,spend,"('spend', 'VB')",spend,spend,introduction
much,much,"('much', 'JJ')",much,much,introduction
time,time,"('time', 'NN')",time,time,introduction
centre,centre,"('centre', 'JJ')",centr,centre,introduction
many,many,"('many', 'JJ')",mani,many,introduction
Stuttgart,stuttgart,"('stuttgart', 'JJ')",stuttgart,stuttgart,introduction
best,best,"('best', 'JJS')",best,best,introduction
sights,sights,"('sights', 'NNS')",sight,sight,introduction
spread,spread,"('spread', 'VBN')",spread,spread,introduction
across,across,"('across', 'IN')",across,across,introduction
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
surround,surround,"('surround', 'VBD')",surround,surround,introduction
city,city,"('city', 'NN')",citi,city,introduction
find,find,"('find', 'VB')",find,find,introduction
good,good,"('good', 'JJ')",good,good,introduction
hikes,hikes,"('hikes', 'NNS')",hike,hike,introduction
among,among,"('among', 'IN')",among,among,introduction
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction
Stuttgart,stuttgart,"('stuttgart', 'JJ')",stuttgart,stuttgart,introduction
celebrated,celebrated,"('celebrated', 'VBD')",celebr,celebrate,introduction
rustic,rustic,"('rustic', 'JJ')",rustic,rustic,introduction
wine,wine,"('wine', 'NN')",wine,wine,introduction
