token,normed_token,pos_tags,stemmed_token,lemma_token,class
Germany,germany,"('germany', 'NN')",germani,germany,introduction
castles,castles,"('castles', 'NNS')",castl,castle,introduction
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction
stuff,stuff,"('stuff', 'NN')",stuff,stuff,introduction
fairytales,fairytales,"('fairytales', 'NNS')",fairytal,fairytale,introduction
Towering,towering,"('towering', 'VBG')",tower,tower,introduction
spires,spires,"('spires', 'NNS')",spire,spire,introduction
handsome,handsome,"('handsome', 'JJ')",handsom,handsome,introduction
facades,facades,"('facades', 'NNS')",facad,facade,introduction
met,met,"('met', 'VBN')",met,meet,introduction
interiors,interiors,"('interiors', 'NNS')",interior,interior,introduction
lavishly,lavishly,"('lavishly', 'RB')",lavishli,lavishly,introduction
decorated,decorated,"('decorated', 'VBN')",decor,decorate,introduction
marble,marble,"('marble', 'JJ')",marbl,marble,introduction
rococo,rococo,"('rococo', 'NN')",rococo,rococo,introduction
flourishes,flourishes,"('flourishes', 'NNS')",flourish,flourish,introduction
ceiling,ceiling,"('ceiling', 'NN')",ceil,ceiling,introduction
frescoes,frescoes,"('frescoes', 'NNS')",fresco,fresco,introduction
extravagance,extravagance,"('extravagance', 'NN')",extravag,extravagance,introduction
Germany,germany,"('germany', 'NN')",germani,germany,introduction
World,world,"('world', 'NN')",world,world,introduction
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction
castles,castles,"('castles', 'NNS')",castl,castle,introduction
got,got,"('got', 'VBN')",got,get,introduction
covered,covered,"('covered', 'VBD')",cover,cover,introduction
moment,moment,"('moment', 'NN')",moment,moment,description
see,see,"('see', 'VBP')",see,see,description
breathtakingly,breathtakingly,"('breathtakingly', 'RB')",breathtakingli,breathtakingly,description
lavish,lavish,"('lavish', 'JJ')",lavish,lavish,description
ceremonial,ceremonial,"('ceremonial', 'JJ')",ceremoni,ceremonial,description
staircase,staircase,"('staircase', 'NN')",staircas,staircase,description
Balthasar,balthasar,"('balthasar', 'NN')",balthasar,balthasar,description
Neumann,neumann,"('neumann', 'NN')",neumann,neumann,description
frothy,frothy,"('frothy', 'JJ')",frothi,frothy,description
rocailles,rocailles,"('rocailles', 'NNS')",rocail,rocailles,description
vivid,vivid,"('vivid', 'JJ')",vivid,vivid,description
stucco,stucco,"('stucco', 'NN')",stucco,stucco,description
marble,marble,"('marble', 'JJ')",marbl,marble,description
effects,effects,"('effects', 'NNS')",effect,effect,description
understand,understand,"('understand', 'JJ')",understand,understand,description
why,why,"('why', 'WRB')",whi,why,description
this,this,"('this', 'DT')",thi,this,description
was,was,"('was', 'VBD')",wa,be,description
Clemens,clemens,"('clemens', 'JJ')",clemen,clemens,description
August,august,"('august', 'JJ')",august,august,description
favourite,favourite,"('favourite', 'JJ')",favourit,favourite,description
residence,residence,"('residence', 'NN')",resid,residence,description
ascend,ascend,"('ascend', 'VBP')",ascend,ascend,description
staircase,staircase,"('staircase', 'NN')",staircas,staircase,description
sheer,sheer,"('sheer', 'NN')",sheer,sheer,description
exuberance,exuberance,"('exuberance', 'NN')",exuber,exuberance,description
design,design,"('design', 'NN')",design,design,description
becomes,becomes,"('becomes', 'VBZ')",becom,become,description
apparent,apparent,"('apparent', 'JJ')",appar,apparent,description
Napoleon,napoleon,"('napoleon', 'NN')",napoleon,napoleon,description
visited,visited,"('visited', 'VBD')",visit,visit,description
said,said,"('said', 'VBD')",said,say,description
remarked,remarked,"('remarked', 'VBN')",remark,remark,description
was,was,"('was', 'VBD')",wa,be,description
pity,pity,"('pity', 'NN')",piti,pity,description
palace,palace,"('palace', 'NN')",palac,palace,description
wheels,wheels,"('wheels', 'NNS')",wheel,wheel,description
could,could,"('could', 'MD')",could,could,description
take,take,"('take', 'VB')",take,take,description
home,home,"('home', 'RB')",home,home,description
dizzying,dizzying,"('dizzying', 'VBG')",dizzi,dizzy,description
reception,reception,"('reception', 'NN')",recept,reception,description
rooms,rooms,"('rooms', 'NNS')",room,room,description
top,top,"('top', 'NN')",top,top,description
staircase,staircase,"('staircase', 'NN')",staircas,staircase,description
continue,continue,"('continue', 'NN')",continu,continue,description
similar,similar,"('similar', 'JJ')",similar,similar,description
gardens,gardens,"('gardens', 'NNS')",garden,garden,description
parterres,parterres,"('parterres', 'NNS')",parterr,parterre,description
fountains,fountains,"('fountains', 'NNS')",fountain,fountain,description
offer,offer,"('offer', 'VBP')",offer,offer,description
outdoor,outdoor,"('outdoor', 'JJ')",outdoor,outdoor,description
equivalent,equivalent,"('equivalent', 'NN')",equival,equivalent,description
indoor,indoor,"('indoor', 'NN')",indoor,indoor,description
excess,excess,"('excess', 'NN')",excess,excess,description
created,created,"('created', 'VBN')",creat,create,description
Dominique,dominique,"('dominique', 'JJ')",dominiqu,dominique,description
Girard,girard,"('girard', 'NN')",girard,girard,description
modelled,modelled,"('modelled', 'VBN')",model,model,description
French,french,"('french', 'JJ')",french,french,description
designs,designs,"('designs', 'NNS')",design,design,description
avenue,avenue,"('avenue', 'NN')",avenu,avenue,description
leads,leads,"('leads', 'VBZ')",lead,lead,description
across,across,"('across', 'IN')",across,across,description
park,park,"('park', 'NN')",park,park,description
delightful,delightful,"('delightful', 'JJ')",delight,delightful,description
little,little,"('little', 'JJ')",littl,little,description
Falkenlust,falkenlust,"('falkenlust', 'JJ')",falkenlust,falkenlust,description
hunting,hunting,"('hunting', 'VBG')",hunt,hunt,description
lodge,lodge,"('lodge', 'NN')",lodg,lodge,description
edge,edge,"('edge', 'NN')",edg,edge,description
