token,normed_token,pos_tags,stemmed_token,lemma_token,class
setting,setting,"('setting', 'NN')",set,setting,introduction
countless,countless,"('countless', 'JJ')",countless,countless,introduction
Grimm,grimm,"('grimm', 'NN')",grimm,grimm,introduction
Brothers,brothers,"('brothers', 'NNS')",brother,brother,introduction
fairy,fairy,"('fairy', 'VBP')",fairi,fairy,introduction
tales,tales,"('tales', 'VBZ')",tale,tales,introduction
Black,black,"('black', 'JJ')",black,black,introduction
Forest,forest,"('forest', 'JJS')",forest,forest,introduction
happily,happily,"('happily', 'RB')",happili,happily,introduction
plays,plays,"('plays', 'VBZ')",play,play,introduction
image,image,"('image', 'NN')",imag,image,introduction
land,land,"('land', 'NN')",land,land,introduction
cuckoo,cuckoo,"('cuckoo', 'NN')",cuckoo,cuckoo,introduction
clocks,clocks,"('clocks', 'NNS')",clock,clock,introduction
cherry,cherry,"('cherry', 'VBP')",cherri,cherry,introduction
gâteaux,gâteaux,"('gâteaux', 'JJ')",gâteaux,gâteaux,introduction
outlandish,outlandish,"('outlandish', 'JJ')",outlandish,outlandish,introduction
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,introduction
garb,garb,"('garb', 'NN')",garb,garb,introduction
hefty,hefty,"('hefty', 'NN')",hefti,hefty,introduction
farmhouses,farmhouses,"('farmhouses', 'NNS')",farmhous,farmhouse,introduction
hill,hill,"('hill', 'VB')",hill,hill,introduction
upon,upon,"('upon', 'IN')",upon,upon,introduction
hill,hill,"('hill', 'NN')",hill,hill,introduction
dark,dark,"('dark', 'JJ')",dark,dark,introduction
evergreen,evergreen,"('evergreen', 'JJ')",evergreen,evergreen,introduction
forest,forest,"('forest', 'NN')",forest,forest,introduction
even,even,"('even', 'RB')",even,even,introduction
brief,brief,"('brief', 'JJ')",brief,brief,introduction
exploration,exploration,"('exploration', 'NN')",explor,exploration,introduction
soon,soon,"('soon', 'RB')",soon,soon,introduction
reveals,reveals,"('reveals', 'VBZ')",reveal,reveal,introduction
character,character,"('character', 'NN')",charact,character,introduction
region,region,"('region', 'NN')",region,region,introduction
part,part,"('part', 'NN')",part,part,introduction
state,state,"('state', 'NN')",state,state,introduction
was,was,"('was', 'VBD')",wa,be,introduction
shaped,shaped,"('shaped', 'VBN')",shape,shape,introduction
much,much,"('much', 'JJ')",much,much,introduction
history,history,"('history', 'NN')",histori,history,introduction
borderland,borderland,"('borderland', 'NN')",borderland,borderland,introduction
Germany,germany,"('germany', 'JJ')",germani,germany,introduction
France,france,"('france', 'NN')",franc,france,introduction
Switzerland,switzerland,"('switzerland', 'NN')",switzerland,switzerland,introduction
something,something,"('something', 'NN')",someth,something,introduction
evidence,evidence,"('evidence', 'NN')",evid,evidence,introduction
Since,since,"('since', 'IN')",sinc,since,description
Roman,roman,"('roman', 'NN')",roman,roman,description
times,times,"('times', 'NNS')",time,time,description
this,this,"('this', 'DT')",thi,this,description
series,series,"('series', 'NN')",seri,series,description
rounded,rounded,"('rounded', 'JJ')",round,rounded,description
granite,granite,"('granite', 'NN')",granit,granite,description
summits,summits,"('summits', 'NNS')",summit,summit,description
topographically,topographically,"('topographically', 'RB')",topograph,topographically,description
forms,forms,"('forms', 'VBZ')",form,form,description
counterpart,counterpart,"('counterpart', 'NN')",counterpart,counterpart,description
France,france,"('france', 'VB')",franc,france,description
Vosges,vosges,"('vosges', 'NNS')",vosg,vosges,description
western,western,"('western', 'JJ')",western,western,description
side,side,"('side', 'NN')",side,side,description
Rhine,rhine,"('rhine', 'NN')",rhine,rhine,description
Valley,valley,"('valley', 'NN')",valley,valley,description
has,has,"('has', 'VBZ')",ha,have,description
border,border,"('border', 'NN')",border,border,description
region,region,"('region', 'NN')",region,region,description
Romans,romans,"('romans', 'NNS')",roman,roman,description
found,found,"('found', 'VBD')",found,find,description
harsh,harsh,"('harsh', 'JJ')",harsh,harsh,description
rather,rather,"('rather', 'RB')",rather,rather,description
impenetrable,impenetrable,"('impenetrable', 'JJ')",impenetr,impenetrable,description
region,region,"('region', 'NN')",region,region,description
took,took,"('took', 'VBD')",took,take,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
populate,populate,"('populate', 'VB')",popul,populate,description
even,even,"('even', 'RB')",even,even,description
was,was,"('was', 'VBD')",wa,be,description
considered,considered,"('considered', 'VBN')",consid,consider,description
oddly,oddly,"('oddly', 'RB')",oddli,oddly,description
backward,backward,"('backward', 'JJ')",backward,backward,description
part,part,"('part', 'NN')",part,part,description
Germany,germany,"('germany', 'NN')",germani,germany,description
Inevitably,inevitably,"('inevitably', 'RB')",inevit,inevitably,description
Black,black,"('black', 'JJ')",black,black,description
Forest,forest,"('forest', 'NN')",forest,forest,description
first,first,"('first', 'RB')",first,first,description
rose,rose,"('rose', 'VBD')",rose,rise,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
prominence,prominence,"('prominence', 'NN')",promin,prominence,description
timber,timber,"('timber', 'NN')",timber,timber,description
forestry,forestry,"('forestry', 'NN')",forestri,forestry,description
naturally,naturally,"('naturally', 'RB')",natur,naturally,description
spawned,spawned,"('spawned', 'VBD')",spawn,spawn,description
woodwork,woodwork,"('woodwork', 'NN')",woodwork,woodwork,description
giving,giving,"('giving', 'VBG')",give,give,description
farmers,farmers,"('farmers', 'NNS')",farmer,farmer,description
something,something,"('something', 'NN')",someth,something,description
winter,winter,"('winter', 'NN')",winter,winter,description
famous,famous,"('famous', 'JJ')",famou,famous,description
industry,industry,"('industry', 'NN')",industri,industry,description
associated,associated,"('associated', 'JJ')",associ,associated,description
precision,precision,"('precision', 'NN')",precis,precision,description
engineering,engineering,"('engineering', 'NN')",engin,engineering,description
manufacture,manufacture,"('manufacture', 'NN')",manufactur,manufacture,description
musical,musical,"('musical', 'JJ')",music,musical,description
instruments,instruments,"('instruments', 'NNS')",instrument,instrument,description
followed,followed,"('followed', 'VBD')",follow,follow,description
continue,continue,"('continue', 'VBP')",continu,continue,description
provide,provide,"('provide', 'VB')",provid,provide,description
jobs,jobs,"('jobs', 'NNS')",job,job,description
though,though,"('though', 'IN')",though,though,description
