token,normed_token,pos_tags,stemmed_token,lemma_token,class
One,one,"('one', 'CD')",one,one,introduction
America,america,"('america', 'NN')",america,america,introduction
oldest,oldest,"('oldest', 'JJS')",oldest,old,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
cities,cities,"('cities', 'NNS')",citi,city,introduction
SANTA,santa,"('santa', 'VBP')",santa,santa,introduction
FE,fe,"('fe', 'NN')",fe,fe,introduction
was,was,"('was', 'VBD')",wa,be,introduction
founded,founded,"('founded', 'VBN')",found,found,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
adventurers,adventurers,"('adventurers', 'NNS')",adventur,adventurer,introduction
missionaries,missionaries,"('missionaries', 'NNS')",missionari,missionary,introduction
decade,decade,"('decade', 'NN')",decad,decade,introduction
before,before,"('before', 'IN')",befor,before,introduction
Pilgrims,pilgrims,"('pilgrims', 'NNS')",pilgrim,pilgrim,introduction
reached,reached,"('reached', 'VBD')",reach,reach,introduction
Plymouth,plymouth,"('plymouth', 'NN')",plymouth,plymouth,introduction
Rock,rock,"('rock', 'NN')",rock,rock,introduction
Spread,spread,"('spread', 'NN')",spread,spread,introduction
across,across,"('across', 'IN')",across,across,introduction
high,high,"('high', 'JJ')",high,high,introduction
plateau,plateau,"('plateau', 'NN')",plateau,plateau,introduction
foot,foot,"('foot', 'NN')",foot,foot,introduction
stunning,stunning,"('stunning', 'JJ')",stun,stunning,introduction
Sangre,sangre,"('sangre', 'NN')",sangr,sangre,introduction
de,de,"('de', 'IN')",de,de,introduction
Cristo,cristo,"('cristo', 'NN')",cristo,cristo,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
New,new,"('new', 'JJ')",new,new,introduction
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
still,still,"('still', 'RB')",still,still,introduction
glories,glories,"('glories', 'VBZ')",glori,glory,introduction
adobe,adobe,"('adobe', 'NN')",adob,adobe,introduction
houses,houses,"('houses', 'NNS')",hous,house,introduction
baroque,baroque,"('baroque', 'JJ')",baroqu,baroque,introduction
churches,churches,"('churches', 'NNS')",church,church,introduction
original,original,"('original', 'JJ')",origin,original,introduction
architects,architects,"('architects', 'NNS')",architect,architect,introduction
