token,normed_token,pos_tags,stemmed_token,lemma_token,class
giant,giant,"('giant', 'JJ')",giant,giant,introduction
body,body,"('body', 'NN')",bodi,body,introduction
water,water,"('water', 'NN')",water,water,introduction
balmy,balmy,"('balmy', 'NN')",balmi,balmy,introduction
dry,dry,"('dry', 'JJ')",dri,dry,introduction
climate,climate,"('climate', 'NN')",climat,climate,introduction
Bodensee,bodensee,"('bodensee', 'NN')",bodense,bodensee,introduction
Lake,lake,"('lake', 'NN')",lake,lake,introduction
Constance,constance,"('constance', 'NN')",constanc,constance,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
long,long,"('long', 'RB')",long,long,introduction
Germany,germany,"('germany', 'JJ')",germani,germany,introduction
Riviera,riviera,"('riviera', 'NN')",riviera,riviera,introduction
hugs,hugs,"('hugs', 'VBZ')",hug,hug,introduction
country,country,"('country', 'NN')",countri,country,introduction
southwest,southwest,"('southwest', 'JJS')",southwest,southwest,introduction
border,border,"('border', 'NN')",border,border,introduction
Austria,austria,"('austria', 'NNS')",austria,austria,introduction
Switzerland,switzerland,"('switzerland', 'NN')",switzerland,switzerland,introduction
Alps,alps,"('alps', 'NN')",alp,alp,introduction
rear,rear,"('rear', 'VB')",rear,rear,introduction
creating,creating,"('creating', 'VBG')",creat,create,introduction
fine,fine,"('fine', 'JJ')",fine,fine,introduction
backdrop,backdrop,"('backdrop', 'NN')",backdrop,backdrop,introduction
German,german,"('german', 'JJ')",german,german,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
along,along,"('along', 'IN')",along,along,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
dot,dot,"('dot', 'VBP')",dot,dot,introduction
north,north,"('north', 'JJ')",north,north,introduction
shore,shore,"('shore', 'NN')",shore,shore,introduction
include,include,"('include', 'VBP')",includ,include,introduction
idyllic,idyllic,"('idyllic', 'NN')",idyl,idyllic,introduction
Lindau,lindau,"('lindau', 'NN')",lindau,lindau,introduction
transport,transport,"('transport', 'NN')",transport,transport,introduction
hub,hub,"('hub', 'NN')",hub,hub,introduction
Friedrichshafen,friedrichshafen,"('friedrichshafen', 'NN')",friedrichshafen,friedrichshafen,introduction
archetypal,archetypal,"('archetypal', 'JJ')",archetyp,archetypal,introduction
medieval,medieval,"('medieval', 'NN')",mediev,medieval,introduction
lakeside,lakeside,"('lakeside', 'NN')",lakesid,lakeside,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
Meersburg,meersburg,"('meersburg', 'VBZ')",meersburg,meersburg,introduction
upbeat,upbeat,"('upbeat', 'JJ')",upbeat,upbeat,introduction
city,city,"('city', 'NN')",citi,city,introduction
Konstanz,konstanz,"('konstanz', 'NN')",konstanz,konstanz,introduction
southern,southern,"('southern', 'JJ')",southern,southern,introduction
shore,shore,"('shore', 'NN')",shore,shore,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,introduction
place,place,"('place', 'NN')",place,place,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
easily,easily,"('easily', 'RB')",easili,easily,introduction
best,best,"('best', 'JJS')",best,best,introduction
base,base,"('base', 'NN')",base,base,introduction
regular,regular,"('regular', 'JJ')",regular,regular,introduction
ferry,ferry,"('ferry', 'NN')",ferri,ferry,introduction
services,services,"('services', 'NNS')",servic,service,introduction
across,across,"('across', 'IN')",across,across,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
nearby,nearby,"('nearby', 'VB')",nearbi,nearby,introduction
islands,islands,"('islands', 'NNS')",island,island,introduction
Given,given,"('given', 'VBN')",given,give,introduction
good,good,"('good', 'JJ')",good,good,introduction
weather,weather,"('weather', 'NN')",weather,weather,introduction
Bodensee,bodensee,"('bodensee', 'NN')",bodense,bodensee,introduction
region,region,"('region', 'NN')",region,region,introduction
known,known,"('known', 'VBN')",known,know,introduction
outdoor,outdoor,"('outdoor', 'JJ')",outdoor,outdoor,introduction
activities,activities,"('activities', 'NNS')",activ,activity,introduction
particularly,particularly,"('particularly', 'RB')",particularli,particularly,introduction
hiking,hiking,"('hiking', 'VBG')",hike,hike,introduction
cycling,cycling,"('cycling', 'VBG')",cycl,cycle,introduction
trails,trails,"('trails', 'NNS')",trail,trail,introduction
connect,connect,"('connect', 'VBP')",connect,connect,introduction
small,small,"('small', 'JJ')",small,small,introduction
lakeside,lakeside,"('lakeside', 'JJ')",lakesid,lakeside,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction
orchards,orchards,"('orchards', 'NNS')",orchard,orchard,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
Watersports,watersports,"('watersports', 'NNS')",watersport,watersports,introduction
also,also,"('also', 'RB')",also,also,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
sunbathe,sunbathe,"('sunbathe', 'VB')",sunbath,sunbathe,introduction
swim,swim,"('swim', 'NN')",swim,swim,introduction
mess,mess,"('mess', 'NN')",mess,mess,introduction
around,around,"('around', 'RB')",around,around,introduction
water,water,"('water', 'NN')",water,water,introduction
averages,averages,"('averages', 'VBZ')",averag,average,introduction
pleasant,pleasant,"('pleasant', 'NN')",pleasant,pleasant,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
providing,providing,"('providing', 'VBG')",provid,provide,introduction
respite,respite,"('respite', 'NN')",respit,respite,introduction
humidity,humidity,"('humidity', 'NN')",humid,humidity,introduction
Summer,summer,"('summer', 'NN')",summer,summer,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
holiday,holiday,"('holiday', 'NN')",holiday,holiday,introduction
season,season,"('season', 'NN')",season,season,introduction
popularity,popularity,"('popularity', 'NN')",popular,popularity,introduction
brings,brings,"('brings', 'NNS')",bring,brings,introduction
congested,congested,"('congested', 'VBN')",congest,congest,introduction
roads,roads,"('roads', 'NNS')",road,road,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
