token,normed_token,pos_tags,stemmed_token,lemma_token,class
Situated,situated,"('situated', 'VBN')",situat,situate,introduction
west,west,"('west', 'JJS')",west,west,introduction
bank,bank,"('bank', 'NN')",bank,bank,introduction
Tiber,tiber,"('tiber', 'NN')",tiber,tiber,introduction
across,across,"('across', 'IN')",across,across,introduction
city,city,"('city', 'NN')",citi,city,introduction
centre,centre,"('centre', 'VBP')",centr,centre,introduction
Vatican,vatican,"('vatican', 'JJ')",vatican,vatican,introduction
City,city,"('city', 'NN')",citi,city,introduction
was,was,"('was', 'VBD')",wa,be,introduction
established,established,"('established', 'VBN')",establish,establish,introduction
sovereign,sovereign,"('sovereign', 'JJ')",sovereign,sovereign,introduction
state,state,"('state', 'NN')",state,state,introduction
tiny,tiny,"('tiny', 'JJ')",tini,tiny,introduction
territory,territory,"('territory', 'NN')",territori,territory,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
high,high,"('high', 'JJ')",high,high,introduction
walls,walls,"('walls', 'NNS')",wall,wall,introduction
far,far,"('far', 'RB')",far,far,introduction
western,western,"('western', 'JJ')",western,western,introduction
side,side,"('side', 'NN')",side,side,introduction
near,near,"('near', 'JJ')",near,near,introduction
side,side,"('side', 'NN')",side,side,introduction
opening,opening,"('opening', 'VBG')",open,open,introduction
doors,doors,"('doors', 'NNS')",door,door,introduction
rest,rest,"('rest', 'NN')",rest,rest,introduction
city,city,"('city', 'NN')",citi,city,introduction
pilgrims,pilgrims,"('pilgrims', 'NNS')",pilgrim,pilgrim,introduction
form,form,"('form', 'NN')",form,form,introduction
St,st,"('st', 'JJ')",st,st,introduction
Peter,peter,"('peter', 'NN')",peter,peter,introduction
colonnaded,colonnaded,"('colonnaded', 'JJ')",colonnad,colonnaded,introduction
piazza,piazza,"('piazza', 'NN')",piazza,piazza,introduction
one,one,"('one', 'CD')",one,one,introduction
thousand,thousand,"('thousand', 'NN')",thousand,thousand,introduction
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction
radio,radio,"('radio', 'NN')",radio,radio,introduction
station,station,"('station', 'NN')",station,station,introduction
daily,daily,"('daily', 'RB')",daili,daily,introduction
newspaper,newspaper,"('newspaper', 'NN')",newspap,newspaper,introduction
postal,postal,"('postal', 'JJ')",postal,postal,introduction
service,service,"('service', 'NN')",servic,service,introduction
indeed,indeed,"('indeed', 'RB')",inde,indeed,introduction
security,security,"('security', 'NN')",secur,security,introduction
service,service,"('service', 'NN')",servic,service,introduction
colourfully,colourfully,"('colourfully', 'RB')",colour,colourfully,introduction
dressed,dressed,"('dressed', 'JJ')",dress,dressed,introduction
Swiss,swiss,"('swiss', 'JJ')",swiss,swiss,introduction
Guards,guards,"('guards', 'NNS')",guard,guard,introduction
believed,believed,"('believed', 'VBD')",believ,believe,introduction
St,st,"('st', 'NN')",st,st,introduction
Peter,peter,"('peter', 'NN')",peter,peter,introduction
was,was,"('was', 'VBD')",wa,be,introduction
buried,buried,"('buried', 'VBN')",buri,bury,introduction
pagan,pagan,"('pagan', 'JJ')",pagan,pagan,introduction
cemetery,cemetery,"('cemetery', 'NN')",cemeteri,cemetery,introduction
Vatican,vatican,"('vatican', 'JJ')",vatican,vatican,introduction
hill,hill,"('hill', 'NN')",hill,hill,introduction
giving,giving,"('giving', 'VBG')",give,give,introduction
rise,rise,"('rise', 'NN')",rise,rise,introduction
building,building,"('building', 'NN')",build,building,introduction
basilica,basilica,"('basilica', 'NN')",basilica,basilica,introduction
venerate,venerate,"('venerate', 'VB')",vener,venerate,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
name,name,"('name', 'NN')",name,name,introduction
siting,siting,"('siting', 'NN')",site,siting,introduction
headquarters,headquarters,"('headquarters', 'NN')",headquart,headquarters,introduction
Catholic,catholic,"('catholic', 'JJ')",cathol,catholic,introduction
Church,church,"('church', 'NN')",church,church,introduction
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction
north,north,"('north', 'RB')",north,north,introduction
St,st,"('st', 'JJ')",st,st,introduction
Peter,peter,"('peter', 'NN')",peter,peter,introduction
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,introduction
papal,papal,"('papal', 'JJ')",papal,papal,introduction
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction
home,home,"('home', 'NN')",home,home,introduction
Vatican,vatican,"('vatican', 'JJ')",vatican,vatican,introduction
Museums,museums,"('museums', 'NNS')",museum,museum,introduction
quite,quite,"('quite', 'RB')",quit,quite,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
largest,largest,"('largest', 'JJS')",largest,large,introduction
compelling,compelling,"('compelling', 'JJ')",compel,compelling,introduction
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction
exhausting,exhausting,"('exhausting', 'JJ')",exhaust,exhausting,introduction
museum,museum,"('museum', 'NN')",museum,museum,introduction
complex,complex,"('complex', 'NN')",complex,complex,introduction
world,world,"('world', 'NN')",world,world,introduction
Basilica,basilica,"('basilica', 'NN')",basilica,basilica,description
di,di,"('di', 'VBZ')",di,di,description
San,san,"('san', 'JJ')",san,san,description
Pietro,pietro,"('pietro', 'JJ')",pietro,pietro,description
better,better,"('better', 'JJR')",better,good,description
known,known,"('known', 'VBN')",known,know,description
many,many,"('many', 'JJ')",mani,many,description
St,st,"('st', 'JJ')",st,st,description
Peter,peter,"('peter', 'NN')",peter,peter,description
principal,principal,"('principal', 'JJ')",princip,principal,description
shrine,shrine,"('shrine', 'NN')",shrine,shrine,description
Catholic,catholic,"('catholic', 'JJ')",cathol,catholic,description
Church,church,"('church', 'NN')",church,church,description
built,built,"('built', 'VBN')",built,build,description
site,site,"('site', 'NN')",site,site,description
St,st,"('st', 'JJ')",st,st,description
Peter,peter,"('peter', 'NN')",peter,peter,description
tomb,tomb,"('tomb', 'NN')",tomb,tomb,description
worked,worked,"('worked', 'VBN')",work,work,description
greatest,greatest,"('greatest', 'JJS')",greatest,great,description
Italian,italian,"('italian', 'JJ')",italian,italian,description
architects,architects,"('architects', 'NNS')",architect,architect,description
sixteenth,sixteenth,"('sixteenth', 'NN')",sixteenth,sixteenth,description
seventeenth,seventeenth,"('seventeenth', 'JJ')",seventeenth,seventeenth,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
go,go,"('go', 'VB')",go,go,description
security,security,"('security', 'NN')",secur,security,description
before,before,"('before', 'IN')",befor,before,description
entering,entering,"('entering', 'VBG')",enter,enter,description
queues,queues,"('queues', 'NNS')",queue,queue,description
long,long,"('long', 'JJ')",long,long,description
unless,unless,"('unless', 'IN')",unless,unless,description
get,get,"('get', 'VBP')",get,get,description
before,before,"('before', 'RB')",befor,before,description
Bear,bear,"('bear', 'JJ')",bear,bear,description
mind,mind,"('mind', 'NN')",mind,mind,description
