token,normed_token,pos_tags,stemmed_token,lemma_token,class
Sheering,sheering,"('sheering', 'VBG')",sheer,sheer,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
far,far,"('far', 'RB')",far,far,introduction
end,end,"('end', 'NN')",end,end,introduction
Sorrentine,sorrentine,"('sorrentine', 'NN')",sorrentin,sorrentine,introduction
peninsula,peninsula,"('peninsula', 'VBZ')",peninsula,peninsula,introduction
island,island,"('island', 'NN')",island,island,introduction
Capri,capri,"('capri', 'NN')",capri,capri,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
long,long,"('long', 'RB')",long,long,introduction
part,part,"('part', 'NN')",part,part,introduction
Bay,bay,"('bay', 'NN')",bay,bay,introduction
Naples,naples,"('naples', 'NNS')",napl,naples,introduction
During,during,"('during', 'IN')",dure,during,introduction
Roman,roman,"('roman', 'JJ')",roman,roman,introduction
times,times,"('times', 'NNS')",time,time,introduction
Augustus,augustus,"('augustus', 'RB')",augustu,augustus,introduction
retreated,retreated,"('retreated', 'VBD')",retreat,retreat,introduction
island,island,"('island', 'NN')",island,island,introduction
gorgeous,gorgeous,"('gorgeous', 'JJ')",gorgeou,gorgeous,introduction
cliff,cliff,"('cliff', 'NN')",cliff,cliff,introduction
bound,bound,"('bound', 'NN')",bound,bound,introduction
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,introduction
escape,escape,"('escape', 'VB')",escap,escape,introduction
cares,cares,"('cares', 'NNS')",care,care,introduction
office,office,"('office', 'NN')",offic,office,introduction
later,later,"('later', 'RB')",later,later,introduction
Tiberius,tiberius,"('tiberius', 'VBZ')",tiberiu,tiberius,introduction
moved,moved,"('moved', 'VBD')",move,move,introduction
imperial,imperial,"('imperial', 'JJ')",imperi,imperial,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
indulging,indulging,"('indulging', 'VBG')",indulg,indulge,introduction
legendarily,legendarily,"('legendarily', 'RB')",legendarili,legendarily,introduction
debauched,debauched,"('debauched', 'VBN')",debauch,debauch,introduction
antics,antics,"('antics', 'NNS')",antic,antic,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
death,death,"('death', 'NN')",death,death,introduction
AD,ad,"('ad', 'NN')",ad,ad,introduction
Romans,romans,"('romans', 'NNS')",roman,roman,introduction
left,left,"('left', 'VBD')",left,leave,introduction
Capri,capri,"('capri', 'NN')",capri,capri,introduction
was,was,"('was', 'VBD')",wa,be,introduction
rather,rather,"('rather', 'RB')",rather,rather,introduction
neglected,neglected,"('neglected', 'VBN')",neglect,neglect,introduction
early,early,"('early', 'JJ')",earli,early,introduction
nineteenth,nineteenth,"('nineteenth', 'JJ')",nineteenth,nineteenth,introduction
century,century,"('century', 'NN')",centuri,century,introduction
discovery,discovery,"('discovery', 'NN')",discoveri,discovery,introduction
Blue,blue,"('blue', 'JJ')",blue,blue,introduction
Grotto,grotto,"('grotto', 'NN')",grotto,grotto,introduction
island,island,"('island', 'NN')",island,island,introduction
remarkable,remarkable,"('remarkable', 'JJ')",remark,remarkable,introduction
natural,natural,"('natural', 'JJ')",natur,natural,introduction
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction
coincided,coincided,"('coincided', 'VBD')",coincid,coincide,introduction
nicely,nicely,"('nicely', 'RB')",nice,nicely,introduction
rise,rise,"('rise', 'NN')",rise,rise,introduction
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction
English,english,"('english', 'JJ')",english,english,introduction
especially,especially,"('especially', 'RB')",especi,especially,introduction
