token,normed_token,pos_tags,stemmed_token,lemma_token,class
visitor,visitor,"('visitor', 'NN')",visitor,visitor,introduction
Venice,venice,"('venice', 'VB')",venic,venice,introduction
arrives,arrives,"('arrives', 'NNS')",arriv,arrives,introduction
full,full,"('full', 'JJ')",full,full,introduction
expectations,expectations,"('expectations', 'NNS')",expect,expectation,introduction
turn,turn,"('turn', 'VBP')",turn,turn,introduction
well,well,"('well', 'RB')",well,well,introduction
founded,founded,"('founded', 'VBN')",found,found,introduction
photographs,photographs,"('photographs', 'NN')",photograph,photograph,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
Palazzo,palazzo,"('palazzo', 'JJ')",palazzo,palazzo,introduction
Ducale,ducale,"('ducale', 'NN')",ducal,ducale,introduction
Basilica,basilica,"('basilica', 'NN')",basilica,basilica,introduction
di,di,"('di', 'VBZ')",di,di,introduction
San,san,"('san', 'JJ')",san,san,introduction
Marco,marco,"('marco', 'NN')",marco,marco,introduction
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction
along,along,"('along', 'IN')",along,along,introduction
Canal,canal,"('canal', 'JJ')",canal,canal,introduction
Grande,grande,"('grande', 'NN')",grand,grande,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
recording,recording,"('recording', 'VBG')",record,record,introduction
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,introduction
truth,truth,"('truth', 'NN')",truth,truth,introduction
bad,bad,"('bad', 'JJ')",bad,bad,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
heard,heard,"('heard', 'VBN')",heard,hear,introduction
city,city,"('city', 'NN')",citi,city,introduction
turn,turn,"('turn', 'VBP')",turn,turn,introduction
right,right,"('right', 'JJ')",right,right,introduction
well,well,"('well', 'RB')",well,well,introduction
Economically,economically,"('economically', 'RB')",econom,economically,introduction
socially,socially,"('socially', 'RB')",social,socially,introduction
ossified,ossified,"('ossified', 'VBD')",ossifi,ossify,introduction
losing,losing,"('losing', 'VBG')",lose,lose,introduction
hundreds,hundreds,"('hundreds', 'NNS')",hundr,hundred,introduction
residents,residents,"('residents', 'NNS')",resid,resident,introduction
year,year,"('year', 'NN')",year,year,introduction
plays,plays,"('plays', 'VBZ')",play,play,introduction
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction
part,part,"('part', 'NN')",part,part,introduction
life,life,"('life', 'NN')",life,life,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
Italy,italy,"('italy', 'NN')",itali,italy,introduction
deluged,deluged,"('deluged', 'VBN')",delug,deluge,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
occasionally,occasionally,"('occasionally', 'RB')",occasion,occasionally,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
get,get,"('get', 'VBP')",get,get,introduction
bad,bad,"('bad', 'JJ')",bad,bad,introduction
entry,entry,"('entry', 'NN')",entri,entry,introduction
city,city,"('city', 'NN')",citi,city,introduction
barred,barred,"('barred', 'VBN')",bar,bar,introduction
already,already,"('already', 'RB')",alreadi,already,introduction
booked,booked,"('booked', 'VBD')",book,book,introduction
room,room,"('room', 'NN')",room,room,introduction
expensive,expensive,"('expensive', 'VBP')",expens,expensive,introduction
price,price,"('price', 'NN')",price,price,introduction
good,good,"('good', 'JJ')",good,good,introduction
meal,meal,"('meal', 'NN')",meal,meal,introduction
almost,almost,"('almost', 'RB')",almost,almost,introduction
anywhere,anywhere,"('anywhere', 'RB')",anywher,anywhere,introduction
else,else,"('else', 'RB')",els,else,introduction
Italy,italy,"('italy', 'NN')",itali,italy,introduction
get,get,"('get', 'VB')",get,get,introduction
lousy,lousy,"('lousy', 'JJ')",lousi,lousy,introduction
one,one,"('one', 'CD')",one,one,introduction
Venice,venice,"('venice', 'NN')",venic,venice,introduction
hoteliers,hoteliers,"('hoteliers', 'NNS')",hoteli,hotelier,introduction
make,make,"('make', 'VBP')",make,make,introduction
situation,situation,"('situation', 'NN')",situat,situation,introduction
demand,demand,"('demand', 'NN')",demand,demand,introduction
always,always,"('always', 'RB')",alway,always,introduction
far,far,"('far', 'RB')",far,far,introduction
outstrip,outstrip,"('outstrip', 'JJ')",outstrip,outstrip,introduction
supply,supply,"('supply', 'NN')",suppli,supply,introduction
soon,soon,"('soon', 'RB')",soon,soon,description
begin,begin,"('begin', 'VBP')",begin,begin,description
explore,explore,"('explore', 'VB')",explor,explore,description
Venice,venice,"('venice', 'NN')",venic,venice,description
though,though,"('though', 'IN')",though,though,description
every,every,"('every', 'DT')",everi,every,description
day,day,"('day', 'NN')",day,day,description
bring,bring,"('bring', 'VB')",bring,bring,description
surprises,surprises,"('surprises', 'NNS')",surpris,surprise,description
this,this,"('this', 'DT')",thi,this,description
urban,urban,"('urban', 'JJ')",urban,urban,description
landscape,landscape,"('landscape', 'NN')",landscap,landscape,description
full,full,"('full', 'JJ')",full,full,description
things,things,"('things', 'NNS')",thing,thing,description
walk,walk,"('walk', 'NN')",walk,walk,description
minute,minute,"('minute', 'NN')",minut,minute,description
without,without,"('without', 'IN')",without,without,description
coming,coming,"('coming', 'VBG')",come,come,description
across,across,"('across', 'IN')",across,across,description
something,something,"('something', 'NN')",someth,something,description
worth,worth,"('worth', 'IN')",worth,worth,description
stop,stop,"('stop', 'NN')",stop,stop,description
although,although,"('although', 'IN')",although,although,description
true,true,"('true', 'JJ')",true,true,description
city,city,"('city', 'NN')",citi,city,description
unbearably,unbearably,"('unbearably', 'RB')",unbear,unbearably,description
crowded,crowded,"('crowded', 'VBN')",crowd,crowd,description
things,things,"('things', 'NNS')",thing,thing,description
bad,bad,"('bad', 'JJ')",bad,bad,description
beyond,beyond,"('beyond', 'IN')",beyond,beyond,description
magnetic,magnetic,"('magnetic', 'JJ')",magnet,magnetic,description
field,field,"('field', 'NN')",field,field,description
San,san,"('san', 'JJ')",san,san,description
Marco,marco,"('marco', 'NN')",marco,marco,description
possible,possible,"('possible', 'JJ')",possibl,possible,description
parts,parts,"('parts', 'NNS')",part,part,description
centre,centre,"('centre', 'NN')",centr,centre,description
virtually,virtually,"('virtually', 'RB')",virtual,virtually,description
keeping,keeping,"('keeping', 'VBG')",keep,keep,description
costs,costs,"('costs', 'NNS')",cost,cost,description
Venice,venice,"('venice', 'NN')",venic,venice,description
does,does,"('does', 'VBZ')",doe,do,description
eating,eating,"('eating', 'JJ')",eat,eating,description
places,places,"('places', 'NNS')",place,place,description
planning,planning,"('planning', 'NN')",plan,planning,description
find,find,"('find', 'VBP')",find,find,description
bed,bed,"('bed', 'NN')",bed,bed,description
without,without,"('without', 'IN')",without,without,description
