token,normed_token,pos_tags,stemmed_token,lemma_token,class
Volcanic,volcanic,"('volcanic', 'NN')",volcan,volcanic,introduction
origin,origin,"('origin', 'NN')",origin,origin,introduction
Aeolian,aeolian,"('aeolian', 'JJ')",aeolian,aeolian,introduction
Islands,islands,"('islands', 'NNS')",island,island,introduction
named,named,"('named', 'VBN')",name,name,introduction
Aeolus,aeolus,"('aeolus', 'IN')",aeolu,aeolus,introduction
Greek,greek,"('greek', 'JJ')",greek,greek,introduction
god,god,"('god', 'NN')",god,god,introduction
kept,kept,"('kept', 'VBD')",kept,keep,introduction
winds,winds,"('winds', 'NNS')",wind,wind,introduction
controlled,controlled,"('controlled', 'VBD')",control,control,introduction
shut,shut,"('shut', 'JJ')",shut,shut,introduction
tight,tight,"('tight', 'NN')",tight,tight,introduction
one,one,"('one', 'CD')",one,one,introduction
islands,islands,"('islands', 'NNS')",island,island,introduction
many,many,"('many', 'JJ')",mani,many,introduction
caves,caves,"('caves', 'NNS')",cave,cave,introduction
According,according,"('according', 'VBG')",accord,accord,introduction
Homer,homer,"('homer', 'NN')",homer,homer,introduction
Odysseus,odysseus,"('odysseus', 'NN')",odysseu,odysseus,introduction
put,put,"('put', 'VBD')",put,put,introduction
Aeolians,aeolians,"('aeolians', 'NNS')",aeolian,aeolian,introduction
was,was,"('was', 'VBD')",wa,be,introduction
given,given,"('given', 'VBN')",given,give,introduction
bag,bag,"('bag', 'NN')",bag,bag,introduction
wind,wind,"('wind', 'NN')",wind,wind,introduction
help,help,"('help', 'VB')",help,help,introduction
home,home,"('home', 'VB')",home,home,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
sailors,sailors,"('sailors', 'NNS')",sailor,sailor,introduction
opened,opened,"('opened', 'VBD')",open,open,introduction
soon,soon,"('soon', 'RB')",soon,soon,introduction
ship,ship,"('ship', 'NN')",ship,ship,introduction
was,was,"('was', 'VBD')",wa,be,introduction
blown,blown,"('blown', 'VBN')",blown,blow,introduction
straight,straight,"('straight', 'RB')",straight,straight,introduction
back,back,"('back', 'RB')",back,back,introduction
port,port,"('port', 'VB')",port,port,introduction
verifiably,verifiably,"('verifiably', 'RB')",verifi,verifiably,introduction
islands,islands,"('islands', 'NNS')",island,island,introduction
coveted,coveted,"('coveted', 'VBN')",covet,covet,introduction
mineral,mineral,"('mineral', 'JJ')",miner,mineral,introduction
wealth,wealth,"('wealth', 'NN')",wealth,wealth,introduction
mining,mining,"('mining', 'NN')",mine,mining,introduction
obsidian,obsidian,"('obsidian', 'JJ')",obsidian,obsidian,introduction
hard,hard,"('hard', 'JJ')",hard,hard,introduction
lava,lava,"('lava', 'NN')",lava,lava,introduction
providing,providing,"('providing', 'VBG')",provid,provide,introduction
basis,basis,"('basis', 'NN')",basi,basis,introduction
early,early,"('early', 'JJ')",earli,early,introduction
prosperity,prosperity,"('prosperity', 'NN')",prosper,prosperity,introduction
because,because,"('because', 'IN')",becaus,because,introduction
was,was,"('was', 'VBD')",wa,be,introduction
sharpest,sharpest,"('sharpest', 'JJS')",sharpest,sharp,introduction
material,material,"('material', 'NN')",materi,material,introduction
available,available,"('available', 'JJ')",avail,available,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
learned,learned,"('learned', 'VBD')",learn,learn,introduction
art,art,"('art', 'NN')",art,art,introduction
smelting,smelting,"('smelting', 'VBG')",smelt,smelt,introduction
metals,metals,"('metals', 'NNS')",metal,metal,introduction
Later,later,"('later', 'RB')",later,later,introduction
strategic,strategic,"('strategic', 'JJ')",strateg,strategic,introduction
importance,importance,"('importance', 'NN')",import,importance,introduction
attracted,attracted,"('attracted', 'VBD')",attract,attract,introduction
Greeks,greeks,"('greeks', 'NNS')",greek,greek,introduction
settled,settled,"('settled', 'VBD')",settl,settle,introduction
Lipari,lipari,"('lipari', 'NN')",lipari,lipari,introduction
BC,bc,"('bc', 'NN')",bc,bc,introduction
