token,normed_token,pos_tags,stemmed_token,lemma_token,class
Thanks,thanks,"('thanks', 'NNS')",thank,thanks,introduction
Leaning,leaning,"('leaning', 'VBG')",lean,lean,introduction
Tower,tower,"('tower', 'NN')",tower,tower,introduction
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,introduction
known,known,"('known', 'VBN')",known,know,introduction
name,name,"('name', 'NN')",name,name,introduction
every,every,"('every', 'DT')",everi,every,introduction
visitor,visitor,"('visitor', 'NN')",visitor,visitor,introduction
Italy,italy,"('italy', 'VB')",itali,italy,introduction
though,though,"('though', 'IN')",though,though,introduction
remains,remains,"('remains', 'VBZ')",remain,remain,introduction
underrated,underrated,"('underrated', 'JJ')",underr,underrated,introduction
place,place,"('place', 'NN')",place,place,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
takes,takes,"('takes', 'VBZ')",take,take,introduction
nothing,nothing,"('nothing', 'NN')",noth,nothing,introduction
city,city,"('city', 'NN')",citi,city,introduction
except,except,"('except', 'IN')",except,except,introduction
tower,tower,"('tower', 'NN')",tower,tower,introduction
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,introduction
environs,environs,"('environs', 'NNS')",environ,environs,introduction
amazing,amazing,"('amazing', 'JJ')",amaz,amazing,description
buildings,buildings,"('buildings', 'NNS')",build,building,description
belong,belong,"('belong', 'VBP')",belong,belong,description
Pisa,pisa,"('pisa', 'VB')",pisa,pisa,description
Golden,golden,"('golden', 'JJ')",golden,golden,description
Age,age,"('age', 'NN')",age,age,description
eleventh,eleventh,"('eleventh', 'NN')",eleventh,eleventh,description
thirteenth,thirteenth,"('thirteenth', 'JJ')",thirteenth,thirteenth,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
city,city,"('city', 'NN')",citi,city,description
was,was,"('was', 'VBD')",wa,be,description
one,one,"('one', 'CD')",one,one,description
maritime,maritime,"('maritime', 'JJ')",maritim,maritime,description
powers,powers,"('powers', 'NNS')",power,power,description
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,description
Decline,decline,"('decline', 'NN')",declin,decline,description
set,set,"('set', 'VBN')",set,set,description
defeat,defeat,"('defeat', 'NN')",defeat,defeat,description
Genoese,genoese,"('genoese', 'NN')",genoes,genoese,description
followed,followed,"('followed', 'VBN')",follow,follow,description
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,description
harbour,harbour,"('harbour', 'NN')",harbour,harbour,description
city,city,"('city', 'NN')",citi,city,description
was,was,"('was', 'VBD')",wa,be,description
governed,governed,"('governed', 'VBN')",govern,govern,description
Florence,florence,"('florence', 'NN')",florenc,florence,description
whose,whose,"('whose', 'WP$')",whose,whose,description
rulers,rulers,"('rulers', 'NNS')",ruler,ruler,description
University,university,"('university', 'NN')",univers,university,description
Pisa,pisa,"('pisa', 'JJ')",pisa,pisa,description
one,one,"('one', 'CD')",one,one,description
great,great,"('great', 'JJ')",great,great,description
intellectual,intellectual,"('intellectual', 'JJ')",intellectu,intellectual,description
establishments,establishments,"('establishments', 'NNS')",establish,establishment,description
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,description
Galileo,galileo,"('galileo', 'NN')",galileo,galileo,description
