token,normed_token,pos_tags,stemmed_token,lemma_token,class
graceful,graceful,"('graceful', 'JJ')",grace,graceful,introduction
Tuscany,tuscany,"('tuscany', 'JJ')",tuscani,tuscany,introduction
provincial,provincial,"('provincial', 'JJ')",provinci,provincial,introduction
capitals,capitals,"('capitals', 'NNS')",capit,capital,introduction
encircled,encircled,"('encircled', 'VBN')",encircl,encircle,introduction
imposing,imposing,"('imposing', 'VBG')",impos,impose,introduction
ring,ring,"('ring', 'NN')",ring,ring,introduction
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,introduction
walls,walls,"('walls', 'NNS')",wall,wall,introduction
fronted,fronted,"('fronted', 'VBN')",front,front,introduction
gardens,gardens,"('gardens', 'NNS')",garden,garden,introduction
huge,huge,"('huge', 'JJ')",huge,huge,introduction
bastions,bastions,"('bastions', 'NNS')",bastion,bastion,introduction
Lucca,lucca,"('lucca', 'VBP')",lucca,lucca,introduction
stands,stands,"('stands', 'VBZ')",stand,stand,introduction
km,km,"('km', 'JJ')",km,km,introduction
northeast,northeast,"('northeast', 'NN')",northeast,northeast,introduction
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,introduction
Charming,charming,"('charming', 'NN')",charm,charming,introduction
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,introduction
season,season,"('season', 'NN')",season,season,introduction
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,introduction
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction
streets,streets,"('streets', 'VBZ')",street,streets,introduction
become,become,"('become', 'VBN')",becom,become,introduction
busier,busier,"('busier', 'NN')",busier,busier,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
without,without,"('without', 'IN')",without,without,introduction
ever,ever,"('ever', 'RB')",ever,ever,introduction
thronged,thronged,"('thronged', 'VBN')",throng,throng,introduction
Florence,florence,"('florence', 'NN')",florenc,florence,introduction
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
Siena,siena,"('siena', 'VB')",siena,siena,introduction
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
Set,set,"('set', 'VBN')",set,set,description
heart,heart,"('heart', 'NN')",heart,heart,description
one,one,"('one', 'CD')",one,one,description
Italy,italy,"('italy', 'NN')",itali,italy,description
richest,richest,"('richest', 'JJS')",richest,rich,description
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,description
regions,regions,"('regions', 'NNS')",region,region,description
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,description
has,has,"('has', 'VBZ')",ha,have,description
prospered,prospered,"('prospered', 'VBN')",prosper,prosper,description
since,since,"('since', 'IN')",sinc,since,description
Roman,roman,"('roman', 'NN')",roman,roman,description
times,times,"('times', 'VBZ')",time,time,description
heyday,heyday,"('heyday', 'NN')",heyday,heyday,description
was,was,"('was', 'VBD')",wa,be,description
eleventh,eleventh,"('eleventh', 'NN')",eleventh,eleventh,description
fourteenth,fourteenth,"('fourteenth', 'VB')",fourteenth,fourteenth,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
silk,silk,"('silk', 'NN')",silk,silk,description
trade,trade,"('trade', 'NN')",trade,trade,description
brought,brought,"('brought', 'VBD')",brought,bring,description
wealth,wealth,"('wealth', 'NN')",wealth,wealth,description
political,political,"('political', 'JJ')",polit,political,description
power,power,"('power', 'NN')",power,power,description
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,description
first,first,"('first', 'RB')",first,first,description
lost,lost,"('lost', 'VBD')",lost,lose,description
independence,independence,"('independence', 'NN')",independ,independence,description
Pisa,pisa,"('pisa', 'VB')",pisa,pisa,description
Castruccio,castruccio,"('castruccio', 'NN')",castruccio,castruccio,description
Castracani,castracani,"('castracani', 'NN')",castracani,castracani,description
forged,forged,"('forged', 'VBD')",forg,forge,description
empire,empire,"('empire', 'NN')",empir,empire,description
west,west,"('west', 'NN')",west,west,description
Tuscany,tuscany,"('tuscany', 'JJ')",tuscani,tuscany,description
Pisa,pisa,"('pisa', 'NN')",pisa,pisa,description
Pistoia,pistoia,"('pistoia', 'VB')",pistoia,pistoia,description
fell,fell,"('fell', 'VBD')",fell,fell,description
Castracani,castracani,"('castracani', 'JJ')",castracani,castracani,description
untimely,untimely,"('untimely', 'RB')",untim,untimely,description
death,death,"('death', 'NN')",death,death,description
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,description
might,might,"('might', 'MD')",might,might,description
well,well,"('well', 'RB')",well,well,description
taken,taken,"('taken', 'VBN')",taken,take,description
Florence,florence,"('florence', 'NN')",florenc,florence,description
subsequent,subsequent,"('subsequent', 'JJ')",subsequ,subsequent,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
remained,remained,"('remained', 'VBD')",remain,remain,description
largely,largely,"('largely', 'RB')",larg,largely,description
independent,independent,"('independent', 'JJ')",independ,independent,description
falling,falling,"('falling', 'VBG')",fall,fall,description
hands,hands,"('hands', 'NNS')",hand,hand,description
Napoleon,napoleon,"('napoleon', 'NN')",napoleon,napoleon,description
Bourbons,bourbons,"('bourbons', 'NNS')",bourbon,bourbon,description
Composer,composer,"('composer', 'VBP')",compos,composer,description
Giacomo,giacomo,"('giacomo', 'NN')",giacomo,giacomo,description
Puccini,puccini,"('puccini', 'NN')",puccini,puccini,description
was,was,"('was', 'VBD')",wa,be,description
born,born,"('born', 'VBN')",born,bear,description
Today,today,"('today', 'NN')",today,today,description
Lucca,lucca,"('lucca', 'NN')",lucca,lucca,description
among,among,"('among', 'IN')",among,among,description
wealthiest,wealthiest,"('wealthiest', 'JJS')",wealthiest,wealthy,description
conservative,conservative,"('conservative', 'JJ')",conserv,conservative,description
cities,cities,"('cities', 'NNS')",citi,city,description
Tuscany,tuscany,"('tuscany', 'NN')",tuscani,tuscany,description
prosperity,prosperity,"('prosperity', 'NN')",prosper,prosperity,description
gained,gained,"('gained', 'VBN')",gain,gain,description
largely,largely,"('largely', 'RB')",larg,largely,description
silk,silk,"('silk', 'NN')",silk,silk,description
olive,olive,"('olive', 'JJ')",oliv,olive,description
town,town,"('town', 'NN')",town,town,description
delightful,delightful,"('delightful', 'JJ')",delight,delightful,description
place,place,"('place', 'NN')",place,place,description
wander,wander,"('wander', 'VB')",wander,wander,description
random,random,"('random', 'NN')",random,random,description
workaday,workaday,"('workaday', 'NN')",workaday,workaday,description
even,even,"('even', 'RB')",even,even,description
scruffy,scruffy,"('scruffy', 'VB')",scruffi,scruffy,description
parts,parts,"('parts', 'NNS')",part,part,description
consistently,consistently,"('consistently', 'RB')",consist,consistently,description
lovely,lovely,"('lovely', 'RB')",love,lovely,description
full,full,"('full', 'JJ')",full,full,description
life,life,"('life', 'NN')",life,life,description
Much,much,"('much', 'JJ')",much,much,description
centre,centre,"('centre', 'NN')",centr,centre,description
free,free,"('free', 'JJ')",free,free,description
traffic,traffic,"('traffic', 'NN')",traffic,traffic,description
although,although,"('although', 'IN')",although,although,description
keep,keep,"('keep', 'VB')",keep,keep,description
eye,eye,"('eye', 'NN')",eye,eye,description
many,many,"('many', 'JJ')",mani,many,description
cyclists,cyclists,"('cyclists', 'NNS')",cyclist,cyclist,description
weaving,weaving,"('weaving', 'VBG')",weav,weave,description
crowds,crowds,"('crowds', 'JJ')",crowd,crowds,description
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description
outlets,outlets,"('outlets', 'NNS')",outlet,outlet,description
rent,rent,"('rent', 'JJ')",rent,rent,description
bikes,bikes,"('bikes', 'NNS')",bike,bike,description
wish,wish,"('wish', 'VBP')",wish,wish,description
join,join,"('join', 'VB')",join,join,description
focus,focus,"('focus', 'NN')",focu,focus,description
Lucca,lucca,"('lucca', 'JJ')",lucca,lucca,description
compact,compact,"('compact', 'JJ')",compact,compact,description
centro,centro,"('centro', 'NN')",centro,centro,description
storico,storico,"('storico', 'NN')",storico,storico,description
vast,vast,"('vast', 'JJ')",vast,vast,description
Piazza,piazza,"('piazza', 'NN')",piazza,piazza,description
Napoleone,napoleone,"('napoleone', 'NN')",napoleon,napoleone,description
social,social,"('social', 'JJ')",social,social,description
heart,heart,"('heart', 'NN')",heart,heart,description
Piazza,piazza,"('piazza', 'JJ')",piazza,piazza,description
San,san,"('san', 'JJ')",san,san,description
Michele,michele,"('michele', 'NN')",michel,michele,description
north,north,"('north', 'JJ')",north,north,description
Once,once,"('once', 'RB')",onc,once,description
site,site,"('site', 'NN')",site,site,description
Roman,roman,"('roman', 'NN')",roman,roman,description
forum,forum,"('forum', 'VBZ')",forum,forum,description
days,days,"('days', 'NNS')",day,day,description
this,this,"('this', 'DT')",thi,this,description
lively,lively,"('lively', 'JJ')",live,lively,description
square,square,"('square', 'NN')",squar,square,description
