token,normed_token,pos_tags,stemmed_token,lemma_token,class
Long,long,"('long', 'RB')",long,long,introduction
magnet,magnet,"('magnet', 'NN')",magnet,magnet,introduction
Italy,italy,"('italy', 'JJ')",itali,italy,introduction
glitziest,glitziest,"('glitziest', 'NN')",glitziest,glitziest,introduction
celebrities,celebrities,"('celebrities', 'VBZ')",celebr,celebrities,introduction
development,development,"('development', 'NN')",develop,development,introduction
Costa,costa,"('costa', 'NN')",costa,costa,introduction
Smeralda,smeralda,"('smeralda', 'NN')",smeralda,smeralda,introduction
helped,helped,"('helped', 'NN')",help,helped,introduction
transform,transform,"('transform', 'VB')",transform,transform,introduction
economy,economy,"('economy', 'NN')",economi,economy,introduction
entire,entire,"('entire', 'JJ')",entir,entire,introduction
island,island,"('island', 'NN')",island,island,introduction
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction
this,this,"('this', 'DT')",thi,this,introduction
beautiful,beautiful,"('beautiful', 'NN')",beauti,beautiful,introduction
inevitably,inevitably,"('inevitably', 'RB')",inevit,inevitably,introduction
comes,comes,"('comes', 'VBZ')",come,come,introduction
price,price,"('price', 'NN')",price,price,introduction
however,however,"('however', 'RB')",howev,however,introduction
budget,budget,"('budget', 'NN')",budget,budget,introduction
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,introduction
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction
nonexistent,nonexistent,"('nonexistent', 'JJ')",nonexist,nonexistent,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
mostly,mostly,"('mostly', 'RB')",mostli,mostly,introduction
devoid,devoid,"('devoid', 'JJ')",devoid,devoid,introduction
much,much,"('much', 'JJ')",much,much,introduction
character,character,"('character', 'NN')",charact,character,introduction
Arzachena,arzachena,"('arzachena', 'NN')",arzachena,arzachena,introduction
Cannigione,cannigione,"('cannigione', 'NN')",cannigion,cannigione,introduction
cheaper,cheaper,"('cheaper', 'JJR')",cheaper,cheap,introduction
bases,bases,"('bases', 'NNS')",base,base,introduction
explore,explore,"('explore', 'VB')",explor,explore,introduction
area,area,"('area', 'NN')",area,area,introduction
Costa,costa,"('costa', 'NN')",costa,costa,description
Smeralda,smeralda,"('smeralda', 'NN')",smeralda,smeralda,description
begins,begins,"('begins', 'VBZ')",begin,begin,description
north,north,"('north', 'NN')",north,north,description
Olbia,olbia,"('olbia', 'NN')",olbia,olbia,description
defined,defined,"('defined', 'VBN')",defin,define,description
strip,strip,"('strip', 'NN')",strip,strip,description
gulfs,gulfs,"('gulfs', 'NN')",gulf,gulf,description
Cugnana,cugnana,"('cugnana', 'NN')",cugnana,cugnana,description
Arzachena,arzachena,"('arzachena', 'VB')",arzachena,arzachena,description
Although,although,"('although', 'IN')",although,although,description
strict,strict,"('strict', 'JJ')",strict,strict,description
rules,rules,"('rules', 'NNS')",rule,rule,description
imposed,imposed,"('imposed', 'VBN')",impos,impose,description
prevent,prevent,"('prevent', 'VB')",prevent,prevent,description
overzealous,overzealous,"('overzealous', 'JJ')",overzeal,overzealous,description
development,development,"('development', 'NN')",develop,development,description
see,see,"('see', 'VBP')",see,see,description
any,any,"('any', 'DT')",ani,any,description
multistorey,multistorey,"('multistorey', 'JJ')",multistorey,multistorey,description
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,description
advertising,advertising,"('advertising', 'VBG')",advertis,advertise,description
hoardings,hoardings,"('hoardings', 'NNS')",hoard,hoarding,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
area,area,"('area', 'NN')",area,area,description
has,has,"('has', 'VBZ')",ha,have,description
little,little,"('little', 'RB')",littl,little,description
common,common,"('common', 'JJ')",common,common,description
rest,rest,"('rest', 'NN')",rest,rest,description
Sardinia,sardinia,"('sardinia', 'NN')",sardinia,sardinia,description
luxurious,luxurious,"('luxurious', 'JJ')",luxuri,luxurious,description
holiday,holiday,"('holiday', 'NN')",holiday,holiday,description
villages,villages,"('villages', 'NNS')",villag,village,description
bland,bland,"('bland', 'NN')",bland,bland,description
almost,almost,"('almost', 'RB')",almost,almost,description
suburban,suburban,"('suburban', 'JJ')",suburban,suburban,description
feel,feel,"('feel', 'NN')",feel,feel,description
This,this,"('this', 'DT')",thi,this,description
stopped,stopped,"('stopped', 'VBD')",stop,stop,description
coming,coming,"('coming', 'VBG')",come,come,description
droves,droves,"('droves', 'NNS')",drove,drove,description
Silvio,silvio,"('silvio', 'VBP')",silvio,silvio,description
Berlusconi,berlusconi,"('berlusconi', 'JJ')",berlusconi,berlusconi,description
six,six,"('six', 'CD')",six,six,description
properties,properties,"('properties', 'NNS')",properti,property,description
image,image,"('image', 'NN')",imag,image,description
Marina,marina,"('marina', 'NN')",marina,marina,description
Porto,porto,"('porto', 'NN')",porto,porto,description
Cervo,cervo,"('cervo', 'NN')",cervo,cervo,description
Costa,costa,"('costa', 'NN')",costa,costa,description
Smeralda,smeralda,"('smeralda', 'NN')",smeralda,smeralda,description
Italy,italy,"('italy', 'NN')",itali,italy,description
