token,normed_token,pos_tags,stemmed_token,lemma_token,class
dynamo,dynamo,"('dynamo', 'NN')",dynamo,dynamo,introduction
behind,behind,"('behind', 'IN')",behind,behind,introduction
country,country,"('country', 'NN')",countri,country,introduction
economic,economic,"('economic', 'JJ')",econom,economic,introduction
miracle,miracle,"('miracle', 'NN')",miracl,miracle,introduction
Milan,milan,"('milan', 'NN')",milan,milan,introduction
Italian,italian,"('italian', 'JJ')",italian,italian,introduction
city,city,"('city', 'NN')",citi,city,introduction
like,like,"('like', 'IN')",like,like,introduction
foggy,foggy,"('foggy', 'NN')",foggi,foggy,introduction
winter,winter,"('winter', 'NN')",winter,winter,introduction
muggy,muggy,"('muggy', 'NN')",muggi,muggy,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
closer,closer,"('closer', 'RBR')",closer,closer,introduction
outlook,outlook,"('outlook', 'NN')",outlook,outlook,introduction
well,well,"('well', 'RB')",well,well,introduction
distance,distance,"('distance', 'NN')",distanc,distance,introduction
London,london,"('london', 'VB')",london,london,introduction
Palermo,palermo,"('palermo', 'VB')",palermo,palermo,introduction
historic,historic,"('historic', 'JJ')",histor,historic,introduction
city,city,"('city', 'NN')",citi,city,introduction
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction
cathedral,cathedral,"('cathedral', 'NN')",cathedr,cathedral,introduction
enough,enough,"('enough', 'JJ')",enough,enough,introduction
ancient,ancient,"('ancient', 'NN')",ancient,ancient,introduction
churches,churches,"('churches', 'NNS')",church,church,introduction
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction
keep,keep,"('keep', 'VB')",keep,keep,introduction
busy,busy,"('busy', 'JJ')",busi,busy,introduction
week,week,"('week', 'NN')",week,week,introduction
also,also,"('also', 'RB')",also,also,introduction
bars,bars,"('bars', 'NNS')",bar,bar,introduction
cafés,cafés,"('cafés', 'NN')",café,cafés,introduction
relax,relax,"('relax', 'VB')",relax,relax,introduction
contemporary,contemporary,"('contemporary', 'JJ')",contemporari,contemporary,introduction
aspects,aspects,"('aspects', 'NNS')",aspect,aspect,introduction
place,place,"('place', 'NN')",place,place,introduction
represent,represent,"('represent', 'VBP')",repres,represent,introduction
cutting,cutting,"('cutting', 'VBG')",cut,cut,introduction
edge,edge,"('edge', 'NN')",edg,edge,introduction
Italy,italy,"('italy', 'JJ')",itali,italy,introduction
fashion,fashion,"('fashion', 'NN')",fashion,fashion,introduction
design,design,"('design', 'NN')",design,design,introduction
industry,industry,"('industry', 'NN')",industri,industry,introduction
Milan,milan,"('milan', 'NN')",milan,milan,introduction
wears,wears,"('wears', 'VBZ')",wear,wear,introduction
history,history,"('history', 'NN')",histori,history,introduction
sleeve,sleeve,"('sleeve', 'NN')",sleev,sleeve,introduction
medieval,medieval,"('medieval', 'NN')",mediev,medieval,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
nestle,nestle,"('nestle', 'RB')",nestl,nestle,introduction
next,next,"('next', 'JJ')",next,next,introduction
splendour,splendour,"('splendour', 'VB')",splendour,splendour,introduction
rickety,rickety,"('rickety', 'NN')",ricketi,rickety,introduction
trams,trams,"('trams', 'NNS')",tram,tram,introduction
trundle,trundle,"('trundle', 'VBP')",trundl,trundle,introduction
past,past,"('past', 'JJ')",past,past,introduction
overgrown,overgrown,"('overgrown', 'NN')",overgrown,overgrown,introduction
bombsites,bombsites,"('bombsites', 'NNS')",bombsit,bombsites,introduction
left,left,"('left', 'VBD')",left,leave,introduction
World,world,"('world', 'NN')",world,world,introduction
War,war,"('war', 'NN')",war,war,introduction
II,ii,"('ii', 'NN')",ii,ii,introduction
bombastic,bombastic,"('bombastic', 'JJ')",bombast,bombastic,introduction
facades,facades,"('facades', 'NNS')",facad,facade,introduction
Milanese,milanese,"('milanese', 'JJ')",milanes,milanese,introduction
keep,keep,"('keep', 'VB')",keep,keep,introduction
best,best,"('best', 'JJS')",best,best,introduction
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,introduction
peep,peep,"('peep', 'VBP')",peep,peep,introduction
doorway,doorway,"('doorway', 'NN')",doorway,doorway,introduction
one,one,"('one', 'CD')",one,one,introduction
Milan,milan,"('milan', 'NN')",milan,milan,introduction
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,introduction
courtyards,courtyards,"('courtyards', 'NNS')",courtyard,courtyard,introduction
smitten,smitten,"('smitten', 'VBN')",smitten,smite,introduction
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,description
focal,focal,"('focal', 'JJ')",focal,focal,description
point,point,"('point', 'NN')",point,point,description
central,central,"('central', 'JJ')",central,central,description
Milan,milan,"('milan', 'NN')",milan,milan,description
Piazza,piazza,"('piazza', 'JJ')",piazza,piazza,description
del,del,"('del', 'NN')",del,del,description
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description
well,well,"('well', 'RB')",well,well,description
home,home,"('home', 'NN')",home,home,description
city,city,"('city', 'NN')",citi,city,description
iconic,iconic,"('iconic', 'JJ')",icon,iconic,description
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description
leads,leads,"('leads', 'VBZ')",lead,lead,description
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,description
Galleria,galleria,"('galleria', 'NN')",galleria,galleria,description
Vittorio,vittorio,"('vittorio', 'NN')",vittorio,vittorio,description
Emanuele,emanuele,"('emanuele', 'NN')",emanuel,emanuele,description
Piazza,piazza,"('piazza', 'NN')",piazza,piazza,description
della,della,"('della', 'NN')",della,della,description
