token,normed_token,pos_tags,stemmed_token,lemma_token,class
bleak,bleak,"('bleak', 'JJ')",bleak,bleak,introduction
lava,lava,"('lava', 'NN')",lava,lava,introduction
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction
around,around,"('around', 'IN')",around,around,introduction
summit,summit,"('summit', 'NN')",summit,summit,introduction
Etna,etna,"('etna', 'NN')",etna,etna,introduction
one,one,"('one', 'CD')",one,one,introduction
memorable,memorable,"('memorable', 'JJ')",memor,memorable,introduction
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction
Italy,italy,"('italy', 'NN')",itali,italy,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
offer,offer,"('offer', 'VB')",offer,offer,introduction
volcano,volcano,"('volcano', 'NN')",volcano,volcano,introduction
height,height,"('height', 'NN')",height,height,introduction
constantly,constantly,"('constantly', 'RB')",constantli,constantly,introduction
shifting,shifting,"('shifting', 'VBG')",shift,shift,introduction
depending,depending,"('depending', 'VBG')",depend,depend,introduction
whether,whether,"('whether', 'IN')",whether,whether,introduction
eruptions,eruptions,"('eruptions', 'NNS')",erupt,eruption,introduction
constructive,constructive,"('constructive', 'JJ')",construct,constructive,introduction
destructive,destructive,"('destructive', 'JJ')",destruct,destructive,introduction
last,last,"('last', 'JJ')",last,last,introduction
century,century,"('century', 'NN')",centuri,century,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
ranged,ranged,"('ranged', 'VBN')",rang,range,introduction
present,present,"('present', 'JJ')",present,present,introduction
estimate,estimate,"('estimate', 'NN')",estim,estimate,introduction
Whatever,whatever,"('whatever', 'WDT')",whatev,whatever,introduction
exact,exact,"('exact', 'JJ')",exact,exact,introduction
height,height,"('height', 'JJ')",height,height,introduction
Etna,etna,"('etna', 'NN')",etna,etna,introduction
substantial,substantial,"('substantial', 'JJ')",substanti,substantial,introduction
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction
one,one,"('one', 'CD')",one,one,introduction
world,world,"('world', 'NN')",world,world,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction
active,active,"('active', 'JJ')",activ,active,introduction
volcanoes,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,introduction
clear,clear,"('clear', 'JJ')",clear,clear,introduction
day,day,"('day', 'NN')",day,day,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
well,well,"('well', 'RB')",well,well,introduction
half,half,"('half', 'NN')",half,half,introduction
Sicily,sicily,"('sicily', 'JJ')",sicili,sicily,introduction
eruptions,eruptions,"('eruptions', 'NNS')",erupt,eruption,introduction
disastrous,disastrous,"('disastrous', 'JJ')",disastr,disastrous,introduction
lava,lava,"('lava', 'NN')",lava,lava,introduction
reached,reached,"('reached', 'VBD')",reach,reach,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
Catania,catania,"('catania', 'NN')",catania,catania,introduction
was,was,"('was', 'VBD')",wa,be,introduction
wrecked,wrecked,"('wrecked', 'VBN')",wreck,wreck,introduction
castle,castle,"('castle', 'NN')",castl,castle,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
molten,molten,"('molten', 'NN')",molten,molten,introduction
rock,rock,"('rock', 'NN')",rock,rock,introduction
Circumetnea,circumetnea,"('circumetnea', 'NN')",circumetnea,circumetnea,introduction
railway,railway,"('railway', 'NN')",railway,railway,introduction
line,line,"('line', 'NN')",line,line,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
repeatedly,repeatedly,"('repeatedly', 'RB')",repeatedli,repeatedly,introduction
ruptured,ruptured,"('ruptured', 'VBN')",ruptur,rupture,introduction
lava,lava,"('lava', 'NN')",lava,lava,introduction
flows,flows,"('flows', 'NNS')",flow,flow,introduction
nine,nine,"('nine', 'CD')",nine,nine,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
killed,killed,"('killed', 'VBN')",kill,kill,introduction
edge,edge,"('edge', 'NN')",edg,edge,introduction
main,main,"('main', 'JJ')",main,main,introduction
crater,crater,"('crater', 'NN')",crater,crater,introduction
military,military,"('military', 'JJ')",militari,military,introduction
helicopters,helicopters,"('helicopters', 'NNS')",helicopt,helicopter,introduction
called,called,"('called', 'VBN')",call,call,introduction
blazing,blazing,"('blazing', 'VBG')",blaze,blaze,introduction
fires,fires,"('fires', 'NNS')",fire,fire,introduction
This,this,"('this', 'DT')",thi,this,introduction
unpredictability,unpredictability,"('unpredictability', 'NN')",unpredict,unpredictability,introduction
means,means,"('means', 'VBZ')",mean,mean,introduction
longer,longer,"('longer', 'RBR')",longer,longer,introduction
