token,normed_token,pos_tags,stemmed_token,lemma_token,class
city,city,"('city', 'NN')",citi,city,introduction
Washington,washington,"('washington', 'NN')",washington,washington,introduction
District,district,"('district', 'NN')",district,district,introduction
Columbia,columbia,"('columbia', 'NN')",columbia,columbia,introduction
four,four,"('four', 'CD')",four,four,introduction
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction
states,states,"('states', 'NNS')",state,state,introduction
Virginia,virginia,"('virginia', 'NN')",virginia,virginia,introduction
West,west,"('west', 'JJS')",west,west,introduction
Virginia,virginia,"('virginia', 'NN')",virginia,virginia,introduction
Maryland,maryland,"('maryland', 'NN')",maryland,maryland,introduction
Delaware,delaware,"('delaware', 'NN')",delawar,delaware,introduction
collectively,collectively,"('collectively', 'RB')",collect,collectively,introduction
known,known,"('known', 'VBN')",known,know,introduction
Capital,capital,"('capital', 'NN')",capit,capital,introduction
Region,region,"('region', 'NN')",region,region,introduction
Since,since,"('since', 'IN')",sinc,since,introduction
days,days,"('days', 'NNS')",day,day,introduction
first,first,"('first', 'JJ')",first,first,introduction
American,american,"('american', 'JJ')",american,american,introduction
colonies,colonies,"('colonies', 'NNS')",coloni,colony,introduction
US,us,"('us', 'PRP')",us,u,introduction
history,history,"('history', 'NN')",histori,history,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
shaped,shaped,"('shaped', 'VBN')",shape,shape,introduction
Jamestown,jamestown,"('jamestown', 'JJ')",jamestown,jamestown,introduction
landings,landings,"('landings', 'NNS')",land,landing,introduction
agitation,agitation,"('agitation', 'NN')",agit,agitation,introduction
Independence,independence,"('independence', 'NN')",independ,independence,introduction
battles,battles,"('battles', 'NNS')",battl,battle,introduction
Revolutionary,revolutionary,"('revolutionary', 'JJ')",revolutionari,revolutionary,introduction
Civil,civil,"('civil', 'JJ')",civil,civil,introduction
wars,wars,"('wars', 'NNS')",war,war,introduction
Civil,civil,"('civil', 'JJ')",civil,civil,introduction
Rights,rights,"('rights', 'NNS')",right,right,introduction
milestones,milestones,"('milestones', 'NNS')",mileston,milestone,introduction
protest,protest,"('protest', 'JJS')",protest,protest,introduction
movements,movements,"('movements', 'NNS')",movement,movement,introduction
issues,issues,"('issues', 'NNS')",issu,issue,introduction
including,including,"('including', 'VBG')",includ,include,introduction
war,war,"('war', 'NN')",war,war,introduction
abortion,abortion,"('abortion', 'NN')",abort,abortion,introduction
gay,gay,"('gay', 'NN')",gay,gay,introduction
rights,rights,"('rights', 'NNS')",right,right,introduction
Early,early,"('early', 'RB')",earli,early,description
seventeenth,seventeenth,"('seventeenth', 'JJ')",seventeenth,seventeenth,description
century,century,"('century', 'NN')",centuri,century,description
first,first,"('first', 'JJ')",first,first,description
British,british,"('british', 'JJ')",british,british,description
settlements,settlements,"('settlements', 'NNS')",settlement,settlement,description
began,began,"('began', 'VBD')",began,begin,description
