token,normed_token,pos_tags,stemmed_token,lemma_token,class
Lake,lake,"('lake', 'NN')",lake,lake,introduction
Garda,garda,"('garda', 'NN')",garda,garda,introduction
Lago,lago,"('lago', 'IN')",lago,lago,introduction
di,di,"('di', 'NN')",di,di,introduction
Garda,garda,"('garda', 'NN')",garda,garda,introduction
largest,largest,"('largest', 'JJS')",largest,large,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
Italy,italy,"('italy', 'NN')",itali,italy,introduction
long,long,"('long', 'RB')",long,long,introduction
wide,wide,"('wide', 'JJ')",wide,wide,introduction
big,big,"('big', 'JJ')",big,big,introduction
alters,alters,"('alters', 'VBZ')",alter,alter,introduction
local,local,"('local', 'JJ')",local,local,introduction
climate,climate,"('climate', 'NN')",climat,climate,introduction
milder,milder,"('milder', 'JJR')",milder,mild,introduction
thanks,thanks,"('thanks', 'NNS')",thank,thanks,introduction
complex,complex,"('complex', 'JJ')",complex,complex,introduction
pattern,pattern,"('pattern', 'NN')",pattern,pattern,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
breezes,breezes,"('breezes', 'NNS')",breez,breeze,introduction
sunnier,sunnier,"('sunnier', 'JJR')",sunnier,sunny,introduction
might,might,"('might', 'MD')",might,might,introduction
expected,expected,"('expected', 'VBN')",expect,expect,introduction
also,also,"('also', 'RB')",also,also,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
attracting,attracting,"('attracting', 'VBG')",attract,attract,introduction
around,around,"('around', 'RB')",around,around,introduction
seven,seven,"('seven', 'CD')",seven,seven,introduction
percent,percent,"('percent', 'NN')",percent,percent,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
Italy,italy,"('italy', 'VB')",itali,italy,introduction
acting,acting,"('acting', 'VBG')",act,act,introduction
bridge,bridge,"('bridge', 'NN')",bridg,bridge,introduction
Alps,alps,"('alps', 'NN')",alp,alp,introduction
rest,rest,"('rest', 'NN')",rest,rest,introduction
