token,normed_token,pos_tags,stemmed_token,lemma_token,class
Barcelona,barcelona,"('barcelona', 'NN')",barcelona,barcelona,introduction
Spain,spain,"('spain', 'NN')",spain,spain,introduction
second,second,"('second', 'JJ')",second,second,introduction
city,city,"('city', 'NN')",citi,city,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Catalunya,catalunya,"('catalunya', 'NN')",catalunya,catalunya,introduction
vibrates,vibrates,"('vibrates', 'NNS')",vibrat,vibrates,introduction
life,life,"('life', 'NN')",life,life,introduction
certainly,certainly,"('certainly', 'RB')",certainli,certainly,introduction
another,another,"('another', 'DT')",anoth,another,introduction
city,city,"('city', 'NN')",citi,city,introduction
country,country,"('country', 'NN')",countri,country,introduction
touch,touch,"('touch', 'VB')",touch,touch,introduction
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction
style,style,"('style', 'NN')",style,style,introduction
looks,looks,"('looks', 'VBZ')",look,look,introduction
energy,energy,"('energy', 'NN')",energi,energy,introduction
long,long,"('long', 'RB')",long,long,introduction
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Spain,spain,"('spain', 'NN')",spain,spain,introduction
art,art,"('art', 'NN')",art,art,introduction
museums,museums,"('museums', 'NNS')",museum,museum,introduction
football,football,"('football', 'NN')",footbal,football,introduction
team,team,"('team', 'NN')",team,team,introduction
sublime,sublime,"('sublime', 'RB')",sublim,sublime,introduction
designer,designer,"('designer', 'NN')",design,designer,introduction
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction
bars,bars,"('bars', 'VBZ')",bar,bar,introduction
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction
shops,shops,"('shops', 'NNS')",shop,shop,introduction
lead,lead,"('lead', 'VBP')",lead,lead,introduction
front,front,"('front', 'NN')",front,front,introduction
thriving,thriving,"('thriving', 'VBG')",thrive,thrive,description
port,port,"('port', 'NN')",port,port,description
prosperous,prosperous,"('prosperous', 'JJ')",prosper,prosperous,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
centre,centre,"('centre', 'NN')",centr,centre,description
buzzing,buzzing,"('buzzing', 'VBG')",buzz,buzz,description
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,description
capital,capital,"('capital', 'NN')",capit,capital,description
three,three,"('three', 'CD')",three,three,description
million,million,"('million', 'CD')",million,million,description
people,people,"('people', 'NNS')",peopl,people,description
city,city,"('city', 'NN')",citi,city,description
almost,almost,"('almost', 'RB')",almost,almost,description
impossible,impossible,"('impossible', 'JJ')",imposs,impossible,description
exhaust,exhaust,"('exhaust', 'VB')",exhaust,exhaust,description
even,even,"('even', 'RB')",even,even,description
lengthy,lengthy,"('lengthy', 'JJ')",lengthi,lengthy,description
visit,visit,"('visit', 'NN')",visit,visit,description
likely,likely,"('likely', 'RB')",like,likely,description
only,only,"('only', 'RB')",onli,only,description
scrape,scrape,"('scrape', 'VB')",scrape,scrape,description
endlessly,endlessly,"('endlessly', 'RB')",endlessli,endlessly,description
fascinating,fascinating,"('fascinating', 'JJ')",fascin,fascinating,description
districts,districts,"('districts', 'NNS')",district,district,description
Barcelona,barcelona,"('barcelona', 'VBN')",barcelona,barcelona,description
much,much,"('much', 'RB')",much,much,description
areas,areas,"('areas', 'NNS')",area,area,description
hill,hill,"('hill', 'NN')",hill,hill,description
Montjuïc,montjuïc,"('montjuïc', 'NN')",montjuïc,montjuïc,description
example,example,"('example', 'NN')",exampl,example,description
contains,contains,"('contains', 'VBZ')",contain,contain,description
Olympic,olympic,"('olympic', 'NN')",olymp,olympic,description
stadium,stadium,"('stadium', 'NN')",stadium,stadium,description
used,used,"('used', 'VBN')",use,use,description
Games,games,"('games', 'NNS')",game,game,description
well,well,"('well', 'RB')",well,well,description
city,city,"('city', 'NN')",citi,city,description
best,best,"('best', 'JJS')",best,best,description
art,art,"('art', 'NN')",art,art,description
museums,museums,"('museums', 'NN')",museum,museum,description
notably,notably,"('notably', 'RB')",notabl,notably,description
MNAC,mnac,"('mnac', 'VBD')",mnac,mnac,description
ie,ie,"('ie', 'VB')",ie,ie,description
Museu,museu,"('museu', 'JJ')",museu,museu,description
Nacional,nacional,"('nacional', 'JJ')",nacion,nacional,description
Art,art,"('art', 'NN')",art,art,description
de,de,"('de', 'IN')",de,de,description
Catalunya,catalunya,"('catalunya', 'NN')",catalunya,catalunya,description
note,note,"('note', 'VBP')",note,note,description
word,word,"('word', 'NN')",word,word,description
nacional,nacional,"('nacional', 'NN')",nacion,nacional,description
tells,tells,"('tells', 'VBZ')",tell,tell,description
need,need,"('need', 'VBP')",need,need,description
know,know,"('know', 'VB')",know,know,description
Catalunya,catalunya,"('catalunya', 'JJ')",catalunya,catalunya,description
strong,strong,"('strong', 'JJ')",strong,strong,description
sense,sense,"('sense', 'NN')",sens,sense,description
identity,identity,"('identity', 'NN')",ident,identity,description
museums,museums,"('museums', 'NNS')",museum,museum,description
explore,explore,"('explore', 'VBP')",explor,explore,description
work,work,"('work', 'NN')",work,work,description
internationally,internationally,"('internationally', 'RB')",intern,internationally,description
famous,famous,"('famous', 'JJ')",famou,famous,description
Catalan,catalan,"('catalan', 'NN')",catalan,catalan,description
artists,artists,"('artists', 'NNS')",artist,artist,description
Joan,joan,"('joan', 'NN')",joan,joan,description
Miró,miró,"('miró', 'NN')",miró,miró,description
Antoni,antoni,"('antoni', 'VB')",antoni,antoni,description
Tàpies,tàpies,"('tàpies', 'NNS')",tàpi,tàpies,description
uptown,uptown,"('uptown', 'JJ')",uptown,uptown,description
extension,extension,"('extension', 'NN')",extens,extension,description
city,city,"('city', 'NN')",citi,city,description
Eixample,eixample,"('eixample', 'NN')",eixampl,eixample,description
found,found,"('found', 'VBN')",found,find,description
Barcelona,barcelona,"('barcelona', 'NN')",barcelona,barcelona,description
celebrated,celebrated,"('celebrated', 'VBD')",celebr,celebrate,description
modernista,modernista,"('modernista', 'JJ')",modernista,modernista,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
wonders,wonders,"('wonders', 'NNS')",wonder,wonder,description
private,private,"('private', 'JJ')",privat,private,description
houses,houses,"('houses', 'NNS')",hous,house,description
Gaudí,gaudí,"('gaudí', 'VB')",gaudí,gaudí,description
peerless,peerless,"('peerless', 'NN')",peerless,peerless,description
established,established,"('established', 'JJ')",establish,established,description
destination,destination,"('destination', 'NN')",destin,destination,description
tourist,tourist,"('tourist', 'NN')",tourist,tourist,description
business,business,"('business', 'NN')",busi,business,description
convention,convention,"('convention', 'NN')",convent,convention,description
trade,trade,"('trade', 'NN')",trade,trade,description
Different,different,"('different', 'JJ')",differ,different,description
seasons,seasons,"('seasons', 'NNS')",season,season,description
different,different,"('different', 'JJ')",differ,different,description
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description
summer,summer,"('summer', 'NN')",summer,summer,description
music,music,"('music', 'NN')",music,music,description
festivals,festivals,"('festivals', 'NNS')",festiv,festival,description
Christmas,christmas,"('christmas', 'VB')",christma,christmas,description
markets,markets,"('markets', 'NNS')",market,market,description
always,always,"('always', 'RB')",alway,always,description
something,something,"('something', 'NN')",someth,something,description
going,going,"('going', 'VBG')",go,go,description
