token,normed_token,pos_tags,stemmed_token,lemma_token,class
Mediterranean,mediterranean,"('mediterranean', 'JJ')",mediterranean,mediterranean,introduction
holiday,holiday,"('holiday', 'NN')",holiday,holiday,introduction
spots,spots,"('spots', 'NNS')",spot,spot,introduction
often,often,"('often', 'RB')",often,often,introduction
unfairly,unfairly,"('unfairly', 'RB')",unfairli,unfairly,introduction
maligned,maligned,"('maligned', 'VBN')",malign,malign,introduction
MALLORCA,mallorca,"('mallorca', 'NN')",mallorca,mallorca,introduction
island,island,"('island', 'NN')",island,island,introduction
commonly,commonly,"('commonly', 'RB')",commonli,commonly,introduction
perceived,perceived,"('perceived', 'VBN')",perceiv,perceive,introduction
little,little,"('little', 'RB')",littl,little,introduction
sun,sun,"('sun', 'NN')",sun,sun,introduction
sex,sex,"('sex', 'NN')",sex,sex,introduction
booze,booze,"('booze', 'NN')",booz,booze,introduction
image,image,"('image', 'NN')",imag,image,introduction
spawned,spawned,"('spawned', 'VBN')",spawn,spawn,introduction
development,development,"('development', 'NN')",develop,development,introduction
yet,yet,"('yet', 'NN')",yet,yet,introduction
takes,takes,"('takes', 'VBZ')",take,take,introduction
account,account,"('account', 'NN')",account,account,introduction
Mallorca,mallorca,"('mallorca', 'NN')",mallorca,mallorca,introduction
beguiling,beguiling,"('beguiling', 'VBG')",beguil,beguile,introduction
diversity,diversity,"('diversity', 'NN')",divers,diversity,introduction
fact,fact,"('fact', 'NN')",fact,fact,introduction
spread,spread,"('spread', 'NN')",spread,spread,introduction
development,development,"('development', 'NN')",develop,development,introduction
even,even,"('even', 'RB')",even,even,introduction
fifty,fifty,"('fifty', 'JJ')",fifti,fifty,introduction
years,years,"('years', 'NNS')",year,year,introduction
essentially,essentially,"('essentially', 'RB')",essenti,essentially,introduction
confined,confined,"('confined', 'VBN')",confin,confine,introduction
Badia,badia,"('badia', 'NN')",badia,badia,introduction
de,de,"('de', 'IN')",de,de,introduction
Palma,palma,"('palma', 'FW')",palma,palma,introduction
Bay,bay,"('bay', 'NN')",bay,bay,introduction
Palma,palma,"('palma', 'NN')",palma,palma,introduction
strip,strip,"('strip', 'NN')",strip,strip,introduction
flanking,flanking,"('flanking', 'VBG')",flank,flank,introduction
island,island,"('island', 'NN')",island,island,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
handful,handful,"('handful', 'NN')",hand,handful,introduction
notching,notching,"('notching', 'VBG')",notch,notch,introduction
east,east,"('east', 'NN')",east,east,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
Elsewhere,elsewhere,"('elsewhere', 'RB')",elsewher,elsewhere,description
things,things,"('things', 'NNS')",thing,thing,description
very,very,"('very', 'RB')",veri,very,description
different,different,"('different', 'JJ')",differ,different,description
Palma,palma,"('palma', 'NN')",palma,palma,description
Balearics,balearics,"('balearics', 'NNS')",balear,balearics,description
one,one,"('one', 'CD')",one,one,description
real,real,"('real', 'JJ')",real,real,description
city,city,"('city', 'NN')",citi,city,description
bustling,bustling,"('bustling', 'VBG')",bustl,bustle,description
historic,historic,"('historic', 'JJ')",histor,historic,description
place,place,"('place', 'NN')",place,place,description
whose,whose,"('whose', 'WP$')",whose,whose,description
grand,grand,"('grand', 'JJ')",grand,grand,description
mansions,mansions,"('mansions', 'NNS')",mansion,mansion,description
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,description
Gothic,gothic,"('gothic', 'JJ')",gothic,gothic,description
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description
defy,defy,"('defy', 'NN')",defi,defy,description
expectations,expectations,"('expectations', 'NNS')",expect,expectation,description
many,many,"('many', 'JJ')",mani,many,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
does,does,"('does', 'VBZ')",doe,do,description
northwest,northwest,"('northwest', 'JJS')",northwest,northwest,description
coast,coast,"('coast', 'NN')",coast,coast,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
delight,delight,"('delight', 'VBD')",delight,delight,description
rearing,rearing,"('rearing', 'VBG')",rear,rear,description
peaks,peaks,"('peaks', 'NNS')",peak,peak,description
rugged,rugged,"('rugged', 'JJ')",rug,rugged,description
Serra,serra,"('serra', 'NN')",serra,serra,description
de,de,"('de', 'IN')",de,de,description
Tramuntana,tramuntana,"('tramuntana', 'FW')",tramuntana,tramuntana,description
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,description
cove,cove,"('cove', 'NN')",cove,cove,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
monasteries,monasteries,"('monasteries', 'NNS')",monasteri,monastery,description
Valldemossa,valldemossa,"('valldemossa', 'NN')",valldemossa,valldemossa,description
Lluc,lluc,"('lluc', 'NN')",lluc,lluc,description
string,string,"('string', 'NN')",string,string,description
delightful,delightful,"('delightful', 'JJ')",delight,delightful,description
old,old,"('old', 'JJ')",old,old,description
towns,towns,"('towns', 'NNS')",town,town,description
villages,villages,"('villages', 'NNS')",villag,village,description
Deià,deià,"('deià', 'JJ')",deià,deià,description
Sóller,sóller,"('sóller', 'NN')",sóller,sóller,description
Pollença,pollença,"('pollença', 'NN')",pollença,pollença,description
startling,startling,"('startling', 'JJ')",startl,startling,description
variety,variety,"('variety', 'NN')",varieti,variety,description
physical,physical,"('physical', 'JJ')",physic,physical,description
beauty,beauty,"('beauty', 'NN')",beauti,beauty,description
land,land,"('land', 'NN')",land,land,description
has,has,"('has', 'VBZ')",ha,have,description
drawn,drawn,"('drawn', 'VBN')",drawn,draw,description
