token,normed_token,pos_tags,stemmed_token,lemma_token,class
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction
south,south,"('south', 'NN')",south,south,introduction
Valencia,valencia,"('valencia', 'NN')",valencia,valencia,introduction
Costa,costa,"('costa', 'NN')",costa,costa,introduction
Blanca,blanca,"('blanca', 'JJ')",blanca,blanca,introduction
White,white,"('white', 'JJ')",white,white,introduction
Coast,coast,"('coast', 'NN')",coast,coast,introduction
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction
best,best,"('best', 'JJS')",best,best,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
this,this,"('this', 'DT')",thi,this,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
especially,especially,"('especially', 'RB')",especi,especially,introduction
Gandía,gandía,"('gandía', 'NNS')",gandía,gandía,introduction
Benidorm,benidorm,"('benidorm', 'VB')",benidorm,benidorm,introduction
Much,much,"('much', 'RB')",much,much,introduction
though,though,"('though', 'IN')",though,though,introduction
suffers,suffers,"('suffers', 'NNS')",suffer,suffers,introduction
worst,worst,"('worst', 'JJS')",worst,bad,introduction
excesses,excesses,"('excesses', 'NNS')",excess,excess,introduction
package,package,"('package', 'NN')",packag,package,introduction
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction
concrete,concrete,"('concrete', 'JJ')",concret,concrete,introduction
building,building,"('building', 'VBG')",build,build,introduction
projects,projects,"('projects', 'NNS')",project,project,introduction
looming,looming,"('looming', 'VBG')",loom,loom,introduction
sand,sand,"('sand', 'NN')",sand,sand,introduction
pays,pays,"('pays', 'VBZ')",pay,pay,introduction
book,book,"('book', 'NN')",book,book,introduction
ahead,ahead,"('ahead', 'RB')",ahead,ahead,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
particularly,particularly,"('particularly', 'RB')",particularli,particularly,introduction
August,august,"('august', 'NN')",august,august,introduction
Campers,campers,"('campers', 'NNS')",camper,camper,introduction
somewhat,somewhat,"('somewhat', 'RB')",somewhat,somewhat,introduction
easier,easier,"('easier', 'JJR')",easier,easy,introduction
hundreds,hundreds,"('hundreds', 'NNS')",hundr,hundred,introduction
campsites,campsites,"('campsites', 'NNS')",campsit,campsite,introduction
driving,driving,"('driving', 'VBG')",drive,drive,introduction
nightmare,nightmare,"('nightmare', 'JJ')",nightmar,nightmare,introduction
unless,unless,"('unless', 'IN')",unless,unless,introduction
stick,stick,"('stick', 'VBP')",stick,stick,introduction
toll,toll,"('toll', 'NN')",toll,toll,introduction
roads,roads,"('roads', 'VBZ')",road,roads,introduction
taking,taking,"('taking', 'VBG')",take,take,introduction
inland,inland,"('inland', 'NN')",inland,inland,introduction
route,route,"('route', 'NN')",rout,route,introduction
far,far,"('far', 'RB')",far,far,introduction
Gandía,gandía,"('gandía', 'NN')",gandía,gandía,introduction
get,get,"('get', 'VB')",get,get,introduction
opportunity,opportunity,"('opportunity', 'NN')",opportun,opportunity,introduction
see,see,"('see', 'VB')",see,see,introduction
historic,historic,"('historic', 'JJ')",histor,historic,introduction
town,town,"('town', 'NN')",town,town,introduction
Xátiva,xátiva,"('xátiva', 'NN')",xátiva,xátiva,introduction
string,string,"('string', 'NN')",string,string,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
little,little,"('little', 'JJ')",littl,little,description
towns,towns,"('towns', 'NNS')",town,town,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,description
Gandía,gandía,"('gandía', 'NN')",gandía,gandía,description
Altea,altea,"('altea', 'VB')",altea,altea,description
before,before,"('before', 'IN')",befor,before,description
reach,reach,"('reach', 'VBP')",reach,reach,description
developments,developments,"('developments', 'NNS')",develop,development,description
Benidorm,benidorm,"('benidorm', 'NN')",benidorm,benidorm,description
Alicante,alicante,"('alicante', 'NN')",alicant,alicante,description
transport,transport,"('transport', 'NN')",transport,transport,description
essential,essential,"('essential', 'JJ')",essenti,essential,description
enjoy,enjoy,"('enjoy', 'VB')",enjoy,enjoy,description
best,best,"('best', 'JJS')",best,best,description
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,description
pricey,pricey,"('pricey', 'VBN')",pricey,pricey,description
least,least,"('least', 'JJS')",least,least,description
expensive,expensive,"('expensive', 'JJ')",expens,expensive,description
option,option,"('option', 'NN')",option,option,description
along,along,"('along', 'IN')",along,along,description
this,this,"('this', 'DT')",thi,this,description
coast,coast,"('coast', 'NN')",coast,coast,description
camp,camp,"('camp', 'VB')",camp,camp,description
scores,scores,"('scores', 'NNS')",score,score,description
decent,decent,"('decent', 'JJ')",decent,decent,description
campsites,campsites,"('campsites', 'NNS')",campsit,campsite,description
useful,useful,"('useful', 'JJ')",use,useful,description
booklet,booklet,"('booklet', 'NN')",booklet,booklet,description
listing,listing,"('listing', 'VBG')",list,list,description
available,available,"('available', 'JJ')",avail,available,description
local,local,"('local', 'JJ')",local,local,description
foot,foot,"('foot', 'NN')",foot,foot,description
Parque,parque,"('parque', 'JJ')",parqu,parque,description
Natural,natural,"('natural', 'JJ')",natur,natural,description
Montgó,montgó,"('montgó', 'NN')",montgó,montgó,description
sizeable,sizeable,"('sizeable', 'JJ')",sizeabl,sizeable,description
sprawling,sprawling,"('sprawling', 'VBG')",sprawl,sprawl,description
town,town,"('town', 'NN')",town,town,description
even,even,"('even', 'RB')",even,even,description
without,without,"('without', 'IN')",without,without,description
summer,summer,"('summer', 'NN')",summer,summer,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
Beneath,beneath,"('beneath', 'VBP')",beneath,beneath,description
wooded,wooded,"('wooded', 'JJ')",wood,wooded,description
capes,capes,"('capes', 'NNS')",cape,cape,description
beyond,beyond,"('beyond', 'IN')",beyond,beyond,description
bypassed,bypassed,"('bypassed', 'VBN')",bypass,bypass,description
main,main,"('main', 'JJ')",main,main,description
road,road,"('road', 'NN')",road,road,description
stretch,stretch,"('stretch', 'NN')",stretch,stretch,description
probably,probably,"('probably', 'RB')",probabl,probably,description
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
this,this,"('this', 'DT')",thi,this,description
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,description
easier,easier,"('easier', 'JJR')",easier,easy,description
car,car,"('car', 'NN')",car,car,description
get,get,"('get', 'VB')",get,get,description
though,though,"('though', 'IN')",though,though,description
couple,couple,"('couple', 'NN')",coupl,couple,description
buses,buses,"('buses', 'NNS')",buse,bus,description
make,make,"('make', 'VBP')",make,make,description
trip,trip,"('trip', 'NN')",trip,trip,description
heart,heart,"('heart', 'NN')",heart,heart,description
this,this,"('this', 'DT')",thi,this,description
area,area,"('area', 'NN')",area,area,description
very,very,"('very', 'RB')",veri,very,description
near,near,"('near', 'IN')",near,near,description
easternmost,easternmost,"('easternmost', 'NN')",easternmost,easternmost,description
Cabo,cabo,"('cabo', 'NN')",cabo,cabo,description
de,de,"('de', 'IN')",de,de,description
la,la,"('la', 'FW')",la,la,description
Nao,nao,"('nao', 'FW')",nao,nao,description
XÀBIA,xàbia,"('xàbia', 'NNP')",xàbia,xàbia,description
Jávea,jávea,"('jávea', 'NN')",jávea,jávea,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
prosperous,prosperous,"('prosperous', 'JJ')",prosper,prosperous,description
town,town,"('town', 'NN')",town,town,description
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,description
hillside,hillside,"('hillside', 'NN')",hillsid,hillside,description
villas,villas,"('villas', 'NNS')",villa,villa,description
fine,fine,"('fine', 'JJ')",fine,fine,description
beach,beach,"('beach', 'NN')",beach,beach,description
very,very,"('very', 'RB')",veri,very,description
pleasant,pleasant,"('pleasant', 'JJ')",pleasant,pleasant,description
old,old,"('old', 'JJ')",old,old,description
town,town,"('town', 'NN')",town,town,description
summer,summer,"('summer', 'NN')",summer,summer,description
Denia,denia,"('denia', 'NN')",denia,denia,description
Xàbia,xàbia,"('xàbia', 'NN')",xàbia,xàbia,description
lively,lively,"('lively', 'RB')",live,lively,description
evenings,evenings,"('evenings', 'NNS')",even,evening,description
especially,especially,"('especially', 'RB')",especi,especially,description
weekends,weekends,"('weekends', 'NNS')",weekend,weekend,description
popular,popular,"('popular', 'JJ')",popular,popular,description
Valencianos,valencianos,"('valencianos', 'NNS')",valenciano,valencianos,description
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description
idyllic,idyllic,"('idyllic', 'JJ')",idyl,idyllic,description
cove,cove,"('cove', 'NN')",cove,cove,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
close,close,"('close', 'RB')",close,close,description
Xàbia,xàbia,"('xàbia', 'VB')",xàbia,xàbia,description
one,one,"('one', 'CD')",one,one,description
best,best,"('best', 'JJS')",best,best,description
Cala,cala,"('cala', 'JJ')",cala,cala,description
Portitxol,portitxol,"('portitxol', 'NN')",portitxol,portitxol,description
also,also,"('also', 'RB')",also,also,description
known,known,"('known', 'VBN')",known,know,description
Playa,playa,"('playa', 'NN')",playa,playa,description
la,la,"('la', 'NN')",la,la,description
Barraca,barraca,"('barraca', 'VBD')",barraca,barraca,description
wonderful,wonderful,"('wonderful', 'JJ')",wonder,wonderful,description
bay,bay,"('bay', 'NN')",bay,bay,description
backed,backed,"('backed', 'VBN')",back,back,description
high,high,"('high', 'JJ')",high,high,description
southeast,southeast,"('southeast', 'NN')",southeast,southeast,description
pass,pass,"('pass', 'VBP')",pass,pass,description
dramatic,dramatic,"('dramatic', 'JJ')",dramat,dramatic,description
rocky,rocky,"('rocky', 'JJ')",rocki,rocky,description
outcrop,outcrop,"('outcrop', 'NN')",outcrop,outcrop,description
known,known,"('known', 'VBN')",known,know,description
Peñón,peñón,"('peñón', 'NN')",peñón,peñón,description
de,de,"('de', 'IN')",de,de,description
Ifach,ifach,"('ifach', 'FW')",ifach,ifach,description
natural,natural,"('natural', 'JJ')",natur,natural,description
beauty,beauty,"('beauty', 'NN')",beauti,beauty,description
offering,offering,"('offering', 'VBG')",offer,offer,description
stark,stark,"('stark', 'JJ')",stark,stark,description
contrast,contrast,"('contrast', 'NN')",contrast,contrast,description
concrete,concrete,"('concrete', 'JJ')",concret,concrete,description
towers,towers,"('towers', 'NNS')",tower,tower,description
neighbouring,neighbouring,"('neighbouring', 'JJ')",neighbour,neighbouring,description
package,package,"('package', 'NN')",packag,package,description
resort,resort,"('resort', 'NN')",resort,resort,description
Calpe,calpe,"('calpe', 'NN')",calp,calpe,description
Calp,calp,"('calp', 'NN')",calp,calp,description
like,like,"('like', 'IN')",like,like,description
enjoy,enjoy,"('enjoy', 'VB')",enjoy,enjoy,description
coast,coast,"('coast', 'NN')",coast,coast,description
night,night,"('night', 'NN')",night,night,description
two,two,"('two', 'CD')",two,two,description
ALTEA,altea,"('altea', 'NN')",altea,altea,description
south,south,"('south', 'NN')",south,south,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
proposition,proposition,"('proposition', 'NN')",proposit,proposition,description
small,small,"('small', 'JJ')",small,small,description
resort,resort,"('resort', 'NN')",resort,resort,description
set,set,"('set', 'VBN')",set,set,description
historic,historic,"('historic', 'JJ')",histor,historic,description
hilltop,hilltop,"('hilltop', 'NN')",hilltop,hilltop,description
village,village,"('village', 'NN')",villag,village,description
views,views,"('views', 'NNS')",view,view,description
overlooking,overlooking,"('overlooking', 'VBG')",overlook,overlook,description
whole,whole,"('whole', 'JJ')",whole,whole,description
stretch,stretch,"('stretch', 'NN')",stretch,stretch,description
coastline,coastline,"('coastline', 'JJ')",coastlin,coastline,description
Tourist,tourist,"('tourist', 'NN')",tourist,tourist,description
development,development,"('development', 'NN')",develop,development,description
centred,centred,"('centred', 'VBN')",centr,centre,description
seafront,seafront,"('seafront', 'NN')",seafront,seafront,description
pebble,pebble,"('pebble', 'JJ')",pebbl,pebble,description
beach,beach,"('beach', 'NN')",beach,beach,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
promenade,promenade,"('promenade', 'NN')",promenad,promenade,description
apartment,apartment,"('apartment', 'NN')",apart,apartment,description
buildings,buildings,"('buildings', 'NNS')",build,building,description
interspersed,interspersed,"('interspersed', 'VBN')",interspers,intersperse,description
tottering,tottering,"('tottering', 'VBG')",totter,totter,description
old,old,"('old', 'JJ')",old,old,description
fishermen,fishermen,"('fishermen', 'NNS')",fishermen,fisherman,description
old,old,"('old', 'JJ')",old,old,description
village,village,"('village', 'NN')",villag,village,description
poble,poble,"('poble', 'JJ')",pobl,poble,description
antic,antic,"('antic', 'JJ')",antic,antic,description
hill,hill,"('hill', 'NN')",hill,hill,description
even,even,"('even', 'RB')",even,even,description
picturesque,picturesque,"('picturesque', 'JJ')",picturesqu,picturesque,description
steep,steep,"('steep', 'JJ')",steep,steep,description
lanes,lanes,"('lanes', 'NNS')",lane,lane,description
white,white,"('white', 'JJ')",white,white,description
houses,houses,"('houses', 'NNS')",hous,house,description
church,church,"('church', 'NN')",church,church,description
profuse,profuse,"('profuse', 'NN')",profus,profuse,description
blossoms,blossoms,"('blossoms', 'NNS')",blossom,blossom,description
summer,summer,"('summer', 'NN')",summer,summer,description
entire,entire,"('entire', 'JJ')",entir,entire,description
quarter,quarter,"('quarter', 'NN')",quarter,quarter,description
packed,packed,"('packed', 'VBN')",pack,pack,description
pavement,pavement,"('pavement', 'JJ')",pavement,pavement,description
diners,diners,"('diners', 'NNS')",diner,diner,description
boutique,boutique,"('boutique', 'JJ')",boutiqu,boutique,description
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,description
town,town,"('town', 'NN')",town,town,description
XÀTIVA,xàtiva,"('xàtiva', 'NNP')",xàtiva,xàtiva,description
