token,normed_token,pos_tags,stemmed_token,lemma_token,class
Madrid,madrid,"('madrid', 'JJ')",madrid,madrid,introduction
became,became,"('became', 'VBD')",becam,become,introduction
Spain,spain,"('spain', 'JJ')",spain,spain,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
virtue,virtue,"('virtue', 'NN')",virtu,virtue,introduction
geographical,geographical,"('geographical', 'JJ')",geograph,geographical,introduction
position,position,"('position', 'NN')",posit,position,introduction
heart,heart,"('heart', 'NN')",heart,heart,introduction
Iberia,iberia,"('iberia', 'NN')",iberia,iberia,introduction
Felipe,felipe,"('felipe', 'NN')",felip,felipe,introduction
II,ii,"('ii', 'RB')",ii,ii,introduction
moved,moved,"('moved', 'VBD')",move,move,introduction
seat,seat,"('seat', 'NN')",seat,seat,introduction
government,government,"('government', 'NN')",govern,government,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
aim,aim,"('aim', 'NN')",aim,aim,introduction
was,was,"('was', 'VBD')",wa,be,introduction
create,create,"('create', 'VB')",creat,create,introduction
symbol,symbol,"('symbol', 'NN')",symbol,symbol,introduction
unification,unification,"('unification', 'NN')",unif,unification,introduction
centralization,centralization,"('centralization', 'NN')",central,centralization,introduction
country,country,"('country', 'NN')",countri,country,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
could,could,"('could', 'MD')",could,could,introduction
receive,receive,"('receive', 'VB')",receiv,receive,introduction
fastest,fastest,"('fastest', 'JJS')",fastest,fast,introduction
post,post,"('post', 'NN')",post,post,introduction
communication,communication,"('communication', 'NN')",commun,communication,introduction
every,every,"('every', 'DT')",everi,every,introduction
corner,corner,"('corner', 'NN')",corner,corner,introduction
nation,nation,"('nation', 'NN')",nation,nation,introduction
site,site,"('site', 'NN')",site,site,introduction
natural,natural,"('natural', 'JJ')",natur,natural,introduction
advantages,advantages,"('advantages', 'NNS')",advantag,advantage,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
plateau,plateau,"('plateau', 'NN')",plateau,plateau,introduction
freezing,freezing,"('freezing', 'NN')",freez,freezing,introduction
winter,winter,"('winter', 'NN')",winter,winter,introduction
boiling,boiling,"('boiling', 'NN')",boil,boiling,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
was,was,"('was', 'VBD')",wa,be,introduction
only,only,"('only', 'RB')",onli,only,introduction
determination,determination,"('determination', 'NN')",determin,determination,introduction
successive,successive,"('successive', 'JJ')",success,successive,introduction
rulers,rulers,"('rulers', 'NNS')",ruler,ruler,introduction
promote,promote,"('promote', 'VB')",promot,promote,introduction
strong,strong,"('strong', 'JJ')",strong,strong,introduction
central,central,"('central', 'JJ')",central,central,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
ensured,ensured,"('ensured', 'VBD')",ensur,ensure,introduction
Madrid,madrid,"('madrid', 'JJ')",madrid,madrid,introduction
survival,survival,"('survival', 'NN')",surviv,survival,introduction
development,development,"('development', 'NN')",develop,development,introduction
Today,today,"('today', 'NN')",today,today,description
Madrid,madrid,"('madrid', 'NN')",madrid,madrid,description
vast,vast,"('vast', 'JJ')",vast,vast,description
predominantly,predominantly,"('predominantly', 'RB')",predominantli,predominantly,description
modern,modern,"('modern', 'JJ')",modern,modern,description
city,city,"('city', 'NN')",citi,city,description
population,population,"('population', 'NN')",popul,population,description
four,four,"('four', 'CD')",four,four,description
million,million,"('million', 'CD')",million,million,description
growing,growing,"('growing', 'VBG')",grow,grow,description
journey,journey,"('journey', 'NN')",journey,journey,description
stream,stream,"('stream', 'NN')",stream,stream,description
soulless,soulless,"('soulless', 'NN')",soulless,soulless,description
suburbs,suburbs,"('suburbs', 'NNS')",suburb,suburb,description
apartment,apartment,"('apartment', 'NN')",apart,apartment,description
blocks,blocks,"('blocks', 'NNS')",block,block,description
pretty,pretty,"('pretty', 'RB')",pretti,pretty,description
streets,streets,"('streets', 'NNS')",street,street,description
heart,heart,"('heart', 'NN')",heart,heart,description
city,city,"('city', 'NN')",citi,city,description
pleasant,pleasant,"('pleasant', 'JJ')",pleasant,pleasant,description
surprise,surprise,"('surprise', 'NN')",surpris,surprise,description
pockets,pockets,"('pockets', 'NNS')",pocket,pocket,description
medieval,medieval,"('medieval', 'JJ')",mediev,medieval,description
buildings,buildings,"('buildings', 'NNS')",build,building,description
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,description
atmospheric,atmospheric,"('atmospheric', 'JJ')",atmospher,atmospheric,description
alleys,alleys,"('alleys', 'NNS')",alley,alley,description
dotted,dotted,"('dotted', 'VBN')",dot,dot,description
oddest,oddest,"('oddest', 'JJS')",oddest,odd,description
shops,shops,"('shops', 'NNS')",shop,shop,description
bars,bars,"('bars', 'NNS')",bar,bar,description
interspersed,interspersed,"('interspersed', 'VBN')",interspers,intersperse,description
Bourbon,bourbon,"('bourbon', 'NN')",bourbon,bourbon,description
squares,squares,"('squares', 'NNS')",squar,square,description
Compared,compared,"('compared', 'VBN')",compar,compare,description
historic,historic,"('historic', 'JJ')",histor,historic,description
cities,cities,"('cities', 'NNS')",citi,city,description
Spain,spain,"('spain', 'NN')",spain,spain,description
Toledo,toledo,"('toledo', 'NN')",toledo,toledo,description
Salamanca,salamanca,"('salamanca', 'NN')",salamanca,salamanca,description
Seville,seville,"('seville', 'VBP')",sevil,seville,description
Granada,granada,"('granada', 'NN')",granada,granada,description
may,may,"('may', 'MD')",may,may,description
sights,sights,"('sights', 'NNS')",sight,sight,description
great,great,"('great', 'JJ')",great,great,description
architectural,architectural,"('architectural', 'JJ')",architectur,architectural,description
interest,interest,"('interest', 'NN')",interest,interest,description
monarchs,monarchs,"('monarchs', 'NN')",monarch,monarch,description
acquire,acquire,"('acquire', 'VB')",acquir,acquire,description
outstanding,outstanding,"('outstanding', 'JJ')",outstand,outstanding,description
picture,picture,"('picture', 'NN')",pictur,picture,description
collections,collections,"('collections', 'NNS')",collect,collection,description
formed,formed,"('formed', 'VBD')",form,form,description
basis,basis,"('basis', 'NN')",basi,basis,description
Prado,prado,"('prado', 'NN')",prado,prado,description
museum,museum,"('museum', 'NN')",museum,museum,description
This,this,"('this', 'DT')",thi,this,description
together,together,"('together', 'RB')",togeth,together,description
Reina,reina,"('reina', 'NN')",reina,reina,description
Sofía,sofía,"('sofía', 'NN')",sofía,sofía,description
museums,museums,"('museums', 'NNS')",museum,museum,description
homes,homes,"('homes', 'NNS')",home,home,description
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,description
arrays,arrays,"('arrays', 'NNS')",array,array,description
modern,modern,"('modern', 'JJ')",modern,modern,description
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,description
painting,painting,"('painting', 'NN')",paint,painting,description
including,including,"('including', 'VBG')",includ,include,description
Picasso,picasso,"('picasso', 'JJ')",picasso,picasso,description
Guernica,guernica,"('guernica', 'NN')",guernica,guernica,description
European,european,"('european', 'JJ')",european,european,description
American,american,"('american', 'JJ')",american,american,description
masters,masters,"('masters', 'NNS')",master,master,description
has,has,"('has', 'VBZ')",ha,have,description
made,made,"('made', 'VBN')",made,make,description
Madrid,madrid,"('madrid', 'RP')",madrid,madrid,description
top,top,"('top', 'NN')",top,top,description
European,european,"('european', 'JJ')",european,european,description
art,art,"('art', 'NN')",art,art,description
heavyweight,heavyweight,"('heavyweight', 'JJ')",heavyweight,heavyweight,description
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,description
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description
host,host,"('host', 'NN')",host,host,description
smaller,smaller,"('smaller', 'JJR')",smaller,small,description
museums,museums,"('museums', 'NNS')",museum,museum,description
palaces,palaces,"('palaces', 'NNS')",palac,palace,description
almost,almost,"('almost', 'RB')",almost,almost,description
rewarding,rewarding,"('rewarding', 'JJ')",reward,rewarding,description
Sports,sports,"('sports', 'NNS')",sport,sport,description
fans,fans,"('fans', 'NNS')",fan,fan,description
inevitably,inevitably,"('inevitably', 'RB')",inevit,inevitably,description
drawn,drawn,"('drawn', 'VBN')",drawn,draw,description
Santiago,santiago,"('santiago', 'NN')",santiago,santiago,description
Bernabéu,bernabéu,"('bernabéu', 'VBD')",bernabéu,bernabéu,description
home,home,"('home', 'NN')",home,home,description
one,one,"('one', 'CD')",one,one,description
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,description
successful,successful,"('successful', 'JJ')",success,successful,description
clubs,clubs,"('clubs', 'NNS')",club,club,description
world,world,"('world', 'NN')",world,world,description
