token,normed_token,pos_tags,stemmed_token,lemma_token,class
Politically,politically,"('politically', 'RB')",polit,politically,introduction
historically,historically,"('historically', 'RB')",histor,historically,introduction
Aragón,aragón,"('aragón', 'RB')",aragón,aragón,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
close,close,"('close', 'JJ')",close,close,introduction
links,links,"('links', 'NNS')",link,link,introduction
Catalunya,catalunya,"('catalunya', 'NN')",catalunya,catalunya,introduction
formed,formed,"('formed', 'VBD')",form,form,introduction
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction
alliance,alliance,"('alliance', 'NN')",allianc,alliance,introduction
medieval,medieval,"('medieval', 'JJ')",mediev,medieval,introduction
times,times,"('times', 'NNS')",time,time,introduction
exerting,exerting,"('exerting', 'VBG')",exert,exert,introduction
influence,influence,"('influence', 'NN')",influenc,influence,introduction
Mediterranean,mediterranean,"('mediterranean', 'NN')",mediterranean,mediterranean,introduction
far,far,"('far', 'RB')",far,far,introduction
away,away,"('away', 'RB')",away,away,introduction
Athens,athens,"('athens', 'NNS')",athen,athens,introduction
Locked,locked,"('locked', 'VBN')",lock,lock,introduction
sides,sides,"('sides', 'NNS')",side,side,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
always,always,"('always', 'RB')",alway,always,introduction
identity,identity,"('identity', 'NN')",ident,identity,introduction
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,introduction
fueros,fueros,"('fueros', 'NNS')",fuero,fueros,introduction
like,like,"('like', 'IN')",like,like,introduction
Basques,basques,"('basques', 'NNS')",basqu,basque,introduction
written,written,"('written', 'VBN')",written,write,introduction
Aragonese,aragonese,"('aragonese', 'JJ')",aragones,aragonese,introduction
language,language,"('language', 'NN')",languag,language,introduction
existing,existing,"('existing', 'VBG')",exist,exist,introduction
alongside,alongside,"('alongside', 'RB')",alongsid,alongside,introduction
Castilian,castilian,"('castilian', 'JJ')",castilian,castilian,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
autonomía,autonomía,"('autonomía', 'NN')",autonomía,autonomía,introduction
containing,containing,"('containing', 'VBG')",contain,contain,introduction
provinces,provinces,"('provinces', 'NNS')",provinc,province,introduction
Zaragoza,zaragoza,"('zaragoza', 'NN')",zaragoza,zaragoza,introduction
Teruel,teruel,"('teruel', 'NN')",teruel,teruel,introduction
Huesca,huesca,"('huesca', 'NN')",huesca,huesca,introduction
well,well,"('well', 'RB')",well,well,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
political,political,"('political', 'JJ')",polit,political,introduction
mainstream,mainstream,"('mainstream', 'NN')",mainstream,mainstream,introduction
especially,especially,"('especially', 'RB')",especi,especially,introduction
rural,rural,"('rural', 'JJ')",rural,rural,introduction
south,south,"('south', 'NN')",south,south,introduction
Teruel,teruel,"('teruel', 'NN')",teruel,teruel,introduction
least,least,"('least', 'JJS')",least,least,introduction
populated,populated,"('populated', 'JJ')",popul,populated,introduction
region,region,"('region', 'NN')",region,region,introduction
Spain,spain,"('spain', 'NN')",spain,spain,introduction
Coming,coming,"('coming', 'VBG')",come,come,introduction
Catalunya,catalunya,"('catalunya', 'NN')",catalunya,catalunya,introduction
Basque,basque,"('basque', 'JJ')",basqu,basque,introduction
Country,country,"('country', 'NN')",countri,country,introduction
find,find,"('find', 'VB')",find,find,introduction
Aragonese,aragonese,"('aragonese', 'JJ')",aragones,aragonese,introduction
pace,pace,"('pace', 'NN')",pace,pace,introduction
general,general,"('general', 'JJ')",gener,general,introduction
noticeably,noticeably,"('noticeably', 'RB')",notic,noticeably,introduction
slower,slower,"('slower', 'JJR')",slower,slow,introduction
Pyrenees,pyrenees,"('pyrenees', 'NNS')",pyrene,pyrenees,description
draw,draw,"('draw', 'VBP')",draw,draw,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
Aragón,aragón,"('aragón', 'VB')",aragón,aragón,description
sculpted,sculpted,"('sculpted', 'VBN')",sculpt,sculpt,description
valleys,valleys,"('valleys', 'NNS')",valley,valley,description
farming,farming,"('farming', 'VBG')",farm,farm,description
villages,villages,"('villages', 'NNS')",villag,village,description
excellent,excellent,"('excellent', 'JJ')",excel,excellent,description
trekking,trekking,"('trekking', 'VBG')",trek,trek,description
valleys,valleys,"('valleys', 'NNS')",valley,valley,description
built,built,"('built', 'VBN')",built,build,description
expensive,expensive,"('expensive', 'JJ')",expens,expensive,description
ski,ski,"('ski', 'NN')",ski,ski,description
resorts,resorts,"('resorts', 'NNS')",resort,resort,description
still,still,"('still', 'RB')",still,still,description
reveal,reveal,"('reveal', 'VBP')",reveal,reveal,description
stunning,stunning,"('stunning', 'JJ')",stun,stunning,description
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,description
Parque,parque,"('parque', 'JJ')",parqu,parque,description
Nacional,nacional,"('nacional', 'JJ')",nacion,nacional,description
de,de,"('de', 'FW')",de,de,description
Ordesa,ordesa,"('ordesa', 'FW')",ordesa,ordesa,description
