token,normed_token,pos_tags,stemmed_token,lemma_token,class
Picos,picos,"('picos', 'NN')",pico,picos,introduction
de,de,"('de', 'IN')",de,de,introduction
Europa,europa,"('europa', 'FW')",europa,europa,introduction
may,may,"('may', 'MD')",may,may,introduction
highest,highest,"('highest', 'JJS')",highest,high,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
Spain,spain,"('spain', 'NN')",spain,spain,introduction
favourite,favourite,"('favourite', 'NN')",favourit,favourite,introduction
many,many,"('many', 'JJ')",mani,many,introduction
walkers,walkers,"('walkers', 'NNS')",walker,walker,introduction
trekkers,trekkers,"('trekkers', 'NNS')",trekker,trekker,introduction
climbers,climbers,"('climbers', 'NNS')",climber,climber,introduction
Declared,declared,"('declared', 'VBD')",declar,declare,introduction
national,national,"('national', 'JJ')",nation,national,introduction
park,park,"('park', 'NN')",park,park,introduction
entirety,entirety,"('entirety', 'NN')",entireti,entirety,introduction
range,range,"('range', 'NN')",rang,range,introduction
miniature,miniature,"('miniature', 'NN')",miniatur,miniature,introduction
masterpiece,masterpiece,"('masterpiece', 'VBZ')",masterpiec,masterpiece,introduction
mere,mere,"('mere', 'JJ')",mere,mere,introduction
km,km,"('km', 'NN')",km,km,introduction
across,across,"('across', 'IN')",across,across,introduction
either,either,"('either', 'DT')",either,either,introduction
direction,direction,"('direction', 'NN')",direct,direction,introduction
shoehorned,shoehorned,"('shoehorned', 'VBD')",shoehorn,shoehorn,introduction
three,three,"('three', 'CD')",three,three,introduction
great,great,"('great', 'JJ')",great,great,introduction
river,river,"('river', 'NN')",river,river,introduction
gorges,gorges,"('gorges', 'NNS')",gorg,gorge,introduction
straddling,straddling,"('straddling', 'VBG')",straddl,straddle,introduction
provinces,provinces,"('provinces', 'NNS')",provinc,province,introduction
Asturias,asturias,"('asturias', 'JJ')",asturia,asturias,introduction
León,león,"('león', 'NN')",león,león,introduction
Cantabria,cantabria,"('cantabria', 'NN')",cantabria,cantabria,introduction
Asturians,asturians,"('asturians', 'NNS')",asturian,asturians,introduction
see,see,"('see', 'VBP')",see,see,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
symbol,symbol,"('symbol', 'NN')",symbol,symbol,introduction
national,national,"('national', 'JJ')",nation,national,introduction
identity,identity,"('identity', 'NN')",ident,identity,introduction
celebrate,celebrate,"('celebrate', 'VB')",celebr,celebrate,introduction
Covadonga,covadonga,"('covadonga', 'NN')",covadonga,covadonga,introduction
west,west,"('west', 'NN')",west,west,introduction
birthplace,birthplace,"('birthplace', 'NN')",birthplac,birthplace,introduction
Christian,christian,"('christian', 'JJ')",christian,christian,introduction
Spain,spain,"('spain', 'NN')",spain,spain,introduction
Walks,walks,"('walks', 'NNS')",walk,walk,description
Picos,picos,"('picos', 'NN')",pico,picos,description
amazingly,amazingly,"('amazingly', 'RB')",amazingli,amazingly,description
diverse,diverse,"('diverse', 'JJ')",divers,diverse,description
trails,trails,"('trails', 'NNS')",trail,trail,description
suit,suit,"('suit', 'VB')",suit,suit,description
levels,levels,"('levels', 'NNS')",level,level,description
casual,casual,"('casual', 'JJ')",casual,casual,description
morning,morning,"('morning', 'NN')",morn,morning,description
stroll,stroll,"('stroll', 'NN')",stroll,stroll,description
two,two,"('two', 'CD')",two,two,description
treks,treks,"('treks', 'VB')",trek,trek,description
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,description
popular,popular,"('popular', 'JJ')",popular,popular,description
routes,routes,"('routes', 'NNS')",rout,route,description
along,along,"('along', 'IN')",along,along,description
km,km,"('km', 'NN')",km,km,description
Cares,cares,"('cares', 'NNS')",care,care,description
Gorge,gorge,"('gorge', 'VBP')",gorg,gorge,description
take,take,"('take', 'VB')",take,take,description
whole,whole,"('whole', 'JJ')",whole,whole,description
part,part,"('part', 'NN')",part,part,description
around,around,"('around', 'IN')",around,around,description
high,high,"('high', 'JJ')",high,high,description
