token,normed_token,pos_tags,stemmed_token,lemma_token,class
Easily,easily,"('easily', 'RB')",easili,easily,introduction
largest,largest,"('largest', 'JJS')",largest,large,introduction
city,city,"('city', 'NN')",citi,city,introduction
Cantabria,cantabria,"('cantabria', 'NN')",cantabria,cantabria,introduction
population,population,"('population', 'NN')",popul,population,introduction
approaching,approaching,"('approaching', 'VBG')",approach,approach,introduction
SANTANDER,santander,"('santander', 'NN')",santand,santander,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
refined,refined,"('refined', 'VBN')",refin,refine,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
excellent,excellent,"('excellent', 'JJ')",excel,excellent,introduction
transport,transport,"('transport', 'NN')",transport,transport,introduction
connections,connections,"('connections', 'NNS')",connect,connection,introduction
setting,setting,"('setting', 'VBG')",set,set,introduction
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction
Bahía,bahía,"('bahía', 'NN')",bahía,bahía,introduction
de,de,"('de', 'IN')",de,de,introduction
Santander,santander,"('santander', 'NN')",santand,santander,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
city,city,"('city', 'NN')",citi,city,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
lost,lost,"('lost', 'VBD')",lost,lose,introduction
finest,finest,"('finest', 'JJS')",finest,fine,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
massive,massive,"('massive', 'JJ')",massiv,massive,introduction
fire,fire,"('fire', 'NN')",fire,fire,introduction
Nonetheless,nonetheless,"('nonetheless', 'CC')",nonetheless,nonetheless,introduction
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction
lanes,lanes,"('lanes', 'NNS')",lane,lane,introduction
old,old,"('old', 'JJ')",old,old,introduction
town,town,"('town', 'NN')",town,town,introduction
running,running,"('running', 'VBG')",run,run,introduction
parallel,parallel,"('parallel', 'RB')",parallel,parallel,introduction
waterfront,waterfront,"('waterfront', 'NN')",waterfront,waterfront,introduction
still,still,"('still', 'RB')",still,still,introduction
abound,abound,"('abound', 'VBN')",abound,abound,introduction
atmospheric,atmospheric,"('atmospheric', 'JJ')",atmospher,atmospheric,introduction
bars,bars,"('bars', 'NNS')",bar,bar,introduction
restaurants,restaurants,"('restaurants', 'VBZ')",restaur,restaurants,introduction
local,local,"('local', 'JJ')",local,local,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
best,best,"('best', 'JJS')",best,best,introduction
sandy,sandy,"('sandy', 'JJ')",sandi,sandy,introduction
El,el,"('el', 'NN')",el,el,introduction
Sardinero,sardinero,"('sardinero', 'NN')",sardinero,sardinero,introduction
facing,facing,"('facing', 'VBG')",face,face,introduction
open,open,"('open', 'JJ')",open,open,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
couple,couple,"('couple', 'NN')",coupl,couple,introduction
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction
east,east,"('east', 'NNS')",east,east,introduction
broad,broad,"('broad', 'JJ')",broad,broad,introduction
clean,clean,"('clean', 'JJ')",clean,clean,introduction
enough,enough,"('enough', 'RB')",enough,enough,introduction
Santander,santander,"('santander', 'NN')",santand,santander,introduction
rival,rival,"('rival', 'VB')",rival,rival,introduction
Biarritz,biarritz,"('biarritz', 'NN')",biarritz,biarritz,introduction
San,san,"('san', 'JJ')",san,san,introduction
