token,normed_token,pos_tags,stemmed_token,lemma_token,class
MÁLAGA,málaga,"('málaga', 'NN')",málaga,málaga,introduction
seems,seems,"('seems', 'VBZ')",seem,seem,introduction
first,first,"('first', 'RB')",first,first,introduction
uninviting,uninviting,"('uninviting', 'JJ')",uninvit,uninviting,introduction
place,place,"('place', 'NN')",place,place,introduction
second,second,"('second', 'JJ')",second,second,introduction
city,city,"('city', 'NN')",citi,city,introduction
south,south,"('south', 'NN')",south,south,introduction
Seville,seville,"('seville', 'NN')",sevil,seville,introduction
population,population,"('population', 'NN')",popul,population,introduction
half,half,"('half', 'PDT')",half,half,introduction
million,million,"('million', 'CD')",million,million,introduction
also,also,"('also', 'RB')",also,also,introduction
one,one,"('one', 'CD')",one,one,introduction
poorest,poorest,"('poorest', 'JJS')",poorest,poor,introduction
estimated,estimated,"('estimated', 'JJ')",estim,estimated,introduction
one,one,"('one', 'CD')",one,one,introduction
four,four,"('four', 'CD')",four,four,introduction
workforce,workforce,"('workforce', 'NN')",workforc,workforce,introduction
jobless,jobless,"('jobless', 'JJ')",jobless,jobless,introduction
Though,though,"('though', 'IN')",though,though,introduction
clusters,clusters,"('clusters', 'NNS')",cluster,cluster,introduction
look,look,"('look', 'NN')",look,look,introduction
pretty,pretty,"('pretty', 'RB')",pretti,pretty,introduction
grim,grim,"('grim', 'JJ')",grim,grim,introduction
approach,approach,"('approach', 'VBP')",approach,approach,introduction
city,city,"('city', 'NN')",citi,city,introduction
does,does,"('does', 'VBZ')",doe,do,introduction
compelling,compelling,"('compelling', 'JJ')",compel,compelling,introduction
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
central,central,"('central', 'JJ')",central,central,introduction
zone,zone,"('zone', 'NN')",zone,zone,introduction
largely,largely,"('largely', 'RB')",larg,largely,introduction
pedestrianized,pedestrianized,"('pedestrianized', 'VBN')",pedestrian,pedestrianized,introduction
focal,focal,"('focal', 'JJ')",focal,focal,introduction
Calle,calle,"('calle', 'JJ')",call,calle,introduction
Marqués,marqués,"('marqués', 'NN')",marqué,marqués,introduction
de,de,"('de', 'IN')",de,de,introduction
Larios,larios,"('larios', 'NNS')",lario,larios,introduction
lined,lined,"('lined', 'VBN')",line,line,introduction
fashionable,fashionable,"('fashionable', 'JJ')",fashion,fashionable,introduction
stores,stores,"('stores', 'NNS')",store,store,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
thoroughfare,thoroughfare,"('thoroughfare', 'NN')",thoroughfar,thoroughfare,introduction
This,this,"('this', 'DT')",thi,this,introduction
leads,leads,"('leads', 'VBZ')",lead,lead,introduction
Plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction
de,de,"('de', 'IN')",de,de,introduction
la,la,"('la', 'FW')",la,la,introduction
Constitución,constitución,"('constitución', 'VB')",constitución,constitución,introduction
city,city,"('city', 'NN')",citi,city,introduction
main,main,"('main', 'JJ')",main,main,introduction
square,square,"('square', 'NN')",squar,square,introduction
monumental,monumental,"('monumental', 'JJ')",monument,monumental,introduction
fountain,fountain,"('fountain', 'NN')",fountain,fountain,introduction
flanked,flanked,"('flanked', 'VBN')",flank,flank,introduction
slender,slender,"('slender', 'NN')",slender,slender,introduction
palms,palms,"('palms', 'NNS')",palm,palm,introduction
terraces,terraces,"('terraces', 'NNS')",terrac,terrace,introduction
numerous,numerous,"('numerous', 'JJ')",numer,numerous,introduction
cafés,cafés,"('cafés', 'NN')",café,cafés,introduction
restaurants,restaurants,"('restaurants', 'VBZ')",restaur,restaurants,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
number,number,"('number', 'NN')",number,number,introduction
interesting,interesting,"('interesting', 'JJ')",interest,interesting,introduction
churches,churches,"('churches', 'NNS')",church,church,introduction
museums,museums,"('museums', 'NNS')",museum,museum,introduction
mention,mention,"('mention', 'VB')",mention,mention,introduction
birthplace,birthplace,"('birthplace', 'NN')",birthplac,birthplace,introduction
Picasso,picasso,"('picasso', 'NN')",picasso,picasso,introduction
Museo,museo,"('museo', 'NN')",museo,museo,introduction
Picasso,picasso,"('picasso', 'NN')",picasso,picasso,introduction
Málaga,málaga,"('málaga', 'NN')",málaga,málaga,introduction
housing,housing,"('housing', 'NN')",hous,housing,introduction
important,important,"('important', 'JJ')",import,important,introduction
collection,collection,"('collection', 'NN')",collect,collection,introduction
works,works,"('works', 'NNS')",work,work,introduction
Málaga,málaga,"('málaga', 'NN')",málaga,málaga,introduction
famous,famous,"('famous', 'JJ')",famou,famous,introduction
son,son,"('son', 'NN')",son,son,introduction
Perched,perched,"('perched', 'VBD')",perch,perch,introduction
hill,hill,"('hill', 'NN')",hill,hill,introduction
above,above,"('above', 'IN')",abov,above,introduction
town,town,"('town', 'NN')",town,town,introduction
formidable,formidable,"('formidable', 'JJ')",formid,formidable,introduction
citadels,citadels,"('citadels', 'NNS')",citadel,citadel,introduction
Alcazaba,alcazaba,"('alcazaba', 'NN')",alcazaba,alcazaba,introduction
Gibralfaro,gibralfaro,"('gibralfaro', 'NN')",gibralfaro,gibralfaro,introduction
magnificent,magnificent,"('magnificent', 'NN')",magnific,magnificent,introduction
vestiges,vestiges,"('vestiges', 'NNS')",vestig,vestige,introduction
seven,seven,"('seven', 'CD')",seven,seven,introduction
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction
Moors,moors,"('moors', 'NNS')",moor,moor,introduction
held,held,"('held', 'VBD')",held,hold,introduction
sway,sway,"('sway', 'RB')",sway,sway,introduction
city,city,"('city', 'NN')",citi,city,introduction
authorities,authorities,"('authorities', 'NNS')",author,authority,introduction
hope,hope,"('hope', 'VBP')",hope,hope,introduction
revamped,revamped,"('revamped', 'JJ')",revamp,revamped,introduction
seafront,seafront,"('seafront', 'NN')",seafront,seafront,introduction
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction
make,make,"('make', 'VB')",make,make,introduction
city,city,"('city', 'NN')",citi,city,introduction
attractive,attractive,"('attractive', 'JJ')",attract,attractive,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
encouraged,encouraged,"('encouraged', 'VBN')",encourag,encourage,introduction
new,new,"('new', 'JJ')",new,new,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
