token,normed_token,pos_tags,stemmed_token,lemma_token,class
IBIZA,ibiza,"('ibiza', 'NN')",ibiza,ibiza,introduction
Eivissa,eivissa,"('eivissa', 'NN')",eivissa,eivissa,introduction
Catalan,catalan,"('catalan', 'NN')",catalan,catalan,introduction
island,island,"('island', 'NN')",island,island,introduction
excess,excess,"('excess', 'JJ')",excess,excess,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
blessed,blessed,"('blessed', 'VBN')",bless,bless,introduction
scores,scores,"('scores', 'NNS')",score,score,introduction
stunning,stunning,"('stunning', 'VBG')",stun,stun,introduction
cove,cove,"('cove', 'NN')",cove,cove,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
dense,dense,"('dense', 'JJ')",dens,dense,introduction
pine,pine,"('pine', 'NN')",pine,pine,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
Nevertheless,nevertheless,"('nevertheless', 'VBP')",nevertheless,nevertheless,introduction
islanders,islanders,"('islanders', 'NNS')",island,islander,introduction
eivissencs,eivissencs,"('eivissencs', 'VBP')",eivissenc,eivissencs,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
make,make,"('make', 'VBP')",make,make,introduction
special,special,"('special', 'JJ')",special,special,introduction
Ibiza,ibiza,"('ibiza', 'NN')",ibiza,ibiza,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
long,long,"('long', 'RB')",long,long,introduction
attracted,attracted,"('attracted', 'VBN')",attract,attract,introduction
hedonistic,hedonistic,"('hedonistic', 'JJ')",hedonist,hedonistic,introduction
characters,characters,"('characters', 'NNS')",charact,character,introduction
wealthy,wealthy,"('wealthy', 'JJ')",wealthi,wealthy,introduction
bohemians,bohemians,"('bohemians', 'NNS')",bohemian,bohemian,introduction
locals,locals,"('locals', 'NNS')",local,local,introduction
remain,remain,"('remain', 'VBP')",remain,remain,introduction
determinedly,determinedly,"('determinedly', 'RB')",determinedli,determinedly,introduction
blasé,blasé,"('blasé', 'JJ')",blasé,blasé,introduction
fashionistas,fashionistas,"('fashionistas', 'NNS')",fashionista,fashionistas,introduction
celebrities,celebrities,"('celebrities', 'NNS')",celebr,celebrity,introduction
flock,flock,"('flock', 'VBP')",flock,flock,introduction
island,island,"('island', 'NN')",island,island,introduction
today,today,"('today', 'NN')",today,today,introduction
years,years,"('years', 'NNS')",year,year,description
Ibiza,ibiza,"('ibiza', 'NN')",ibiza,ibiza,description
was,was,"('was', 'VBD')",wa,be,description
European,european,"('european', 'JJ')",european,european,description
hippie,hippie,"('hippie', 'NN')",hippi,hippie,description
escape,escape,"('escape', 'NN')",escap,escape,description
nowadays,nowadays,"('nowadays', 'VBZ')",nowaday,nowadays,description
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,description
clubbing,clubbing,"('clubbing', 'NN')",club,clubbing,description
scene,scene,"('scene', 'NN')",scene,scene,description
people,people,"('people', 'NNS')",peopl,people,description
come,come,"('come', 'VBP')",come,come,description
experience,experience,"('experience', 'VB')",experi,experience,description
island,island,"('island', 'NN')",island,island,description
lay,lay,"('lay', 'VB')",lay,lay,description
strong,strong,"('strong', 'JJ')",strong,strong,description
claim,claim,"('claim', 'NN')",claim,claim,description
globe,globe,"('globe', 'NN')",globe,globe,description
clubbing,clubbing,"('clubbing', 'VBG')",club,club,description
capital,capital,"('capital', 'NN')",capit,capital,description
virtually,virtually,"('virtually', 'RB')",virtual,virtually,description
world,world,"('world', 'NN')",world,world,description
top,top,"('top', 'JJ')",top,top,description
house,house,"('house', 'NN')",hous,house,description
DJs,djs,"('djs', 'NN')",dj,dj,description
many,many,"('many', 'JJ')",mani,many,description
minor,minor,"('minor', 'JJ')",minor,minor,description
players,players,"('players', 'NNS')",player,player,description
performing,performing,"('performing', 'VBG')",perform,perform,description
during,during,"('during', 'IN')",dure,during,description
summer,summer,"('summer', 'NN')",summer,summer,description
season,season,"('season', 'NN')",season,season,description
However,however,"('however', 'RB')",howev,however,description
visit,visit,"('visit', 'NN')",visit,visit,description
October,october,"('october', 'NNP')",octob,october,description
May,may,"('may', 'MD')",may,may,description
find,find,"('find', 'VB')",find,find,description
much,much,"('much', 'RB')",much,much,description
peaceful,peaceful,"('peaceful', 'JJ')",peac,peaceful,description
island,island,"('island', 'NN')",island,island,description
one,one,"('one', 'CD')",one,one,description
club,club,"('club', 'NN')",club,club,description
Pacha,pacha,"('pacha', 'NN')",pacha,pacha,description
funky,funky,"('funky', 'NN')",funki,funky,description
bars,bars,"('bars', 'NNS')",bar,bar,description
remain,remain,"('remain', 'VBP')",remain,remain,description
open,open,"('open', 'JJ')",open,open,description
