token,normed_token,pos_tags,stemmed_token,lemma_token,class
classic,classic,"('classic', 'JJ')",classic,classic,introduction
southwestern,southwestern,"('southwestern', 'JJ')",southwestern,southwestern,introduction
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction
stark,stark,"('stark', 'JJ')",stark,stark,introduction
sandstone,sandstone,"('sandstone', 'NN')",sandston,sandstone,introduction
buttes,buttes,"('buttes', 'NNS')",butt,butte,introduction
forbidding,forbidding,"('forbidding', 'VBG')",forbid,forbid,introduction
pinnacles,pinnacles,"('pinnacles', 'NNS')",pinnacl,pinnacle,introduction
rock,rock,"('rock', 'NN')",rock,rock,introduction
poking,poking,"('poking', 'VBG')",poke,poke,introduction
endless,endless,"('endless', 'JJ')",endless,endless,introduction
expanse,expanse,"('expanse', 'NN')",expans,expanse,introduction
drifting,drifting,"('drifting', 'VBG')",drift,drift,introduction
red,red,"('red', 'JJ')",red,red,introduction
sands,sands,"('sands', 'NNS')",sand,sand,introduction
archetypal,archetypal,"('archetypal', 'JJ')",archetyp,archetypal,introduction
Wild,wild,"('wild', 'JJ')",wild,wild,introduction
West,west,"('west', 'JJS')",west,west,introduction
image,image,"('image', 'NN')",imag,image,introduction
Only,only,"('only', 'RB')",onli,only,introduction
arrive,arrive,"('arrive', 'VBP')",arriv,arrive,introduction
MONUMENT,monument,"('monument', 'NN')",monument,monument,introduction
VALLEY,valley,"('valley', 'NN')",valley,valley,introduction
straddles,straddles,"('straddles', 'VBZ')",straddl,straddle,introduction
state,state,"('state', 'NN')",state,state,introduction
line,line,"('line', 'NN')",line,line,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
north,north,"('north', 'RB')",north,north,introduction
Kayenta,kayenta,"('kayenta', 'NNS')",kayenta,kayenta,introduction
realize,realize,"('realize', 'VB')",realiz,realize,introduction
much,much,"('much', 'JJ')",much,much,introduction
perception,perception,"('perception', 'NN')",percept,perception,introduction
West,west,"('west', 'NN')",west,west,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
shaped,shaped,"('shaped', 'VBN')",shape,shape,introduction
this,this,"('this', 'DT')",thi,this,introduction
one,one,"('one', 'CD')",one,one,introduction
spot,spot,"('spot', 'NN')",spot,spot,introduction
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,introduction
does,does,"('does', 'VBZ')",doe,do,introduction
exist,exist,"('exist', 'VB')",exist,exist,introduction
elsewhere,elsewhere,"('elsewhere', 'RB')",elsewher,elsewhere,introduction
course,course,"('course', 'NN')",cours,course,introduction
nowhere,nowhere,"('nowhere', 'RB')",nowher,nowhere,introduction
perfectly,perfectly,"('perfectly', 'RB')",perfectli,perfectly,introduction
distilled,distilled,"('distilled', 'VBN')",distil,distil,introduction
moviemakers,moviemakers,"('moviemakers', 'NNS')",moviemak,moviemakers,introduction
flocked,flocked,"('flocked', 'VBN')",flock,flock,introduction
since,since,"('since', 'IN')",sinc,since,introduction
early,early,"('early', 'JJ')",earli,early,introduction
days,days,"('days', 'NNS')",day,day,introduction
Hollywood,hollywood,"('hollywood', 'NN')",hollywood,hollywood,introduction
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction
majesty,majesty,"('majesty', 'NN')",majesti,majesty,introduction
place,place,"('place', 'NN')",place,place,introduction
still,still,"('still', 'RB')",still,still,introduction
takes,takes,"('takes', 'VBZ')",take,take,introduction
breath,breath,"('breath', 'NN')",breath,breath,introduction
away,away,"('away', 'RB')",away,away,introduction
Add,add,"('add', 'VBZ')",add,add,introduction
fact,fact,"('fact', 'NN')",fact,fact,introduction
remains,remains,"('remains', 'VBZ')",remain,remain,introduction
stronghold,stronghold,"('stronghold', 'NN')",stronghold,stronghold,introduction
Navajo,navajo,"('navajo', 'JJ')",navajo,navajo,introduction
culture,culture,"('culture', 'NN')",cultur,culture,introduction
Monument,monument,"('monument', 'NN')",monument,monument,introduction
Valley,valley,"('valley', 'NN')",valley,valley,introduction
absolute,absolute,"('absolute', 'JJ')",absolut,absolute,introduction
highlight,highlight,"('highlight', 'NN')",highlight,highlight,introduction
trip,trip,"('trip', 'NN')",trip,trip,introduction
Southwest,southwest,"('southwest', 'NN')",southwest,southwest,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,description
impressive,impressive,"('impressive', 'JJ')",impress,impressive,description
pair,pair,"('pair', 'NN')",pair,pair,description
monoliths,monoliths,"('monoliths', 'NNS')",monolith,monolith,description
Mittens,mittens,"('mittens', 'NNS')",mitten,mitten,description
one,one,"('one', 'CD')",one,one,description
East,east,"('east', 'NN')",east,east,description
one,one,"('one', 'CD')",one,one,description
West,west,"('west', 'NN')",west,west,description
has,has,"('has', 'VBZ')",ha,have,description
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,description
thumb,thumb,"('thumb', 'NN')",thumb,thumb,description
splintering,splintering,"('splintering', 'VBG')",splinter,splinter,description
central,central,"('central', 'JJ')",central,central,description
bulk,bulk,"('bulk', 'NN')",bulk,bulk,description
dozen,dozen,"('dozen', 'NN')",dozen,dozen,description
spires,spires,"('spires', 'NNS')",spire,spire,description
spread,spread,"('spread', 'VBP')",spread,spread,description
nearby,nearby,"('nearby', 'RB')",nearbi,nearby,description
along,along,"('along', 'IN')",along,along,description
rock,rock,"('rock', 'NN')",rock,rock,description
art,art,"('art', 'NN')",art,art,description
panels,panels,"('panels', 'NNS')",panel,panel,description
assorted,assorted,"('assorted', 'VBN')",assort,assort,description
minor,minor,"('minor', 'JJ')",minor,minor,description
Ancestral,ancestral,"('ancestral', 'JJ')",ancestr,ancestral,description
Puebloan,puebloan,"('puebloan', 'NN')",puebloan,puebloan,description
see,see,"('see', 'VB')",see,see,description
buttes,buttes,"('buttes', 'NNS')",butt,butte,description
free,free,"('free', 'JJ')",free,free,description
towering,towering,"('towering', 'VBG')",tower,tower,description
alongside,alongside,"('alongside', 'RB')",alongsid,alongside,description
detour,detour,"('detour', 'NN')",detour,detour,description
enter,enter,"('enter', 'VB')",enter,enter,description
Monument,monument,"('monument', 'JJ')",monument,monument,description
Valley,valley,"('valley', 'NN')",valley,valley,description
Tribal,tribal,"('tribal', 'NN')",tribal,tribal,description
Park,park,"('park', 'NN')",park,park,description
rewarded,rewarded,"('rewarded', 'VBN')",reward,reward,description
much,much,"('much', 'JJ')",much,much,description
closer,closer,"('closer', 'JJR')",closer,close,description
views,views,"('views', 'NNS')",view,view,description
rough,rough,"('rough', 'JJ')",rough,rough,description
unpaved,unpaved,"('unpaved', 'JJ')",unpav,unpaved,description
road,road,"('road', 'NN')",road,road,description
drops,drops,"('drops', 'NNS')",drop,drop,description
behind,behind,"('behind', 'IN')",behind,behind,description
visitor,visitor,"('visitor', 'NN')",visitor,visitor,description
centre,centre,"('centre', 'NN')",centr,centre,description
View,view,"('view', 'NN')",view,view,description
hotel,hotel,"('hotel', 'NN')",hotel,hotel,description
run,run,"('run', 'VB')",run,run,description
Monument,monument,"('monument', 'NN')",monument,monument,description
Valley,valley,"('valley', 'NN')",valley,valley,description
route,route,"('route', 'NN')",rout,route,description
makes,makes,"('makes', 'VBZ')",make,make,description
bumpy,bumpy,"('bumpy', 'JJ')",bumpi,bumpy,description
bearable,bearable,"('bearable', 'JJ')",bearabl,bearable,description
ride,ride,"('ride', 'NN')",ride,ride,description
ordinary,ordinary,"('ordinary', 'JJ')",ordinari,ordinary,description
vehicle,vehicle,"('vehicle', 'NN')",vehicl,vehicle,description
takes,takes,"('takes', 'VBZ')",take,take,description
something,something,"('something', 'NN')",someth,something,description
hour,hour,"('hour', 'NN')",hour,hour,description
However,however,"('however', 'RB')",howev,however,description
jeep,jeep,"('jeep', 'NN')",jeep,jeep,description
horseback,horseback,"('horseback', 'NN')",horseback,horseback,description
tours,tours,"('tours', 'NNS')",tour,tour,description
backcountry,backcountry,"('backcountry', 'NN')",backcountri,backcountry,description
very,very,"('very', 'RB')",veri,very,description
much,much,"('much', 'RB')",much,much,description
recommended,recommended,"('recommended', 'VBD')",recommend,recommend,description
jeep,jeep,"('jeep', 'JJ')",jeep,jeep,description
trip,trip,"('trip', 'NN')",trip,trip,description
costs,costs,"('costs', 'NNS')",cost,cost,description
around,around,"('around', 'IN')",around,around,description
per,per,"('per', 'IN')",per,per,description
person,person,"('person', 'NN')",person,person,description
arranged,arranged,"('arranged', 'VBN')",arrang,arrange,description
spot,spot,"('spot', 'NN')",spot,spot,description
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description
longer,longer,"('longer', 'JJR')",longer,long,description
potentially,potentially,"('potentially', 'RB')",potenti,potentially,description
much,much,"('much', 'RB')",much,much,description
expensive,expensive,"('expensive', 'JJ')",expens,expensive,description
alternatives,alternatives,"('alternatives', 'NNS')",altern,alternative,description
well,well,"('well', 'RB')",well,well,description
stopping,stopping,"('stopping', 'VBG')",stop,stop,description
movie,movie,"('movie', 'NN')",movi,movie,description
locations,locations,"('locations', 'NNS')",locat,location,description
Totem,totem,"('totem', 'NN')",totem,totem,description
Pole,pole,"('pole', 'VBZ')",pole,pole,description
tours,tours,"('tours', 'NNS')",tour,tour,description
call,call,"('call', 'VBP')",call,call,description
Navajo,navajo,"('navajo', 'JJ')",navajo,navajo,description
hogan,hogan,"('hogan', 'NN')",hogan,hogan,description
dwelling,dwelling,"('dwelling', 'VBG')",dwell,dwell,description
watch,watch,"('watch', 'VB')",watch,watch,description
weavers,weavers,"('weavers', 'NNS')",weaver,weaver,description
work,work,"('work', 'NN')",work,work,description
